entity_id,entity_type,official_name,normalized_name,district,parent_entity_id,valid_from,valid_to,source_id,alias_list
ent_79495c429e8350,district,黄浦区,黄浦区,黄浦区,,2018-01-01,,src_ee5c2521bcb6,
ent_3db3f6f35acd78,district,徐汇区,徐汇区,徐汇区,,2018-01-01,,src_ee5c2521bcb6,
ent_ee3397ac4ad2f4,district,长宁区,长宁区,长宁区,,2018-01-01,,src_ee5c2521bcb6,
ent_c85bda1b44595a,district,静安区,静安区,静安区,,2018-01-01,,src_ee5c2521bcb6,
ent_83818238e7533f,district,普陀区,普陀区,普陀区,,2018-01-01,,src_ee5c2521bcb6,
ent_18a4af7be8a6d7,district,虹口区,虹口区,虹口区,,2018-01-01,,src_ee5c2521bcb6,
ent_13773cb77affc7,district,杨浦区,杨浦区,杨浦区,,2018-01-01,,src_ee5c2521bcb6,
ent_0c7d09dab14b37,district,浦东新区,浦东新区,浦东新区,,2018-01-01,,src_ee5c2521bcb6,
ent_9fca7a703a53b5,district,闵行区,闵行区,闵行区,,2018-01-01,,src_ee5c2521bcb6,
ent_891aea4d31f09d,district,宝山区,宝山区,宝山区,,2018-01-01,,src_ee5c2521bcb6,
ent_1d11cc91c91582,district,嘉定区,嘉定区,嘉定区,,2018-01-01,,src_ee5c2521bcb6,
ent_5f752e71e02f26,district,金山区,金山区,金山区,,2018-01-01,,src_ee5c2521bcb6,
ent_58220818fa419b,district,松江区,松江区,松江区,,2018-01-01,,src_ee5c2521bcb6,
ent_cf0d0bd33b98de,district,青浦区,青浦区,青浦区,,2018-01-01,,src_ee5c2521bcb6,
ent_3e78f374513444,district,奉贤区,奉贤区,奉贤区,,2018-01-01,,src_ee5c2521bcb6,
ent_9d3294147fb021,district,崇明区,崇明区,崇明区,,2018-01-01,,src_ee5c2521bcb6,
