feature_record_id,reference_year,district,subdistrict,elderly_population,elderly_share,age_80_plus_population,living_alone_population,pure_elderly_households,digital_training_intensity,volunteer_support_intensity,community_hailing_access,medical_trip_support,weekday_support_score,weekend_support_score,formal_assistance_score,digital_support_score,overall_elder_support_score,source_fact_ids,missingness_rate,derivation_method,feature_confidence,sensitivity_required,created_at,updated_at
feat_e49f8eb4fe65e1,,嘉定区,,,,,,,,1.0,,,,,0.5,,,sefx_159c7bbb1ae623,0.75,Observed facts only; no cross-street ranking; score is not family assistance probability.,low,True,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00
feat_f68c39bd7f622e,2023.0,徐汇区,徐家汇街道,,,,,,,1.0,,,,,0.5,,,sef_82d348a3aa2e56;sef_5c1db78f85ad9d,0.75,Observed facts only; no cross-street ranking; score is not family assistance probability.,low,True,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00
feat_4d119a11808d9f,,徐汇区,,,,,,,,,,,,,,,,sefx_d6205cad43c116;sefx_c05b935c48138b,0.75,Observed facts only; no cross-street ranking; score is not family assistance probability.,low,True,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00
feat_d836445b5cf6e1,,普陀区,,,,,,,,1.0,,,,,0.5,,,sefx_be9298449b66f5;sefx_c09ad5a7e1e2ec;sefx_776fef6ca5671d,0.75,Observed facts only; no cross-street ranking; score is not family assistance probability.,low,True,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00
feat_047bdf65a9ab25,,杨浦区,,,,,,,,1.0,,,,,0.5,,,sefx_8b9a27c97974d1;sefx_71b7cce379857e;sefx_9d728b93cd8532;sefx_15a68e8ce51e45;sefx_8046572fea3b41,0.75,Observed facts only; no cross-street ranking; score is not family assistance probability.,low,True,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00
feat_cc93defad79157,,松江区,,,,,,,,1.0,,,,,0.5,,,sefx_0c442673bcdb99;sefx_4e412a6ca0f5cf;sefx_147c19d69b0580,0.75,Observed facts only; no cross-street ranking; score is not family assistance probability.,low,True,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00
feat_666da58dbdadd4,,浦东新区,,,,,,,,1.0,,,,,0.5,,,sefx_2e48219de3f6f4;sefx_60ec1bc09e0165,0.75,Observed facts only; no cross-street ranking; score is not family assistance probability.,low,True,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00
feat_2221ce3a43770c,,虹口区,,,,,,,,,,,,,,,,sefx_4518c6c6c85fdf;sefx_01bac86f6c2454;sefx_00099f3d183512,0.75,Observed facts only; no cross-street ranking; score is not family assistance probability.,low,True,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00
feat_4fda71a1065ac8,,金山区,,,,,,,,,,,,,,,,sefx_0f1a05b0e9d8bb,0.75,Observed facts only; no cross-street ranking; score is not family assistance probability.,low,True,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00
feat_a604f92a0e1796,2025.0,长宁区,临空经济示范区街道,,,,,,,1.0,,,,,0.5,,,sef_6ea8782a9327b0,0.75,Observed facts only; no cross-street ranking; score is not family assistance probability.,low,True,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00
feat_cebbb24ae7300e,2025.0,长宁区,程家桥街道,,,,,,,1.0,,,,,0.5,,,sef_ae5f210243c3c7,0.75,Observed facts only; no cross-street ranking; score is not family assistance probability.,low,True,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00
feat_2f7e33097cbf6c,,长宁区,,,,,,,,1.0,,,,,0.5,,,sefx_f683977b5ecc0b;sefx_ef0c6793c7df59;sefx_bb69d9ceddc84a;sefx_3aafe702bcd0d9,0.75,Observed facts only; no cross-street ranking; score is not family assistance probability.,low,True,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00
feat_4c141ddada200e,,闵行区,,,,,,,,1.0,,,,,0.5,,,sefx_8135778e5f1e8a;sefx_31860d36101ce8;sefx_d231e8b3a17780,0.75,Observed facts only; no cross-street ranking; score is not family assistance probability.,low,True,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00
feat_a87e01172f4c3c,2026.0,静安区,临汾路街道,,,,,,,1.0,,,,,0.5,,,sef_0ca344afd3ee47,0.75,Observed facts only; no cross-street ranking; score is not family assistance probability.,low,True,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00
feat_696ccd401d0c6b,,静安区,,,,,,,,1.0,,,,,0.5,,,sefx_b9d1f936e0c2d4;sefx_102fc16c4835ca;sefx_409b5676b37625,0.75,Observed facts only; no cross-street ranking; score is not family assistance probability.,low,True,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00
feat_df6d86674d2d6d,,黄浦区,,,,,,,,,,,,,,,,sefx_fa593ad58b9966;sefx_1cdfe72f55662c,0.75,Observed facts only; no cross-street ranking; score is not family assistance probability.,low,True,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00
