record_id,event_id,event_name,weather_type,weather_subtype,warning_type,warning_level,warning_issued_at,event_start_datetime,event_end_datetime,observation_datetime,recovery_datetime,district,subdistrict,location_name,address_or_segment,entity_type,entity_name,line_or_route,direction,disruption_type,disruption_description,quantitative_value,quantitative_unit,baseline_value,severity_ordinal,service_status_before,service_status_during,service_status_after,affected_population_description,temporary_measure,recovery_description,record_valid_from,record_valid_to,current_status,geocode_lat,geocode_lon,coordinate_system,coordinate_method,geocode_confidence,primary_source_id,fact_status,record_confidence,created_at,updated_at,evidence_quote
wtd_0fccabd3d3da20,evt_e2df7f8802f2c8,2020道路积水改善工程,heavy_rain,,,,,,,2020-05-20,,静安区,,中心城区道路积水路段,,road,中心城区道路积水路段,,,capacity_reduction,官方通知称部分路段暴雨时出现道路积水，安排道路积水改善工程。,,,,2,,disrupted,recovered,,,,2020-05-20,,historical,,,,,,src_03285eab743d,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,暴雨来临时部分路段会出现道路积水。
wtd_ac2281a537541c,evt_e2df7f8802f2c8,2020道路积水改善工程,heavy_rain,,,,,,,2020-05-20,,徐汇区,,中心城区道路积水路段,,road,中心城区道路积水路段,,,waterlogging,官方通知将徐汇列为道路积水改善工程相关区。,,,,2,,disrupted,recovered,,,,2020-05-20,,historical,,,,,,src_03285eab743d,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,暴雨来临时部分路段会出现道路积水。
wtd_1b3d1d2bdec973,evt_e2df7f8802f2c8,2020道路积水改善工程,heavy_rain,,,,,,,2020-05-20,,普陀区,,中心城区道路积水路段,,road,中心城区道路积水路段,,,waterlogging,官方通知将普陀列为道路积水改善工程相关区。,,,,2,,disrupted,recovered,,,,2020-05-20,,historical,,,,,,src_03285eab743d,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,暴雨来临时部分路段会出现道路积水。
wtd_8a62ff00b3d568,evt_e2df7f8802f2c8,2020道路积水改善工程,heavy_rain,,,,,,,2020-05-20,,虹口区,,中心城区道路积水路段,,road,中心城区道路积水路段,,,waterlogging,官方通知将虹口列为道路积水改善工程相关区。,,,,2,,disrupted,recovered,,,,2020-05-20,,historical,,,,,,src_03285eab743d,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,暴雨来临时部分路段会出现道路积水。
wtd_1e7bc4c6f30bf0,evt_e2df7f8802f2c8,2020道路积水改善工程,heavy_rain,,,,,,,2020-05-20,,宝山区,,中心城区道路积水路段,,road,中心城区道路积水路段,,,waterlogging,官方通知将宝山列为道路积水改善工程相关区。,,,,2,,disrupted,recovered,,,,2020-05-20,,historical,,,,,,src_03285eab743d,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,暴雨来临时部分路段会出现道路积水。
wtd_164e0dcc0488aa,evt_e2df7f8802f2c8,2020道路积水改善工程,heavy_rain,,,,,,,2020-05-20,,闵行区,,中心城区道路积水路段,,road,中心城区道路积水路段,,,waterlogging,官方通知将闵行列为道路积水改善工程相关区。,,,,2,,disrupted,recovered,,,,2020-05-20,,historical,,,,,,src_03285eab743d,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,暴雨来临时部分路段会出现道路积水。
wtd_5ad576f2310562,evt_0b60408a6753dc,2022年5月轨道运营调整,other,,,,,,,2022-05-10,,浦东新区,,上海地铁6号线,,metro_line,上海地铁6号线,,,metro_service_change,上海市交通委发布6号线和16号线全线停止运营服务。,,,,4,,disrupted,recovered,,,,2022-05-10,,historical,,,,,,src_ac51213c7136,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,上海地铁6号线和16号线全线停止运营服务。
wtd_961c9ac8468fb6,evt_0b60408a6753dc,2022年5月轨道运营调整,other,,,,,,,2022-05-10,,浦东新区,,上海地铁16号线,,metro_line,上海地铁16号线,,,metro_service_change,上海市交通委发布6号线和16号线全线停止运营服务。,,,,4,,disrupted,recovered,,,,2022-05-10,,historical,,,,,,src_ac51213c7136,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,上海地铁6号线和16号线全线停止运营服务。
wtd_7af4500a09a9f9,evt_cf9e609fadb917,2022年6月公共交通恢复,other,,,,,,,2022-05-31,,浦东新区,,2号线淞虹路站以西区段,,metro_line,2号线淞虹路站以西区段,,,metro_service_change,公共交通恢复公告明确该区段待方舱取消后再行恢复。,,,,2,,disrupted,recovered,,,,2022-05-31,,historical,,,,,,src_35ba77340f09,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,
wtd_ee350688a54c06,evt_d05b058270597a,松江防汛防台应急,compound_weather,,,,,,,2022-06-01,,松江区,,下立交及道路交通,,underpass,下立交及道路交通,,,traffic_control,预案明确台风暴雨影响期间落实下立交积水限行、封路等措施。,,,,2,,disrupted,recovered,,,,2022-06-01,,historical,,,,,,src_ee94e39effbb,observed,high,2026-07-12T09:22:40+08:00,2026-07-12T09:22:40+08:00,
