link_id,dataset_name,record_id,source_id,evidence_quote,evidence_field,fact_status,extraction_confidence,review_status,review_notes
lnk_e44d0b01c18e2d,weather_transport_disruptions,wtd_0fccabd3d3da20,src_03285eab743d,暴雨来临时部分路段会出现道路积水。,record-level fact,observed,high,auto_accepted,
lnk_d8c90d7c5dd3a0,weather_transport_disruptions,wtd_ac2281a537541c,src_03285eab743d,暴雨来临时部分路段会出现道路积水。,record-level fact,observed,high,auto_accepted,
lnk_0b7f36a88b68f3,weather_transport_disruptions,wtd_1b3d1d2bdec973,src_03285eab743d,暴雨来临时部分路段会出现道路积水。,record-level fact,observed,high,auto_accepted,
lnk_aeaf208caf8eed,weather_transport_disruptions,wtd_8a62ff00b3d568,src_03285eab743d,暴雨来临时部分路段会出现道路积水。,record-level fact,observed,high,auto_accepted,
lnk_991cf867a2cb81,weather_transport_disruptions,wtd_1e7bc4c6f30bf0,src_03285eab743d,暴雨来临时部分路段会出现道路积水。,record-level fact,observed,high,auto_accepted,
lnk_992a3b7adfa207,weather_transport_disruptions,wtd_164e0dcc0488aa,src_03285eab743d,暴雨来临时部分路段会出现道路积水。,record-level fact,observed,high,auto_accepted,
lnk_adf8d13cd4c451,weather_transport_disruptions,wtd_5ad576f2310562,src_ac51213c7136,上海地铁6号线和16号线全线停止运营服务。,record-level fact,observed,high,auto_accepted,
lnk_56369ee1fd09bb,weather_transport_disruptions,wtd_961c9ac8468fb6,src_ac51213c7136,上海地铁6号线和16号线全线停止运营服务。,record-level fact,observed,high,auto_accepted,
lnk_16421db8d66e0e,weather_transport_disruptions,wtd_7af4500a09a9f9,src_35ba77340f09,见来源页面中对应事实,record-level fact,observed,high,auto_accepted,
lnk_92648264694ba6,weather_transport_disruptions,wtd_ee350688a54c06,src_ee94e39effbb,见来源页面中对应事实,record-level fact,observed,high,auto_accepted,
lnk_6e8b105ce13b2a,weather_transport_disruptions,wtd_ed51f04fef207a,src_ee94e39effbb,见来源页面中对应事实,record-level fact,observed,high,auto_accepted,
lnk_345873e8bfa9d9,weather_transport_disruptions,wtd_9d0b658d690e08,src_03285eab743d,暴雨来临时部分路段会出现道路积水。,record-level fact,observed,high,auto_accepted,
lnk_735c122347e9ed,weather_transport_disruptions,wtd_9e1a362dd6d87e,src_03285eab743d,暴雨来临时部分路段会出现道路积水。,record-level fact,observed,high,auto_accepted,
lnk_c36fc28eb2a4c8,weather_transport_disruptions,wtd_b1a31219498015,src_03285eab743d,暴雨来临时部分路段会出现道路积水。,record-level fact,observed,high,auto_accepted,
lnk_a6f1e6b7f3f67f,weather_transport_disruptions,wtd_a33df5c7c326ca,src_03285eab743d,暴雨来临时部分路段会出现道路积水。,record-level fact,observed,high,auto_accepted,
lnk_5d80b602f09e89,weather_transport_disruptions,wtd_0bd1f36d1c91f7,src_03285eab743d,暴雨来临时部分路段会出现道路积水。,record-level fact,observed,high,auto_accepted,
lnk_2313c04e0eea0b,weather_transport_disruptions,wtd_2780975265385e,src_03285eab743d,暴雨来临时部分路段会出现道路积水。,record-level fact,observed,high,auto_accepted,
lnk_c55a3d00abd9aa,weather_transport_disruptions,wtd_5e52e4a14bdbfb,src_03285eab743d,暴雨来临时部分路段会出现道路积水。,record-level fact,observed,high,auto_accepted,
lnk_4121ad7407470c,weather_transport_disruptions,wtd_9d4c039c5c8511,src_03285eab743d,暴雨来临时部分路段会出现道路积水。,record-level fact,observed,high,auto_accepted,
lnk_9f01b7f07b2d68,weather_transport_disruptions,wtd_161ee89c3a1998,src_03285eab743d,暴雨来临时部分路段会出现道路积水。,record-level fact,observed,high,auto_accepted,
lnk_124eb2ec3fcc23,weather_transport_disruptions,wtd_9b6e835b5aeb3e,src_03285eab743d,暴雨来临时部分路段会出现道路积水。,record-level fact,observed,high,auto_accepted,
lnk_73ea35a74e04df,weather_transport_disruptions,wtd_f1dfb83e5e07ed,src_03285eab743d,暴雨来临时部分路段会出现道路积水。,record-level fact,observed,high,auto_accepted,
lnk_12d1ad2799d29d,weather_transport_disruptions,wtdx_132208b410b1e6,src_6cd3338fb726,2020年8月5日降水量176.9毫米，为2010年以来最大值，当日全区有近66个点位出现道路积水，对城市平稳运行造成威胁,record-level fact,observed,medium,manually_verified,"source title, URL and evidence sentence checked"
lnk_e0e16fb7b8b608,elderly_hailing_access,eha_cff900c9941db6,src_ee5c2521bcb6,可通过一键通固定电话机、便携终端、电视机、自助终端获取服务资源。,record-level fact,observed,high,auto_accepted,
lnk_33447ae182619b,elderly_hailing_access,eha_57345cf469b9a1,src_a01235832298,一键叫车智慧屏是敬老爱老方便老人打车的产品。,record-level fact,observed,high,auto_accepted,
lnk_8ff2acc4e22191,elderly_hailing_access,eha_f22e29df4fe5e9,src_cd4e19098ea9,95128全国出租车叫车服务热线为24小时。,record-level fact,observed,high,auto_accepted,
lnk_9b4cc47a02edbb,elderly_hailing_access,eha_6568aabb1e2061,src_72f63f23b706,见来源页面中对应事实,record-level fact,observed,high,auto_accepted,
lnk_3d9da4eb6e7d68,elderly_hailing_access,eha_3db049a3035a75,src_cf93c9c8b8a2,见来源页面中对应事实,record-level fact,observed,high,auto_accepted,
lnk_a79549b9b201e9,elderly_hailing_access,eha_ba22e57bf4a7c1,src_753387c4a529,见来源页面中对应事实,record-level fact,observed,high,auto_accepted,
lnk_622b2f80470b03,elderly_hailing_access,eha_4579f04552734b,src_b1a17b29a099,见来源页面中对应事实,record-level fact,observed,high,auto_accepted,
