source_id,source_url,canonical_url,page_title,publisher,publisher_type,source_tier,published_at,updated_at,accessed_at,language,content_type,archive_url,http_status_at_collection,license_or_terms_note,is_official,is_primary_source,page_hash,snapshot_path,notes
src_ee5c2521bcb6,https://www.shanghai.gov.cn/jjylfwsjzc/20230404/384bd5c2a50440bbae76eacd62a78c4e.html,https://www.shanghai.gov.cn/jjylfwsjzc/20230404/384bd5c2a50440bbae76eacd62a78c4e.html,关于印发《为老服务“一键通”场景推广应用工作方案》的通知,上海市民政局、上海市经济和信息化委员会、上海市交通委员会、上海市卫生健康委员会,government,A,2023-04-04,,2026-07-12,zh-CN,html,,403,公开网页；仅保存短证据摘录,True,True,,,"official policy; one-click taxi, phone/smart-screen/self-service channels; snapshot_not_saved_http_403"
src_a01235832298,https://jtw.sh.gov.cn/zsk/20230323/2ed128b74fbb4241b9436a754cba56b6.html,https://jtw.sh.gov.cn/zsk/20230323/2ed128b74fbb4241b9436a754cba56b6.html,申程出行（一键叫车）使用问答,上海市交通委员会,government,A,2023-03-23,,2026-07-12,zh-CN,html,,403,公开网页；仅保存短证据摘录,True,True,,,official FAQ; smart screen and elderly priority dispatch; snapshot_not_saved_http_403
src_cd4e19098ea9,https://jtw.sh.gov.cn/zsk/20220114/96a202a48bf249a3bd4ed51db6adc952.html,https://jtw.sh.gov.cn/zsk/20220114/96a202a48bf249a3bd4ed51db6adc952.html,95128全国出租车叫车服务热线接电问答,上海市交通委员会,government,A,2022-01-14,,2026-07-12,zh-CN,html,,403,公开网页；仅保存短证据摘录,True,True,,,official FAQ; 24-hour phone dispatch; snapshot_not_saved_http_403
src_72f63f23b706,https://mzj.sh.gov.cn/lnb-xw/20230328/3bfff6a4b8c44d09a52b7ae90fcbf93b.html,https://mzj.sh.gov.cn/lnb-xw/20230328/3bfff6a4b8c44d09a52b7ae90fcbf93b.html,“一键叫车”能“有叫必应”吗？,上海市民政局,mainstream_media_or_bank,B,2023-03-28,,2026-07-12,zh-CN,html,,403,公开网页；仅保存短证据摘录,False,False,,,reported investigation; nearly 200 offline hail poles and hospital coverage; snapshot_not_saved_http_403
src_cf93c9c8b8a2,https://www.shanghai.gov.cn/gwk/search/content/44a038898cb84860bee035a1de2cb737,https://www.shanghai.gov.cn/gwk/search/content/44a038898cb84860bee035a1de2cb737,上海市经济信息化委关于征集上海“数字伙伴计划·微站点”及相关数字助老体验产品的通知,上海市经济和信息化委员会,government,A,2022-11-18,,2026-07-12,zh-CN,html,,403,公开网页；仅保存短证据摘录,True,True,,,153 pilot micro-sites; consultation and training; snapshot_not_saved_http_403
src_b023836cdcc0,https://www.shanghai.gov.cn/gwk/search/content/e49f366f10924473917d53e87ef09785,https://www.shanghai.gov.cn/gwk/search/content/e49f366f10924473917d53e87ef09785,上海市民政局关于印发《特殊困难老年人居家安全关爱服务行动方案（2024—2027年）》的通知,上海市民政局,government,A,2024-01-01,,2026-07-12,zh-CN,html,,403,公开网页；仅保存短证据摘录,True,True,,,1+4+X care team; elderly database and visits; snapshot_not_saved_http_403
src_753387c4a529,https://www.shanghai.gov.cn/jjylfwqjzc/20230512/93443abd2bee4c82b4f762be65511070.html,https://www.shanghai.gov.cn/jjylfwqjzc/20230512/93443abd2bee4c82b4f762be65511070.html,徐汇区关于为1万名高龄独居老人提供家庭互助服务的通知,徐汇区人民政府,government,A,2023-05-12,,2026-07-12,zh-CN,html,,403,公开网页；仅保存短证据摘录,True,True,,,"Xuhui older-alone care, telephone every 2-3 days; snapshot_not_saved_http_403"
src_b1a17b29a099,https://www.shanghai.gov.cn/nw17239/20250724/243cdfdcb15d4dfaad29c23aa16f183d.html,https://www.shanghai.gov.cn/nw17239/20250724/243cdfdcb15d4dfaad29c23aa16f183d.html,长宁区“老伙伴”计划项目正在招募志愿者,长宁区人民政府,government,A,2025-07-24,,2026-07-12,zh-CN,html,,403,公开网页；仅保存短证据摘录,True,True,,,nine streets and one town; high-age and pure-elderly households; snapshot_not_saved_http_403
src_03285eab743d,https://www.shanghai.gov.cn/nw12344/20200813/0001-12344_64944.html,https://www.shanghai.gov.cn/nw12344/20200813/0001-12344_64944.html,上海市水务局关于做好2020年度中心城区道路积水改善工程的通知,上海市水务局,government,A,2020-05-20,,2026-07-12,zh-CN,html,,403,公开网页；仅保存短证据摘录,True,True,,,11 road waterlogging improvement projects; six districts named; snapshot_not_saved_http_403
src_ac51213c7136,https://www.shanghai.gov.cn/sjzccs/20220510/fc55239ccfc4496aaea70ab369c35325.html,https://www.shanghai.gov.cn/sjzccs/20220510/fc55239ccfc4496aaea70ab369c35325.html,上海地铁6号线和16号线全线停止运营服务,上海市交通委员会,government,A,2022-05-10,,2026-07-12,zh-CN,html,,403,公开网页；仅保存短证据摘录,True,True,,,specific metro service suspension; snapshot_not_saved_http_403
src_35ba77340f09,https://www.shanghai.gov.cn/sjzccs/20220531/117e2dbdfe770880a82878f7e83ef.html,https://www.shanghai.gov.cn/sjzccs/20220531/117e2dbdfe770880a82878f7e83ef.html,6月1日起，本市公共交通按照全网恢复、动态调整要求安全有序恢复运行,上海市交通委员会,government,A,2022-05-31,,2026-07-12,zh-CN,html,,403,公开网页；仅保存短证据摘录,True,True,,,network recovery and route exceptions; snapshot_not_saved_http_403
src_ee94e39effbb,https://www.shanghai.gov.cn/cmsres/7d/7d16fa3077d94596aea78e81bd6158a2/b783f7892cbabcde89c5aaf0d652f864.pdf,https://www.shanghai.gov.cn/cmsres/7d/7d16fa3077d94596aea78e81bd6158a2/b783f7892cbabcde89c5aaf0d652f864.pdf,松江区防汛防台专项应急预案,松江区人民政府,government,A,2022-06-01,,2026-07-12,zh-CN,pdf,,403,公开网页；仅保存短证据摘录,True,True,,,"traffic controls, underpass closures and passenger evacuation measures; snapshot_not_saved_http_403"
src_702eca0eb8a0,https://www.shrcb.com/shrcb/2024-08/08/article_2024080809291951330.html,https://www.shrcb.com/shrcb/2024-08/08/article_2024080809291951330.html,2024年滴滴出行满减活动细则,上海农商银行,mainstream_media_or_bank,B,2024-08-08,,2026-07-12,zh-CN,html,,200,公开网页；仅保存短证据摘录,False,False,9eb176bcc78d59f321b93ee57ce54d902473d90aca5bce2340cc7c9e436112b4,data/raw/webpages/src_702eca0eb8a0.html,Shanghai cardholder coupon rule; app and WeChat mini-program
src_66a0cd939597,https://www.shlgbj.gov.cn/view/8192,https://www.shlgbj.gov.cn/view/8192,上海老干部APP联合申程出行推出一键叫车服务,上海市老干部局,government,A,2022-01-01,,2026-07-12,zh-CN,html,,200,公开网页；仅保存短证据摘录,True,True,8d2422be019b653cf14e391c4d441e24d8a394dcd5e82c592b2dca3a1ad32943,data/raw/webpages/src_66a0cd939597.html,official platform collaboration and offers
src_05c9249c1245,https://www.shanghai.gov.cn/nw12344/20200813/0001-12344_65101.html,https://www.shanghai.gov.cn/nw12344/20200813/0001-12344_65101.html,上海市民政局关于在本市实施经济困难的高龄独居老年人应急呼叫项目全覆盖的通知,上海市民政局,government,A,2020-06-15,,2026-07-12,zh-CN,html,,403,公开网页；仅保存短证据摘录,True,True,,,"historical one-key emergency call coverage, active care frequency and package fees; snapshot_not_saved_http_403"
src_85d935a94de3,https://www.shanghai.gov.cn/nw45144/20200916/0001-45144_61310.html,https://www.shanghai.gov.cn/nw45144/20200916/0001-45144_61310.html,7月30日中央生态环保督察群众信访举报转办和边督边改公开情况,上海市政府智能检索转链页面,government,A,,,2026-07-12,zh-CN,html,,200,公开网页；保留短证据摘录,True,True,3a987db9483fe1dbd442fade8419727539eb1d628a4a9493b8dd479e8b616072,,opened via official Shanghai smart-search endpoint
src_008e5eda9d43,https://www.shanghai.gov.cn/gwk/search/content/21acbe9c960844b299d1b55296ad8c39,https://www.shanghai.gov.cn/gwk/search/content/21acbe9c960844b299d1b55296ad8c39,关于2022年度上海市区管道路交通设施管理检查情况通报,上海市政府智能检索转链页面,government,A,,,2026-07-12,zh-CN,html,,200,公开网页；保留短证据摘录,True,True,e898a05215c907515a6d329f2f3772c8ec5e7460f1fd5cce221e1505493de444,,opened via official Shanghai smart-search endpoint
src_280a9818adc9,https://www.shanghai.gov.cn/nw45144/20200916/0001-45144_59548.html,https://www.shanghai.gov.cn/nw45144/20200916/0001-45144_59548.html,7月13日中央生态环保督察群众信访举报转办和边督边改公开情况,上海市政府智能检索转链页面,government,A,,,2026-07-12,zh-CN,html,,200,公开网页；保留短证据摘录,True,True,16010e89d8c37df369afd4f931f9e35ef4b0c75b15ba218df4097ac13ffc093f,,opened via official Shanghai smart-search endpoint
src_e47540a32f63,https://www.shanghai.gov.cn/nw12344/20200813/0001-12344_55561.html,https://www.shanghai.gov.cn/nw12344/20200813/0001-12344_55561.html,上海市水务局关于印发《社会投资项目地下公共工程防汛影响专项论证办事指南》的通知,上海市政府智能检索转链页面,government,A,,,2026-07-12,zh-CN,html,,200,公开网页；保留短证据摘录,True,True,2cc8c6c0def78f32c1110f6cc4a336cf8cce843dab734cebfa7a2b4c53208652,,opened via official Shanghai smart-search endpoint
src_4a3e03f43959,https://www.shanghai.gov.cn/nw45144/20200916/0001-45144_61342.html,https://www.shanghai.gov.cn/nw45144/20200916/0001-45144_61342.html,8月5日中央生态环保督察群众信访举报转办和边督边改公开情况,上海市政府智能检索转链页面,government,A,,,2026-07-12,zh-CN,html,,200,公开网页；保留短证据摘录,True,True,2d0f200bec249ce314456c119001bb7b6ef17ededb8307b30e97e3fdac8c1f50,,opened via official Shanghai smart-search endpoint
src_47c16f9cb79a,https://www.shanghai.gov.cn/nw45144/20200916/0001-45144_61369.html,https://www.shanghai.gov.cn/nw45144/20200916/0001-45144_61369.html,8月8日中央生态环保督察群众信访举报转办和边督边改公开情况,上海市政府智能检索转链页面,government,A,,,2026-07-12,zh-CN,html,,200,公开网页；保留短证据摘录,True,True,dd56bd08f92893aa7b746e97b7e56eaaa35d12378b19f1d7887013cc7439b9e8,,opened via official Shanghai smart-search endpoint
src_6e1bbb01e608,https://www.shanghai.gov.cn/nw45144/20200916/0001-45144_61371.html,https://www.shanghai.gov.cn/nw45144/20200916/0001-45144_61371.html,8月10日中央生态环保督察群众信访举报转办和边督边改公开情况,上海市政府智能检索转链页面,government,A,,,2026-07-12,zh-CN,html,,200,公开网页；保留短证据摘录,True,True,1f7a38c0c6a7ff9b495f7922772bd119aa267521a3ff7bd97c85c36652aaa490,,opened via official Shanghai smart-search endpoint
src_96395eb67d3f,https://www.shanghai.gov.cn/nw45144/20200916/0001-45144_61295.html,https://www.shanghai.gov.cn/nw45144/20200916/0001-45144_61295.html,7月28日中央生态环保督察群众信访举报转办和边督边改公开情况,上海市政府智能检索转链页面,government,A,,,2026-07-12,zh-CN,html,,200,公开网页；保留短证据摘录,True,True,735d45928be4fdc9340a389754dd289bdc0f31f47f5449c95f8f42790577ed0c,,opened via official Shanghai smart-search endpoint
src_e00d1d514b2c,https://www.shanghai.gov.cn/nw45144/20200916/0001-45144_61331.html,https://www.shanghai.gov.cn/nw45144/20200916/0001-45144_61331.html,8月2日中央生态环保督察群众信访举报转办和边督边改公开情况,上海市政府智能检索转链页面,government,A,,,2026-07-12,zh-CN,html,,200,公开网页；保留短证据摘录,True,True,74192507ef83c671a771a1f2e31903efe0acff5534e22da4713aaa2203da1bad,,opened via official Shanghai smart-search endpoint
src_5df5ba5fb25e,https://www.shanghai.gov.cn/nw31406/20250930/32b9856a536f4b26bfdd7c9bd6ca3049.html,https://www.shanghai.gov.cn/nw31406/20250930/32b9856a536f4b26bfdd7c9bd6ca3049.html,艇力同聚 延续精彩 2025上海赛艇公开赛拉开帷幕,上海市政府智能检索转链页面,government,A,,,2026-07-12,zh-CN,html,,200,公开网页；保留短证据摘录,True,True,d77e8e7dbfa85906c7d01c4451ab373cc03c4618b4378d8d9d6d87c12e58cd47,,opened via official Shanghai smart-search endpoint
src_6dd37e7a0f6c,https://www.shanghai.gov.cn/nw12344/20200813/0001-12344_64959.html,https://www.shanghai.gov.cn/nw12344/20200813/0001-12344_64959.html,上海市人民政府办公厅印发关于本市推进智慧气象保障城市精细化管理实施意见的通知,上海市政府智能检索转链页面,government,A,,,2026-07-12,zh-CN,html,,200,公开网页；保留短证据摘录,True,True,f4336d912da161aa1bca3c1dcbb6550a594d448050e5230615be0dcf06947832,,opened via official Shanghai smart-search endpoint
src_04661daee22c,https://www.shanghai.gov.cn/zxsjsj/20250606/0a34b4227e55447c92f429363c5547a7.html,https://www.shanghai.gov.cn/zxsjsj/20250606/0a34b4227e55447c92f429363c5547a7.html,关于印发《上海市水务海洋行业城市数字化转型实施意见（2021-2023）》的通知,上海市政府智能检索转链页面,government,A,,,2026-07-12,zh-CN,html,,200,公开网页；保留短证据摘录,True,True,aeda18836c088b336274f7afe7ce4a65f1f664b4da62c21fe02b41f8e8431f94,,opened via official Shanghai smart-search endpoint
src_df96f287847b,https://www.shanghai.gov.cn/gwk/search/content/84271ae798874198aa403cefce3c42bd,https://www.shanghai.gov.cn/gwk/search/content/84271ae798874198aa403cefce3c42bd,上海市应急管理局关于印发上海市应急 管理局2022年工作要点的通知,上海市政府智能检索转链页面,government,A,,,2026-07-12,zh-CN,html,,200,公开网页；保留短证据摘录,True,True,a558d10720aec4a3a93e8931954548d09ba8097783bf33d678e0800268971136,,opened via official Shanghai smart-search endpoint
src_5b51101f1a31,https://www.shanghai.gov.cn/gwk/search/content/59b93e6868784f47b77745e86de4e554,https://www.shanghai.gov.cn/gwk/search/content/59b93e6868784f47b77745e86de4e554,上海市自然灾害防治委员会办公室关于上海市2023年全国防灾减灾日相关工作总结的报告,上海市政府智能检索转链页面,government,A,,,2026-07-12,zh-CN,html,,200,公开网页；保留短证据摘录,True,True,88cda7a03bc55b24ff2dd75293bdf3ceb8a89af8bc3fda1a389d765b7da74136,,opened via official Shanghai smart-search endpoint
src_ae34edc7b5b8,https://www.shanghai.gov.cn/gwk/search/content/a52cf30d5a5a4be897edf0051049398a,https://www.shanghai.gov.cn/gwk/search/content/a52cf30d5a5a4be897edf0051049398a,上海市防灾减灾救灾委员会办公室关于上海市2025年全国防灾减灾日相关工作总结的报告,上海市政府智能检索转链页面,government,A,,,2026-07-12,zh-CN,html,,200,公开网页；保留短证据摘录,True,True,70159344b5d30a52ad4ea7ab1274479b3342b103a1f33b05f633db8c78da68ba,,opened via official Shanghai smart-search endpoint
src_9534b9317db1,https://www.shanghai.gov.cn/nw45144/20200916/0001-45144_61313.html,https://www.shanghai.gov.cn/nw45144/20200916/0001-45144_61313.html,7月31日中央生态环保督察群众信访举报转办和边督边改公开情况,上海市政府智能检索转链页面,government,A,,,2026-07-12,zh-CN,html,,200,公开网页；保留短证据摘录,True,True,bbe2ee036e46e402da55c89a5e4b183dcedebc736a6dee4a8c359209687e3e05,,opened via official Shanghai smart-search endpoint
src_fe221b98c2aa,https://www.shanghai.gov.cn/nw45144/20200824/0001-45144_59546.html,https://www.shanghai.gov.cn/nw45144/20200824/0001-45144_59546.html,7月11日中央生态环保督察群众信访举报转办和边督边改公开情况,上海市政府智能检索转链页面,government,A,,,2026-07-12,zh-CN,html,,200,公开网页；保留短证据摘录,True,True,0758cf1d90ce900e60bf0170953ee0b181832a8c31469475877e95dbbb80b5a7,,opened via official Shanghai smart-search endpoint
