policy,weather_scenario,metric,mean,ci95_half_width,seed_count
C0_no_coupon,W0,ride_hailing_requests,23.500000,3.818696,10
C0_no_coupon,W0,successful_ride_hailing_requests,23.500000,3.818696,10
C0_no_coupon,W0,failed_ride_hailing_requests,0.000000,0.000000,10
C0_no_coupon,W0,ride_hailing_mode_share,0.059433,0.009236,10
C0_no_coupon,W0,necessary_activity_completion_rate,0.977543,0.009406,10
C0_no_coupon,W0,transport_unmet,0.000000,0.000000,10
C0_no_coupon,W0,coupon_reached,0.000000,0.000000,10
C0_no_coupon,W0,coupon_participated,0.000000,0.000000,10
C0_no_coupon,W0,coupon_awarded,0.000000,0.000000,10
C0_no_coupon,W0,coupon_redeemed,0.000000,0.000000,10
C0_no_coupon,W0,coupon_induced_requests,0.000000,0.000000,10
C0_no_coupon,W0,coupon_subsidy_yuan,0.000000,0.000000,10
C0_no_coupon,W0,total_heat_risk_burden,0.000000,0.000000,10
C0_no_coupon,W1,ride_hailing_requests,26.800000,4.742414,10
C0_no_coupon,W1,successful_ride_hailing_requests,26.800000,4.742414,10
C0_no_coupon,W1,failed_ride_hailing_requests,0.000000,0.000000,10
C0_no_coupon,W1,ride_hailing_mode_share,0.069144,0.011413,10
C0_no_coupon,W1,necessary_activity_completion_rate,0.977543,0.009406,10
C0_no_coupon,W1,transport_unmet,0.000000,0.000000,10
C0_no_coupon,W1,coupon_reached,0.000000,0.000000,10
C0_no_coupon,W1,coupon_participated,0.000000,0.000000,10
C0_no_coupon,W1,coupon_awarded,0.000000,0.000000,10
C0_no_coupon,W1,coupon_redeemed,0.000000,0.000000,10
C0_no_coupon,W1,coupon_induced_requests,0.000000,0.000000,10
C0_no_coupon,W1,coupon_subsidy_yuan,0.000000,0.000000,10
C0_no_coupon,W1,total_heat_risk_burden,56992.092121,1745.317401,10
C0_no_coupon,W2,ride_hailing_requests,56.400000,5.138276,10
C0_no_coupon,W2,successful_ride_hailing_requests,55.200000,4.608661,10
C0_no_coupon,W2,failed_ride_hailing_requests,1.200000,0.941746,10
