policy,weather_scenario,group,metric,mean,ci95_half_width,seed_count
C0_no_coupon,W0,18-39,necessary_activity_completion_rate,0.980802,0.008257,10
C0_no_coupon,W0,18-39,ride_hailing_requests,17.900000,3.731348,10
C0_no_coupon,W0,18-39,failed_ride_hailing_requests,0.000000,0.000000,10
C0_no_coupon,W0,18-39,coupon_redeemed,0.000000,0.000000,10
C0_no_coupon,W0,18-39,total_heat_risk_burden,0.000000,0.000000,10
C0_no_coupon,W0,40-59,necessary_activity_completion_rate,0.969580,0.019621,10
C0_no_coupon,W0,40-59,ride_hailing_requests,5.300000,1.350902,10
C0_no_coupon,W0,40-59,failed_ride_hailing_requests,0.000000,0.000000,10
C0_no_coupon,W0,40-59,coupon_redeemed,0.000000,0.000000,10
C0_no_coupon,W0,40-59,total_heat_risk_burden,0.000000,0.000000,10
C0_no_coupon,W0,60+_digital,necessary_activity_completion_rate,1.000000,0.000000,10
C0_no_coupon,W0,60+_digital,ride_hailing_requests,0.200000,0.301600,10
C0_no_coupon,W0,60+_digital,failed_ride_hailing_requests,0.000000,0.000000,10
C0_no_coupon,W0,60+_digital,coupon_redeemed,0.000000,0.000000,10
C0_no_coupon,W0,60+_digital,total_heat_risk_burden,0.000000,0.000000,10
C0_no_coupon,W0,60+_nondigital_assisted,necessary_activity_completion_rate,1.000000,0.000000,10
C0_no_coupon,W0,60+_nondigital_assisted,ride_hailing_requests,0.100000,0.226200,10
C0_no_coupon,W0,60+_nondigital_assisted,failed_ride_hailing_requests,0.000000,0.000000,10
C0_no_coupon,W0,60+_nondigital_assisted,coupon_redeemed,0.000000,0.000000,10
C0_no_coupon,W0,60+_nondigital_assisted,total_heat_risk_burden,0.000000,0.000000,10
C0_no_coupon,W0,60+_nondigital_unassisted,necessary_activity_completion_rate,1.000000,0.000000,10
C0_no_coupon,W0,60+_nondigital_unassisted,ride_hailing_requests,0.000000,0.000000,10
C0_no_coupon,W0,60+_nondigital_unassisted,failed_ride_hailing_requests,0.000000,0.000000,10
