policy,baseline_policy,weather_scenario,metric,paired_mean_change,ci95_low,ci95_high,seed_count
C1_public_limited,C0_no_coupon,W0,ride_hailing_requests,5.600000,3.657078,7.542922,10
C1_public_limited,C0_no_coupon,W0,failed_ride_hailing_requests,0.200000,-0.252400,0.652400,10
C1_public_limited,C0_no_coupon,W0,ride_hailing_mode_share,0.013641,0.008610,0.018672,10
C1_public_limited,C0_no_coupon,W0,necessary_activity_completion_rate,-0.000014,-0.002316,0.002288,10
C1_public_limited,C0_no_coupon,W0,transport_unmet,0.000000,0.000000,0.000000,10
C1_public_limited,C0_no_coupon,W0,coupon_redeemed,9.700000,7.647513,11.752487,10
C1_public_limited,C0_no_coupon,W0,coupon_subsidy_yuan,66.945000,53.199182,80.690818,10
C1_public_limited,C0_no_coupon,W0,total_heat_risk_burden,0.000000,0.000000,0.000000,10
C1_public_limited,C0_no_coupon,W1,ride_hailing_requests,5.700000,3.914118,7.485882,10
C1_public_limited,C0_no_coupon,W1,failed_ride_hailing_requests,0.200000,-0.252400,0.652400,10
C1_public_limited,C0_no_coupon,W1,ride_hailing_mode_share,0.014237,0.009244,0.019230,10
C1_public_limited,C0_no_coupon,W1,necessary_activity_completion_rate,-0.000014,-0.002316,0.002288,10
C1_public_limited,C0_no_coupon,W1,transport_unmet,0.000000,0.000000,0.000000,10
C1_public_limited,C0_no_coupon,W1,coupon_redeemed,10.300000,8.062004,12.537996,10
C1_public_limited,C0_no_coupon,W1,coupon_subsidy_yuan,70.333000,55.047380,85.618620,10
C1_public_limited,C0_no_coupon,W1,total_heat_risk_burden,-266.601406,-398.622338,-134.580475,10
C1_public_limited,C0_no_coupon,W2,ride_hailing_requests,8.400000,6.428034,10.371966,10
C1_public_limited,C0_no_coupon,W2,failed_ride_hailing_requests,0.600000,-0.168932,1.368932,10
C1_public_limited,C0_no_coupon,W2,ride_hailing_mode_share,0.020946,0.016518,0.025373,10
C1_public_limited,C0_no_coupon,W2,necessary_activity_completion_rate,0.001351,-0.001705,0.004408,10
C1_public_limited,C0_no_coupon,W2,transport_unmet,0.000000,0.000000,0.000000,10
C1_public_limited,C0_no_coupon,W2,coupon_redeemed,16.300000,13.914451,18.685549,10
C1_public_limited,C0_no_coupon,W2,coupon_subsidy_yuan,117.196000,94.895483,139.496517,10
C1_public_limited,C0_no_coupon,W2,total_heat_risk_burden,0.000000,0.000000,0.000000,10
C2_elder_limited,C0_no_coupon,W0,ride_hailing_requests,0.500000,-0.005799,1.005799,10
C2_elder_limited,C0_no_coupon,W0,failed_ride_hailing_requests,0.000000,0.000000,0.000000,10
C2_elder_limited,C0_no_coupon,W0,ride_hailing_mode_share,0.001245,-0.000002,0.002492,10
C2_elder_limited,C0_no_coupon,W0,necessary_activity_completion_rate,0.000000,0.000000,0.000000,10
C2_elder_limited,C0_no_coupon,W0,transport_unmet,0.000000,0.000000,0.000000,10
C2_elder_limited,C0_no_coupon,W0,coupon_redeemed,0.800000,0.235758,1.364242,10
C2_elder_limited,C0_no_coupon,W0,coupon_subsidy_yuan,3.454000,0.863534,6.044466,10
C2_elder_limited,C0_no_coupon,W0,total_heat_risk_burden,0.000000,0.000000,0.000000,10
C2_elder_limited,C0_no_coupon,W1,ride_hailing_requests,0.700000,0.111107,1.288893,10
C2_elder_limited,C0_no_coupon,W1,failed_ride_hailing_requests,0.000000,0.000000,0.000000,10
C2_elder_limited,C0_no_coupon,W1,ride_hailing_mode_share,0.001816,0.000287,0.003346,10
C2_elder_limited,C0_no_coupon,W1,necessary_activity_completion_rate,0.000000,0.000000,0.000000,10
C2_elder_limited,C0_no_coupon,W1,transport_unmet,0.000000,0.000000,0.000000,10
C2_elder_limited,C0_no_coupon,W1,coupon_redeemed,1.600000,1.230617,1.969383,10
C2_elder_limited,C0_no_coupon,W1,coupon_subsidy_yuan,6.767000,5.233011,8.300989,10
C2_elder_limited,C0_no_coupon,W1,total_heat_risk_burden,-158.242240,-295.227894,-21.256586,10
C2_elder_limited,C0_no_coupon,W2,ride_hailing_requests,1.000000,0.325602,1.674398,10
C2_elder_limited,C0_no_coupon,W2,failed_ride_hailing_requests,0.000000,0.000000,0.000000,10
C2_elder_limited,C0_no_coupon,W2,ride_hailing_mode_share,0.002646,0.000852,0.004440,10
C2_elder_limited,C0_no_coupon,W2,necessary_activity_completion_rate,0.000000,0.000000,0.000000,10
C2_elder_limited,C0_no_coupon,W2,transport_unmet,0.000000,0.000000,0.000000,10
C2_elder_limited,C0_no_coupon,W2,coupon_redeemed,1.300000,0.711107,1.888893,10
C2_elder_limited,C0_no_coupon,W2,coupon_subsidy_yuan,5.987000,3.159554,8.814446,10
C2_elder_limited,C0_no_coupon,W2,total_heat_risk_burden,0.000000,0.000000,0.000000,10
C3_mixed,C0_no_coupon,W0,ride_hailing_requests,4.000000,2.280615,5.719385,10
C3_mixed,C0_no_coupon,W0,failed_ride_hailing_requests,0.200000,-0.252400,0.652400,10
C3_mixed,C0_no_coupon,W0,ride_hailing_mode_share,0.009567,0.005214,0.013921,10
C3_mixed,C0_no_coupon,W0,necessary_activity_completion_rate,-0.000014,-0.002316,0.002288,10
C3_mixed,C0_no_coupon,W0,transport_unmet,0.000000,0.000000,0.000000,10
C3_mixed,C0_no_coupon,W0,coupon_redeemed,6.300000,4.752921,7.847079,10
C3_mixed,C0_no_coupon,W0,coupon_subsidy_yuan,43.743000,33.724033,53.761967,10
C3_mixed,C0_no_coupon,W0,total_heat_risk_burden,0.000000,0.000000,0.000000,10
C3_mixed,C0_no_coupon,W1,ride_hailing_requests,4.100000,2.863348,5.336652,10
C3_mixed,C0_no_coupon,W1,failed_ride_hailing_requests,0.200000,-0.252400,0.652400,10
