weather_scenario,day_type,policy,agent_id,activity_id,activity_purpose,is_mandatory,origin_zone,destination_zone,final_status,weather_cancelled,transport_unmet,completed,transport_succeeded,activity_completed,late_but_reached,mandatory_activity_incomplete,completion_failure_reason,actual_arrival_time,arrival_delay_minutes,on_time_arrival
W2,workday,P0_no_policy,1,activity-1-2026-07-07-002,work,True,Z3,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 08:52:10.197420,0.0,True
W2,workday,P0_no_policy,2,activity-2-2026-07-07-003,work,True,Z7,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 10:20:51.743220,0.0,True
W2,workday,P0_no_policy,3,activity-3-2026-07-07-002,work,True,Z2,Z3,completed,False,False,True,True,True,False,False,,2026-07-07 08:55:00,0.0,True
W2,workday,P0_no_policy,4,activity-4-2026-07-07-003,work,True,Z4,Z4,completed,False,False,True,True,True,False,False,,2026-07-07 10:00:38.016840,0.0,True
W2,workday,P0_no_policy,5,activity-5-2026-07-07-002,work,True,Z4,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 10:25:59.854800,0.0,True
W2,workday,P0_no_policy,7,activity-7-2026-07-07-002,work,True,Z1,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 09:25:00,0.0,True
W2,workday,P0_no_policy,8,activity-8-2026-07-07-002,work,True,Z6,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 08:29:42.067680,0.0,True
W2,workday,P0_no_policy,9,activity-9-2026-07-07-002,work,True,Z7,Z3,completed,False,False,True,True,True,False,False,,2026-07-07 08:55:11.640000,0.0,True
W2,workday,P0_no_policy,10,activity-10-2026-07-07-003,work,True,Z5,Z3,completed,False,False,True,True,True,False,False,,2026-07-07 09:55:59.854800,0.0,True
W2,workday,P0_no_policy,10,activity-10-2026-07-07-004,social_leisure,False,Z3,Z5,completed,False,False,True,True,True,False,False,,2026-07-07 21:22:10.368780,0.0,True
W2,workday,P0_no_policy,11,activity-11-2026-07-07-004,work,True,Z5,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 08:55:00,0.0,True
W2,workday,P0_no_policy,12,activity-12-2026-07-07-002,work,True,Z5,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 07:02:14.625180,0.0,True
