agent_id,day_type,age_group,digital_access,family_assistance,nondigital_unassisted,coupon_policy,coupon_eligible,coupon_reached,coupon_participated,coupon_awarded,public_coupon_participated,elder_reserve_reached,coupon_pool_type,coupon_allocation_rank,coupon_access_channel,public_participation_probability,public_participation_draw,public_dispatch_rank,elder_reserve_rank,community_phone_covered,community_phone_coverage_draw,pg_official_parent_agent_class,pg_adapter_agent_class,pg_num_rounds,pg_initial_endowment,pg_public_pool_multiplier,pg_round_contributions,pg_final_contribution,pg_total_contribution,pg_cumulative_payoff,pg_need_score,pg_cooperation_score,pg_priority_score,pg_peer_feedback_source_count,pg_peer_signal_round_2,pg_peer_signal_round_3,pg_linked_decision,pg_physical_coupon_pool,pg_coupons_created_by_multiplier,pg_allocation_reason
1,workday,18-39,True,False,False,C4_public_goods,True,True,True,False,True,False,,,digital_self,0.8,0.5939598425686331,0.572419302617449,,False,0.03810914017187781,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,0|0|0,0,0,60.55873,0.1,0.0,0.065,125,0.010317,0.00619,True,40,0,below_priority_cutoff
2,workday,18-39,True,False,False,C4_public_goods,True,True,True,False,True,False,,,digital_self,0.8,0.04845672517537915,0.5130580195364726,,False,0.8570713100959942,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,0|0|0,0,0,60.55873,0.1,0.0,0.065,125,0.010317,0.00619,True,40,0,below_priority_cutoff
3,workday,18-39,True,False,False,C4_public_goods,True,True,True,False,True,False,,,digital_self,0.8,0.48787893361776247,0.6378065374026948,,False,0.3478208964999384,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,0|0|0,0,0,60.55873,0.1,0.0,0.065,125,0.010317,0.00619,True,40,0,below_priority_cutoff
4,workday,18-39,True,False,False,C4_public_goods,True,True,False,False,False,False,,,digital_self,0.8,0.9410662517607734,,,False,0.9497174947289216,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,,0,0,0,0.0,0.0,0.0,0,,,False,40,0,did_not_participate
5,workday,18-39,True,False,False,C4_public_goods,True,True,False,False,False,False,,,digital_self,0.8,0.8838511259130615,,,False,0.7687184437515255,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,,0,0,0,0.0,0.0,0.0,0,,,False,40,0,did_not_participate
6,workday,18-39,True,False,False,C4_public_goods,True,True,False,False,False,False,,,digital_self,0.8,0.8608206392806941,,,False,0.9739464621814261,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,,0,0,0,0.0,0.0,0.0,0,,,False,40,0,did_not_participate
7,workday,18-39,True,False,False,C4_public_goods,True,True,True,False,True,False,,,digital_self,0.8,0.69996024125927,0.7504348351156203,,False,0.7128811124032639,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,0|0|0,0,0,60.55873,0.1,0.0,0.065,125,0.010317,0.00619,True,40,0,below_priority_cutoff
8,workday,18-39,True,False,False,C4_public_goods,True,True,True,False,True,False,,,digital_self,0.8,0.2870469974139611,0.10703893672164966,,False,0.25161914234348903,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,0|0|0,0,0,60.55873,0.1,0.0,0.065,125,0.010317,0.00619,True,40,0,below_priority_cutoff
9,workday,18-39,True,False,False,C4_public_goods,True,True,True,False,True,False,,,digital_self,0.8,0.15151884055292555,0.2195342320861421,,False,0.6380426101357464,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,0|0|0,0,0,60.55873,0.1,0.0,0.065,125,0.010317,0.00619,True,40,0,below_priority_cutoff
10,workday,18-39,True,False,False,C4_public_goods,True,True,True,False,True,False,,,digital_self,0.8,0.7434445937138578,0.9217234447004299,,False,0.6997250916794628,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,0|0|0,0,0,60.55873,0.1,0.0,0.065,125,0.010317,0.00619,True,40,0,below_priority_cutoff
11,workday,18-39,True,False,False,C4_public_goods,True,True,True,False,True,False,,,digital_self,0.8,0.4939286544165568,0.806147948425163,,False,0.5195908424772729,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,0|0|0,0,0,60.55873,0.1,0.0,0.065,125,0.010317,0.00619,True,40,0,below_priority_cutoff
12,workday,18-39,True,False,False,C4_public_goods,True,True,True,False,True,False,,,digital_self,0.8,0.33750582499981596,0.17255251114398776,,False,0.5905923050798559,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,0|0|0,0,0,60.55873,0.1,0.0,0.065,125,0.010317,0.00619,True,40,0,below_priority_cutoff
13,workday,18-39,True,False,False,C4_public_goods,True,True,True,False,True,False,,,digital_self,0.8,0.5108715621983808,0.07614758203560329,,False,0.9537103129073512,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,0|0|0,0,0,60.55873,0.1,0.0,0.065,125,0.010317,0.00619,True,40,0,below_priority_cutoff
14,workday,18-39,True,False,False,C4_public_goods,True,True,True,False,True,False,,,digital_self,0.8,0.7251939816192634,0.6342437200842046,,False,0.04361270920100381,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,0|0|0,0,0,60.55873,0.1,0.0,0.065,125,0.010317,0.00619,True,40,0,below_priority_cutoff
15,workday,18-39,True,False,False,C4_public_goods,True,True,True,False,True,False,,,digital_self,0.8,0.08087220572797246,0.5166296219851794,,False,0.33554657881435584,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,0|0|0,0,0,60.55873,0.1,0.0,0.065,125,0.010317,0.00619,True,40,0,below_priority_cutoff
16,workday,18-39,True,False,False,C4_public_goods,True,True,True,False,True,False,,,digital_self,0.8,0.1946253570127669,0.23946376849627152,,False,0.12978025438950702,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,0|0|0,0,0,60.55873,0.1,0.0,0.065,125,0.010317,0.00619,True,40,0,below_priority_cutoff
