decision_sequence,agent_id,age_group,digital_access,leg_id,purpose,origin_zone,destination_zone,departure_time,weather_scenario,shared_state_key,state_version_before,state_version_after,base_road_flow_pcu_per_hour,endogenous_flow_before,endogenous_flow_after,prior_influencer_count,prior_influencer_leg_ids,mode_probabilities_without_prior_agents,mode_probabilities_with_prior_agents,probability_delta_from_prior_agents,maximum_absolute_probability_delta,affected_by_prior_agents,coupon_awarded,coupon_available_at_choice,coupon_binding_rule,coupon_bound_to_ride_hailing,chosen_mode,chosen_probability,llm_reason,api_decision_succeeded,api_call_attempted,published_traffic_event
1,102,40-59,True,102-2026-07-07-L01,work,Z4,Z2,2026-07-07 06:00:00,W2,nine_zone_representative|all|2026-07-07T06:00,0,0,24.0,0.0,0.0,0,[],"{""walk"": 0.0, ""bus"": 0.760713054, ""metro"": 0.002047198, ""ride_hailing"": 0.237239747}","{""walk"": 0.0, ""bus"": 0.760713054, ""metro"": 0.002047198, ""ride_hailing"": 0.237239747}","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.0, ""ride_hailing"": 0.0}",0.0,False,False,False,first_trip_decision_only,False,bus,0.760713054,作为常规上班族，公交费用低且概率最高，适合通勤出行。,True,True,False
2,12,18-39,True,12-2026-07-07-L01,work,Z5,Z7,2026-07-07 06:17:38.880000,W2,nine_zone_representative|all|2026-07-07T06:00,0,1,24.0,0.0,30.0,0,[],"{""walk"": 0.0, ""bus"": 0.215308106, ""metro"": 0.312318361, ""ride_hailing"": 0.472373533}","{""walk"": 0.0, ""bus"": 0.215308106, ""metro"": 0.312318361, ""ride_hailing"": 0.472373533}","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.0, ""ride_hailing"": 0.0}",0.0,False,False,False,first_trip_decision_only,False,ride_hailing,0.472373533,作为上班族，我需要准时到达工作地点，网约车时间最短且等待时间合理，虽然费用较高但能保证通勤效率。,True,True,True
3,73,18-39,True,73-2026-07-07-L01,work,Z4,Z7,2026-07-07 06:18:56.100000,W2,nine_zone_representative|all|2026-07-07T06:00,1,2,24.0,30.0,60.0,1,"[""12-2026-07-07-L01""]","{""walk"": 0.0, ""bus"": 0.226741009, ""metro"": 0.259736702, ""ride_hailing"": 0.513522289}","{""walk"": 0.0, ""bus"": 0.212976838, ""metro"": 0.265614343, ""ride_hailing"": 0.52140882}","{""walk"": 0.0, ""bus"": -0.013764171, ""metro"": 0.00587764, ""ride_hailing"": 0.007886531}",0.013764171,True,False,False,first_trip_decision_only,False,ride_hailing,0.52140882,作为上班族，我选择网约车以节省时间，尽管费用较高，但43分钟的通勤时间远快于地铁和公交，且等待时间较短。,True,True,True
4,27,18-39,True,27-2026-07-07-L01,work,Z5,Z1,2026-07-07 06:24:22.140000,W2,nine_zone_representative|all|2026-07-07T06:00,2,2,24.0,60.0,60.0,2,"[""12-2026-07-07-L01"", ""73-2026-07-07-L01""]","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.999968659, ""ride_hailing"": 3.1341e-05}","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.999972865, ""ride_hailing"": 2.7135e-05}","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 4.206e-06, ""ride_hailing"": -4.206e-06}",4.206e-06,True,False,False,first_trip_decision_only,False,metro,0.999972865,"Metro is fastest, cheapest, and most reliable for work commute with high model probability.",True,True,False
5,69,18-39,True,69-2026-07-07-L01,work,Z9,Z9,2026-07-07 06:25:00.480000,W2,nine_zone_representative|all|2026-07-07T06:00,2,3,24.0,60.0,90.0,2,"[""12-2026-07-07-L01"", ""73-2026-07-07-L01""]","{""walk"": 0.0, ""bus"": 0.135741215, ""metro"": 0.0, ""ride_hailing"": 0.864258785}","{""walk"": 0.0, ""bus"": 0.12844099, ""metro"": 0.0, ""ride_hailing"": 0.87155901}","{""walk"": 0.0, ""bus"": -0.007300226, ""metro"": 0.0, ""ride_hailing"": 0.007300226}",0.007300226,True,False,False,first_trip_decision_only,False,ride_hailing,0.87155901,作为上班族，我选择网约车，因为它比公交快得多，能确保准时上班，且天气良好适合短时户外等待。,True,True,True
6,95,40-59,True,95-2026-07-07-L01,work,Z5,Z1,2026-07-07 06:30:00,W2,nine_zone_representative|all|2026-07-07T06:30,0,0,24.0,0.0,0.0,0,[],"{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.975196059, ""ride_hailing"": 0.024803941}","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.975196059, ""ride_hailing"": 0.024803941}","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.0, ""ride_hailing"": 0.0}",0.0,False,False,False,first_trip_decision_only,False,metro,0.975196059,作为常规工作者，地铁票价仅10元远低于网约车94元，且通勤时间140分钟在可接受范围内，性价比更高。,True,True,False
7,90,40-59,True,90-2026-07-07-L01,work,Z7,Z1,2026-07-07 06:33:08.220000,W2,nine_zone_representative|all|2026-07-07T06:30,0,0,24.0,0.0,0.0,0,[],"{""walk"": 0.0, ""bus"": 0.372268641, ""metro"": 0.519731195, ""ride_hailing"": 0.108000164}","{""walk"": 0.0, ""bus"": 0.372268641, ""metro"": 0.519731195, ""ride_hailing"": 0.108000164}","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.0, ""ride_hailing"": 0.0}",0.0,False,False,False,first_trip_decision_only,False,metro,0.519731195,作为上班族，地铁通勤时间较短且费用适中，尽管有等待时间但整体可靠性高，适合早高峰出行。,True,True,False
8,42,18-39,True,42-2026-07-07-L01,work,Z4,Z7,2026-07-07 06:34:01.380000,W2,nine_zone_representative|all|2026-07-07T06:30,0,0,24.0,0.0,0.0,0,[],"{""walk"": 0.0, ""bus"": 0.20401761, ""metro"": 0.628944058, ""ride_hailing"": 0.167038331}","{""walk"": 0.0, ""bus"": 0.20401761, ""metro"": 0.628944058, ""ride_hailing"": 0.167038331}","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.0, ""ride_hailing"": 0.0}",0.0,False,False,False,first_trip_decision_only,False,metro,0.628944058,"Metro offers the best balance of travel time and cost for a regular worker commuting to work, despite a longer wait time.",True,True,False
9,64,18-39,True,64-2026-07-07-L01,work,Z4,Z7,2026-07-07 06:34:01.380000,W2,nine_zone_representative|all|2026-07-07T06:30,0,0,24.0,0.0,0.0,0,[],"{""walk"": 0.0, ""bus"": 0.20401761, ""metro"": 0.628944058, ""ride_hailing"": 0.167038331}","{""walk"": 0.0, ""bus"": 0.20401761, ""metro"": 0.628944058, ""ride_hailing"": 0.167038331}","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.0, ""ride_hailing"": 0.0}",0.0,False,False,False,first_trip_decision_only,False,metro,0.628944058,"Metro offers a balanced travel time and cost, with high probability and moderate outdoor exposure for a work trip.",True,True,False
10,39,18-39,True,39-2026-07-07-L01,work,Z6,Z6,2026-07-07 06:35:53.160000,W2,nine_zone_representative|all|2026-07-07T06:30,0,1,24.0,0.0,30.0,0,[],"{""walk"": 0.0, ""bus"": 0.283073651, ""metro"": 0.0, ""ride_hailing"": 0.716926349}","{""walk"": 0.0, ""bus"": 0.283073651, ""metro"": 0.0, ""ride_hailing"": 0.716926349}","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.0, ""ride_hailing"": 0.0}",0.0,False,False,False,first_trip_decision_only,False,ride_hailing,0.716926349,作为上班族，时间宝贵，网约车比公交快得多，且等待时间较短，能确保准时上班。,True,True,True
11,115,40-59,True,115-2026-07-07-L01,work,Z7,Z4,2026-07-07 06:37:22.080000,W2,nine_zone_representative|all|2026-07-07T06:30,1,1,24.0,30.0,30.0,1,"[""39-2026-07-07-L01""]","{""walk"": 0.0, ""bus"": 0.49861561, ""metro"": 0.294032257, ""ride_hailing"": 0.207352134}","{""walk"": 0.0, ""bus"": 0.48880285, ""metro"": 0.299641044, ""ride_hailing"": 0.211556106}","{""walk"": 0.0, ""bus"": -0.00981276, ""metro"": 0.005608788, ""ride_hailing"": 0.004203972}",0.00981276,True,False,False,first_trip_decision_only,False,bus,0.48880285,作为常规上班族，我选择最经济且时间合理的公交出行，虽然时间较长但费用最低，适合日常通勤。,True,True,False
12,85,40-59,True,85-2026-07-07-L01,work,Z6,Z6,2026-07-07 06:37:27.300000,W2,nine_zone_representative|all|2026-07-07T06:30,1,2,24.0,30.0,60.0,1,"[""39-2026-07-07-L01""]","{""walk"": 0.0, ""bus"": 0.337420416, ""metro"": 0.0, ""ride_hailing"": 0.662579584}","{""walk"": 0.0, ""bus"": 0.333088085, ""metro"": 0.0, ""ride_hailing"": 0.666911915}","{""walk"": 0.0, ""bus"": -0.004332331, ""metro"": 0.0, ""ride_hailing"": 0.004332331}",0.004332331,True,True,True,first_trip_decision_only,True,ride_hailing,0.666911915,作为有稳定工作的中年人，时间宝贵，网约车有优惠券且比公交快一倍多，适合准时上班。,True,True,True
13,41,18-39,True,41-2026-07-07-L01,work,Z3,Z7,2026-07-07 06:39:05.220000,W2,nine_zone_representative|all|2026-07-07T06:30,2,2,24.0,60.0,60.0,2,"[""39-2026-07-07-L01"", ""85-2026-07-07-L01""]","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.977482993, ""ride_hailing"": 0.022517007}","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.978263071, ""ride_hailing"": 0.021736929}","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.000780078, ""ride_hailing"": -0.000780078}",0.000780078,True,False,False,first_trip_decision_only,False,metro,0.978263071,作为常规工作者通勤，地铁票价仅9元远低于网约车73.77元，且模型概率高达97.8%，是最经济可靠的选择。,True,True,False
