source_decision_sequence,source_agent_id,source_leg_id,target_decision_sequence,target_agent_id,target_leg_id,shared_state_key,mechanism,source_flow_contribution_pcu_per_hour,target_probability_delta
2,12,12-2026-07-07-L01,3,73,73-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:00,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.013764171, ""metro"": 0.00587764, ""ride_hailing"": 0.007886531}"
2,12,12-2026-07-07-L01,4,27,27-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:00,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": 0.0, ""metro"": 4.206e-06, ""ride_hailing"": -4.206e-06}"
3,73,73-2026-07-07-L01,4,27,27-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:00,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": 0.0, ""metro"": 4.206e-06, ""ride_hailing"": -4.206e-06}"
2,12,12-2026-07-07-L01,5,69,69-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:00,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.007300226, ""metro"": 0.0, ""ride_hailing"": 0.007300226}"
3,73,73-2026-07-07-L01,5,69,69-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:00,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.007300226, ""metro"": 0.0, ""ride_hailing"": 0.007300226}"
10,39,39-2026-07-07-L01,11,115,115-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.00981276, ""metro"": 0.005608788, ""ride_hailing"": 0.004203972}"
10,39,39-2026-07-07-L01,12,85,85-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.004332331, ""metro"": 0.0, ""ride_hailing"": 0.004332331}"
10,39,39-2026-07-07-L01,13,41,41-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.000780078, ""ride_hailing"": -0.000780078}"
12,85,85-2026-07-07-L01,13,41,41-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.000780078, ""ride_hailing"": -0.000780078}"
10,39,39-2026-07-07-L01,14,18,18-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.001312532, ""metro"": 0.002429618, ""ride_hailing"": -0.001117086}"
12,85,85-2026-07-07-L01,14,18,18-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.001312532, ""metro"": 0.002429618, ""ride_hailing"": -0.001117086}"
10,39,39-2026-07-07-L01,15,135,135-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.018451643, ""metro"": 0.017579193, ""ride_hailing"": 0.00087245}"
12,85,85-2026-07-07-L01,15,135,135-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.018451643, ""metro"": 0.017579193, ""ride_hailing"": 0.00087245}"
10,39,39-2026-07-07-L01,16,105,105-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.01563023, ""metro"": 0.015297291, ""ride_hailing"": 0.000332939}"
12,85,85-2026-07-07-L01,16,105,105-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.01563023, ""metro"": 0.015297291, ""ride_hailing"": 0.000332939}"
10,39,39-2026-07-07-L01,17,130,130-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.015947305, ""metro"": 0.016162677, ""ride_hailing"": -0.000215372}"
12,85,85-2026-07-07-L01,17,130,130-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.015947305, ""metro"": 0.016162677, ""ride_hailing"": -0.000215372}"
10,39,39-2026-07-07-L01,18,34,34-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.000294314, ""ride_hailing"": -0.000294314}"
12,85,85-2026-07-07-L01,18,34,34-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.000294314, ""ride_hailing"": -0.000294314}"
10,39,39-2026-07-07-L01,19,96,96-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.004166069, ""metro"": 0.0, ""ride_hailing"": 0.004166069}"
12,85,85-2026-07-07-L01,19,96,96-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.004166069, ""metro"": 0.0, ""ride_hailing"": 0.004166069}"
10,39,39-2026-07-07-L01,20,120,120-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.004614377, ""metro"": 0.0, ""ride_hailing"": 0.004614377}"
