leg_id,agent_id,date,day,leg_role,activity_id,purpose,origin_zone,destination_zone,departure_time,planned_activity_start_time,earliest_feasible_departure,unconcentrated_departure_time,departure_time_concentrated,reliability_buffer_min,expected_arrival_time,actual_arrival_time,arrival_delay_minutes,on_time_arrival,activity_completed,late_but_reached,maximum_commute_time_exceeded,maximum_lateness_exceeded,completion_failure_reason,metro_origin_accessible,metro_destination_accessible,origin_feeder_mode,destination_feeder_mode,bus_metro_transfer_count,feeder_bus_time_minutes,feeder_bus_wait_minutes,feeder_bus_access_minutes,feeder_bus_in_vehicle_minutes,feeder_bus_fare_yuan,metro_main_time_minutes,origin_feeder_total_time_minutes,origin_feeder_access_minutes,origin_feeder_wait_minutes,origin_metro_walk_access_minutes,destination_feeder_total_time_minutes,destination_feeder_access_minutes,destination_feeder_wait_minutes,destination_metro_walk_access_minutes,final_attempt_departure_time,primary_mode,primary_failed,primary_failure_reason,fallback_attempted,fallback_succeeded,final_mode,itinerary_pattern,transport_succeeded,wait_minutes,failed_attempt_consumed_minutes,cumulative_wait_minutes,access_time_min,transfer_time_min,in_vehicle_time_min,total_travel_time_min,fare_yuan,fare_before_coupon_yuan,coupon_bound,coupon_redeemed,coupon_expired_after_failed_request,coupon_subsidy_yuan,final_speed_kmh,scenario_vc,weather_type_at_departure,expected_outdoor_exposure_minutes_at_choice,weather_exposure_age_weight,weather_exposure_disutility,weather_scenario,day_type,policy,experiment_condition
1-2026-07-07-L01,1,2026-07-07,Tuesday,outbound,activity-1-2026-07-07-002,work,Z3,Z1,2026-07-07 08:18:32.340000,2026-07-07 09:30:00,2026-07-07 07:30:00,2026-07-07 08:18:32.340000,False,8.0,2026-07-07 08:52:10.197420,2026-07-07 08:52:10.197420,0.0,True,True,False,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 08:18:32.340000,ride_hailing,False,,False,False,ride_hailing,walk-ride_hailing-walk,True,10.0,0.0,10.0,2.0,0.0,21.631,33.631,26.52,26.52,False,False,False,0.0,21.184,1.126797,heavy_rain,10.0,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
1-2026-07-07-L02,1,2026-07-07,Tuesday,return_home,activity-1-2026-07-07-002,return_home,Z1,Z3,2026-07-07 19:30:00,,,,False,5.0,,,,,,False,False,False,,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,36.292,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,2026-07-07 19:30:00,metro,False,,False,False,metro,walk-metro-walk,True,3.2,0.0,3.2,20.0,0.0,13.092,36.292,4.0,4.0,False,False,False,0.0,35.0,,heavy_rain,20.0,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
10-2026-07-07-L01,10,2026-07-07,Tuesday,outbound,activity-10-2026-07-07-003,work,Z5,Z3,2026-07-07 08:20:16.980000,2026-07-07 10:00:00,2026-07-07 08:00:00,2026-07-07 08:20:16.980000,False,5.0,2026-07-07 09:55:59.854800,2026-07-07 09:55:59.854800,0.0,True,True,False,False,False,,False,True,bus,walk,1,32.193,5.714,12.0,14.479,2.0,58.522,32.193,12.0,5.714,0.0,0.0,0.0,0.0,10.0,2026-07-07 08:20:16.980000,metro,False,,False,False,metro,walk-bus-walk-metro-walk,True,11.114,0.0,11.114,22.0,5.0,57.601,95.715,7.0,7.0,False,False,False,0.0,29.066,,heavy_rain,27.714,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
10-2026-07-07-L02,10,2026-07-07,Tuesday,between_activities,activity-10-2026-07-07-004,social_leisure,Z3,Z5,2026-07-07 20:21:10.980000,2026-07-07 21:30:00,2026-07-07 20:00:00,2026-07-07 20:21:10.980000,False,8.0,2026-07-07 21:22:10.368780,2026-07-07 21:22:10.368780,0.0,True,True,False,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 20:21:10.980000,ride_hailing,False,,False,False,ride_hailing,walk-ride_hailing-walk,True,8.0,0.0,8.0,2.0,0.0,50.99,60.99,73.82,73.82,False,False,False,0.0,29.599,0.428829,normal,8.0,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
10-2026-07-07-L03,10,2026-07-07,Tuesday,return_home,activity-10-2026-07-07-004,return_home,Z5,Z5,2026-07-07 22:30:00,,,,False,8.0,,,,,,False,False,False,,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 22:30:00,ride_hailing,False,,False,False,ride_hailing,walk-ride_hailing-walk,True,10.667,0.0,10.667,2.0,0.0,7.802,20.469,17.48,17.48,False,False,False,0.0,32.992,0.313333,normal,10.667,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
100-2026-07-07-L01,100,2026-07-07,Tuesday,outbound,activity-100-2026-07-07-002,out_of_home_family_activity,Z7,Z4,2026-07-07 09:56:24.660000,2026-07-07 11:30:00,2026-07-07 09:30:00,2026-07-07 09:56:24.660000,False,10.0,2026-07-07 11:21:43.737900,2026-07-07 11:21:43.737900,0.0,True,True,False,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 09:56:24.660000,bus,False,,False,False,bus,walk-bus-walk,True,4.8,0.0,4.8,10.0,0.0,70.518,85.318,2.0,2.0,False,False,False,0.0,15.297,0.815898,heavy_rain,14.8,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
100-2026-07-07-L02,100,2026-07-07,Tuesday,return_home,activity-100-2026-07-07-002,return_home,Z4,Z7,2026-07-07 14:30:00,,,,False,10.0,,,,,,False,False,False,,True,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 14:30:00,bus,False,,False,False,bus,walk-bus-walk,True,10.0,0.0,10.0,10.0,0.0,60.025,80.025,2.0,2.0,False,False,False,0.0,17.972,0.476667,normal,20.0,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
101-2026-07-07-L01,101,2026-07-07,Tuesday,outbound,activity-101-2026-07-07-002,work,Z6,Z6,2026-07-07 08:34:48.600000,2026-07-07 10:00:00,2026-07-07 08:00:00,2026-07-07 08:34:48.600000,False,10.0,2026-07-07 09:56:26.035500,2026-07-07 09:56:26.035500,0.0,True,True,False,False,False,,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 08:34:48.600000,bus,False,,False,False,bus,walk-bus-walk,True,5.714,0.0,5.714,12.0,0.0,63.91,81.624,2.0,2.0,False,False,False,0.0,11.829,1.10719,heavy_rain,17.714,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
101-2026-07-07-L02,101,2026-07-07,Tuesday,return_home,activity-101-2026-07-07-002,return_home,Z6,Z6,2026-07-07 18:00:00,,,,False,10.0,,,,,,False,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 18:00:00,bus,False,,False,False,bus,walk-bus-walk,True,5.714,0.0,5.714,12.0,0.0,64.138,81.852,2.0,2.0,False,False,False,0.0,11.787,1.130719,heavy_rain,17.714,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
102-2026-07-07-L01,102,2026-07-07,Tuesday,outbound,activity-102-2026-07-07-002,work,Z4,Z2,2026-07-07 06:00:00,2026-07-07 08:00:00,2026-07-07 06:00:00,2026-07-07 06:00:00,False,10.0,2026-07-07 08:03:01.590180,2026-07-07 08:03:01.590180,3.027,True,False,False,True,False,maximum_commute_time_exceeded,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 06:00:00,bus,False,,False,False,bus,walk-bus-walk,True,15.714,0.0,15.714,10.0,0.0,97.312,123.027,2.0,2.0,False,False,False,0.0,14.229,0.313333,normal,25.714,1.0,0.0,W2,workday,C4_public_goods,API_interdependent_city_mobility
