leg_id,agent_id,request_time,dispatch_priority,dispatch_priority_policy,dispatch_priority_group_rank,effective_dispatch_priority,age_group,origin_zone,destination_zone,coupon_bound,fare_before_coupon_yuan,fare_after_coupon_yuan,coupon_subsidy_yuan,succeeded,failure_reason,dispatch_time,pickup_wait_min,queue_wait_min,pending_queue_size_at_dispatch,dispatch_sequence,vehicle_id,idle_vehicles_at_request,busy_start,busy_until,previous_busy_until,idle_vehicles_after_dispatch,weather_scenario,day_type,policy,experiment_condition
12-2026-07-07-L01,12,377.6333333333333,0.540203251,P0_first_come,0,0.540203251,18-39,Z5,Z7,False,52.15,52.15,0.0,True,,377.6333333333333,10.667,0.0,1,1,N9RH-workday-Z5-001,4,377.6333333333333,420.22908633333327,0.0,3,W2,workday,C4_public_goods,API_interdependent_city_mobility
73-2026-07-07-L01,73,378.93333333333334,0.336520659,P0_first_come,0,0.336520659,18-39,Z4,Z7,False,50.03,50.03,0.0,True,,378.93333333333334,10.667,0.0,1,2,N9RH-workday-Z4-001,4,378.93333333333334,420.1700993333333,0.0,3,W2,workday,C4_public_goods,API_interdependent_city_mobility
69-2026-07-07-L01,69,385.0,0.234137348,P0_first_come,0,0.234137348,18-39,Z9,Z9,False,34.65,34.65,0.0,True,,385.0,16.0,0.0,1,3,N9RH-workday-Z9-001,4,385.0,421.56278,0.0,3,W2,workday,C4_public_goods,API_interdependent_city_mobility
39-2026-07-07-L01,39,395.8833333333333,0.506257573,P0_first_come,0,0.506257573,18-39,Z6,Z6,False,33.78,33.78,0.0,True,,395.8833333333333,10.667,0.0,1,4,N9RH-workday-Z6-001,4,395.8833333333333,428.8295613333333,0.0,3,W2,workday,C4_public_goods,API_interdependent_city_mobility
85-2026-07-07-L01,85,397.45,0.131153295,P0_first_come,0,0.131153295,40-59,Z6,Z6,True,33.0,26.4,6.6,True,,397.45,10.667,0.0,1,5,N9RH-workday-Z6-002,3,397.45,430.44490199999996,0.0,2,W2,workday,C4_public_goods,API_interdependent_city_mobility
35-2026-07-07-L01,35,412.03333333333336,0.226702172,P0_first_come,0,0.226702172,18-39,Z9,Z6,False,72.16,72.16,0.0,True,,412.03333333333336,15.444,0.0,1,6,N9RH-workday-Z9-002,3,412.03333333333336,502.21655433333336,0.0,2,W2,workday,C4_public_goods,API_interdependent_city_mobility
137-2026-07-07-L01,137,434.15,0.897463971,P0_first_come,0,0.897463971,40-59,Z7,Z7,True,35.03,28.02,7.01,True,,434.15,7.0,0.0,1,7,N9RH-workday-Z4-001,10,434.15,470.349336,420.1700993333333,9,W2,workday,C4_public_goods,API_interdependent_city_mobility
49-2026-07-07-L01,49,442.56666666666666,0.946630568,P0_first_come,0,0.946630568,18-39,Z3,Z1,False,26.52,26.52,0.0,True,,442.56666666666666,7.0,0.0,1,8,N9RH-workday-Z3-001,4,442.56666666666666,470.37516566666665,0.0,3,W2,workday,C4_public_goods,API_interdependent_city_mobility
104-2026-07-07-L01,104,449.6166666666667,0.812221849,P0_first_come,0,0.812221849,40-59,Z1,Z1,False,19.4,19.4,0.0,True,,449.6166666666667,7.0,0.0,1,9,N9RH-workday-Z1-001,8,449.6166666666667,470.3398906666667,0.0,7,W2,workday,C4_public_goods,API_interdependent_city_mobility
121-2026-07-07-L01,121,450.0,0.259538414,P0_first_come,0,0.259538414,40-59,Z4,Z2,True,62.55,50.04,12.51,True,,450.0,9.333,0.0,1,10,N9RH-workday-Z4-002,3,450.0,516.541277,0.0,2,W2,workday,C4_public_goods,API_interdependent_city_mobility
81-2026-07-07-L01,81,451.9166666666667,0.912652975,P0_first_come,0,0.912652975,40-59,Z9,Z9,False,31.83,31.83,0.0,True,,451.9166666666667,14.0,0.0,1,11,N9RH-workday-Z9-001,3,451.9166666666667,492.3241306666667,421.56278,2,W2,workday,C4_public_goods,API_interdependent_city_mobility
93-2026-07-07-L01,93,454.6,0.299731559,P0_first_come,0,0.299731559,40-59,Z5,Z5,True,34.78,27.82,6.96,True,,454.6,9.333,0.0,1,12,N9RH-workday-Z5-002,3,454.6,493.64024300000005,0.0,2,W2,workday,C4_public_goods,API_interdependent_city_mobility
50-2026-07-07-L01,50,459.15,0.101197174,P0_first_come,0,0.101197174,18-39,Z9,Z9,False,26.95,26.95,0.0,True,,459.15,14.0,0.0,1,13,N9RH-workday-Z9-003,2,459.15,495.195435,0.0,1,W2,workday,C4_public_goods,API_interdependent_city_mobility
97-2026-07-07-L01,97,460.73333333333335,0.289393327,P0_first_come,0,0.289393327,40-59,Z9,Z9,False,25.34,25.34,0.0,True,,460.73333333333335,14.0,0.0,1,14,N9RH-workday-Z9-004,1,460.73333333333335,495.39582133333334,0.0,0,W2,workday,C4_public_goods,API_interdependent_city_mobility
