event_sequence,decision_sequence,agent_id,leg_id,mode,flow_contribution_pcu_per_hour,shared_state_key,departure_time,time_bin_start,base_flow_pcu_per_hour,endogenous_flow_before,endogenous_flow_after,total_flow_before,total_flow_after,state_version_after,global_version_after
1,2,12,12-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T06:00,2026-07-07 06:17:38.880000,2026-07-07 06:00:00,24.0,0.0,30.0,24.0,54.0,1,1
2,3,73,73-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T06:00,2026-07-07 06:18:56.100000,2026-07-07 06:00:00,24.0,30.0,60.0,54.0,84.0,2,2
3,5,69,69-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T06:00,2026-07-07 06:25:00.480000,2026-07-07 06:00:00,24.0,60.0,90.0,84.0,114.0,3,3
4,10,39,39-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T06:30,2026-07-07 06:35:53.160000,2026-07-07 06:30:00,24.0,0.0,30.0,24.0,54.0,1,4
5,12,85,85-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T06:30,2026-07-07 06:37:27.300000,2026-07-07 06:30:00,24.0,30.0,60.0,54.0,84.0,2,5
6,21,35,35-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T06:30,2026-07-07 06:52:02.700000,2026-07-07 06:30:00,24.0,60.0,90.0,84.0,114.0,3,6
7,39,137,137-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T07:00,2026-07-07 07:14:09.180000,2026-07-07 07:00:00,60.0,0.0,30.0,60.0,90.0,1,7
8,42,49,49-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T07:00,2026-07-07 07:22:34.740000,2026-07-07 07:00:00,60.0,30.0,60.0,90.0,120.0,2,8
9,44,104,104-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T07:00,2026-07-07 07:29:37.680000,2026-07-07 07:00:00,60.0,60.0,90.0,120.0,150.0,3,9
10,46,121,121-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T07:30,2026-07-07 07:30:00,2026-07-07 07:30:00,60.0,0.0,30.0,60.0,90.0,1,10
11,48,81,81-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T07:30,2026-07-07 07:31:55.680000,2026-07-07 07:30:00,60.0,30.0,60.0,90.0,120.0,2,11
12,49,93,93-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T07:30,2026-07-07 07:34:36,2026-07-07 07:30:00,60.0,60.0,90.0,120.0,150.0,3,12
13,51,50,50-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T07:30,2026-07-07 07:39:09,2026-07-07 07:30:00,60.0,90.0,120.0,150.0,180.0,4,13
14,55,97,97-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T07:30,2026-07-07 07:40:44.760000,2026-07-07 07:30:00,60.0,120.0,150.0,180.0,210.0,5,14
15,57,92,92-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T07:30,2026-07-07 07:43:00.840000,2026-07-07 07:30:00,60.0,150.0,180.0,210.0,240.0,6,15
16,67,8,8-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T07:30,2026-07-07 07:55:07.080000,2026-07-07 07:30:00,60.0,180.0,210.0,240.0,270.0,7,16
17,69,24,24-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T07:30,2026-07-07 07:56:10.200000,2026-07-07 07:30:00,60.0,210.0,240.0,270.0,300.0,8,17
18,76,68,68-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T08:00,2026-07-07 08:03:30.360000,2026-07-07 08:00:00,80.0,0.0,30.0,80.0,110.0,1,18
19,80,152,152-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T08:00,2026-07-07 08:07:28.320000,2026-07-07 08:00:00,80.0,30.0,60.0,110.0,140.0,2,19
20,91,1,1-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T08:00,2026-07-07 08:18:32.340000,2026-07-07 08:00:00,80.0,60.0,90.0,140.0,170.0,3,20
21,101,125,125-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T08:30,2026-07-07 08:30:00,2026-07-07 08:30:00,80.0,0.0,30.0,80.0,110.0,1,21
22,106,76,76-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T08:30,2026-07-07 08:36:23.220000,2026-07-07 08:30:00,80.0,30.0,60.0,110.0,140.0,2,22
23,107,28,28-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T08:30,2026-07-07 08:36:51,2026-07-07 08:30:00,80.0,60.0,90.0,140.0,170.0,3,23
24,113,14,14-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T08:30,2026-07-07 08:43:45.900000,2026-07-07 08:30:00,80.0,90.0,120.0,170.0,200.0,4,24
25,115,54,54-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T08:30,2026-07-07 08:46:45.660000,2026-07-07 08:30:00,80.0,120.0,150.0,200.0,230.0,5,25
26,144,4,4-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T09:00,2026-07-07 09:25:15.660000,2026-07-07 09:00:00,80.0,0.0,30.0,80.0,110.0,1,26
27,148,19,19-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T09:30,2026-07-07 09:31:36.540000,2026-07-07 09:30:00,56.470588235294116,0.0,30.0,56.470588235294116,86.47058823529412,1,27
28,153,70,70-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T09:30,2026-07-07 09:44:44.340000,2026-07-07 09:30:00,56.470588235294116,30.0,60.0,86.47058823529412,116.47058823529412,2,28
29,155,59,59-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T09:30,2026-07-07 09:49:23.460000,2026-07-07 09:30:00,56.470588235294116,60.0,90.0,116.47058823529412,146.47058823529412,3,29
30,158,63,63-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T09:30,2026-07-07 09:54:37.440000,2026-07-07 09:30:00,56.470588235294116,90.0,120.0,146.47058823529412,176.47058823529412,4,30
31,159,159,159-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T09:30,2026-07-07 09:55:10.740000,2026-07-07 09:30:00,56.470588235294116,120.0,150.0,176.47058823529412,206.47058823529412,5,31
32,164,68,68-2026-07-07-L02,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T10:00,2026-07-07 10:18:28.560000,2026-07-07 10:00:00,56.470588235294116,0.0,30.0,56.470588235294116,86.47058823529412,1,32
33,167,155,155-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T10:30,2026-07-07 10:46:53.220000,2026-07-07 10:30:00,48.0,0.0,30.0,48.0,78.0,1,33
34,224,49,49-2026-07-07-L02,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T17:00,2026-07-07 17:00:00,2026-07-07 17:00:00,60.0,0.0,30.0,60.0,90.0,1,34
35,232,97,97-2026-07-07-L02,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T17:00,2026-07-07 17:00:00,2026-07-07 17:00:00,60.0,30.0,60.0,90.0,120.0,2,35
36,235,56,56-2026-07-07-L02,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T17:00,2026-07-07 17:00:00,2026-07-07 17:00:00,60.0,60.0,90.0,120.0,150.0,3,36
37,242,96,96-2026-07-07-L02,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T17:00,2026-07-07 17:00:00,2026-07-07 17:00:00,60.0,90.0,120.0,150.0,180.0,4,37
38,245,69,69-2026-07-07-L02,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T17:00,2026-07-07 17:06:29.700000,2026-07-07 17:00:00,60.0,120.0,150.0,180.0,210.0,5,38
39,250,47,47-2026-07-07-L02,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T17:30,2026-07-07 17:30:00,2026-07-07 17:30:00,80.0,0.0,30.0,80.0,110.0,1,39
40,262,28,28-2026-07-07-L02,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T17:30,2026-07-07 17:30:00,2026-07-07 17:30:00,80.0,30.0,60.0,110.0,140.0,2,40
41,267,113,113-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T17:30,2026-07-07 17:51:00.600000,2026-07-07 17:30:00,80.0,60.0,90.0,140.0,170.0,3,41
42,268,59,59-2026-07-07-L02,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T17:30,2026-07-07 17:54:25.620000,2026-07-07 17:30:00,80.0,90.0,120.0,170.0,200.0,4,42
43,274,8,8-2026-07-07-L02,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T18:00,2026-07-07 18:00:00,2026-07-07 18:00:00,80.0,0.0,30.0,80.0,110.0,1,43
44,293,23,23-2026-07-07-L01,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T18:00,2026-07-07 18:20:50.040000,2026-07-07 18:00:00,80.0,30.0,60.0,110.0,140.0,2,44
45,298,16,16-2026-07-07-L02,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T18:30,2026-07-07 18:30:00,2026-07-07 18:30:00,80.0,0.0,30.0,80.0,110.0,1,45
46,309,14,14-2026-07-07-L02,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T18:30,2026-07-07 18:30:00,2026-07-07 18:30:00,80.0,30.0,60.0,110.0,140.0,2,46
47,313,50,50-2026-07-07-L02,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T18:30,2026-07-07 18:30:00,2026-07-07 18:30:00,80.0,60.0,90.0,140.0,170.0,3,47
48,315,43,43-2026-07-07-L02,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T18:30,2026-07-07 18:51:34.740000,2026-07-07 18:30:00,80.0,90.0,120.0,170.0,200.0,4,48
49,316,118,118-2026-07-07-L02,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T18:30,2026-07-07 18:54:57.660000,2026-07-07 18:30:00,80.0,120.0,150.0,200.0,230.0,5,49
50,317,54,54-2026-07-07-L02,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T18:30,2026-07-07 18:58:01.560000,2026-07-07 18:30:00,80.0,150.0,180.0,230.0,260.0,6,50
51,335,13,13-2026-07-07-L02,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T19:00,2026-07-07 19:25:32.880000,2026-07-07 19:00:00,56.470588235294116,0.0,30.0,56.470588235294116,86.47058823529412,1,51
52,344,76,76-2026-07-07-L02,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T19:30,2026-07-07 19:30:00,2026-07-07 19:30:00,56.470588235294116,0.0,30.0,56.470588235294116,86.47058823529412,1,52
53,349,65,65-2026-07-07-L02,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T19:30,2026-07-07 19:30:00,2026-07-07 19:30:00,56.470588235294116,30.0,60.0,86.47058823529412,116.47058823529412,2,53
54,350,4,4-2026-07-07-L02,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T19:30,2026-07-07 19:30:00,2026-07-07 19:30:00,56.470588235294116,60.0,90.0,116.47058823529412,146.47058823529412,3,54
55,356,88,88-2026-07-07-L03,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T20:00,2026-07-07 20:00:00,2026-07-07 20:00:00,24.0,0.0,30.0,24.0,54.0,1,55
56,357,70,70-2026-07-07-L02,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T20:00,2026-07-07 20:00:00,2026-07-07 20:00:00,24.0,30.0,60.0,54.0,84.0,2,56
57,358,85,85-2026-07-07-L03,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T20:00,2026-07-07 20:00:00,2026-07-07 20:00:00,24.0,60.0,90.0,84.0,114.0,3,57
58,364,54,54-2026-07-07-L03,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T20:00,2026-07-07 20:00:00,2026-07-07 20:00:00,24.0,90.0,120.0,114.0,144.0,4,58
59,366,39,39-2026-07-07-L02,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T20:00,2026-07-07 20:16:41.820000,2026-07-07 20:00:00,24.0,120.0,150.0,144.0,174.0,5,59
60,367,10,10-2026-07-07-L02,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T20:00,2026-07-07 20:21:10.980000,2026-07-07 20:00:00,24.0,150.0,180.0,174.0,204.0,6,60
61,371,27,27-2026-07-07-L03,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T20:30,2026-07-07 20:30:00,2026-07-07 20:30:00,24.0,0.0,30.0,24.0,54.0,1,61
62,373,118,118-2026-07-07-L03,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T20:30,2026-07-07 20:30:00,2026-07-07 20:30:00,24.0,30.0,60.0,54.0,84.0,2,62
63,375,19,19-2026-07-07-L02,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T20:30,2026-07-07 20:30:00,2026-07-07 20:30:00,24.0,60.0,90.0,84.0,114.0,3,63
64,378,59,59-2026-07-07-L03,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T21:00,2026-07-07 21:00:00,2026-07-07 21:00:00,24.0,0.0,30.0,24.0,54.0,1,64
65,379,17,17-2026-07-07-L03,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T21:00,2026-07-07 21:00:00,2026-07-07 21:00:00,24.0,30.0,60.0,54.0,84.0,2,65
66,381,13,13-2026-07-07-L03,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T21:00,2026-07-07 21:00:00,2026-07-07 21:00:00,24.0,60.0,90.0,84.0,114.0,3,66
67,382,64,64-2026-07-07-L03,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T21:00,2026-07-07 21:01:21,2026-07-07 21:00:00,24.0,90.0,120.0,114.0,144.0,4,67
68,383,47,47-2026-07-07-L03,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T21:30,2026-07-07 21:30:00,2026-07-07 21:30:00,24.0,0.0,30.0,24.0,54.0,1,68
69,384,68,68-2026-07-07-L03,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T21:30,2026-07-07 21:30:00,2026-07-07 21:30:00,24.0,30.0,60.0,54.0,84.0,2,69
70,387,39,39-2026-07-07-L03,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T22:00,2026-07-07 22:00:00,2026-07-07 22:00:00,24.0,0.0,30.0,24.0,54.0,1,70
71,388,23,23-2026-07-07-L02,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T22:00,2026-07-07 22:00:00,2026-07-07 22:00:00,24.0,30.0,60.0,54.0,84.0,2,71
72,389,77,77-2026-07-07-L03,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T22:00,2026-07-07 22:00:00,2026-07-07 22:00:00,24.0,60.0,90.0,84.0,114.0,3,72
73,392,10,10-2026-07-07-L03,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T22:30,2026-07-07 22:30:00,2026-07-07 22:30:00,24.0,0.0,30.0,24.0,54.0,1,73
74,393,71,71-2026-07-07-L03,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T22:30,2026-07-07 22:30:00,2026-07-07 22:30:00,24.0,30.0,60.0,54.0,84.0,2,74
75,394,69,69-2026-07-07-L03,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T22:30,2026-07-07 22:30:00,2026-07-07 22:30:00,24.0,60.0,90.0,84.0,114.0,3,75
76,395,43,43-2026-07-07-L03,ride_hailing,30.0,nine_zone_representative|all|2026-07-07T22:30,2026-07-07 22:30:00,2026-07-07 22:30:00,24.0,90.0,120.0,114.0,144.0,4,76
