day_type,vehicle_id,current_zone,status,busy_until,destination_zone,weather_scenario,policy,experiment_condition
workday,N9RH-workday-Z1-001,Z4,idle,1280.0155639999998,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z1-002,Z2,idle,1277.201923,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z1-003,Z1,idle,1198.55801,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z1-004,Z1,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z1-005,Z1,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z1-006,Z1,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z1-007,Z1,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z1-008,Z1,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z2-001,Z1,idle,620.3572706666666,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z2-002,Z2,idle,661.8849353333334,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z2-003,Z2,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z2-004,Z2,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z2-005,Z2,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z2-006,Z2,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z2-007,Z2,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z2-008,Z2,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z3-001,Z1,idle,470.37516566666665,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z3-002,Z1,idle,530.1642903333334,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z3-003,Z5,idle,1374.45276,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z3-004,Z1,idle,1371.905404,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z4-001,Z7,idle,1340.359957,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z4-002,Z2,idle,516.541277,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z4-003,Z4,idle,1202.1639539999999,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z4-004,Z4,idle,1226.421958,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z5-001,Z7,idle,420.22908633333327,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z5-002,Z5,idle,1368.4687979999999,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z5-003,Z5,idle,1245.8020569999999,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z5-004,Z5,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z6-001,Z3,idle,1348.4362239999998,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z6-002,Z6,idle,1351.844349,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z6-003,Z6,idle,1345.46141,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z6-004,Z6,idle,1340.832651,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z7-001,Z7,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z7-002,Z7,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z7-003,Z7,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z7-004,Z7,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z7-005,Z7,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z7-006,Z7,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z7-007,Z7,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z7-008,Z7,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z8-001,Z6,idle,1232.1557329999998,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z8-002,Z8,idle,1207.4005929999998,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z8-003,Z8,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z8-004,Z8,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z9-001,Z9,idle,1387.353272,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z9-002,Z6,idle,1250.0460433333333,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z9-003,Z9,idle,1066.6110383333335,,W2,C4_public_goods,API_interdependent_city_mobility
workday,N9RH-workday-Z9-004,Z9,idle,495.39582133333334,,W2,C4_public_goods,API_interdependent_city_mobility
