weather_scenario,day_type,policy,agent_id,activity_id,activity_purpose,is_mandatory,origin_zone,destination_zone,final_status,weather_cancelled,transport_unmet,completed,transport_succeeded,activity_completed,late_but_reached,mandatory_activity_incomplete,completion_failure_reason,actual_arrival_time,arrival_delay_minutes,on_time_arrival
W2,workday,P0_no_policy,1,activity-1-2026-07-07-002,work,True,Z3,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 08:52:24.566820,0.0,True
W2,workday,P0_no_policy,2,activity-2-2026-07-07-003,work,True,Z6,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 10:23:16.842360,0.0,True
W2,workday,P0_no_policy,3,activity-3-2026-07-07-002,work,True,Z2,Z3,completed,False,False,True,True,True,False,False,,2026-07-07 08:55:00,0.0,True
W2,workday,P0_no_policy,4,activity-4-2026-07-07-003,work,True,Z4,Z4,completed,False,False,True,True,True,False,False,,2026-07-07 10:01:13.486980,0.0,True
W2,workday,P0_no_policy,5,activity-5-2026-07-07-002,work,True,Z5,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 10:25:57.296340,0.0,True
W2,workday,P0_no_policy,6,activity-6-2026-07-07-003,work,True,Z6,Z9,completed,False,False,True,True,True,False,False,,2026-07-07 09:24:06.078360,0.0,True
W2,workday,P0_no_policy,7,activity-7-2026-07-07-002,work,True,Z1,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 09:28:33.120000,0.0,True
W2,workday,P0_no_policy,8,activity-8-2026-07-07-002,work,True,Z6,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 08:29:45.846900,0.0,True
W2,workday,P0_no_policy,9,activity-9-2026-07-07-002,work,True,Z7,Z3,completed,False,False,True,True,True,False,False,,2026-07-07 08:55:11.640000,0.0,True
W2,workday,P0_no_policy,10,activity-10-2026-07-07-003,work,True,Z5,Z3,completed,False,False,True,True,True,False,False,,2026-07-07 09:56:07.306380,0.0,True
W2,workday,P0_no_policy,10,activity-10-2026-07-07-004,social_leisure,False,Z3,Z5,completed,False,False,True,True,True,False,False,,2026-07-07 21:22:05.797020,0.0,True
W2,workday,P0_no_policy,11,activity-11-2026-07-07-004,work,True,Z5,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 08:55:00,0.0,True
W2,workday,P0_no_policy,12,activity-12-2026-07-07-002,work,True,Z5,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 07:02:26.155980,0.0,True
W2,workday,P0_no_policy,13,activity-13-2026-07-07-002,work,True,Z2,Z2,completed,False,False,True,True,True,False,False,,2026-07-07 08:25:00,0.0,True
W2,workday,P0_no_policy,13,activity-13-2026-07-07-003,shopping,False,Z2,Z2,completed,False,False,True,True,True,False,False,,2026-07-07 19:53:15.231420,0.0,True
W2,workday,P0_no_policy,14,activity-14-2026-07-07-003,work,True,Z6,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 09:26:09.897420,0.0,True
W2,workday,P0_no_policy,15,activity-15-2026-07-07-002,work,True,Z7,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 09:56:52.469940,0.0,True
W2,workday,P0_no_policy,16,activity-16-2026-07-07-002,work,True,Z2,Z3,reached_but_activity_incomplete,False,False,False,True,False,True,True,maximum_lateness_exceeded,2026-07-07 10:01:43.280220,31.721,False
W2,workday,P0_no_policy,16,activity-16-2026-07-07-003,visit,False,Z3,Z4,completed,False,False,True,True,True,True,False,,2026-07-07 20:16:06.352740,16.106,False
W2,workday,P0_no_policy,17,activity-17-2026-07-07-003,work,True,Z7,Z4,completed,False,False,True,True,True,False,False,,2026-07-07 09:24:25.850220,0.0,True
W2,workday,P0_no_policy,17,activity-17-2026-07-07-004,shopping,False,Z4,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 19:25:20.508600,0.0,True
W2,workday,P0_no_policy,18,activity-18-2026-07-07-002,work,True,Z6,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 08:29:57.085020,0.0,True
W2,workday,P0_no_policy,19,activity-19-2026-07-07-004,social_leisure,False,Z4,Z4,completed,False,False,True,True,True,False,False,,2026-07-07 10:02:19.915800,0.0,True
W2,workday,P0_no_policy,20,activity-20-2026-07-07-003,work,True,Z3,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 10:24:26.139840,0.0,True
W2,workday,P0_no_policy,21,activity-21-2026-07-07-003,work,True,Z7,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 10:25:00,0.0,True
W2,workday,P0_no_policy,22,activity-22-2026-07-07-002,work,True,Z3,Z3,completed,False,False,True,True,True,False,False,,2026-07-07 08:25:00,0.0,True
W2,workday,P0_no_policy,22,activity-22-2026-07-07-003,out_of_home_family_care,False,Z3,Z2,completed,False,False,True,True,True,False,False,,2026-07-07 18:54:54.463800,0.0,True
W2,workday,P0_no_policy,23,activity-23-2026-07-07-003,social_leisure,False,Z7,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 18:53:07.981320,0.0,True
W2,workday,P0_no_policy,24,activity-24-2026-07-07-003,work,True,Z6,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 08:47:59.626500,0.0,True
W2,workday,P0_no_policy,25,activity-25-2026-07-07-002,work,True,Z2,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 08:25:08.556000,0.0,True
W2,workday,P0_no_policy,26,activity-26-2026-07-07-002,work,True,Z4,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 09:49:38.360400,0.0,True
W2,workday,P0_no_policy,27,activity-27-2026-07-07-003,work,True,Z5,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 07:55:01.800000,0.0,True
W2,workday,P0_no_policy,27,activity-27-2026-07-07-004,shopping,False,Z1,Z5,reached_but_activity_incomplete,False,False,False,True,False,False,False,maximum_commute_time_exceeded,2026-07-07 20:00:01.881900,0.031,True
W2,workday,P0_no_policy,28,activity-28-2026-07-07-002,work,True,Z6,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 09:23:11.380740,0.0,True
W2,workday,P0_no_policy,29,activity-29-2026-07-07-003,work,True,Z7,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 09:55:08.640000,0.0,True
W2,workday,P0_no_policy,30,activity-30-2026-07-07-003,work,True,Z2,Z3,completed,False,False,True,True,True,False,False,,2026-07-07 08:53:42.980520,0.0,True
W2,workday,P0_no_policy,30,activity-30-2026-07-07-004,shopping,False,Z3,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 19:55:00,0.0,True
W2,workday,P0_no_policy,31,activity-31-2026-07-07-002,work,True,Z7,Z2,completed,False,False,True,True,True,False,False,,2026-07-07 09:55:00,0.0,True
W2,workday,P0_no_policy,32,activity-32-2026-07-07-002,work,True,Z5,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 08:22:59.421480,0.0,True
W2,workday,P0_no_policy,33,activity-33-2026-07-07-003,work,True,Z6,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 10:29:28.654560,0.0,True
W2,workday,P0_no_policy,34,activity-34-2026-07-07-002,work,True,Z7,Z2,completed,False,False,True,True,True,False,False,,2026-07-07 08:27:29.625780,0.0,True
W2,workday,P0_no_policy,35,activity-35-2026-07-07-003,work,True,Z9,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 08:24:28.106040,0.0,True
W2,workday,P0_no_policy,36,activity-36-2026-07-07-002,work,True,Z8,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 08:25:12.019980,0.0,True
W2,workday,P0_no_policy,37,activity-37-2026-07-07-003,work,True,Z7,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 07:55:00,0.0,True
W2,workday,P0_no_policy,38,activity-38-2026-07-07-003,work,True,Z1,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 07:52:40.488900,0.0,True
W2,workday,P0_no_policy,39,activity-39-2026-07-07-002,work,True,Z5,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 07:52:23.980800,0.0,True
W2,workday,P0_no_policy,39,activity-39-2026-07-07-003,out_of_home_family_activity,False,Z7,Z5,completed,False,False,True,True,True,False,False,,2026-07-07 20:37:30.792020,0.0,True
W2,workday,P0_no_policy,40,activity-40-2026-07-07-004,visit,False,Z8,Z2,completed,False,False,True,True,True,False,False,,2026-07-07 13:36:10.440000,0.0,True
W2,workday,P0_no_policy,41,activity-41-2026-07-07-002,work,True,Z3,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 08:29:53.399760,0.0,True
W2,workday,P0_no_policy,42,activity-42-2026-07-07-002,work,True,Z4,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 08:01:02.054580,1.034,True
W2,workday,P0_no_policy,43,activity-43-2026-07-07-003,work,True,Z1,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 09:30:16.380000,0.273,True
W2,workday,P0_no_policy,43,activity-43-2026-07-07-004,out_of_home_family_activity,False,Z1,Z3,completed,False,False,True,True,True,False,False,,2026-07-07 19:24:31.846860,0.0,True
W2,workday,P0_no_policy,44,activity-44-2026-07-07-002,work,True,Z5,Z1,reached_but_activity_incomplete,False,False,False,True,False,False,True,maximum_commute_time_exceeded,2026-07-07 09:00:51.257760,0.854,True
W2,workday,P0_no_policy,45,activity-45-2026-07-07-002,work,True,Z6,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 10:26:11.855940,0.0,True
W2,workday,P0_no_policy,46,activity-46-2026-07-07-002,work,True,Z1,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 10:25:00,0.0,True
W2,workday,P0_no_policy,47,activity-47-2026-07-07-003,work,True,Z3,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 08:55:53.341620,0.0,True
W2,workday,P0_no_policy,47,activity-47-2026-07-07-004,visit,False,Z6,Z8,reached_but_activity_incomplete,False,False,False,True,False,True,False,maximum_commute_time_exceeded,2026-07-07 19:52:07.554360,22.126,False
W2,workday,P0_no_policy,48,activity-48-2026-07-07-003,work,True,Z7,Z2,completed,False,False,True,True,True,False,False,,2026-07-07 09:55:18.087480,0.0,True
W2,workday,P0_no_policy,49,activity-49-2026-07-07-002,work,True,Z3,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 07:52:43.649280,0.0,True
W2,workday,P0_no_policy,50,activity-50-2026-07-07-002,work,True,Z9,Z9,completed,False,False,True,True,True,False,False,,2026-07-07 08:16:40.531740,0.0,True
W2,workday,P0_no_policy,51,activity-51-2026-07-07-002,work,True,Z2,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 08:55:00,0.0,True
W2,workday,P0_no_policy,52,activity-52-2026-07-07-002,work,True,Z6,Z3,completed,False,False,True,True,True,False,False,,2026-07-07 10:24:02.743320,0.0,True
W2,workday,P0_no_policy,53,activity-53-2026-07-07-003,work,True,Z1,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 09:20:26.799780,0.0,True
W2,workday,P0_no_policy,54,activity-54-2026-07-07-002,work,True,Z6,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 09:23:24.791820,0.0,True
W2,workday,P0_no_policy,54,activity-54-2026-07-07-003,shopping,False,Z6,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 19:22:26.996580,0.0,True
W2,workday,P0_no_policy,55,activity-55-2026-07-07-002,work,True,Z1,Z2,completed,False,False,True,True,True,False,False,,2026-07-07 08:55:00,0.0,True
W2,workday,P0_no_policy,56,activity-56-2026-07-07-003,work,True,Z2,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 07:26:41.063880,0.0,True
W2,workday,P0_no_policy,57,activity-57-2026-07-07-003,work,True,Z1,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 09:25:34.469940,0.0,True
W2,workday,P0_no_policy,58,activity-58-2026-07-07-003,work,True,Z6,Z6,reached_but_activity_incomplete,False,False,False,True,False,True,True,maximum_lateness_exceeded,2026-07-07 09:02:55.229100,32.92,False
W2,workday,P0_no_policy,58,activity-58-2026-07-07-004,shopping,False,Z6,Z3,completed,False,False,True,True,True,False,False,,2026-07-07 20:42:29.524013,0.0,True
W2,workday,P0_no_policy,59,activity-59-2026-07-07-002,work,True,Z5,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 08:22:59.421480,0.0,True
W2,workday,P0_no_policy,60,activity-60-2026-07-07-003,work,True,Z6,Z8,completed,False,False,True,True,True,False,False,,2026-07-07 08:54:11.700000,0.0,True
W2,workday,P0_no_policy,61,activity-61-2026-07-07-002,work,True,Z5,Z1,reached_but_activity_incomplete,False,False,False,True,False,True,True,maximum_commute_time_exceeded,2026-07-07 10:13:41.563080,13.693,False
W2,workday,P0_no_policy,62,activity-62-2026-07-07-002,work,True,Z4,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 10:25:11.101500,0.0,True
W2,workday,P0_no_policy,62,activity-62-2026-07-07-003,social_leisure,False,Z7,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 20:29:09.722280,0.0,True
W2,workday,P0_no_policy,63,activity-63-2026-07-07-002,work,True,Z2,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 10:22:33.269880,0.0,True
W2,workday,P0_no_policy,64,activity-64-2026-07-07-002,work,True,Z4,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 08:01:02.054580,1.034,True
W2,workday,P0_no_policy,64,activity-64-2026-07-07-003,medical,True,Z7,Z4,completed,False,False,True,True,True,False,False,,2026-07-07 18:26:22.521300,0.0,True
W2,workday,P0_no_policy,64,activity-64-2026-07-07-004,shopping,False,Z4,Z4,completed,False,False,True,True,True,False,False,,2026-07-07 21:22:00.933840,0.0,True
W2,workday,P0_no_policy,65,activity-65-2026-07-07-002,work,True,Z1,Z3,completed,False,False,True,True,True,False,False,,2026-07-07 09:54:15.584760,0.0,True
W2,workday,P0_no_policy,66,activity-66-2026-07-07-003,work,True,Z5,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 09:25:00,0.0,True
W2,workday,P0_no_policy,66,activity-66-2026-07-07-004,social_leisure,False,Z7,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 21:25:00,0.0,True
W2,workday,P0_no_policy,67,activity-67-2026-07-07-003,work,True,Z6,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 08:53:24.411180,0.0,True
W2,workday,P0_no_policy,68,activity-68-2026-07-07-002,work,True,Z6,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 08:55:31.490700,0.0,True
W2,workday,P0_no_policy,69,activity-69-2026-07-07-002,work,True,Z8,Z8,completed,False,False,True,True,True,False,False,,2026-07-07 07:52:05.606460,0.0,True
W2,workday,P0_no_policy,69,activity-69-2026-07-07-003,visit,False,Z8,Z8,completed,False,False,True,True,True,False,False,,2026-07-07 18:04:02.880240,0.0,True
W2,workday,P0_no_policy,70,activity-70-2026-07-07-002,work,True,Z6,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 10:22:52.467180,0.0,True
W2,workday,P0_no_policy,71,activity-71-2026-07-07-002,work,True,Z5,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 07:52:00,0.0,True
W2,workday,P0_no_policy,71,activity-71-2026-07-07-003,social_leisure,False,Z7,Z5,completed,False,False,True,True,True,False,False,,2026-07-07 18:25:06.494580,0.0,True
W2,workday,P0_no_policy,72,activity-72-2026-07-07-003,work,True,Z7,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 09:25:00,0.0,True
W2,workday,P0_no_policy,73,activity-73-2026-07-07-002,work,True,Z3,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 07:53:57.137760,0.0,True
W2,workday,P0_no_policy,74,activity-74-2026-07-07-003,work,True,Z7,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 08:55:00,0.0,True
W2,workday,P0_no_policy,75,activity-75-2026-07-07-002,work,True,Z4,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 08:55:22.875240,0.0,True
W2,workday,P0_no_policy,76,activity-76-2026-07-07-003,work,True,Z8,Z8,completed,False,False,True,True,True,False,False,,2026-07-07 09:22:24.852840,0.0,True
W2,workday,P0_no_policy,77,activity-77-2026-07-07-003,work,True,Z5,Z1,reached_but_activity_incomplete,False,False,False,True,False,True,True,maximum_commute_time_exceeded,2026-07-07 08:35:38.440740,5.641,False
W2,workday,P0_no_policy,77,activity-77-2026-07-07-004,visit,False,Z1,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 19:55:00,0.0,True
W2,workday,P0_no_policy,78,activity-78-2026-07-07-003,work,True,Z2,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 09:25:19.374720,0.0,True
W2,workday,P0_no_policy,79,activity-79-2026-07-07-002,work,True,Z5,Z3,completed,False,False,True,True,True,False,False,,2026-07-07 10:25:23.879520,0.0,True
W2,workday,P0_no_policy,80,activity-80-2026-07-07-001,shopping,False,Z3,Z8,completed,False,False,True,True,True,False,False,,2026-07-07 16:52:37.710360,0.0,True
W2,workday,P0_no_policy,81,activity-81-2026-07-07-002,work,True,Z7,Z4,completed,False,False,True,True,True,False,False,,2026-07-07 08:55:47.165820,0.0,True
W2,workday,P0_no_policy,82,activity-82-2026-07-07-003,work,True,Z4,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 09:58:10.127040,0.0,True
W2,workday,P0_no_policy,83,activity-83-2026-07-07-002,work,True,Z5,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 09:08:10.047960,0.0,True
W2,workday,P0_no_policy,84,activity-84-2026-07-07-002,work,True,Z2,Z3,completed,False,False,True,True,True,False,False,,2026-07-07 10:25:00,0.0,True
W2,workday,P0_no_policy,85,activity-85-2026-07-07-003,work,True,Z7,Z5,completed,False,False,True,True,True,False,False,,2026-07-07 07:55:26.568900,0.0,True
W2,workday,P0_no_policy,85,activity-85-2026-07-07-004,social_leisure,False,Z5,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 19:55:20.880000,0.0,True
W2,workday,P0_no_policy,86,activity-86-2026-07-07-002,work,True,Z6,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 08:19:11.323560,0.0,True
W2,workday,P0_no_policy,87,activity-87-2026-07-07-002,work,True,Z5,Z5,completed,False,False,True,True,True,False,False,,2026-07-07 10:22:55.785300,0.0,True
W2,workday,P0_no_policy,88,activity-88-2026-07-07-002,work,True,Z8,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 09:25:00,0.0,True
W2,workday,P0_no_policy,88,activity-88-2026-07-07-003,social_leisure,False,Z1,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 18:52:44.611980,0.0,True
W2,workday,P0_no_policy,88,activity-88-2026-07-07-004,shopping,False,Z1,Z3,completed,False,False,True,True,True,False,False,,2026-07-07 21:22:02.692380,0.0,True
W2,workday,P0_no_policy,89,activity-89-2026-07-07-002,work,True,Z7,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 08:55:00,0.0,True
W2,workday,P0_no_policy,89,activity-89-2026-07-07-003,visit,False,Z1,Z4,completed,False,False,True,True,True,False,False,,2026-07-07 20:55:00,0.0,True
W2,workday,P0_no_policy,90,activity-90-2026-07-07-002,work,True,Z9,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 08:24:13.693260,0.0,True
W2,workday,P0_no_policy,91,activity-91-2026-07-07-002,work,True,Z7,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 09:55:00,0.0,True
W2,workday,P0_no_policy,92,activity-92-2026-07-07-002,work,True,Z6,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 08:20:23.986620,0.0,True
W2,workday,P0_no_policy,93,activity-93-2026-07-07-002,work,True,Z4,Z2,completed,False,False,True,True,True,False,False,,2026-07-07 08:08:17.337000,0.0,True
W2,workday,P0_no_policy,94,activity-94-2026-07-07-002,work,True,Z5,Z5,completed,False,False,True,True,True,False,False,,2026-07-07 07:10:46.906200,0.0,True
W2,workday,P0_no_policy,95,activity-95-2026-07-07-002,work,True,Z1,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 08:23:29.510040,0.0,True
W2,workday,P0_no_policy,96,activity-96-2026-07-07-002,work,True,Z2,Z3,completed,False,False,True,True,True,False,False,,2026-07-07 07:53:00,0.0,True
W2,workday,P0_no_policy,97,activity-97-2026-07-07-002,work,True,Z2,Z2,completed,False,False,True,True,True,False,False,,2026-07-07 08:25:00,0.0,True
W2,workday,P0_no_policy,98,activity-98-2026-07-07-002,work,True,Z2,Z3,completed,False,False,True,True,True,False,False,,2026-07-07 08:22:32.316000,0.0,True
W2,workday,P0_no_policy,99,activity-99-2026-07-07-002,work,True,Z7,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 10:25:00,0.0,True
W2,workday,P0_no_policy,99,activity-99-2026-07-07-003,social_leisure,False,Z1,Z5,completed,False,False,True,True,True,False,False,,2026-07-07 20:31:58.114560,1.969,True
W2,workday,P0_no_policy,100,activity-100-2026-07-07-002,work,True,Z6,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 09:59:46.419780,0.0,True
W2,workday,P0_no_policy,100,activity-100-2026-07-07-003,shopping,False,Z6,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 20:51:16.540980,0.0,True
W2,workday,P0_no_policy,101,activity-101-2026-07-07-002,work,True,Z7,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 09:55:00,0.0,True
W2,workday,P0_no_policy,102,activity-102-2026-07-07-002,work,True,Z2,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 07:51:07.576440,0.0,True
W2,workday,P0_no_policy,102,activity-102-2026-07-07-003,out_of_home_family_activity,False,Z1,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 18:55:24.096480,0.0,True
W2,workday,P0_no_policy,103,activity-103-2026-07-07-002,work,True,Z7,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 09:48:42.824340,0.0,True
W2,workday,P0_no_policy,104,activity-104-2026-07-07-003,work,True,Z7,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 07:59:27.687660,0.0,True
W2,workday,P0_no_policy,105,activity-105-2026-07-07-003,work,True,Z3,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 07:57:46.699980,0.0,True
W2,workday,P0_no_policy,106,activity-106-2026-07-07-003,work,True,Z2,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 07:26:42.864840,0.0,True
W2,workday,P0_no_policy,106,activity-106-2026-07-07-004,social_leisure,False,Z1,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 20:55:00,0.0,True
W2,workday,P0_no_policy,107,activity-107-2026-07-07-002,work,True,Z2,Z3,completed,False,False,True,True,True,False,False,,2026-07-07 09:24:33.990720,0.0,True
W2,workday,P0_no_policy,107,activity-107-2026-07-07-003,shopping,False,Z3,Z2,completed,False,False,True,True,True,False,False,,2026-07-07 21:25:00,0.0,True
W2,workday,P0_no_policy,108,activity-108-2026-07-07-002,work,True,Z5,Z5,completed,False,False,True,True,True,False,False,,2026-07-07 09:23:30.163500,0.0,True
W2,workday,P0_no_policy,109,activity-109-2026-07-07-002,work,True,Z5,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 09:25:24,0.0,True
W2,workday,P0_no_policy,110,activity-110-2026-07-07-003,medical,True,Z7,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 09:55:40.380000,0.0,True
W2,workday,P0_no_policy,110,activity-110-2026-07-07-004,social_leisure,False,Z7,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 16:42:44.050200,0.0,True
W2,workday,P0_no_policy,112,activity-112-2026-07-07-002,work,True,Z8,Z2,completed,False,False,True,True,True,False,False,,2026-07-07 08:53:51.181800,0.0,True
W2,workday,P0_no_policy,113,activity-113-2026-07-07-002,shopping,False,Z6,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 11:59:41.984340,0.0,True
W2,workday,P0_no_policy,113,activity-113-2026-07-07-003,shopping,False,Z6,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 19:36:14.492460,0.0,True
W2,workday,P0_no_policy,114,activity-114-2026-07-07-002,work,True,Z2,Z8,completed,False,False,True,True,True,False,False,,2026-07-07 09:29:45.420000,0.0,True
W2,workday,P0_no_policy,114,activity-114-2026-07-07-003,social_leisure,False,Z8,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 20:25:00,0.0,True
W2,workday,P0_no_policy,115,activity-115-2026-07-07-002,work,True,Z4,Z4,completed,False,False,True,True,True,False,False,,2026-07-07 08:20:22.563540,0.0,True
W2,workday,P0_no_policy,115,activity-115-2026-07-07-003,visit,False,Z4,Z2,completed,False,False,True,True,True,False,False,,2026-07-07 19:57:40.266667,0.0,True
W2,workday,P0_no_policy,116,activity-116-2026-07-07-003,work,True,Z2,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 09:33:17.986620,0.0,True
W2,workday,P0_no_policy,117,activity-117-2026-07-07-002,work,True,Z2,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 07:57:24.325920,0.0,True
W2,workday,P0_no_policy,118,activity-118-2026-07-07-002,work,True,Z8,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 09:55:00,0.0,True
W2,workday,P0_no_policy,118,activity-118-2026-07-07-003,shopping,False,Z1,Z8,completed,False,False,True,True,True,False,False,,2026-07-07 20:56:06.666667,0.0,True
W2,workday,P0_no_policy,119,activity-119-2026-07-07-002,work,True,Z8,Z3,completed,False,False,True,True,True,False,False,,2026-07-07 07:54:18.461160,0.0,True
W2,workday,P0_no_policy,119,activity-119-2026-07-07-003,visit,False,Z3,Z2,completed,False,False,True,True,True,False,False,,2026-07-07 18:55:00,0.0,True
W2,workday,P0_no_policy,120,activity-120-2026-07-07-002,work,True,Z7,Z4,completed,False,False,True,True,True,False,False,,2026-07-07 07:02:53.874840,0.0,True
W2,workday,P0_no_policy,121,activity-121-2026-07-07-003,work,True,Z2,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 09:23:44.214840,0.0,True
W2,workday,P0_no_policy,122,activity-122-2026-07-07-002,work,True,Z2,Z3,completed,False,False,True,True,True,False,False,,2026-07-07 09:55:40.800000,0.0,True
W2,workday,P0_no_policy,123,activity-123-2026-07-07-003,work,True,Z5,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 08:55:20.240520,0.0,True
W2,workday,P0_no_policy,124,activity-124-2026-07-07-002,work,True,Z6,Z3,completed,False,False,True,True,True,False,False,,2026-07-07 08:23:26.229900,0.0,True
W2,workday,P0_no_policy,125,activity-125-2026-07-07-003,work,True,Z1,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 10:24:26.074740,0.0,True
