decision_id,agent_id,age_group,digital_access,family_assistance,medical_need_level,participant_count,initial_endowment,contribution_tokens,cooperation_fraction,llm_reason,api_decision_succeeded,api_response_source,api_attempt_count,api_input_tokens,api_output_tokens,api_elapsed_ms,response_sha256
coupon-round1:1,1,18-39,True,,,622,20,11,0.55,"I'm moderately cooperative with digital access, aiming to balance personal gain and group benefit.",True,live_api,1,253,31,1038.547,bf990224b39ab2950231289d7bf836effde8661206a1165325467e33c0184e3f
coupon-round1:2,2,18-39,True,,,622,20,11,0.55,"I'm young and digitally connected, so I can afford to contribute moderately to support the public good.",True,live_api,1,253,34,1047.541,5fed538ae1ef41239b7039ee3f1cd09e28c7e353aa4671db61305b9b95d86526
coupon-round1:3,3,18-39,True,,,622,20,11,0.55,"I'm young and digitally connected, so I can contribute moderately to boost cooperation and coupon priority.",True,live_api,1,253,33,1415.783,977c8dd729b791ac8d5e2b9a58be551fc2ae0aa1af56ccddb21c55543341813e
coupon-round1:7,7,18-39,True,,,622,20,11,0.55,"I'm young and digitally connected, so I'll contribute moderately to balance personal gain and group benefit.",True,live_api,1,253,34,1067.684,9b348f55c2b9ea7b2695aac025a9dcc04e41fb54bdbebe3cfdf0ac22a70839cf
coupon-round1:8,8,18-39,True,,,622,20,11,0.55,"I'm young and digitally connected, so I can afford to contribute moderately to build trust for later rounds.",True,live_api,1,253,35,961.001,5f31519e61fdea93f6bd98d10745c5498e9a2222b28875412e9b7115881c7ad6
coupon-round1:9,9,18-39,True,,,622,20,11,0.55,"I'm young and digitally connected, so I'll contribute moderately to balance cooperation and personal gain.",True,live_api,1,253,33,1111.102,e2a9a1fa41f362c42e64334f1416eb8c46e128ad01a4f23bef34767d5d2dd206
coupon-round1:10,10,18-39,True,,,622,20,11,0.55,"I'm young and digitally connected, so I can afford to contribute moderately to build cooperation.",True,live_api,1,253,32,1169.024,6639a717bfd9c37994c9f23859941835d55a7d3da5268f704d314f64a4ccea7e
coupon-round1:11,11,18-39,True,,,622,20,11,0.55,"I'm young and digitally connected, so I'll contribute moderately to balance personal gain and group benefit.",True,live_api,1,253,34,1151.642,9b348f55c2b9ea7b2695aac025a9dcc04e41fb54bdbebe3cfdf0ac22a70839cf
coupon-round1:12,12,18-39,True,,,622,20,11,0.55,"I contribute half my endowment to balance cooperation and self-interest, as the multiplier benefits the group but doesn't create coupons.",True,live_api,1,253,38,874.452,f372f3f826c4e47cadafffdc9e8d14f8cf5b93df0f46cf5272be9877b73a28fd
coupon-round1:13,13,18-39,True,,,622,20,11,0.55,"I'm moderately cooperative with digital access, aiming to balance personal gain and group benefit.",True,live_api,1,253,31,1001.503,bf990224b39ab2950231289d7bf836effde8661206a1165325467e33c0184e3f
coupon-round1:14,14,18-39,True,,,622,20,12,0.6,"I'm young and digitally connected, so I can afford to contribute moderately to build cooperation.",True,live_api,1,253,32,919.653,9bf4f8a9946bec796c7b91109e967d357f941a7f49d1d14327da59a9e8033612
coupon-round1:15,15,18-39,True,,,622,20,11,0.55,"I'm young and digitally connected, so I'll contribute moderately to balance personal gain and group benefit.",True,live_api,1,253,34,875.481,9b348f55c2b9ea7b2695aac025a9dcc04e41fb54bdbebe3cfdf0ac22a70839cf
coupon-round1:16,16,18-39,True,,,622,20,11,0.55,"I'm young and digitally connected, so I'll contribute moderately to balance cooperation and personal gain.",True,live_api,1,253,33,992.141,e2a9a1fa41f362c42e64334f1416eb8c46e128ad01a4f23bef34767d5d2dd206
coupon-round1:17,17,18-39,True,,,622,20,11,0.55,"I'm a young digitally-connected resident with moderate cooperation propensity, contributing half my endowment to balance personal gain and group benefit.",True,live_api,1,253,38,1298.376,49de41df0d4998382b84216424f1f3fba1e551d40588607a1d91edc9bec65627
coupon-round1:18,18,18-39,True,,,622,20,11,0.55,"I'm a young digital user with moderate cooperation propensity, so I'll contribute half my endowment to balance personal gain and group benefit.",True,live_api,1,253,40,1069.225,dfdbb6e5f664fa1ecb1cc987e182dfbdea10f18adb7d3106d567c2e77193c096
coupon-round1:21,21,18-39,True,,,622,20,11,0.55,"I'm moderately cooperative with digital access, aiming for decent public good while keeping some tokens for myself.",True,live_api,1,253,34,974.477,ec9a4f9b8b95c31d24b967ec6071ebed207d9ba689826e87f1c202af6e63ec9c
coupon-round1:23,23,18-39,True,,,622,20,11,0.55,"I'm young and digitally connected, so I can afford to contribute moderately to build trust for later rounds.",True,live_api,1,253,35,947.654,5f31519e61fdea93f6bd98d10745c5498e9a2222b28875412e9b7115881c7ad6
coupon-round1:24,24,18-39,True,,,622,20,11,0.55,"I'm young and digitally connected, so I can afford to contribute moderately to build cooperation.",True,live_api,1,253,32,1198.481,6639a717bfd9c37994c9f23859941835d55a7d3da5268f704d314f64a4ccea7e
coupon-round1:27,27,18-39,True,,,622,20,11,0.55,"I'm moderately cooperative and have digital access, so I'll contribute half my endowment to balance personal gain and group benefit.",True,live_api,1,253,38,983.209,6df80dc28b3c31c04901ba433c9e1c3f747ea40fa632282ac6d5202505e8277b
coupon-round1:28,28,18-39,True,,,622,20,11,0.55,"I'm young and digitally connected, so I can contribute moderately to build cooperation without overextending.",True,live_api,1,253,34,830.243,1d6cefbfd62b04ca19eb3abf10857f47ba688d71a190fea58db25fcb1941b62e
coupon-round1:30,30,18-39,True,,,622,20,11,0.55,"I'm moderately cooperative with digital access, aiming for a decent public pool while keeping some tokens for personal benefit.",True,live_api,1,253,36,1038.749,30f1e42731101a26b1c955fac639ec52336662f1266dd6a89f4174e904f51457
coupon-round1:31,31,18-39,True,,,622,20,11,0.55,"I'm young and digitally connected, so I can afford to contribute moderately to build cooperation.",True,live_api,1,253,32,880.217,6639a717bfd9c37994c9f23859941835d55a7d3da5268f704d314f64a4ccea7e
coupon-round1:32,32,18-39,True,,,622,20,11,0.55,"I contribute half my endowment to balance personal gain and group benefit, given the multiplier and my digital access.",True,live_api,1,253,35,1100.232,bb835d4f00249b5db929de4018f4fc079e1c53efa7a589e3b2ec9c8cc495202d
coupon-round1:33,33,18-39,True,,,622,20,11,0.55,"I'm moderately cooperative with digital access, aiming to balance personal gain and group benefit.",True,live_api,1,253,31,955.927,bf990224b39ab2950231289d7bf836effde8661206a1165325467e33c0184e3f
coupon-round1:34,34,18-39,True,,,622,20,11,0.55,"I'm moderately cooperative with digital access, aiming to balance personal gain and group benefit.",True,live_api,1,253,31,1009.189,bf990224b39ab2950231289d7bf836effde8661206a1165325467e33c0184e3f
coupon-round1:35,35,18-39,True,,,622,20,11,0.55,"I'm young and digitally connected, so I'll contribute moderately to balance cooperation and personal gain.",True,live_api,1,253,33,1032.753,e2a9a1fa41f362c42e64334f1416eb8c46e128ad01a4f23bef34767d5d2dd206
coupon-round1:36,36,18-39,True,,,622,20,11,0.55,"I'm young and digitally connected, so I'll contribute moderately to balance cooperation and personal gain.",True,live_api,1,253,33,1189.769,e2a9a1fa41f362c42e64334f1416eb8c46e128ad01a4f23bef34767d5d2dd206
coupon-round1:39,39,18-39,True,,,622,20,11,0.55,"I'm moderately cooperative and digital access helps me track benefits, so I'll contribute slightly above the base propensity.",True,live_api,1,253,36,913.405,c59fd9dc6afb03c963f3d3ab28781349612b77f41912e0d4c1be967ee72a4090
coupon-round1:40,40,18-39,True,,,622,20,11,0.55,"I'm moderately cooperative with digital access, aiming for decent cooperation score without overcontributing.",True,live_api,1,253,32,938.071,8f32512f77789a88d60594f1b3265381b7bb830ef51e6c12cc3ce65d7d6e7e9c
coupon-round1:41,41,18-39,True,,,622,20,11,0.55,"I'm young and digitally connected, so I can afford to contribute moderately to build trust for later rounds.",True,live_api,1,253,35,1172.73,5f31519e61fdea93f6bd98d10745c5498e9a2222b28875412e9b7115881c7ad6
coupon-round1:42,42,18-39,True,,,622,20,11,0.55,"I'm moderately cooperative and digital access helps me track group signals, so I'll contribute slightly above base propensity.",True,live_api,1,253,36,991.567,1c3006a4e7e2dc6a55a7d96b4734c6500e03102761fb09a5e8fc42292d8d7508
coupon-round1:43,43,18-39,True,,,622,20,11,0.55,"I'm moderately cooperative with digital access, aiming to balance personal gain and group benefit.",True,live_api,1,253,31,850.201,bf990224b39ab2950231289d7bf836effde8661206a1165325467e33c0184e3f
coupon-round1:45,45,18-39,True,,,622,20,11,0.55,"I'm moderately cooperative and have digital access, so I'll contribute a bit above the base propensity to help the group.",True,live_api,1,253,38,1243.324,dd4df52d34f3662507e6d93b53b6b49c962a52d2ddeb19864d78c04f56ff3d44
coupon-round1:46,46,18-39,True,,,622,20,11,0.55,I'm moderately cooperative and digital access helps me track the group signal.,True,live_api,1,253,28,954.867,fc040f512efd7938c31870010364ba4c7f82c1273908d1a204cdf9e59e56a1e5
coupon-round1:47,47,18-39,True,,,622,20,11,0.55,"I'm young and digitally connected, so I can afford to contribute moderately to build cooperation for future rounds.",True,live_api,1,253,35,1170.525,7f684772c34e0034e39d61ea8175ac3d2a93f3a8597a18263e139fce2435379d
coupon-round1:48,48,18-39,True,,,622,20,11,0.55,"I'm moderately cooperative with digital access, aiming for a decent public pool return without over-investing.",True,live_api,1,253,35,1152.615,b3ed95073dfcbe5894c56f0a35e228de651d70dd2d9b00bf95caa351b8bad5cf
coupon-round1:49,49,18-39,True,,,622,20,11,0.55,"I'm young and digitally connected, so I can afford to contribute moderately to build cooperation.",True,live_api,1,253,32,880.349,6639a717bfd9c37994c9f23859941835d55a7d3da5268f704d314f64a4ccea7e
coupon-round1:51,51,18-39,True,,,622,20,11,0.55,"I'm young and digitally connected, so I'll contribute moderately to balance cooperation and personal gain.",True,live_api,1,253,33,930.579,e2a9a1fa41f362c42e64334f1416eb8c46e128ad01a4f23bef34767d5d2dd206
coupon-round1:52,52,18-39,True,,,622,20,11,0.55,"I'm young and digitally connected, so I can afford to contribute moderately to support the public good.",True,live_api,1,253,34,943.471,5fed538ae1ef41239b7039ee3f1cd09e28c7e353aa4671db61305b9b95d86526
coupon-round1:53,53,18-39,True,,,622,20,11,0.55,"I'm moderately cooperative and digital access helps me track benefits, so I'll contribute half my endowment.",True,live_api,1,253,34,1116.958,34949ee9c5ef7ca31687fde4713c4335d2d044a4b5814eac8ba02a868b58c8d7
coupon-round1:55,55,18-39,True,,,622,20,11,0.55,I'm moderately cooperative and digital access allows me to track group signals later.,True,live_api,1,253,29,879.95,bcbb6646352b2305b0832c3fb2564742c51e65292ab9c4f2497b12cee6333fb1
coupon-round1:56,56,18-39,True,,,622,20,11,0.55,I'm moderately cooperative and digital access allows me to track group signals later.,True,live_api,1,253,29,1082.561,bcbb6646352b2305b0832c3fb2564742c51e65292ab9c4f2497b12cee6333fb1
