decision_sequence,decision_id,agent_id,age_group,digital_access,family_assistance,leg_id,purpose,origin_zone,destination_zone,departure_time,weather_scenario,shared_state_key,state_version_before,state_version_after,base_road_flow_pcu_per_hour,endogenous_flow_before,endogenous_flow_after,prior_influencer_count,prior_influencer_leg_ids,mode_probabilities_without_prior_agents,mode_probabilities_with_prior_agents,probability_delta_from_prior_agents,maximum_absolute_probability_delta,affected_by_prior_agents,coupon_awarded,coupon_available_at_choice,coupon_binding_rule,coupon_bound_to_ride_hailing,chosen_mode,chosen_probability,chosen_systematic_utility,chosen_weather_exposure_age_weight,chosen_weather_exposure_medical_need_weight,chosen_weather_exposure_disutility,chosen_fare_sensitivity_multiplier,chosen_age_transfer_burden_minutes,chosen_perceived_time_minutes,chosen_perceived_fare_cost_yuan,llm_reason,api_decision_succeeded,api_call_attempted,api_response_source,api_attempt_count,api_input_tokens,api_output_tokens,api_elapsed_ms,response_sha256,published_traffic_event
1,travel:532-2026-07-07-L01,532,40-59,True,,532-2026-07-07-L01,work,Z5,Z1,2026-07-07 06:00:00,W2,nine_zone_representative|all|2026-07-07T06:00,0,0,24.0,0.0,0.0,0,[],"{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.987084404, ""ride_hailing"": 0.012915596}","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.987084404, ""ride_hailing"": 0.012915596}","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.0, ""ride_hailing"": 0.0}",0.0,False,True,True,first_trip_decision_only,False,metro,0.987084404,-10.17959,1.2,1.0,0.0,1.0,0.0,120.508113,8.0,"Metro is much cheaper and has high probability, despite longer travel time.",True,True,live_api,1,433,29,2316.324,b98c33d4fef975b09a11738e49ddfe628a8ab71146f52ea8a591d8916dc4d1ba,False
2,travel:405-2026-07-07-L01,405,40-59,True,,405-2026-07-07-L01,work,Z5,Z7,2026-07-07 06:00:00,W2,nine_zone_representative|all|2026-07-07T06:00,0,0,24.0,0.0,0.0,0,[],"{""walk"": 0.0, ""bus"": 0.681191991, ""metro"": 0.202853936, ""ride_hailing"": 0.115954073}","{""walk"": 0.0, ""bus"": 0.681191991, ""metro"": 0.202853936, ""ride_hailing"": 0.115954073}","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.0, ""ride_hailing"": 0.0}",0.0,False,False,False,first_trip_decision_only,False,bus,0.681191991,-7.515394,1.2,1.0,0.0,1.0,0.0,102.307814,2.0,Lowest cost and reasonable travel time for a work trip.,True,True,live_api,1,500,26,984.468,94bf9cc9fd7eb69a5efa31bf7fb42764453c9ae919da1ce74bffa760f0e495a7,False
3,travel:661-2026-07-07-L01,661,40-59,True,,661-2026-07-07-L01,work,Z5,Z1,2026-07-07 06:00:00,W2,nine_zone_representative|all|2026-07-07T06:00,0,0,24.0,0.0,0.0,0,[],"{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.998645382, ""ride_hailing"": 0.001354618}","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.998645382, ""ride_hailing"": 0.001354618}","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.0, ""ride_hailing"": 0.0}",0.0,False,False,False,first_trip_decision_only,False,metro,0.998645382,-10.17959,1.2,1.0,0.0,1.0,0.0,120.508113,8.0,Metro is much cheaper and has a high probability of being chosen despite longer travel time.,True,True,live_api,1,433,32,730.665,483bed7334a14435fecfde401dd61c0bc21b5b12556189c01682b7a42f27320a,False
4,travel:707-2026-07-07-L01,707,40-59,True,,707-2026-07-07-L01,work,Z4,Z2,2026-07-07 06:00:00,W2,nine_zone_representative|all|2026-07-07T06:00,0,0,24.0,0.0,0.0,0,[],"{""walk"": 0.0, ""bus"": 0.789858339, ""metro"": 0.052763022, ""ride_hailing"": 0.157378638}","{""walk"": 0.0, ""bus"": 0.789858339, ""metro"": 0.052763022, ""ride_hailing"": 0.157378638}","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.0, ""ride_hailing"": 0.0}",0.0,False,False,False,first_trip_decision_only,False,bus,0.789858339,-9.453195,1.2,1.0,0.0,1.0,0.0,123.026503,2.0,"As a regular worker with a fixed schedule, the bus offers the lowest cost and highest probability, despite longer travel time.",True,True,live_api,1,500,38,1468.641,d37cdb29eeb9a1a2da90ec2545af03ffe57b7ffd31e83a829198bc058cdbdadc,False
5,travel:604-2026-07-07-L01,604,40-59,True,,604-2026-07-07-L01,work,Z4,Z1,2026-07-07 06:00:00,W2,nine_zone_representative|all|2026-07-07T06:00,0,0,24.0,0.0,0.0,0,[],"{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.992730769, ""ride_hailing"": 0.007269231}","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.992730769, ""ride_hailing"": 0.007269231}","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.0, ""ride_hailing"": 0.0}",0.0,False,False,False,first_trip_decision_only,False,metro,0.992730769,-9.597105,1.2,1.0,0.0,1.0,0.0,113.646113,8.0,"Metro is much cheaper and has a high model probability, despite longer travel time.",True,True,live_api,1,433,31,906.988,7b8f596ec3da451913a6615f4b31aaa37c185ad189e78fd12b48ec0db2de8dbe,False
6,travel:727-2026-07-07-L01,727,40-59,True,,727-2026-07-07-L01,work,Z3,Z5,2026-07-07 06:03:10.980000,W2,nine_zone_representative|all|2026-07-07T06:00,0,1,24.0,0.0,6.0,0,[],"{""walk"": 0.0, ""bus"": 0.03573413, ""metro"": 0.696909293, ""ride_hailing"": 0.267356577}","{""walk"": 0.0, ""bus"": 0.03573413, ""metro"": 0.696909293, ""ride_hailing"": 0.267356577}","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.0, ""ride_hailing"": 0.0}",0.0,False,True,True,first_trip_decision_only,True,ride_hailing,0.267356577,-10.823381,1.2,1.0,0.0,1.0,0.0,55.745544,59.056,"Fastest travel time with coupon applied, suitable for a regular worker's commute.",True,True,live_api,1,503,32,803.001,39fdc826f8d940b8f4a3c0e7e6baeb8b5409bbf98cb6ac2e33cbdef51dfcfbce,True
7,travel:119-2026-07-07-L01,119,18-39,True,,119-2026-07-07-L01,work,Z8,Z3,2026-07-07 06:04:44.580000,W2,nine_zone_representative|all|2026-07-07T06:00,1,1,24.0,6.0,6.0,1,"[""727-2026-07-07-L01""]","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.965745751, ""ride_hailing"": 0.034254249}","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.965773991, ""ride_hailing"": 0.034226009}","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 2.824e-05, ""ride_hailing"": -2.824e-05}",2.824e-05,True,False,False,first_trip_decision_only,False,metro,0.965773991,-10.700822,1.0,1.0,0.0,1.0,0.0,109.564686,7.0,"Metro is much cheaper and has a high model probability, despite longer travel time.",True,True,live_api,1,436,28,980.215,e0aa84dce33ac936285c556ad8eaa5f773ab665657001a92130f04c62a2cfe33,False
8,travel:467-2026-07-07-L01,467,40-59,True,,467-2026-07-07-L01,work,Z8,Z3,2026-07-07 06:04:44.580000,W2,nine_zone_representative|all|2026-07-07T06:00,1,1,24.0,6.0,6.0,1,"[""727-2026-07-07-L01""]","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.885582948, ""ride_hailing"": 0.114417052}","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.885656085, ""ride_hailing"": 0.114343915}","{""walk"": 0.0, ""bus"": 0.0, ""metro"": 7.3137e-05, ""ride_hailing"": -7.3137e-05}",7.3137e-05,True,True,True,first_trip_decision_only,False,metro,0.885656085,-9.166916,1.2,1.0,0.0,1.0,0.0,109.564686,7.0,"Metro is much cheaper and has a high model probability, despite longer travel time.",True,True,live_api,1,436,31,811.967,7b8f596ec3da451913a6615f4b31aaa37c185ad189e78fd12b48ec0db2de8dbe,False
9,travel:299-2026-07-07-L01,299,18-39,True,,299-2026-07-07-L01,work,Z1,Z6,2026-07-07 06:05:04.260000,W2,nine_zone_representative|all|2026-07-07T06:00,1,2,24.0,6.0,12.0,1,"[""727-2026-07-07-L01""]","{""walk"": 0.0, ""bus"": 0.126709051, ""metro"": 0.692472494, ""ride_hailing"": 0.180818455}","{""walk"": 0.0, ""bus"": 0.124369314, ""metro"": 0.694145419, ""ride_hailing"": 0.181485267}","{""walk"": 0.0, ""bus"": -0.002339737, ""metro"": 0.001672925, ""ride_hailing"": 0.000666812}",0.002339737,True,False,False,first_trip_decision_only,False,ride_hailing,0.181485267,-12.466124,1.0,1.0,0.28,1.0,0.0,51.499155,67.51,"Fastest travel time with low wait time, suitable for a regular worker commuting to work.",True,True,live_api,1,503,34,1122.577,48205e06d7d3b1f3a865a900149d63614fa721f14cb9d18ef4135c8d910ac9f1,True
10,travel:522-2026-07-07-L01,522,40-59,True,,522-2026-07-07-L01,work,Z6,Z1,2026-07-07 06:05:33.540000,W2,nine_zone_representative|all|2026-07-07T06:00,2,2,24.0,12.0,12.0,2,"[""727-2026-07-07-L01"", ""299-2026-07-07-L01""]","{""walk"": 0.0, ""bus"": 0.081167922, ""metro"": 0.817451947, ""ride_hailing"": 0.101380131}","{""walk"": 0.0, ""bus"": 0.077665907, ""metro"": 0.820466752, ""ride_hailing"": 0.101867341}","{""walk"": 0.0, ""bus"": -0.003502015, ""metro"": 0.003014804, ""ride_hailing"": 0.00048721}",0.003502015,True,False,False,first_trip_decision_only,False,metro,0.820466752,-9.631829,1.2,1.0,0.0,1.0,0.0,112.52407,9.0,Metro has the highest model probability and is cost-effective for work trips.,True,True,live_api,1,503,29,919.049,e26429bbaa88ecb2b40d7a83d2e0dcf7ca8bd3279d9ac81adfdfc765ed3ddf48,False
