leg_id,agent_id,date,day,leg_role,activity_id,purpose,origin_zone,destination_zone,departure_time,planned_activity_start_time,earliest_feasible_departure,unconcentrated_departure_time,departure_time_concentrated,reliability_buffer_min,expected_arrival_time,actual_arrival_time,arrival_delay_minutes,on_time_arrival,activity_completed,late_but_reached,maximum_commute_time_exceeded,maximum_lateness_exceeded,completion_failure_reason,metro_origin_accessible,metro_destination_accessible,origin_feeder_mode,destination_feeder_mode,bus_metro_transfer_count,feeder_bus_time_minutes,feeder_bus_wait_minutes,feeder_bus_access_minutes,feeder_bus_in_vehicle_minutes,feeder_bus_fare_yuan,metro_main_time_minutes,origin_feeder_total_time_minutes,origin_feeder_access_minutes,origin_feeder_wait_minutes,origin_metro_walk_access_minutes,destination_feeder_total_time_minutes,destination_feeder_access_minutes,destination_feeder_wait_minutes,destination_metro_walk_access_minutes,final_attempt_departure_time,primary_mode,primary_failed,primary_failure_reason,fallback_attempted,fallback_succeeded,final_mode,itinerary_pattern,transport_succeeded,wait_minutes,failed_attempt_consumed_minutes,cumulative_wait_minutes,access_time_min,transfer_time_min,in_vehicle_time_min,total_travel_time_min,fare_yuan,primary_network_distance_km,final_network_distance_km,primary_fare_before_coupon_yuan,primary_fare_after_coupon_yuan,fare_before_coupon_yuan,coupon_bound,coupon_scheme_id,coupon_pricing_type,coupon_fare_eligible,coupon_ineligibility_reason,coupon_redeemed,coupon_expired_after_failed_request,coupon_subsidy_yuan,final_speed_kmh,scenario_vc,weather_type_at_departure,expected_outdoor_exposure_minutes_at_choice,weather_exposure_age_weight,weather_exposure_disutility,weather_scenario,policy,experiment_condition,day_type
1-2026-07-07-L01,1,2026-07-07,Tuesday,outbound,activity-1-2026-07-07-002,work,Z3,Z1,2026-07-07 08:18:32.340000,2026-07-07 09:30:00,2026-07-07 07:30:00,2026-07-07 08:18:32.340000,False,8.0,2026-07-07 08:52:24.566820,2026-07-07 08:52:24.566820,0.0,True,True,False,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 08:18:32.340000,ride_hailing,False,,False,False,ride_hailing,walk-ride_hailing-walk,True,10.0,0.0,10.0,2.0,0.0,21.87,33.87,26.52,7.637,7.637,26.52,26.52,26.52,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,20.952,1.142484,heavy_rain,10.0,1.0,0.35,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
1-2026-07-07-L02,1,2026-07-07,Tuesday,return_home,activity-1-2026-07-07-002,return_home,Z1,Z3,2026-07-07 19:30:00,,,,False,5.0,,,,,,False,False,False,,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,36.292,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,2026-07-07 19:30:00,metro,False,,False,False,metro,walk-metro-walk,True,3.2,0.0,3.2,20.0,0.0,13.092,36.292,4.0,8.917,8.917,4.0,4.0,4.0,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,35.0,,heavy_rain,20.0,1.0,0.7,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
10-2026-07-07-L01,10,2026-07-07,Tuesday,outbound,activity-10-2026-07-07-003,work,Z5,Z3,2026-07-07 08:20:16.980000,2026-07-07 10:00:00,2026-07-07 08:00:00,2026-07-07 08:20:16.980000,False,5.0,2026-07-07 09:56:07.306380,2026-07-07 09:56:07.306380,0.0,True,True,False,False,False,,False,True,bus,walk,1,32.317,5.714,12.0,14.603,2.0,58.522,32.317,12.0,5.714,0.0,0.0,0.0,0.0,10.0,2026-07-07 08:20:16.980000,metro,False,,False,False,metro,walk-bus-walk-metro-walk,True,11.114,0.0,11.114,22.0,5.0,57.725,95.839,7.0,29.504,29.504,7.0,7.0,7.0,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,29.004,,heavy_rain,27.714,1.0,0.96999,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
10-2026-07-07-L02,10,2026-07-07,Tuesday,between_activities,activity-10-2026-07-07-004,social_leisure,Z3,Z5,2026-07-07 20:21:10.980000,2026-07-07 21:30:00,2026-07-07 20:00:00,2026-07-07 20:21:10.980000,False,8.0,2026-07-07 21:22:05.797020,2026-07-07 21:22:05.797020,0.0,True,True,False,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 20:21:10.980000,ride_hailing,False,,False,False,ride_hailing,walk-ride_hailing-walk,True,8.0,0.0,8.0,2.0,0.0,50.914,60.914,73.82,25.154,25.154,73.82,73.82,73.82,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,29.643,0.392793,normal,8.0,1.0,0.0,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
10-2026-07-07-L03,10,2026-07-07,Tuesday,return_home,activity-10-2026-07-07-004,return_home,Z5,Z5,2026-07-07 22:30:00,,,,False,8.0,,,,,,False,False,False,,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 22:30:00,ride_hailing,False,,False,False,ride_hailing,walk-ride_hailing-walk,True,10.667,0.0,10.667,2.0,0.0,7.806,20.473,17.48,4.29,4.29,17.48,17.48,17.48,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,32.977,0.336667,normal,10.667,1.0,0.0,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
100-2026-07-07-L01,100,2026-07-07,Tuesday,outbound,activity-100-2026-07-07-002,work,Z6,Z6,2026-07-07 09:16:44.580000,2026-07-07 10:30:00,2026-07-07 08:30:00,2026-07-07 09:16:44.580000,False,8.0,2026-07-07 09:59:46.419780,2026-07-07 09:59:46.419780,0.0,True,True,False,False,False,,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 09:16:44.580000,ride_hailing,False,,False,False,ride_hailing,walk-ride_hailing-walk,True,12.814,0.0,12.814,2.0,0.0,28.216,43.031,33.72,10.304,10.304,33.72,33.72,33.72,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,21.912,0.836601,heavy_rain,12.814,1.0,0.44849,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
100-2026-07-07-L02,100,2026-07-07,Tuesday,between_activities,activity-100-2026-07-07-003,shopping,Z6,Z6,2026-07-07 20:25:05.760000,2026-07-07 21:30:00,2026-07-07 20:00:00,2026-07-07 20:25:05.760000,False,8.0,2026-07-07 20:51:16.540980,2026-07-07 20:51:16.540980,0.0,True,True,False,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 20:25:05.760000,ride_hailing,False,,False,False,ride_hailing,walk-ride_hailing-walk,True,10.667,0.0,10.667,2.0,0.0,13.513,26.18,23.92,6.674,6.674,23.92,23.92,23.92,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,29.635,0.4,normal,10.667,1.0,0.0,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
100-2026-07-07-L03,100,2026-07-07,Tuesday,return_home,activity-100-2026-07-07-003,return_home,Z6,Z6,2026-07-07 22:00:00,,,,False,8.0,,,,,,False,False,False,,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 22:00:00,ride_hailing,False,,False,False,ride_hailing,walk-ride_hailing-walk,True,10.667,0.0,10.667,2.0,0.0,8.135,20.802,17.96,4.468,4.468,17.96,17.96,17.96,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,32.954,0.363333,normal,10.667,1.0,0.0,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
1000-2026-07-07-L01,1000,2026-07-07,Tuesday,outbound,activity-1000-2026-07-07-001,medical,Z3,Z1,2026-07-07 09:33:30.360000,2026-07-07 10:30:00,2026-07-07 08:30:00,2026-07-07 09:33:30.360000,False,10.0,2026-07-07 10:25:00.064140,2026-07-07 10:25:00.064140,0.0,True,True,False,False,False,,True,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 09:33:30.360000,bus,False,,False,False,bus,walk-bus-walk,True,4.8,0.0,4.8,8.0,0.0,38.695,51.495,2.0,9.041,9.041,2.0,2.0,2.0,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,13.026,0.821223,heavy_rain,12.8,1.6,0.86016,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
1000-2026-07-07-L02,1000,2026-07-07,Tuesday,return_home,activity-1000-2026-07-07-001,return_home,Z1,Z3,2026-07-07 13:30:00,,,,False,10.0,,,,,,False,False,False,,True,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 13:30:00,bus,False,,False,False,bus,walk-bus-walk,True,7.0,0.0,7.0,8.0,0.0,28.047,43.047,2.0,9.041,9.041,2.0,2.0,2.0,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,17.972,0.476667,normal,15.0,1.6,0.0,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
