leg_id,agent_id,leg_role,purpose,request_time,dispatch_priority,dispatch_priority_policy,dispatch_priority_group_rank,effective_dispatch_priority,age_group,origin_zone,destination_zone,coupon_bound,coupon_scheme_id,coupon_pricing_type,coupon_fare_eligible,coupon_ineligibility_reason,fare_before_coupon_yuan,fare_after_coupon_yuan,request_network_distance_km,coupon_subsidy_yuan,succeeded,failure_reason,dispatch_time,pickup_wait_min,queue_wait_min,pending_queue_size_at_dispatch,dispatch_sequence,vehicle_id,idle_vehicles_at_request,busy_start,busy_until,previous_busy_until,idle_vehicles_after_dispatch,weather_scenario,policy,experiment_condition,day_type
727-2026-07-07-L01,727,outbound,work,363.1666666666667,0.286734532,P0_first_come,0,0.286734532,40-59,Z3,Z5,True,percentage,percentage,True,,73.82,59.06,25.154,14.76,True,,363.1666666666667,8.0,0.0,1,1,N9RH-workday-Z3-001,20,363.1666666666667,416.9122106666667,0.0,19,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
299-2026-07-07-L01,299,outbound,work,365.06666666666666,0.195201151,P0_first_come,0,0.195201151,18-39,Z1,Z6,False,percentage,percentage,False,coupon_unavailable,67.51,67.51,22.818,0.0,True,,365.06666666666666,8.0,0.0,1,2,N9RH-workday-Z1-001,40,365.06666666666666,414.5658216666667,0.0,39,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
252-2026-07-07-L01,252,outbound,work,371.23333333333335,0.197209869,P0_first_come,0,0.197209869,18-39,Z6,Z6,False,percentage,percentage,False,coupon_unavailable,46.12,46.12,14.896,0.0,True,,371.23333333333335,10.667,0.0,1,3,N9RH-workday-Z6-001,20,371.23333333333335,408.9940143333333,0.0,19,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
530-2026-07-07-L01,530,outbound,work,374.0833333333333,0.219139082,P0_first_come,0,0.219139082,40-59,Z8,Z8,True,percentage,percentage,True,,44.7,35.76,14.37,8.94,True,,374.0833333333333,10.667,0.0,1,4,N9RH-workday-Z8-001,20,374.0833333333333,410.8884093333333,0.0,19,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
189-2026-07-07-L01,189,outbound,work,375.75,0.116407979,P0_first_come,0,0.116407979,18-39,Z2,Z3,False,percentage,percentage,False,coupon_unavailable,46.83,46.83,15.158,0.0,True,,375.75,8.0,0.0,2,5,N9RH-workday-Z2-001,40,375.75,411.324574,0.0,39,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
297-2026-07-07-L01,297,outbound,work,375.75,0.199489655,P0_first_come,0,0.199489655,18-39,Z2,Z3,False,percentage,percentage,False,coupon_unavailable,46.83,46.83,15.158,0.0,True,,375.75,8.0,0.0,1,6,N9RH-workday-Z2-002,40,375.75,411.326522,0.0,38,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
194-2026-07-07-L01,194,outbound,work,377.06666666666666,0.971269683,P0_first_come,0,0.971269683,18-39,Z6,Z6,False,percentage,percentage,False,coupon_unavailable,43.21,43.21,13.817,0.0,True,,377.06666666666666,10.667,0.0,1,7,N9RH-workday-Z6-002,19,377.06666666666666,412.8716466666666,0.0,18,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
12-2026-07-07-L01,12,outbound,work,377.6333333333333,0.540203251,P0_first_come,0,0.540203251,18-39,Z5,Z7,False,percentage,percentage,False,coupon_unavailable,52.15,52.15,17.128,0.0,True,,377.6333333333333,10.667,0.0,1,8,N9RH-workday-Z5-001,20,377.6333333333333,420.4212663333333,0.0,19,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
673-2026-07-07-L01,673,outbound,work,377.78333333333336,0.719145073,P0_first_come,0,0.719145073,40-59,Z9,Z9,False,percentage,percentage,False,coupon_unavailable,38.27,38.27,11.988,0.0,True,,377.78333333333336,16.0,0.0,1,9,N9RH-workday-Z9-001,20,377.78333333333336,415.5965203333334,0.0,19,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
120-2026-07-07-L01,120,outbound,work,382.18333333333334,0.734582222,P0_first_come,0,0.734582222,18-39,Z7,Z4,False,percentage,percentage,False,coupon_unavailable,50.03,50.03,16.345,0.0,True,,382.18333333333334,8.0,0.0,1,10,N9RH-workday-Z7-001,40,382.18333333333334,420.8832473333333,0.0,39,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
