event_sequence,decision_sequence,agent_id,leg_id,mode,flow_contribution_pcu_per_hour,shared_state_key,departure_time,time_bin_start,base_flow_pcu_per_hour,endogenous_flow_before,endogenous_flow_after,total_flow_before,total_flow_after,state_version_after,global_version_after
1,6,727,727-2026-07-07-L01,ride_hailing,6.0,nine_zone_representative|all|2026-07-07T06:00,2026-07-07 06:03:10.980000,2026-07-07 06:00:00,24.0,0.0,6.0,24.0,30.0,1,1
2,9,299,299-2026-07-07-L01,ride_hailing,6.0,nine_zone_representative|all|2026-07-07T06:00,2026-07-07 06:05:04.260000,2026-07-07 06:00:00,24.0,6.0,12.0,30.0,36.0,2,2
3,12,252,252-2026-07-07-L01,ride_hailing,6.0,nine_zone_representative|all|2026-07-07T06:00,2026-07-07 06:11:14.940000,2026-07-07 06:00:00,24.0,12.0,18.0,36.0,42.0,3,3
4,14,530,530-2026-07-07-L01,ride_hailing,6.0,nine_zone_representative|all|2026-07-07T06:00,2026-07-07 06:14:05.160000,2026-07-07 06:00:00,24.0,18.0,24.0,42.0,48.0,4,4
5,15,189,189-2026-07-07-L01,ride_hailing,6.0,nine_zone_representative|all|2026-07-07T06:00,2026-07-07 06:15:45.900000,2026-07-07 06:00:00,24.0,24.0,30.0,48.0,54.0,5,5
6,16,297,297-2026-07-07-L01,ride_hailing,6.0,nine_zone_representative|all|2026-07-07T06:00,2026-07-07 06:15:45.900000,2026-07-07 06:00:00,24.0,30.0,36.0,54.0,60.0,6,6
7,17,194,194-2026-07-07-L01,ride_hailing,6.0,nine_zone_representative|all|2026-07-07T06:00,2026-07-07 06:17:04.080000,2026-07-07 06:00:00,24.0,36.0,42.0,60.0,66.0,7,7
8,18,12,12-2026-07-07-L01,ride_hailing,6.0,nine_zone_representative|all|2026-07-07T06:00,2026-07-07 06:17:38.880000,2026-07-07 06:00:00,24.0,42.0,48.0,66.0,72.0,8,8
9,20,673,673-2026-07-07-L01,ride_hailing,6.0,nine_zone_representative|all|2026-07-07T06:00,2026-07-07 06:17:47.220000,2026-07-07 06:00:00,24.0,48.0,54.0,72.0,78.0,9,9
10,22,120,120-2026-07-07-L01,ride_hailing,6.0,nine_zone_representative|all|2026-07-07T06:00,2026-07-07 06:22:11.880000,2026-07-07 06:00:00,24.0,54.0,60.0,78.0,84.0,10,10
11,25,651,651-2026-07-07-L01,ride_hailing,6.0,nine_zone_representative|all|2026-07-07T06:00,2026-07-07 06:26:58.320000,2026-07-07 06:00:00,24.0,60.0,66.0,84.0,90.0,11,11
12,26,472,472-2026-07-07-L01,ride_hailing,6.0,nine_zone_representative|all|2026-07-07T06:00,2026-07-07 06:26:58.320000,2026-07-07 06:00:00,24.0,66.0,72.0,90.0,96.0,12,12
13,28,459,459-2026-07-07-L01,ride_hailing,6.0,nine_zone_representative|all|2026-07-07T06:00,2026-07-07 06:28:59.700000,2026-07-07 06:00:00,24.0,72.0,78.0,96.0,102.0,13,13
14,32,279,279-2026-07-07-L01,ride_hailing,6.0,nine_zone_representative|all|2026-07-07T06:30,2026-07-07 06:30:00,2026-07-07 06:30:00,24.0,0.0,6.0,24.0,30.0,1,14
15,44,94,94-2026-07-07-L01,ride_hailing,6.0,nine_zone_representative|all|2026-07-07T06:30,2026-07-07 06:35:49.260000,2026-07-07 06:30:00,24.0,6.0,12.0,30.0,36.0,2,15
16,49,296,296-2026-07-07-L01,ride_hailing,6.0,nine_zone_representative|all|2026-07-07T06:30,2026-07-07 06:37:04.740000,2026-07-07 06:30:00,24.0,12.0,18.0,36.0,42.0,3,16
