shared_state_key,corridor_id,direction,time_bin_start,endogenous_flow_pcu_per_hour,state_version,source_leg_ids
nine_zone_representative|all|2026-07-07T06:00,nine_zone_representative,all,2026-07-07 06:00:00,78.0,13,"[""727-2026-07-07-L01"", ""299-2026-07-07-L01"", ""252-2026-07-07-L01"", ""530-2026-07-07-L01"", ""189-2026-07-07-L01"", ""297-2026-07-07-L01"", ""194-2026-07-07-L01"", ""12-2026-07-07-L01"", ""673-2026-07-07-L01"", ""120-2026-07-07-L01"", ""651-2026-07-07-L01"", ""472-2026-07-07-L01"", ""459-2026-07-07-L01""]"
nine_zone_representative|all|2026-07-07T06:30,nine_zone_representative,all,2026-07-07 06:30:00,108.0,18,"[""279-2026-07-07-L01"", ""94-2026-07-07-L01"", ""296-2026-07-07-L01"", ""379-2026-07-07-L01"", ""617-2026-07-07-L01"", ""137-2026-07-07-L01"", ""426-2026-07-07-L01"", ""564-2026-07-07-L01"", ""135-2026-07-07-L01"", ""456-2026-07-07-L01"", ""90-2026-07-07-L01"", ""35-2026-07-07-L01"", ""358-2026-07-07-L01"", ""408-2026-07-07-L01"", ""437-2026-07-07-L01"", ""56-2026-07-07-L01"", ""106-2026-07-07-L01"", ""558-2026-07-07-L01""]"
nine_zone_representative|all|2026-07-07T07:00,nine_zone_representative,all,2026-07-07 07:00:00,144.0,24,"[""539-2026-07-07-L01"", ""93-2026-07-07-L01"", ""585-2026-07-07-L01"", ""464-2026-07-07-L01"", ""257-2026-07-07-L01"", ""663-2026-07-07-L01"", ""139-2026-07-07-L01"", ""449-2026-07-07-L01"", ""584-2026-07-07-L01"", ""134-2026-07-07-L01"", ""723-2026-07-07-L01"", ""378-2026-07-07-L01"", ""268-2026-07-07-L01"", ""205-2026-07-07-L01"", ""368-2026-07-07-L01"", ""862-2026-07-07-L01"", ""49-2026-07-07-L01"", ""130-2026-07-07-L01"", ""168-2026-07-07-L01"", ""423-2026-07-07-L01"", ""117-2026-07-07-L01"", ""38-2026-07-07-L01"", ""332-2026-07-07-L01"", ""710-2026-07-07-L01""]"
nine_zone_representative|all|2026-07-07T07:30,nine_zone_representative,all,2026-07-07 07:30:00,228.0,38,"[""144-2026-07-07-L01"", ""586-2026-07-07-L01"", ""274-2026-07-07-L01"", ""228-2026-07-07-L01"", ""573-2026-07-07-L01"", ""50-2026-07-07-L01"", ""338-2026-07-07-L01"", ""453-2026-07-07-L01"", ""244-2026-07-07-L01"", ""115-2026-07-07-L01"", ""92-2026-07-07-L01"", ""386-2026-07-07-L01"", ""224-2026-07-07-L01"", ""236-2026-07-07-L01"", ""644-2026-07-07-L01"", ""86-2026-07-07-L01"", ""852-2026-07-07-L01"", ""411-2026-07-07-L01"", ""213-2026-07-07-L01"", ""696-2026-07-07-L01"", ""634-2026-07-07-L01"", ""201-2026-07-07-L01"", ""275-2026-07-07-L01"", ""223-2026-07-07-L01"", ""535-2026-07-07-L01"", ""481-2026-07-07-L01"", ""524-2026-07-07-L01"", ""402-2026-07-07-L01"", ""191-2026-07-07-L01"", ""182-2026-07-07-L01"", ""680-2026-07-07-L01"", ""8-2026-07-07-L01"", ""24-2026-07-07-L01"", ""518-2026-07-07-L01"", ""344-2026-07-07-L01"", ""95-2026-07-07-L01"", ""497-2026-07-07-L01"", ""392-2026-07-07-L01""]"
nine_zone_representative|all|2026-07-07T08:00,nine_zone_representative,all,2026-07-07 08:00:00,162.0,27,"[""6-2026-07-07-L01"", ""307-2026-07-07-L01"", ""485-2026-07-07-L01"", ""324-2026-07-07-L01"", ""398-2026-07-07-L01"", ""112-2026-07-07-L01"", ""781-2026-07-07-L01"", ""181-2026-07-07-L01"", ""655-2026-07-07-L01"", ""458-2026-07-07-L01"", ""178-2026-07-07-L01"", ""325-2026-07-07-L01"", ""630-2026-07-07-L01"", ""243-2026-07-07-L01"", ""1-2026-07-07-L01"", ""672-2026-07-07-L01"", ""152-2026-07-07-L01"", ""371-2026-07-07-L01"", ""480-2026-07-07-L01"", ""675-2026-07-07-L01"", ""471-2026-07-07-L01"", ""146-2026-07-07-L01"", ""695-2026-07-07-L01"", ""132-2026-07-07-L01"", ""308-2026-07-07-L01"", ""67-2026-07-07-L01"", ""986-2026-07-07-L01""]"
nine_zone_representative|all|2026-07-07T08:30,nine_zone_representative,all,2026-07-07 08:30:00,156.0,26,"[""583-2026-07-07-L01"", ""698-2026-07-07-L01"", ""76-2026-07-07-L01"", ""28-2026-07-07-L01"", ""420-2026-07-07-L01"", ""384-2026-07-07-L01"", ""390-2026-07-07-L01"", ""382-2026-07-07-L01"", ""175-2026-07-07-L01"", ""503-2026-07-07-L01"", ""14-2026-07-07-L01"", ""238-2026-07-07-L01"", ""128-2026-07-07-L01"", ""108-2026-07-07-L01"", ""54-2026-07-07-L01"", ""218-2026-07-07-L01"", ""603-2026-07-07-L01"", ""711-2026-07-07-L01"", ""597-2026-07-07-L01"", ""121-2026-07-07-L01"", ""355-2026-07-07-L01"", ""256-2026-07-07-L01"", ""446-2026-07-07-L01"", ""789-2026-07-07-L01"", ""628-2026-07-07-L01"", ""116-2026-07-07-L01""]"
nine_zone_representative|all|2026-07-07T09:00,nine_zone_representative,all,2026-07-07 09:00:00,150.0,25,"[""363-2026-07-07-L01"", ""329-2026-07-07-L01"", ""300-2026-07-07-L01"", ""301-2026-07-07-L01"", ""642-2026-07-07-L01"", ""685-2026-07-07-L01"", ""511-2026-07-07-L01"", ""884-2026-07-07-L01"", ""100-2026-07-07-L01"", ""430-2026-07-07-L01"", ""129-2026-07-07-L01"", ""463-2026-07-07-L01"", ""619-2026-07-07-L01"", ""387-2026-07-07-L01"", ""136-2026-07-07-L01"", ""548-2026-07-07-L01"", ""190-2026-07-07-L01"", ""447-2026-07-07-L01"", ""65-2026-07-07-L01"", ""612-2026-07-07-L01"", ""394-2026-07-07-L01"", ""188-2026-07-07-L01"", ""4-2026-07-07-L01"", ""265-2026-07-07-L01"", ""592-2026-07-07-L01""]"
nine_zone_representative|all|2026-07-07T09:30,nine_zone_representative,all,2026-07-07 09:30:00,192.0,32,"[""435-2026-07-07-L01"", ""429-2026-07-07-L01"", ""231-2026-07-07-L01"", ""19-2026-07-07-L01"", ""746-2026-07-07-L01"", ""400-2026-07-07-L01"", ""353-2026-07-07-L01"", ""571-2026-07-07-L01"", ""418-2026-07-07-L01"", ""304-2026-07-07-L01"", ""334-2026-07-07-L01"", ""572-2026-07-07-L01"", ""650-2026-07-07-L01"", ""247-2026-07-07-L01"", ""70-2026-07-07-L01"", ""197-2026-07-07-L01"", ""87-2026-07-07-L01"", ""214-2026-07-07-L01"", ""164-2026-07-07-L01"", ""802-2026-07-07-L01"", ""184-2026-07-07-L01"", ""151-2026-07-07-L01"", ""912-2026-07-07-L01"", ""153-2026-07-07-L01"", ""724-2026-07-07-L01"", ""63-2026-07-07-L01"", ""635-2026-07-07-L01"", ""2-2026-07-07-L01"", ""726-2026-07-07-L01"", ""319-2026-07-07-L01"", ""323-2026-07-07-L01"", ""474-2026-07-07-L01""]"
nine_zone_representative|all|2026-07-07T10:00,nine_zone_representative,all,2026-07-07 10:00:00,18.0,3,"[""440-2026-07-07-L01"", ""736-2026-07-07-L01"", ""944-2026-07-07-L01""]"
nine_zone_representative|all|2026-07-07T10:30,nine_zone_representative,all,2026-07-07 10:30:00,24.0,4,"[""996-2026-07-07-L01"", ""954-2026-07-07-L01"", ""739-2026-07-07-L01"", ""669-2026-07-07-L01""]"
