day_type,vehicle_id,current_zone,status,busy_until,destination_zone,weather_scenario,policy,experiment_condition
workday,N9RH-workday-Z1-001,Z1,idle,1371.906752,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-002,Z6,idle,1380.429457,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-003,Z4,idle,1370.8676839999998,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-004,Z6,idle,1373.541423,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-005,Z4,idle,1377.4589179999998,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-006,Z5,idle,1375.095114,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-007,Z2,idle,1334.823841,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-008,Z1,idle,1371.890963,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-009,Z8,idle,1367.996537,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-010,Z4,idle,1357.740433,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-011,Z8,idle,1341.454358,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-012,Z8,idle,1228.536531,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-013,Z7,idle,1368.308468,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-014,Z8,idle,1149.037514,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-015,Z3,idle,1082.27844,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-016,Z3,idle,1112.109414,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-017,Z3,idle,1082.335975,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-018,Z8,idle,1258.53226,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-019,Z8,idle,1203.577037,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-020,Z2,idle,1371.678153,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-021,Z2,idle,1277.201923,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-022,Z3,idle,1253.462474,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-023,Z2,idle,1279.011844,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-024,Z3,idle,1168.907957,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-025,Z5,idle,1354.787899,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-026,Z2,idle,1280.041172,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-027,Z3,idle,1280.0405396666665,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-028,Z3,idle,1283.452515,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-029,Z2,idle,1283.20186,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-030,Z3,idle,1283.447179,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-031,Z2,idle,1341.679888,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-032,Z1,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-033,Z1,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-034,Z1,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-035,Z1,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-036,Z1,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z1-037,Z1,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
