behavior_scenario,weather_scenario,metric,seed_count,mean,std_dev,minimum,maximum
A0_no_exposure_disutility,W0,elder_successful_legs,3,77.666667,2.309401,75.0,79.0
A0_no_exposure_disutility,W0,elder_walking_share,3,0.0,0.0,0.0,0.0
A0_no_exposure_disutility,W0,elder_bus_share,3,0.89249,0.02753,0.873418,0.924051
A0_no_exposure_disutility,W0,elder_metro_share,3,0.103291,0.034797,0.063291,0.126582
A0_no_exposure_disutility,W0,elder_ride_hailing_share,3,0.004219,0.007308,0.0,0.012658
A0_no_exposure_disutility,W0,elder_ride_hailing_requests,3,0.333333,0.57735,0.0,1.0
A0_no_exposure_disutility,W0,elder_mean_choice_exposure_disutility,3,0.0,0.0,0.0,0.0
A0_no_exposure_disutility,W0,elder_total_outdoor_exposure_minutes,3,1419.702,13.160235,1410.618,1434.794
A0_no_exposure_disutility,W0,elder_total_heat_risk_burden,3,0.0,0.0,0.0,0.0
A0_no_exposure_disutility,W0,elder_necessary_activity_completion_rate,3,1.0,0.0,1.0,1.0
A0_no_exposure_disutility,W1,elder_successful_legs,3,73.666667,3.785939,71.0,78.0
A0_no_exposure_disutility,W1,elder_walking_share,3,0.0,0.0,0.0,0.0
A0_no_exposure_disutility,W1,elder_bus_share,3,0.876841,0.028955,0.859155,0.910256
A0_no_exposure_disutility,W1,elder_metro_share,3,0.114256,0.033288,0.076923,0.140845
A0_no_exposure_disutility,W1,elder_ride_hailing_share,3,0.008903,0.007729,0.0,0.013889
A0_no_exposure_disutility,W1,elder_ride_hailing_requests,3,0.666667,0.57735,0.0,1.0
A0_no_exposure_disutility,W1,elder_mean_choice_exposure_disutility,3,0.0,0.0,0.0,0.0
A0_no_exposure_disutility,W1,elder_total_outdoor_exposure_minutes,3,1337.297333,78.692732,1275.194,1425.794
A0_no_exposure_disutility,W1,elder_total_heat_risk_burden,3,18709.838479,1397.460863,17251.603636,20037.337234
A0_no_exposure_disutility,W1,elder_necessary_activity_completion_rate,3,1.0,0.0,1.0,1.0
A0_no_exposure_disutility,W2,elder_successful_legs,3,70.666667,4.932883,65.0,74.0
A0_no_exposure_disutility,W2,elder_walking_share,3,0.0,0.0,0.0,0.0
A0_no_exposure_disutility,W2,elder_bus_share,3,0.822228,0.040399,0.780822,0.861538
A0_no_exposure_disutility,W2,elder_metro_share,3,0.173267,0.041488,0.138462,0.219178
A0_no_exposure_disutility,W2,elder_ride_hailing_share,3,0.004505,0.007802,0.0,0.013514
A0_no_exposure_disutility,W2,elder_ride_hailing_requests,3,0.333333,0.57735,0.0,1.0
A0_no_exposure_disutility,W2,elder_mean_choice_exposure_disutility,3,0.0,0.0,0.0,0.0
