seed,behavior_scenario,weather_scenario,elder_agent_count,elder_successful_legs,elder_walking_share,elder_bus_share,elder_metro_share,elder_ride_hailing_share,elder_ride_hailing_requests,elder_mean_choice_exposure_disutility,elder_total_outdoor_exposure_minutes,elder_total_heat_risk_burden,elder_necessary_activity_completion_rate
47,A0_no_exposure_disutility,W0,54,79,0.0,0.924051,0.063291,0.012658,1,0.0,1434.794,0.0,1.0
47,A0_no_exposure_disutility,W1,54,78,0.0,0.910256,0.076923,0.012821,1,0.0,1425.794,20037.337234,1.0
47,A0_no_exposure_disutility,W2,54,74,0.0,0.824324,0.162162,0.013514,1,0.0,1445.115,0.0,1.0
47,A1_moderate_exposure_disutility,W0,54,79,0.0,0.924051,0.063291,0.012658,1,0.0,1434.794,0.0,1.0
47,A1_moderate_exposure_disutility,W1,54,78,0.0,0.923077,0.064103,0.012821,1,0.222241,1422.794,19994.437234,1.0
47,A1_moderate_exposure_disutility,W2,54,74,0.0,0.837838,0.148649,0.013514,1,0.10364,1437.115,0.0,1.0
47,A2_strong_exposure_disutility,W0,54,79,0.0,0.924051,0.063291,0.012658,1,0.0,1434.794,0.0,1.0
47,A2_strong_exposure_disutility,W1,54,78,0.0,0.910256,0.064103,0.025641,2,0.437482,1408.794,19760.675567,1.0
47,A2_strong_exposure_disutility,W2,54,74,0.0,0.851351,0.135135,0.013514,1,0.200956,1422.115,0.0,1.0
48,A0_no_exposure_disutility,W0,54,79,0.0,0.873418,0.126582,0.0,0,0.0,1413.694,0.0,1.0
48,A0_no_exposure_disutility,W1,54,71,0.0,0.859155,0.140845,0.0,0,0.0,1275.194,17251.603636,1.0
48,A0_no_exposure_disutility,W2,54,65,0.0,0.861538,0.138462,0.0,0,0.0,1223.031,0.0,0.923077
48,A1_moderate_exposure_disutility,W0,54,79,0.0,0.873418,0.126582,0.0,0,0.0,1413.694,0.0,1.0
48,A1_moderate_exposure_disutility,W1,54,71,0.0,0.84507,0.140845,0.014085,1,0.200376,1261.194,17069.386969,1.0
48,A1_moderate_exposure_disutility,W2,54,65,0.0,0.876923,0.123077,0.0,0,0.114282,1206.174,0.0,0.923077
48,A2_strong_exposure_disutility,W0,54,79,0.0,0.873418,0.126582,0.0,0,0.0,1413.694,0.0,1.0
48,A2_strong_exposure_disutility,W1,54,71,0.0,0.84507,0.140845,0.014085,1,0.400751,1261.194,17069.386969,1.0
48,A2_strong_exposure_disutility,W2,54,65,0.0,0.892308,0.107692,0.0,0,0.221364,1191.174,0.0,0.923077
49,A0_no_exposure_disutility,W0,54,75,0.0,0.88,0.12,0.0,0,0.0,1410.618,0.0,1.0
49,A0_no_exposure_disutility,W1,54,72,0.0,0.861111,0.125,0.013889,1,0.0,1310.904,18840.574566,1.0
49,A0_no_exposure_disutility,W2,54,73,0.0,0.780822,0.219178,0.0,0,0.0,1461.213,0.0,1.0
49,A1_moderate_exposure_disutility,W0,54,75,0.0,0.88,0.12,0.0,0,0.0,1410.618,0.0,1.0
49,A1_moderate_exposure_disutility,W1,54,72,0.0,0.888889,0.111111,0.0,0,0.216275,1314.904,18858.882899,1.0
49,A1_moderate_exposure_disutility,W2,54,73,0.0,0.794521,0.205479,0.0,0,0.120053,1451.213,0.0,1.0
49,A2_strong_exposure_disutility,W0,54,75,0.0,0.88,0.12,0.0,0,0.0,1410.618,0.0,1.0
49,A2_strong_exposure_disutility,W1,54,72,0.0,0.875,0.111111,0.013889,1,0.420633,1292.904,18496.724566,1.0
49,A2_strong_exposure_disutility,W2,54,73,0.0,0.808219,0.191781,0.0,0,0.237161,1444.324,0.0,1.0
