behavior_scenario,weather_scenario,metric,seed_count,mean,std_dev,minimum,maximum
A0_no_exposure_disutility,W0,walking_mode_share,3,0.015373,0.011139,0.007595,0.028133
A0_no_exposure_disutility,W0,bus_mode_share,3,0.572192,0.003854,0.56962,0.576623
A0_no_exposure_disutility,W0,metro_mode_share,3,0.348451,0.013975,0.332481,0.358442
A0_no_exposure_disutility,W0,ride_hailing_mode_share,3,0.063984,0.008182,0.054545,0.069054
A0_no_exposure_disutility,W0,ride_hailing_requests,3,25.0,3.464102,21.0,27.0
A0_no_exposure_disutility,W0,successful_ride_hailing_requests,3,25.0,3.464102,21.0,27.0
A0_no_exposure_disutility,W0,failed_ride_hailing_requests,3,0.0,0.0,0.0,0.0
A0_no_exposure_disutility,W0,mean_ride_hailing_wait_minutes,3,10.873333,0.213786,10.63,11.031
A0_no_exposure_disutility,W0,mean_total_travel_time,3,63.331,2.029191,61.147,65.158
A0_no_exposure_disutility,W0,activity_completion_rate,3,0.98425,0.002479,0.981395,0.985849
A0_no_exposure_disutility,W0,necessary_activity_completion_rate,3,0.982117,0.010188,0.973154,0.993197
A0_no_exposure_disutility,W0,total_outdoor_exposure_minutes,3,7326.790333,169.029603,7149.564,7486.214
A0_no_exposure_disutility,W0,total_heat_risk_burden,3,0.0,0.0,0.0,0.0
A0_no_exposure_disutility,W1,walking_mode_share,3,0.015576,0.01117,0.007653,0.028351
A0_no_exposure_disutility,W1,bus_mode_share,3,0.560413,0.011061,0.548969,0.571046
A0_no_exposure_disutility,W1,metro_mode_share,3,0.35744,0.012941,0.342784,0.367292
A0_no_exposure_disutility,W1,ride_hailing_mode_share,3,0.066571,0.014617,0.050938,0.079897
A0_no_exposure_disutility,W1,ride_hailing_requests,3,25.666667,6.110101,19.0,31.0
A0_no_exposure_disutility,W1,successful_ride_hailing_requests,3,25.666667,6.110101,19.0,31.0
A0_no_exposure_disutility,W1,failed_ride_hailing_requests,3,0.0,0.0,0.0,0.0
A0_no_exposure_disutility,W1,mean_ride_hailing_wait_minutes,3,10.974,0.368729,10.613,11.35
A0_no_exposure_disutility,W1,mean_total_travel_time,3,63.499667,2.275545,60.918,65.214
A0_no_exposure_disutility,W1,activity_completion_rate,3,0.966733,0.013205,0.951691,0.976415
A0_no_exposure_disutility,W1,necessary_activity_completion_rate,3,0.982117,0.010188,0.973154,0.993197
A0_no_exposure_disutility,W1,total_outdoor_exposure_minutes,3,7221.219,242.991854,6964.064,7447.0
A0_no_exposure_disutility,W1,total_heat_risk_burden,3,57209.644997,2326.853274,54793.957014,59436.10807
A0_no_exposure_disutility,W2,walking_mode_share,3,0.008151,0.002836,0.005348,0.011019
