behavior_scenario,seed,policy,experiment_condition,weather_scenario,weather_type,day_type,agent_count,planned_activities,completed_activities,activity_completion_rate,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,weather_cancelled_activities,transport_unmet_activities,necessary_transport_unmet_activities,planned_legs,successful_legs,transport_unmet_legs,transport_success_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,walking_mode_share,bus_mode_share,metro_mode_share,ride_hailing_mode_share,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,ride_hailing_failed,fallback_attempts,fallback_successes,fallback_succeeded,fallback_failed,late_but_reached,reached_but_activity_incomplete,transport_unmet,mandatory_activity_incomplete,mean_bus_wait_minutes,mean_metro_wait_minutes,bus_metro_transfer_legs,bus_metro_transfer_share_of_metro,mean_feeder_bus_time_minutes,mean_ride_hailing_wait_minutes,mean_total_travel_time,mean_fare_yuan,on_time_arrivals,on_time_arrival_rate,bus_activity_arrivals,bus_late_arrivals,bus_late_arrival_rate,interzonal_metro_legs,interzonal_metro_share,scheduled_bus_vehicle_trips,bus_demand,bus_feeder_boardings,total_bus_passenger_boardings,successful_ride_hailing_vehicle_trips,road_vehicle_volume,mean_volume_capacity_ratio,mean_road_speed_kmh,intrazonal_successful_legs,interzonal_successful_legs,initial_ride_hailing_vehicles,end_idle_vehicles,end_busy_vehicles,end_idle_by_zone,feedback_flow_is_first_round_successful_rides,metro_enabled,weather_exposed_activities,remote_work,travel_required_activities,transport_related_unmet,necessary_transport_related_unmet,total_outdoor_exposure_minutes,total_heat_hazard_dose_c_min,total_heat_risk_burden,necessary_heat_risk_burden,heat_risk_per_completed_travel_required_necessary_activity,heat_risk_per_planned_travel_required_necessary_activity,total_rain_exposure_minutes,total_system_wait_minutes
A0_no_exposure_disutility,47,P0_no_policy,A0_no_exposure_disutility,W0,normal,workday,200,215,211,0.981395,149,145,0.973154,0,0,0,395,395,0,1.0,3,225,140,27,0.007595,0.56962,0.35443,0.068354,27,27,0,0,0,0,0,0,5,4,0,4,7.286,8.439,77,0.55,27.266,10.959,65.158,5.994,210,0.976744,115,1,0.008696,122,0.493927,1018.941,225,89,314,27,1045.941,0.689706,17.568,148,247,48,48,0,"{""Z1"": 7, ""Z2"": 7, ""Z3"": 5, ""Z4"": 4, ""Z5"": 4, ""Z6"": 4, ""Z7"": 9, ""Z8"": 4, ""Z9"": 4}",True,True,0,0,215,0,0,7486.214,0.0,0.0,0.0,0.0,0.0,0.0,3116.681
A0_no_exposure_disutility,47,P0_no_policy,A0_no_exposure_disutility,W1,extreme_heat,workday,200,215,209,0.972093,149,145,0.973154,2,0,0,392,392,0,1.0,3,220,142,27,0.007653,0.561224,0.362245,0.068878,27,27,0,0,0,0,0,0,5,4,0,4,7.317,8.403,77,0.542254,27.377,10.959,65.214,6.043,208,0.976526,113,1,0.00885,124,0.508197,1018.941,220,90,310,27,1045.941,0.689178,17.603,148,244,48,48,0,"{""Z1"": 7, ""Z2"": 7, ""Z3"": 5, ""Z4"": 4, ""Z5"": 4, ""Z6"": 4, ""Z7"": 9, ""Z8"": 4, ""Z9"": 4}",True,True,27,0,213,0,0,7447.0,53180.221668,59436.10807,36429.473735,251.23775,244.493112,0.0,3098.967
A0_no_exposure_disutility,47,P0_no_policy,A0_no_exposure_disutility,W2,heavy_rain,workday,200,215,197,0.916279,149,141,0.946309,8,0,0,374,374,0,1.0,2,148,177,47,0.005348,0.395722,0.473262,0.125668,47,47,0,0,0,0,0,0,9,10,0,8,8.139,9.097,108,0.610169,31.125,10.838,68.266,8.065,191,0.955,69,2,0.028986,152,0.633333,1018.941,148,134,282,47,1065.941,0.736928,16.967,134,240,48,48,0,"{""Z1"": 7, ""Z2"": 7, ""Z3"": 3, ""Z4"": 4, ""Z5"": 5, ""Z6"": 6, ""Z7"": 9, ""Z8"": 4, ""Z9"": 3}",True,True,170,7,200,0,0,7814.056,0.0,0.0,0.0,0.0,0.0,4955.375985,3324.149
A1_moderate_exposure_disutility,47,P0_no_policy,A1_moderate_exposure_disutility,W0,normal,workday,200,215,211,0.981395,149,145,0.973154,0,0,0,395,395,0,1.0,3,225,140,27,0.007595,0.56962,0.35443,0.068354,27,27,0,0,0,0,0,0,5,4,0,4,7.286,8.439,77,0.55,27.266,10.959,65.158,5.994,210,0.976744,115,1,0.008696,122,0.493927,1018.941,225,89,314,27,1045.941,0.689706,17.568,148,247,48,48,0,"{""Z1"": 7, ""Z2"": 7, ""Z3"": 5, ""Z4"": 4, ""Z5"": 4, ""Z6"": 4, ""Z7"": 9, ""Z8"": 4, ""Z9"": 4}",True,True,0,0,215,0,0,7486.214,0.0,0.0,0.0,0.0,0.0,0.0,3116.681
A1_moderate_exposure_disutility,47,P0_no_policy,A1_moderate_exposure_disutility,W1,extreme_heat,workday,200,215,209,0.972093,149,145,0.973154,2,0,0,392,392,0,1.0,3,223,139,27,0.007653,0.568878,0.354592,0.068878,27,27,0,0,0,0,0,0,5,4,0,4,7.288,8.437,76,0.546763,27.248,10.959,65.308,6.014,208,0.976526,113,1,0.00885,121,0.495902,1018.941,223,88,311,27,1045.941,0.689533,17.577,148,244,48,48,0,"{""Z1"": 7, ""Z2"": 7, ""Z3"": 5, ""Z4"": 4, ""Z5"": 4, ""Z6"": 4, ""Z7"": 9, ""Z8"": 4, ""Z9"": 4}",True,True,27,0,213,0,0,7428.5,52987.105001,59217.079736,36253.345401,250.023072,243.311043,0.0,3093.967
A1_moderate_exposure_disutility,47,P0_no_policy,A1_moderate_exposure_disutility,W2,heavy_rain,workday,200,215,197,0.916279,149,141,0.946309,8,0,0,374,374,0,1.0,2,150,170,52,0.005348,0.40107,0.454545,0.139037,52,52,0,0,0,0,0,0,9,10,0,8,8.065,9.069,103,0.605882,31.154,10.964,68.26,8.333,191,0.955,71,2,0.028169,145,0.604167,1018.941,150,128,278,52,1070.941,0.743737,17.04,134,240,48,48,0,"{""Z1"": 7, ""Z2"": 6, ""Z3"": 3, ""Z4"": 4, ""Z5"": 5, ""Z6"": 6, ""Z7"": 9, ""Z8"": 5, ""Z9"": 3}",True,True,170,7,200,0,0,7704.281,0.0,0.0,0.0,0.0,0.0,4860.755104,3321.563
A2_strong_exposure_disutility,47,P0_no_policy,A2_strong_exposure_disutility,W0,normal,workday,200,215,211,0.981395,149,145,0.973154,0,0,0,395,395,0,1.0,3,225,140,27,0.007595,0.56962,0.35443,0.068354,27,27,0,0,0,0,0,0,5,4,0,4,7.286,8.439,77,0.55,27.266,10.959,65.158,5.994,210,0.976744,115,1,0.008696,122,0.493927,1018.941,225,89,314,27,1045.941,0.689706,17.568,148,247,48,48,0,"{""Z1"": 7, ""Z2"": 7, ""Z3"": 5, ""Z4"": 4, ""Z5"": 4, ""Z6"": 4, ""Z7"": 9, ""Z8"": 4, ""Z9"": 4}",True,True,0,0,215,0,0,7486.214,0.0,0.0,0.0,0.0,0.0,0.0,3116.681
A2_strong_exposure_disutility,47,P0_no_policy,A2_strong_exposure_disutility,W1,extreme_heat,workday,200,215,209,0.972093,149,145,0.973154,2,0,0,392,392,0,1.0,3,222,139,28,0.007653,0.566327,0.354592,0.071429,28,28,0,0,0,0,0,0,5,4,0,4,7.276,8.437,76,0.546763,27.248,10.854,65.264,6.045,208,0.976526,113,1,0.00885,121,0.495902,1018.941,222,88,310,28,1046.941,0.689544,17.639,148,244,48,48,0,"{""Z1"": 7, ""Z2"": 7, ""Z3"": 5, ""Z4"": 4, ""Z5"": 4, ""Z6"": 4, ""Z7"": 9, ""Z8"": 4, ""Z9"": 4}",True,True,27,0,213,0,0,7414.5,52807.288334,58983.318069,36253.345401,250.023072,243.311043,0.0,3091.967
A2_strong_exposure_disutility,47,P0_no_policy,A2_strong_exposure_disutility,W2,heavy_rain,workday,200,215,198,0.92093,149,142,0.95302,8,0,0,374,374,0,1.0,2,152,163,57,0.005348,0.406417,0.435829,0.152406,57,57,0,0,0,0,0,0,8,9,0,7,8.034,9.027,98,0.601227,31.096,10.918,67.955,8.792,192,0.96,72,1,0.013889,141,0.5875,1018.941,152,121,273,57,1075.941,0.751759,17.147,134,240,48,48,0,"{""Z1"": 6, ""Z2"": 7, ""Z3"": 3, ""Z4"": 4, ""Z5"": 5, ""Z6"": 6, ""Z7"": 9, ""Z8"": 5, ""Z9"": 3}",True,True,170,7,200,0,0,7602.403,0.0,0.0,0.0,0.0,0.0,4784.2408,3314.955
A0_no_exposure_disutility,48,P0_no_policy,A0_no_exposure_disutility,W0,normal,workday,200,207,204,0.985507,147,146,0.993197,0,0,0,385,385,0,1.0,4,222,138,21,0.01039,0.576623,0.358442,0.054545,21,21,0,0,0,0,0,0,4,3,0,1,6.73,7.982,67,0.485507,26.466,11.031,63.688,4.892,203,0.980676,113,3,0.026549,118,0.502128,1018.941,222,75,297,21,1039.941,0.723329,17.219,150,235,48,48,0,"{""Z1"": 9, ""Z2"": 6, ""Z3"": 4, ""Z4"": 4, ""Z5"": 4, ""Z6"": 6, ""Z7"": 8, ""Z8"": 5, ""Z9"": 2}",True,True,0,0,207,0,0,7149.564,0.0,0.0,0.0,0.0,0.0,0.0,2827.146
