seed,day_type,vehicle_id,current_zone,status,busy_until,destination_zone,weather_scenario,policy,experiment_condition
47,workday,N9RH-workday-Z1-001,Z1,idle,1371.889487,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z1-002,Z3,idle,1194.42823,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z1-003,Z3,idle,1194.42823,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z1-004,Z1,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z1-005,Z1,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z1-006,Z1,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z1-007,Z1,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z1-008,Z1,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z2-001,Z1,idle,619.9913966666667,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z2-002,Z2,idle,1276.273077,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z2-003,Z2,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z2-004,Z2,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z2-005,Z2,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z2-006,Z2,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z2-007,Z2,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z2-008,Z2,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z3-001,Z4,idle,1336.5664809999998,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z3-002,Z3,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z3-003,Z3,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z3-004,Z3,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z4-001,Z7,idle,476.362405,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z4-002,Z4,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z4-003,Z4,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z4-004,Z4,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z5-001,Z5,idle,1160.0245503333333,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z5-002,Z5,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z5-003,Z5,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z5-004,Z5,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z6-001,Z9,idle,1387.338358,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z6-002,Z8,idle,1164.8594229999999,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z6-003,Z6,idle,1345.461715,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z6-004,Z6,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z7-001,Z7,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z7-002,Z7,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z7-003,Z7,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z7-004,Z7,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z7-005,Z7,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z7-006,Z7,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z7-007,Z7,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z7-008,Z7,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z8-001,Z6,idle,620.7271503333334,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z8-002,Z8,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z8-003,Z8,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z8-004,Z8,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z9-001,Z6,idle,499.79761333333335,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z9-002,Z9,idle,502.1739533333333,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z9-003,Z9,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z9-004,Z9,idle,0.0,,W0,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z1-001,Z1,idle,1371.889487,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z1-002,Z3,idle,1194.42823,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z1-003,Z3,idle,1194.42823,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z1-004,Z1,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z1-005,Z1,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z1-006,Z1,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z1-007,Z1,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z1-008,Z1,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z2-001,Z1,idle,619.9913966666667,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z2-002,Z2,idle,1276.273077,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z2-003,Z2,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z2-004,Z2,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z2-005,Z2,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z2-006,Z2,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z2-007,Z2,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z2-008,Z2,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z3-001,Z4,idle,1336.5664809999998,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z3-002,Z3,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z3-003,Z3,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z3-004,Z3,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z4-001,Z7,idle,476.362405,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z4-002,Z4,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z4-003,Z4,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z4-004,Z4,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z5-001,Z5,idle,1160.0245503333333,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z5-002,Z5,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z5-003,Z5,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z5-004,Z5,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z6-001,Z9,idle,1387.338358,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z6-002,Z8,idle,1164.8594229999999,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z6-003,Z6,idle,1345.461715,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z6-004,Z6,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z7-001,Z7,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z7-002,Z7,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z7-003,Z7,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z7-004,Z7,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z7-005,Z7,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z7-006,Z7,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z7-007,Z7,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z7-008,Z7,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z8-001,Z6,idle,620.7271503333334,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z8-002,Z8,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z8-003,Z8,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z8-004,Z8,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z9-001,Z6,idle,499.79761333333335,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z9-002,Z9,idle,502.1739533333333,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z9-003,Z9,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z9-004,Z9,idle,0.0,,W1,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z1-001,Z5,idle,1279.9840920000001,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z1-002,Z2,idle,1268.633402,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z1-003,Z2,idle,1277.193151,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z1-004,Z1,idle,1371.889487,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z1-005,Z1,idle,0.0,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z1-006,Z1,idle,0.0,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z1-007,Z1,idle,0.0,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z1-008,Z1,idle,0.0,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z2-001,Z4,idle,1336.5664809999998,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z2-002,Z6,idle,1345.461715,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z2-003,Z1,idle,619.9940533333333,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z2-004,Z2,idle,1189.9865013333335,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z2-005,Z2,idle,0.0,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z2-006,Z2,idle,0.0,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z2-007,Z2,idle,0.0,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z2-008,Z2,idle,0.0,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z3-001,Z1,idle,469.992388,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z3-002,Z3,idle,0.0,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z3-003,Z3,idle,0.0,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z3-004,Z3,idle,0.0,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z4-001,Z7,idle,486.33046633333333,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z4-002,Z4,idle,1202.009409,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z4-003,Z4,idle,1226.4224009999998,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z4-004,Z4,idle,0.0,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z5-001,Z5,idle,1132.4753059999998,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z5-002,Z5,idle,0.0,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z5-003,Z5,idle,0.0,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z5-004,Z5,idle,0.0,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z6-001,Z6,idle,620.0532356666666,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z6-002,Z6,idle,559.9940313333334,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z6-003,Z6,idle,590.0093263333333,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z6-004,Z6,idle,589.5916996666666,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z7-001,Z7,idle,0.0,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z7-002,Z7,idle,0.0,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z7-003,Z7,idle,0.0,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z7-004,Z7,idle,0.0,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z7-005,Z7,idle,0.0,,W2,P0_no_policy,P0_baseline
