seed,policy,weather_scenario,day_type,group,agent_count,coupon_reached,coupon_participated,coupon_awarded,coupon_redeemed,coupon_induced_requests,coupon_subsidy_yuan,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,mean_ride_hailing_wait_minutes_per_request,fallback_attempts,transport_unmet,mandatory_activity_incomplete,necessary_activity_completion_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,total_outdoor_exposure_minutes,total_heat_risk_burden
47,C0_no_coupon,W0,workday,18-39,80,0,0,0,0,0,0.0,20,20,0,11.0327,0,0,2,0.972973,3,65,90,20,3603.706,0.0
47,C0_no_coupon,W0,workday,40-59,66,0,0,0,0,0,0.0,6,6,0,11.208167,0,0,2,0.967742,0,87,45,6,2447.714,0.0
47,C0_no_coupon,W0,workday,60+_digital,26,0,0,0,0,0,0.0,1,1,0,8.0,0,0,0,1.0,0,33,2,1,619.98,0.0
47,C0_no_coupon,W0,workday,60+_nondigital_assisted,19,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,26,3,0,519.757,0.0
47,C0_no_coupon,W0,workday,60+_nondigital_unassisted,9,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,14,0,0,295.057,0.0
47,C0_no_coupon,W1,workday,18-39,80,0,0,0,0,0,0.0,20,20,0,11.0327,0,0,2,0.972973,3,64,89,20,3557.992,21448.030332
47,C0_no_coupon,W1,workday,40-59,66,0,0,0,0,0,0.0,6,6,0,11.208167,0,0,2,0.967742,0,87,45,6,2447.714,17774.61217
47,C0_no_coupon,W1,workday,60+_digital,26,0,0,0,0,0,0.0,1,1,0,8.0,0,0,0,1.0,0,32,2,1,607.98,8642.200233
47,C0_no_coupon,W1,workday,60+_nondigital_assisted,19,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,26,3,0,519.757,7206.309501
47,C0_no_coupon,W1,workday,60+_nondigital_unassisted,9,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,14,0,0,295.057,4145.9275
47,C0_no_coupon,W2,workday,18-39,80,0,0,0,0,0,0.0,29,29,0,11.016793,0,0,2,0.972973,2,40,95,29,3623.764,0.0
47,C0_no_coupon,W2,workday,40-59,66,0,0,0,0,0,0.0,22,22,0,11.965743,0,0,6,0.903226,0,48,64,22,2663.994,0.0
47,C0_no_coupon,W2,workday,60+_digital,26,0,0,0,0,0,0.0,1,1,0,8.0,0,0,0,1.0,0,29,5,1,655.655,0.0
47,C0_no_coupon,W2,workday,60+_nondigital_assisted,19,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,20,5,0,480.403,0.0
47,C0_no_coupon,W2,workday,60+_nondigital_unassisted,9,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,13,1,0,301.057,0.0
47,C1_public_limited,W0,workday,18-39,80,80,58,20,5,1,43.31,21,21,0,10.983524,0,0,2,0.972973,3,64,90,21,3601.706,0.0
47,C1_public_limited,W0,workday,40-59,66,66,44,15,2,1,11.52,7,7,0,11.057571,0,0,2,0.967742,0,86,45,7,2439.439,0.0
47,C1_public_limited,W0,workday,60+_digital,26,26,15,4,0,0,0.0,1,1,0,8.0,0,0,0,1.0,0,33,2,1,619.98,0.0
47,C1_public_limited,W0,workday,60+_nondigital_assisted,19,19,7,1,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,26,3,0,519.757,0.0
47,C1_public_limited,W0,workday,60+_nondigital_unassisted,9,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,14,0,0,295.057,0.0
47,C1_public_limited,W1,workday,18-39,80,80,58,20,5,1,43.31,21,21,0,10.983524,0,0,2,0.972973,3,63,89,21,3555.992,21442.046998
