policy,baseline_policy,weather_scenario,metric,baseline_mean,policy_mean,absolute_change,percent_change,percent_change_defined,undefined_reason
C1_public_limited,C0_no_coupon,W0,coupon_reached,0.0,191.4,191.4,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,coupon_participated,0.0,128.6,128.6,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,coupon_awarded,0.0,40.0,40.0,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,coupon_redeemed,0.0,9.7,9.7,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,coupon_induced_requests,0.0,5.6,5.6,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,coupon_subsidy_yuan,0.0,66.945,66.945,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,ride_hailing_requests,23.5,29.1,5.6,23.829787,True,
C1_public_limited,C0_no_coupon,W0,successful_ride_hailing_requests,23.5,28.9,5.4,22.978723,True,
C1_public_limited,C0_no_coupon,W0,ride_hailing_failed,0.0,0.2,0.2,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,mean_ride_hailing_wait_minutes_per_request,10.81538,10.645033,-0.170347,-1.575044,True,
C1_public_limited,C0_no_coupon,W0,fallback_attempts,0.0,0.2,0.2,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,fallback_succeeded,0.0,0.2,0.2,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,transport_unmet,0.0,0.0,0.0,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,mandatory_activity_incomplete,3.3,3.3,0.0,0.0,True,
C1_public_limited,C0_no_coupon,W0,activity_completion_rate,0.981786,0.981805,1.9e-05,0.001935,True,
C1_public_limited,C0_no_coupon,W0,necessary_activity_completion_rate,0.977543,0.977529,-1.4e-05,-0.001432,True,
C1_public_limited,C0_no_coupon,W0,walking_mode_share,0.013682,0.013682,0.0,0.0,True,
C1_public_limited,C0_no_coupon,W0,bus_mode_share,0.572276,0.560426,-0.01185,-2.070679,True,
C1_public_limited,C0_no_coupon,W0,metro_mode_share,0.354608,0.352818,-0.00179,-0.504783,True,
C1_public_limited,C0_no_coupon,W0,ride_hailing_mode_share,0.059433,0.073074,0.013641,22.951895,True,
C1_public_limited,C0_no_coupon,W0,mean_total_travel_time,62.5136,62.1243,-0.3893,-0.622744,True,
C1_public_limited,C0_no_coupon,W0,mean_road_speed_kmh,17.3696,17.6502,0.2806,1.615466,True,
C1_public_limited,C0_no_coupon,W0,total_outdoor_exposure_minutes,7369.3231,7318.3971,-50.926,-0.691054,True,
C1_public_limited,C0_no_coupon,W0,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero
C1_public_limited,C0_no_coupon,W1,coupon_reached,0.0,191.4,191.4,,False,baseline_zero
C1_public_limited,C0_no_coupon,W1,coupon_participated,0.0,128.6,128.6,,False,baseline_zero
C1_public_limited,C0_no_coupon,W1,coupon_awarded,0.0,40.0,40.0,,False,baseline_zero
C1_public_limited,C0_no_coupon,W1,coupon_redeemed,0.0,10.3,10.3,,False,baseline_zero
C1_public_limited,C0_no_coupon,W1,coupon_induced_requests,0.0,5.7,5.7,,False,baseline_zero
C1_public_limited,C0_no_coupon,W1,coupon_subsidy_yuan,0.0,70.333,70.333,,False,baseline_zero
C1_public_limited,C0_no_coupon,W1,ride_hailing_requests,26.8,32.5,5.7,21.268657,True,
C1_public_limited,C0_no_coupon,W1,successful_ride_hailing_requests,26.8,32.3,5.5,20.522388,True,
C1_public_limited,C0_no_coupon,W1,ride_hailing_failed,0.0,0.2,0.2,,False,baseline_zero
C1_public_limited,C0_no_coupon,W1,mean_ride_hailing_wait_minutes_per_request,10.701099,10.541109,-0.15999,-1.49508,True,
C1_public_limited,C0_no_coupon,W1,fallback_attempts,0.0,0.2,0.2,,False,baseline_zero
C1_public_limited,C0_no_coupon,W1,fallback_succeeded,0.0,0.2,0.2,,False,baseline_zero
C1_public_limited,C0_no_coupon,W1,transport_unmet,0.0,0.0,0.0,,False,baseline_zero
C1_public_limited,C0_no_coupon,W1,mandatory_activity_incomplete,3.3,3.3,0.0,0.0,True,
C1_public_limited,C0_no_coupon,W1,activity_completion_rate,0.957545,0.957564,1.9e-05,0.001984,True,
C1_public_limited,C0_no_coupon,W1,necessary_activity_completion_rate,0.977543,0.977529,-1.4e-05,-0.001432,True,
C1_public_limited,C0_no_coupon,W1,walking_mode_share,0.013176,0.013176,0.0,0.0,True,
C1_public_limited,C0_no_coupon,W1,bus_mode_share,0.557076,0.54442,-0.012656,-2.271862,True,
