seed,policy,experiment_condition,weather_scenario,weather_type,day_type,agent_count,planned_activities,completed_activities,activity_completion_rate,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,weather_cancelled_activities,transport_unmet_activities,necessary_transport_unmet_activities,planned_legs,successful_legs,transport_unmet_legs,transport_success_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,walking_mode_share,bus_mode_share,metro_mode_share,ride_hailing_mode_share,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,ride_hailing_failed,fallback_attempts,fallback_successes,fallback_succeeded,fallback_failed,late_but_reached,reached_but_activity_incomplete,transport_unmet,mandatory_activity_incomplete,mean_bus_wait_minutes,mean_metro_wait_minutes,bus_metro_transfer_legs,bus_metro_transfer_share_of_metro,mean_feeder_bus_time_minutes,mean_ride_hailing_wait_minutes,mean_total_travel_time,mean_fare_yuan,on_time_arrivals,on_time_arrival_rate,bus_activity_arrivals,bus_late_arrivals,bus_late_arrival_rate,interzonal_metro_legs,interzonal_metro_share,scheduled_bus_vehicle_trips,bus_demand,bus_feeder_boardings,total_bus_passenger_boardings,successful_ride_hailing_vehicle_trips,road_vehicle_volume,mean_volume_capacity_ratio,mean_road_speed_kmh,intrazonal_successful_legs,interzonal_successful_legs,initial_ride_hailing_vehicles,end_idle_vehicles,end_busy_vehicles,end_idle_by_zone,feedback_flow_is_first_round_successful_rides,metro_enabled,weather_exposed_activities,remote_work,travel_required_activities,transport_related_unmet,necessary_transport_related_unmet,total_outdoor_exposure_minutes,total_heat_hazard_dose_c_min,total_heat_risk_burden,necessary_heat_risk_burden,heat_risk_per_completed_travel_required_necessary_activity,heat_risk_per_planned_travel_required_necessary_activity,total_rain_exposure_minutes,total_system_wait_minutes,coupon_reached,coupon_participated,coupon_awarded,coupon_redeemed,coupon_expired_after_failed_request,coupon_induced_requests,coupon_subsidy_yuan,mean_ride_hailing_wait_minutes_per_request
47,C0_no_coupon,coupon_C0_no_coupon,W0,normal,workday,200,215,211,0.981395,149,145,0.973154,0,0,0,395,395,0,1.0,3,225,140,27,0.007595,0.56962,0.35443,0.068354,27,27,0,0,0,0,0,0,5,4,0,4,7.286,8.439,77,0.55,27.266,10.959,65.158,5.994,210,0.976744,115,1,0.008696,122,0.493927,1018.941,225,89,314,27,1045.941,0.689706,17.568,148,247,36,36,0,"{""Z1"": 5, ""Z2"": 5, ""Z3"": 4, ""Z4"": 3, ""Z5"": 3, ""Z6"": 3, ""Z7"": 7, ""Z8"": 3, ""Z9"": 3}",True,True,0,0,215,0,0,7486.214,0.0,0.0,0.0,0.0,0.0,0.0,3116.681,0,0,0,0,0,0,0.0,10.95937
47,C0_no_coupon,coupon_C0_no_coupon,W1,extreme_heat,workday,200,215,209,0.972093,149,145,0.973154,2,0,0,392,392,0,1.0,3,223,139,27,0.007653,0.568878,0.354592,0.068878,27,27,0,0,0,0,0,0,5,4,0,4,7.288,8.437,76,0.546763,27.248,10.959,65.308,6.014,208,0.976526,113,1,0.00885,121,0.495902,1018.941,223,88,311,27,1045.941,0.689533,17.577,148,244,36,36,0,"{""Z1"": 5, ""Z2"": 5, ""Z3"": 4, ""Z4"": 3, ""Z5"": 3, ""Z6"": 3, ""Z7"": 7, ""Z8"": 3, ""Z9"": 3}",True,True,27,0,213,0,0,7428.5,52987.105001,59217.079736,36253.345401,250.023072,243.311043,0.0,3093.967,0,0,0,0,0,0,0.0,10.95937
47,C0_no_coupon,coupon_C0_no_coupon,W2,heavy_rain,workday,200,215,197,0.916279,149,141,0.946309,8,0,0,374,374,0,1.0,2,150,170,52,0.005348,0.40107,0.454545,0.139037,52,52,0,0,0,0,0,0,10,10,0,8,8.065,9.069,103,0.605882,31.154,11.36,68.315,8.333,190,0.95,71,2,0.028169,145,0.604167,1018.941,150,128,278,52,1070.941,0.743737,17.04,134,240,36,36,0,"{""Z1"": 5, ""Z2"": 4, ""Z3"": 2, ""Z4"": 3, ""Z5"": 4, ""Z6"": 5, ""Z7"": 7, ""Z8"": 4, ""Z9"": 2}",True,True,170,7,200,0,0,7724.873,0.0,0.0,0.0,0.0,0.0,4881.347104,3342.155,0,0,0,0,0,0,0.0,11.360257
47,C1_public_limited,coupon_C1_public_limited,W0,normal,workday,200,215,211,0.981395,149,145,0.973154,0,0,0,395,395,0,1.0,3,223,140,29,0.007595,0.564557,0.35443,0.073418,29,29,0,0,0,0,0,0,5,4,0,4,7.305,8.439,77,0.55,27.266,10.899,65.004,6.042,210,0.976744,113,1,0.00885,122,0.493927,1018.941,223,89,312,29,1047.941,0.690561,17.67,148,247,36,36,0,"{""Z1"": 5, ""Z2"": 4, ""Z3"": 5, ""Z4"": 3, ""Z5"": 3, ""Z6"": 3, ""Z7"": 7, ""Z8"": 3, ""Z9"": 3}",True,True,0,0,215,0,0,7475.939,0.0,0.0,0.0,0.0,0.0,0.0,3126.405,191,124,40,7,0,2,54.83,10.898517
47,C1_public_limited,coupon_C1_public_limited,W1,extreme_heat,workday,200,215,209,0.972093,149,145,0.973154,2,0,0,392,392,0,1.0,3,221,139,29,0.007653,0.563776,0.354592,0.07398,29,29,0,0,0,0,0,0,5,4,0,4,7.307,8.437,76,0.546763,27.248,10.899,65.153,6.063,208,0.976526,111,1,0.009009,121,0.495902,1018.941,221,88,309,29,1047.941,0.690395,17.679,148,244,36,36,0,"{""Z1"": 5, ""Z2"": 4, ""Z3"": 5, ""Z4"": 3, ""Z5"": 3, ""Z6"": 3, ""Z7"": 7, ""Z8"": 3, ""Z9"": 3}",True,True,27,0,213,0,0,7418.225,52960.059,59187.920801,36224.191467,249.82201,243.115379,0.0,3103.691,191,124,40,7,0,2,54.83,10.898517
47,C1_public_limited,coupon_C1_public_limited,W2,heavy_rain,workday,200,215,197,0.916279,149,141,0.946309,8,0,0,374,374,0,1.0,2,144,168,60,0.005348,0.385027,0.449198,0.160428,60,60,0,0,0,0,0,0,10,10,0,8,8.069,9.007,102,0.607143,30.898,11.327,67.743,8.67,190,0.95,66,2,0.030303,143,0.595833,1018.941,144,126,270,60,1078.941,0.751863,17.372,134,240,36,36,0,"{""Z1"": 5, ""Z2"": 5, ""Z3"": 1, ""Z4"": 3, ""Z5"": 3, ""Z6"": 5, ""Z7"": 8, ""Z8"": 4, ""Z9"": 2}",True,True,170,7,200,0,0,7641.702,0.0,0.0,0.0,0.0,0.0,4857.378198,3354.74,191,124,40,14,0,8,102.54,11.326716
47,C2_elder_limited,coupon_C2_elder_limited,W0,normal,workday,200,215,211,0.981395,149,145,0.973154,0,0,0,395,395,0,1.0,3,225,140,27,0.007595,0.56962,0.35443,0.068354,27,27,0,0,0,0,0,0,5,4,0,4,7.286,8.439,77,0.55,27.266,10.959,65.158,5.986,210,0.976744,115,1,0.008696,122,0.493927,1018.941,225,89,314,27,1045.941,0.689706,17.568,148,247,36,36,0,"{""Z1"": 5, ""Z2"": 5, ""Z3"": 4, ""Z4"": 3, ""Z5"": 3, ""Z6"": 3, ""Z7"": 7, ""Z8"": 3, ""Z9"": 3}",True,True,0,0,215,0,0,7486.214,0.0,0.0,0.0,0.0,0.0,0.0,3116.681,45,0,40,1,0,0,3.19,10.95937
47,C2_elder_limited,coupon_C2_elder_limited,W1,extreme_heat,workday,200,215,209,0.972093,149,145,0.973154,2,0,0,392,392,0,1.0,3,222,139,28,0.007653,0.566327,0.354592,0.071429,28,28,0,0,0,0,0,0,5,4,0,4,7.276,8.437,76,0.546763,27.248,10.854,65.264,6.03,208,0.976526,113,1,0.00885,121,0.495902,1018.941,222,88,310,28,1046.941,0.689544,17.639,148,244,36,36,0,"{""Z1"": 5, ""Z2"": 5, ""Z3"": 4, ""Z4"": 3, ""Z5"": 3, ""Z6"": 3, ""Z7"": 7, ""Z8"": 3, ""Z9"": 3}",True,True,27,0,213,0,0,7414.5,52807.288334,58983.318069,36253.345401,250.023072,243.311043,0.0,3091.967,45,0,40,2,0,1,5.99,10.853679
47,C2_elder_limited,coupon_C2_elder_limited,W2,heavy_rain,workday,200,215,197,0.916279,149,141,0.946309,8,0,0,374,374,0,1.0,2,150,170,52,0.005348,0.40107,0.454545,0.139037,52,52,0,0,0,0,0,0,10,10,0,8,8.065,9.069,103,0.605882,31.154,11.36,68.315,8.324,190,0.95,71,2,0.028169,145,0.604167,1018.941,150,128,278,52,1070.941,0.743737,17.04,134,240,36,36,0,"{""Z1"": 5, ""Z2"": 4, ""Z3"": 2, ""Z4"": 3, ""Z5"": 4, ""Z6"": 5, ""Z7"": 7, ""Z8"": 4, ""Z9"": 2}",True,True,170,7,200,0,0,7724.873,0.0,0.0,0.0,0.0,0.0,4881.347104,3342.155,45,0,40,1,0,0,3.19,11.360257
47,C3_mixed,coupon_C3_mixed,W0,normal,workday,200,215,211,0.981395,149,145,0.973154,0,0,0,395,395,0,1.0,3,224,140,28,0.007595,0.567089,0.35443,0.070886,28,28,0,0,0,0,0,0,5,4,0,4,7.301,8.439,77,0.55,27.266,10.925,65.073,6.023,210,0.976744,114,1,0.008772,122,0.493927,1018.941,224,89,313,28,1046.941,0.689744,17.618,148,247,36,36,0,"{""Z1"": 5, ""Z2"": 4, ""Z3"": 5, ""Z4"": 3, ""Z5"": 3, ""Z6"": 3, ""Z7"": 7, ""Z8"": 3, ""Z9"": 3}",True,True,0,0,215,0,0,7484.214,0.0,0.0,0.0,0.0,0.0,0.0,3122.681,194,124,40,4,0,1,33.3,10.925107
47,C3_mixed,coupon_C3_mixed,W1,extreme_heat,workday,200,215,209,0.972093,149,145,0.973154,2,0,0,392,392,0,1.0,3,221,139,29,0.007653,0.563776,0.354592,0.07398,29,29,0,0,0,0,0,0,5,4,0,4,7.291,8.437,76,0.546763,27.248,10.824,65.179,6.067,208,0.976526,112,1,0.008929,121,0.495902,1018.941,221,88,309,29,1047.941,0.689581,17.689,148,244,36,36,0,"{""Z1"": 5, ""Z2"": 4, ""Z3"": 5, ""Z4"": 3, ""Z5"": 3, ""Z6"": 3, ""Z7"": 7, ""Z8"": 3, ""Z9"": 3}",True,True,27,0,213,0,0,7412.5,52801.271668,58977.296403,36247.323735,249.981543,243.270629,0.0,3097.967,194,124,40,5,0,2,36.1,10.824241
47,C3_mixed,coupon_C3_mixed,W2,heavy_rain,workday,200,215,197,0.916279,149,141,0.946309,8,0,0,374,374,0,1.0,2,146,169,57,0.005348,0.390374,0.451872,0.152406,57,57,0,0,0,0,0,0,11,10,0,8,8.025,8.981,102,0.60355,30.897,11.314,67.903,8.545,189,0.945,67,2,0.029851,144,0.6,1018.941,146,126,272,57,1075.941,0.750236,17.246,134,240,36,36,0,"{""Z1"": 5, ""Z2"": 4, ""Z3"": 2, ""Z4"": 3, ""Z5"": 3, ""Z6"": 5, ""Z7"": 8, ""Z8"": 4, ""Z9"": 2}",True,True,170,7,200,0,0,7656.668,0.0,0.0,0.0,0.0,0.0,4877.560104,3334.206,194,124,40,9,0,5,68.61,11.313777
48,C0_no_coupon,coupon_C0_no_coupon,W0,normal,workday,200,207,204,0.985507,147,146,0.993197,0,0,0,385,385,0,1.0,4,222,138,21,0.01039,0.576623,0.358442,0.054545,21,21,0,0,0,0,0,0,4,3,0,1,6.73,7.982,67,0.485507,26.466,11.031,63.688,4.892,203,0.980676,113,3,0.026549,118,0.502128,1018.941,222,75,297,21,1039.941,0.723329,17.219,150,235,36,36,0,"{""Z1"": 7, ""Z2"": 4, ""Z3"": 3, ""Z4"": 3, ""Z5"": 3, ""Z6"": 5, ""Z7"": 6, ""Z8"": 4, ""Z9"": 1}",True,True,0,0,207,0,0,7149.564,0.0,0.0,0.0,0.0,0.0,0.0,2827.146,0,0,0,0,0,0,0.0,11.031048
48,C0_no_coupon,coupon_C0_no_coupon,W1,extreme_heat,workday,200,207,197,0.951691,147,146,0.993197,7,0,0,373,373,0,1.0,4,212,137,20,0.010724,0.568365,0.367292,0.053619,20,20,0,0,0,0,0,0,4,3,0,1,6.672,7.996,67,0.489051,26.466,11.183,64.318,4.912,196,0.98,106,3,0.028302,118,0.506438,1018.941,212,75,287,20,1038.941,0.733908,17.139,140,233,36,36,0,"{""Z1"": 7, ""Z2"": 4, ""Z3"": 3, ""Z4"": 3, ""Z5"": 3, ""Z6"": 5, ""Z7"": 6, ""Z8"": 4, ""Z9"": 1}",True,True,29,0,200,0,0,6950.064,49035.311499,54611.740347,36245.787413,248.258818,246.569982,0.0,2733.646,0,0,0,0,0,0,0.0,11.1826
48,C0_no_coupon,coupon_C0_no_coupon,W2,heavy_rain,workday,200,207,193,0.932367,147,143,0.972789,8,0,0,363,363,0,1.0,4,140,168,51,0.011019,0.385675,0.46281,0.140496,52,51,1,1,1,1,1,0,3,6,0,4,7.261,8.714,92,0.547619,30.62,12.013,65.681,8.235,191,0.984536,61,2,0.032787,144,0.64,1018.941,140,110,250,51,1069.941,0.794527,16.847,138,225,36,36,0,"{""Z1"": 8, ""Z2"": 5, ""Z3"": 2, ""Z4"": 2, ""Z5"": 4, ""Z6"": 6, ""Z7"": 5, ""Z8"": 3, ""Z9"": 1}",True,True,160,5,194,0,0,7412.982,0.0,0.0,0.0,0.0,0.0,4724.759785,3113.233,0,0,0,0,0,0,0.0,12.16702
48,C1_public_limited,coupon_C1_public_limited,W0,normal,workday,200,207,204,0.985507,147,146,0.993197,0,0,0,385,385,0,1.0,4,217,136,28,0.01039,0.563636,0.353247,0.072727,28,28,0,0,0,0,0,0,4,3,0,1,6.749,7.865,65,0.477941,26.527,10.732,63.081,5.442,203,0.980676,109,3,0.027523,116,0.493617,1018.941,217,73,290,28,1046.941,0.720818,17.593,150,235,36,36,0,"{""Z1"": 7, ""Z2"": 3, ""Z3"": 4, ""Z4"": 3, ""Z5"": 4, ""Z6"": 4, ""Z7"": 6, ""Z8"": 4, ""Z9"": 1}",True,True,0,0,207,0,0,7070.851,0.0,0.0,0.0,0.0,0.0,0.0,2834.593,193,137,40,10,0,7,74.37,10.731607
48,C1_public_limited,coupon_C1_public_limited,W1,extreme_heat,workday,200,207,197,0.951691,147,146,0.993197,7,0,0,373,373,0,1.0,4,207,135,27,0.010724,0.55496,0.36193,0.072386,27,27,0,0,0,0,0,0,4,3,0,1,6.691,7.879,65,0.481481,26.527,10.833,63.692,5.479,196,0.98,102,3,0.029412,116,0.497854,1018.941,207,73,280,27,1045.941,0.731187,17.531,140,233,36,36,0,"{""Z1"": 7, ""Z2"": 3, ""Z3"": 4, ""Z4"": 3, ""Z5"": 4, ""Z6"": 4, ""Z7"": 6, ""Z8"": 4, ""Z9"": 1}",True,True,29,0,200,0,0,6871.351,48627.821167,54201.171615,35835.328015,245.447452,243.777742,0.0,2741.093,193,137,40,10,0,7,74.37,10.832778
48,C1_public_limited,coupon_C1_public_limited,W2,heavy_rain,workday,200,207,193,0.932367,147,143,0.972789,8,0,0,363,363,0,1.0,4,136,164,59,0.011019,0.374656,0.451791,0.162534,60,59,1,1,1,1,1,0,3,6,0,4,7.332,8.635,89,0.542683,30.593,11.867,65.155,8.702,191,0.984536,59,2,0.033898,141,0.626667,1018.941,136,107,243,59,1077.941,0.795509,17.203,138,225,36,36,0,"{""Z1"": 7, ""Z2"": 4, ""Z3"": 5, ""Z4"": 1, ""Z5"": 4, ""Z6"": 4, ""Z7"": 6, ""Z8"": 4, ""Z9"": 1}",True,True,160,5,194,0,0,7324.697,0.0,0.0,0.0,0.0,0.0,4696.083905,3133.332,193,137,40,13,0,8,92.82,12.002464
48,C2_elder_limited,coupon_C2_elder_limited,W0,normal,workday,200,207,204,0.985507,147,146,0.993197,0,0,0,385,385,0,1.0,4,222,138,21,0.01039,0.576623,0.358442,0.054545,21,21,0,0,0,0,0,0,4,3,0,1,6.73,7.982,67,0.485507,26.466,11.031,63.688,4.892,203,0.980676,113,3,0.026549,118,0.502128,1018.941,222,75,297,21,1039.941,0.723329,17.219,150,235,36,36,0,"{""Z1"": 7, ""Z2"": 4, ""Z3"": 3, ""Z4"": 3, ""Z5"": 3, ""Z6"": 5, ""Z7"": 6, ""Z8"": 4, ""Z9"": 1}",True,True,0,0,207,0,0,7149.564,0.0,0.0,0.0,0.0,0.0,0.0,2827.146,47,0,40,0,0,0,0.0,11.031048
48,C2_elder_limited,coupon_C2_elder_limited,W1,extreme_heat,workday,200,207,197,0.951691,147,146,0.993197,7,0,0,373,373,0,1.0,4,212,137,20,0.010724,0.568365,0.367292,0.053619,20,20,0,0,0,0,0,0,4,3,0,1,6.672,7.996,67,0.489051,26.466,11.183,64.318,4.904,196,0.98,106,3,0.028302,118,0.506438,1018.941,212,75,287,20,1038.941,0.733908,17.139,140,233,36,36,0,"{""Z1"": 7, ""Z2"": 4, ""Z3"": 3, ""Z4"": 3, ""Z5"": 3, ""Z6"": 5, ""Z7"": 6, ""Z8"": 4, ""Z9"": 1}",True,True,29,0,200,0,0,6950.064,49035.311499,54611.740347,36245.787413,248.258818,246.569982,0.0,2733.646,47,0,40,1,0,0,2.92,11.1826
48,C2_elder_limited,coupon_C2_elder_limited,W2,heavy_rain,workday,200,207,193,0.932367,147,143,0.972789,8,0,0,363,363,0,1.0,4,140,168,51,0.011019,0.385675,0.46281,0.140496,52,51,1,1,1,1,1,0,3,6,0,4,7.261,8.714,92,0.547619,30.62,12.013,65.681,8.235,191,0.984536,61,2,0.032787,144,0.64,1018.941,140,110,250,51,1069.941,0.794527,16.847,138,225,36,36,0,"{""Z1"": 8, ""Z2"": 5, ""Z3"": 2, ""Z4"": 2, ""Z5"": 4, ""Z6"": 6, ""Z7"": 5, ""Z8"": 3, ""Z9"": 1}",True,True,160,5,194,0,0,7412.982,0.0,0.0,0.0,0.0,0.0,4724.759785,3113.233,47,0,40,0,0,0,0.0,12.16702
48,C3_mixed,coupon_C3_mixed,W0,normal,workday,200,207,204,0.985507,147,146,0.993197,0,0,0,385,385,0,1.0,4,220,136,25,0.01039,0.571429,0.353247,0.064935,25,25,0,0,0,0,0,0,4,3,0,1,6.732,7.865,65,0.477941,26.527,10.946,63.408,5.145,203,0.980676,111,3,0.027027,116,0.493617,1018.941,220,73,293,25,1043.941,0.721665,17.439,150,235,36,36,0,"{""Z1"": 7, ""Z2"": 4, ""Z3"": 3, ""Z4"": 2, ""Z5"": 4, ""Z6"": 5, ""Z7"": 6, ""Z8"": 4, ""Z9"": 1}",True,True,0,0,207,0,0,7092.661,0.0,0.0,0.0,0.0,0.0,0.0,2824.403,198,137,40,6,0,4,40.84,10.94608
48,C3_mixed,coupon_C3_mixed,W1,extreme_heat,workday,200,207,197,0.951691,147,146,0.993197,7,0,0,373,373,0,1.0,4,209,135,25,0.010724,0.560322,0.36193,0.067024,25,25,0,0,0,0,0,0,4,3,0,1,6.673,7.879,65,0.481481,26.527,10.866,63.973,5.225,196,0.98,104,3,0.028846,116,0.497854,1018.941,209,73,282,25,1043.941,0.732078,17.434,140,233,36,36,0,"{""Z1"": 6, ""Z2"": 4, ""Z3"": 4, ""Z4"": 2, ""Z5"": 4, ""Z6"": 5, ""Z7"": 6, ""Z8"": 4, ""Z9"": 1}",True,True,29,0,200,0,0,6884.161,48605.205831,54139.618012,35773.714412,245.025441,243.358601,0.0,2729.903,198,137,40,7,0,5,46.14,10.86608
48,C3_mixed,coupon_C3_mixed,W2,heavy_rain,workday,200,207,193,0.932367,147,143,0.972789,8,0,0,363,363,0,1.0,4,138,165,56,0.011019,0.380165,0.454545,0.15427,57,56,1,1,1,1,1,0,3,6,0,4,7.296,8.64,90,0.545455,30.602,11.896,65.39,8.514,191,0.984536,60,2,0.033333,142,0.631111,1018.941,138,108,246,56,1074.941,0.796892,17.067,138,225,36,36,0,"{""Z1"": 6, ""Z2"": 5, ""Z3"": 3, ""Z4"": 1, ""Z5"": 4, ""Z6"": 6, ""Z7"": 6, ""Z8"": 4, ""Z9"": 1}",True,True,160,5,194,0,0,7345.019,0.0,0.0,0.0,0.0,0.0,4703.514608,3118.602,198,137,40,8,0,5,50.95,12.037734
49,C0_no_coupon,coupon_C0_no_coupon,W0,normal,workday,200,212,209,0.985849,150,147,0.98,0,0,0,391,391,0,1.0,11,223,130,27,0.028133,0.570332,0.332481,0.069054,27,27,0,0,0,0,0,0,1,3,0,3,6.787,7.957,65,0.5,27.048,10.63,61.147,5.192,211,0.995283,121,0,0.0,112,0.525822,1018.941,223,75,298,27,1045.941,0.731847,17.398,178,213,36,36,0,"{""Z1"": 5, ""Z2"": 7, ""Z3"": 3, ""Z4"": 4, ""Z5"": 4, ""Z6"": 3, ""Z7"": 4, ""Z8"": 3, ""Z9"": 3}",True,True,0,0,212,0,0,7344.593,0.0,0.0,0.0,0.0,0.0,0.0,2834.922,0,0,0,0,0,0,0.0,10.629741
