preference_scenario,weather_scenario,metric,seed_count,mean,std_dev,minimum,maximum,group
J_final_candidate,W0,agent_count,10,80.0,0.0,80.0,80.0,18-39
J_final_candidate,W0,successful_legs,10,179.6,4.033196,172.0,187.0,18-39
J_final_candidate,W0,ride_hailing_requests,10,17.9,5.216427,9.0,24.0,18-39
J_final_candidate,W0,successful_ride_hailing_requests,10,17.9,5.216427,9.0,24.0,18-39
J_final_candidate,W0,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,18-39
J_final_candidate,W0,ride_hailing_requests_per_100_agents,10,22.375,6.520534,11.25,30.0,18-39
J_final_candidate,W0,ride_hailing_mode_share,10,0.099477,0.028139,0.050847,0.129213,18-39
J_final_candidate,W0,mean_ride_hailing_wait_minutes,10,10.936446,0.377914,10.401111,11.465375,18-39
J_final_candidate,W0,necessary_activity_completion_rate,10,0.980802,0.011544,0.958904,1.0,18-39
J_final_candidate,W0,transport_related_unmet,10,0.0,0.0,0.0,0.0,18-39
J_final_candidate,W0,total_outdoor_exposure_minutes,10,3470.0515,126.982963,3216.907,3668.184,18-39
J_final_candidate,W0,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,18-39
J_final_candidate,W0,exposed_travel_required_necessary_activities,10,0.0,0.0,0.0,0.0,18-39
J_final_candidate,W0,completed_exposed_travel_required_necessary_activities,10,0.0,0.0,0.0,0.0,18-39
J_final_candidate,W0,exposed_necessary_ride_hailing_legs,10,0.0,0.0,0.0,0.0,18-39
J_final_candidate,W0,exposed_necessary_outdoor_exposure_minutes,10,0.0,0.0,0.0,0.0,18-39
J_final_candidate,W0,exposed_necessary_heat_risk_burden,10,0.0,0.0,0.0,0.0,18-39
J_final_candidate,W0,exposed_necessary_rain_exposure_minutes,10,0.0,0.0,0.0,0.0,18-39
J_final_candidate,W0,metro_legs,10,80.3,6.79951,70.0,90.0,18-39
J_final_candidate,W0,bus_metro_transfer_legs,10,41.1,6.69079,32.0,54.0,18-39
J_final_candidate,W0,bus_metro_transfer_share_of_metro,10,0.510984,0.062118,0.432432,0.6,18-39
J_final_candidate,W0,exposed_necessary_bus_metro_transfer_legs,10,0.0,0.0,0.0,0.0,18-39
J_final_candidate,W0,agent_count,10,66.0,0.0,66.0,66.0,40-59
J_final_candidate,W0,successful_legs,10,136.5,2.592725,133.0,140.0,40-59
J_final_candidate,W0,ride_hailing_requests,10,5.3,1.888562,3.0,9.0,40-59
J_final_candidate,W0,successful_ride_hailing_requests,10,5.3,1.888562,3.0,9.0,40-59
J_final_candidate,W0,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,40-59
J_final_candidate,W0,ride_hailing_requests_per_100_agents,10,8.030303,2.861458,4.545455,13.636364,40-59
J_final_candidate,W0,ride_hailing_mode_share,10,0.0388,0.013656,0.021898,0.066176,40-59
J_final_candidate,W0,mean_ride_hailing_wait_minutes,10,10.315123,1.968905,7.625,14.0605,40-59
J_final_candidate,W0,necessary_activity_completion_rate,10,0.96958,0.02743,0.904762,1.0,40-59
J_final_candidate,W0,transport_related_unmet,10,0.0,0.0,0.0,0.0,40-59
J_final_candidate,W0,total_outdoor_exposure_minutes,10,2469.0264,79.218644,2356.381,2629.923,40-59
J_final_candidate,W0,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,40-59
J_final_candidate,W0,exposed_travel_required_necessary_activities,10,0.0,0.0,0.0,0.0,40-59
J_final_candidate,W0,completed_exposed_travel_required_necessary_activities,10,0.0,0.0,0.0,0.0,40-59
J_final_candidate,W0,exposed_necessary_ride_hailing_legs,10,0.0,0.0,0.0,0.0,40-59
J_final_candidate,W0,exposed_necessary_outdoor_exposure_minutes,10,0.0,0.0,0.0,0.0,40-59
J_final_candidate,W0,exposed_necessary_heat_risk_burden,10,0.0,0.0,0.0,0.0,40-59
J_final_candidate,W0,exposed_necessary_rain_exposure_minutes,10,0.0,0.0,0.0,0.0,40-59
J_final_candidate,W0,metro_legs,10,50.4,6.432556,43.0,65.0,40-59
J_final_candidate,W0,bus_metro_transfer_legs,10,22.7,5.907622,16.0,36.0,40-59
J_final_candidate,W0,bus_metro_transfer_share_of_metro,10,0.445781,0.065473,0.355556,0.553846,40-59
J_final_candidate,W0,exposed_necessary_bus_metro_transfer_legs,10,0.0,0.0,0.0,0.0,40-59
J_final_candidate,W0,agent_count,10,54.0,0.0,54.0,54.0,60+
J_final_candidate,W0,successful_legs,10,78.7,5.558777,72.0,92.0,60+
J_final_candidate,W0,ride_hailing_requests,10,1.5,0.849837,0.0,3.0,60+
J_final_candidate,W0,successful_ride_hailing_requests,10,1.5,0.849837,0.0,3.0,60+
J_final_candidate,W0,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,60+
J_final_candidate,W0,ride_hailing_requests_per_100_agents,10,2.777778,1.573772,0.0,5.555556,60+
J_final_candidate,W0,ride_hailing_mode_share,10,0.018856,0.009926,0.0,0.032609,60+
J_final_candidate,W0,mean_ride_hailing_wait_minutes,9,9.074093,1.984532,6.0,12.0,60+
J_final_candidate,W0,necessary_activity_completion_rate,10,1.0,0.0,1.0,1.0,60+
J_final_candidate,W0,transport_related_unmet,10,0.0,0.0,0.0,0.0,60+
J_final_candidate,W0,total_outdoor_exposure_minutes,10,1409.6975,106.192841,1227.23,1612.314,60+
J_final_candidate,W0,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,60+
J_final_candidate,W0,exposed_travel_required_necessary_activities,10,0.0,0.0,0.0,0.0,60+
J_final_candidate,W0,completed_exposed_travel_required_necessary_activities,10,0.0,0.0,0.0,0.0,60+
