seed,preference_scenario,paired_inputs_identical,sensitivity_parameter,scenario_value,elder_ride_hailing_mode_constant,elder_weather_vulnerability_weight,fleet_total,passed
47,J_final_candidate,True,elder_transfer_burden_minutes,3.0,0.3,1.6,36,True
48,J_final_candidate,True,elder_transfer_burden_minutes,3.0,0.3,1.6,36,True
49,J_final_candidate,True,elder_transfer_burden_minutes,3.0,0.3,1.6,36,True
50,J_final_candidate,True,elder_transfer_burden_minutes,3.0,0.3,1.6,36,True
51,J_final_candidate,True,elder_transfer_burden_minutes,3.0,0.3,1.6,36,True
52,J_final_candidate,True,elder_transfer_burden_minutes,3.0,0.3,1.6,36,True
53,J_final_candidate,True,elder_transfer_burden_minutes,3.0,0.3,1.6,36,True
54,J_final_candidate,True,elder_transfer_burden_minutes,3.0,0.3,1.6,36,True
55,J_final_candidate,True,elder_transfer_burden_minutes,3.0,0.3,1.6,36,True
56,J_final_candidate,True,elder_transfer_burden_minutes,3.0,0.3,1.6,36,True
