preference_scenario,weather_scenario,metric,seed_count,mean,std_dev,minimum,maximum
J_final_candidate,W0,walking_mode_share,10,0.013682,0.006914,0.007595,0.028133
J_final_candidate,W0,bus_mode_share,10,0.570003,0.022504,0.539642,0.617128
J_final_candidate,W0,metro_mode_share,10,0.353858,0.026468,0.309002,0.404092
J_final_candidate,W0,ride_hailing_mode_share,10,0.062457,0.013681,0.04534,0.085158
J_final_candidate,W0,ride_hailing_requests,10,24.7,5.696978,18.0,35.0
J_final_candidate,W0,successful_ride_hailing_requests,10,24.7,5.696978,18.0,35.0
J_final_candidate,W0,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0
J_final_candidate,W0,mean_ride_hailing_wait_minutes,10,10.7546,0.453106,9.977,11.594
J_final_candidate,W0,mean_total_travel_time,10,62.4603,1.538601,60.239,65.158
J_final_candidate,W0,activity_completion_rate,10,0.981786,0.00942,0.957346,0.991111
J_final_candidate,W0,necessary_activity_completion_rate,10,0.977543,0.01315,0.945946,0.993197
J_final_candidate,W0,transport_related_unmet,10,0.0,0.0,0.0,0.0
J_final_candidate,W0,road_vehicle_volume,10,1043.641,5.696978,1036.941,1053.941
J_final_candidate,W0,mean_volume_capacity_ratio,10,0.70347,0.016378,0.675023,0.731858
J_final_candidate,W0,mean_road_speed_kmh,10,17.4381,0.311849,17.049,18.055
J_final_candidate,W0,total_outdoor_exposure_minutes,10,7348.7754,121.325326,7132.516,7522.486
J_final_candidate,W0,total_heat_risk_burden,10,0.0,0.0,0.0,0.0
J_final_candidate,W1,walking_mode_share,10,0.013176,0.007719,0.005236,0.028351
J_final_candidate,W1,bus_mode_share,10,0.550391,0.023722,0.52356,0.606138
J_final_candidate,W1,metro_mode_share,10,0.357505,0.027255,0.312808,0.403141
J_final_candidate,W1,ride_hailing_mode_share,10,0.078928,0.017989,0.056266,0.110837
J_final_candidate,W1,ride_hailing_requests,10,30.6,7.530678,22.0,45.0
J_final_candidate,W1,successful_ride_hailing_requests,10,30.6,7.530678,22.0,45.0
J_final_candidate,W1,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0
J_final_candidate,W1,mean_ride_hailing_wait_minutes,10,10.5121,0.395413,9.856,10.97
J_final_candidate,W1,mean_total_travel_time,10,62.3543,1.722764,60.13,65.063
J_final_candidate,W1,activity_completion_rate,10,0.957545,0.015296,0.92891,0.976415
J_final_candidate,W1,necessary_activity_completion_rate,10,0.977543,0.01315,0.945946,0.993197
J_final_candidate,W1,transport_related_unmet,10,0.0,0.0,0.0,0.0
J_final_candidate,W1,road_vehicle_volume,10,1049.541,7.530678,1040.941,1063.941
J_final_candidate,W1,mean_volume_capacity_ratio,10,0.706527,0.01798,0.675173,0.733958
J_final_candidate,W1,mean_road_speed_kmh,10,17.7907,0.396817,17.296,18.594
J_final_candidate,W1,total_outdoor_exposure_minutes,10,7119.5198,168.848671,6880.213,7369.5
J_final_candidate,W1,total_heat_risk_burden,10,55997.738135,2128.589141,52663.759286,59415.2
J_final_candidate,W2,walking_mode_share,10,0.006953,0.003756,0.0,0.012563
J_final_candidate,W2,bus_mode_share,10,0.398869,0.012367,0.374656,0.415584
J_final_candidate,W2,metro_mode_share,10,0.425072,0.024319,0.38191,0.471545
J_final_candidate,W2,ride_hailing_mode_share,10,0.169107,0.018214,0.143631,0.198347
J_final_candidate,W2,ride_hailing_requests,10,64.8,8.599742,53.0,80.0
J_final_candidate,W2,successful_ride_hailing_requests,10,63.2,8.10761,53.0,77.0
J_final_candidate,W2,failed_ride_hailing_requests,10,1.6,1.349897,0.0,4.0
J_final_candidate,W2,mean_ride_hailing_wait_minutes,10,11.1661,0.552476,10.209,12.094
J_final_candidate,W2,mean_total_travel_time,10,64.388,1.892915,61.666,67.843
J_final_candidate,W2,activity_completion_rate,10,0.935187,0.019386,0.909953,0.968889
J_final_candidate,W2,necessary_activity_completion_rate,10,0.969392,0.015405,0.944828,0.986207
J_final_candidate,W2,transport_related_unmet,10,0.1,0.316228,0.0,1.0
J_final_candidate,W2,road_vehicle_volume,10,1082.141,8.10761,1071.941,1095.941
J_final_candidate,W2,mean_volume_capacity_ratio,10,0.7809,0.025724,0.748377,0.829536
J_final_candidate,W2,mean_road_speed_kmh,10,17.3341,0.387272,16.896,18.012
J_final_candidate,W2,total_outdoor_exposure_minutes,10,7387.9946,224.98033,7085.077,7805.473
J_final_candidate,W2,total_heat_risk_burden,10,0.0,0.0,0.0,0.0
