preference_scenario,seed,policy,experiment_condition,weather_scenario,weather_type,day_type,agent_count,planned_activities,completed_activities,activity_completion_rate,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,weather_cancelled_activities,transport_unmet_activities,necessary_transport_unmet_activities,planned_legs,successful_legs,transport_unmet_legs,transport_success_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,walking_mode_share,bus_mode_share,metro_mode_share,ride_hailing_mode_share,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,ride_hailing_failed,fallback_attempts,fallback_successes,fallback_succeeded,fallback_failed,late_but_reached,reached_but_activity_incomplete,transport_unmet,mandatory_activity_incomplete,mean_bus_wait_minutes,mean_metro_wait_minutes,bus_metro_transfer_legs,bus_metro_transfer_share_of_metro,mean_feeder_bus_time_minutes,mean_ride_hailing_wait_minutes,mean_total_travel_time,mean_fare_yuan,on_time_arrivals,on_time_arrival_rate,bus_activity_arrivals,bus_late_arrivals,bus_late_arrival_rate,interzonal_metro_legs,interzonal_metro_share,scheduled_bus_vehicle_trips,bus_demand,bus_feeder_boardings,total_bus_passenger_boardings,successful_ride_hailing_vehicle_trips,road_vehicle_volume,mean_volume_capacity_ratio,mean_road_speed_kmh,intrazonal_successful_legs,interzonal_successful_legs,initial_ride_hailing_vehicles,end_idle_vehicles,end_busy_vehicles,end_idle_by_zone,feedback_flow_is_first_round_successful_rides,metro_enabled,weather_exposed_activities,remote_work,travel_required_activities,transport_related_unmet,necessary_transport_related_unmet,total_outdoor_exposure_minutes,total_heat_hazard_dose_c_min,total_heat_risk_burden,necessary_heat_risk_burden,heat_risk_per_completed_travel_required_necessary_activity,heat_risk_per_planned_travel_required_necessary_activity,total_rain_exposure_minutes,total_system_wait_minutes
J_final_candidate,47,P0_no_policy,P0_baseline,W0,normal,workday,200,215,211,0.981395,149,145,0.973154,0,0,0,395,395,0,1.0,3,225,140,27,0.007595,0.56962,0.35443,0.068354,27,27,0,0,0,0,0,0,5,4,0,4,7.286,8.439,77,0.55,27.266,10.959,65.158,5.994,210,0.976744,115,1,0.008696,122,0.493927,1018.941,225,89,314,27,1045.941,0.689706,17.568,148,247,36,36,0,"{""Z1"": 5, ""Z2"": 5, ""Z3"": 4, ""Z4"": 3, ""Z5"": 3, ""Z6"": 3, ""Z7"": 7, ""Z8"": 3, ""Z9"": 3}",True,True,0,0,215,0,0,7486.214,0.0,0.0,0.0,0.0,0.0,0.0,3116.681
J_final_candidate,47,P0_no_policy,P0_baseline,W1,extreme_heat,workday,200,215,209,0.972093,149,145,0.973154,2,0,0,392,392,0,1.0,3,219,139,31,0.007653,0.558673,0.354592,0.079082,31,31,0,0,0,0,0,0,5,4,0,4,7.216,8.437,76,0.546763,27.248,10.642,65.063,6.222,208,0.976526,111,1,0.009009,121,0.495902,1018.941,219,88,307,31,1049.941,0.689566,17.819,148,244,36,36,0,"{""Z1"": 6, ""Z2"": 4, ""Z3"": 4, ""Z4"": 3, ""Z5"": 3, ""Z6"": 3, ""Z7"": 7, ""Z8"": 3, ""Z9"": 3}",True,True,27,0,213,0,0,7369.5,52260.688334,58272.738069,35813.165401,246.987348,240.356815,0.0,3082.967
J_final_candidate,47,P0_no_policy,P0_baseline,W2,heavy_rain,workday,200,215,198,0.92093,149,142,0.95302,8,0,0,374,374,0,1.0,2,152,158,62,0.005348,0.406417,0.42246,0.165775,63,62,1,1,1,1,1,0,9,9,0,7,8.036,8.95,94,0.594937,30.848,11.225,67.843,9.131,191,0.955,71,1,0.014085,138,0.575,1018.941,152,115,267,62,1080.941,0.758284,17.28,134,240,36,36,0,"{""Z1"": 3, ""Z2"": 7, ""Z3"": 2, ""Z4"": 3, ""Z5"": 5, ""Z6"": 5, ""Z7"": 6, ""Z8"": 3, ""Z9"": 2}",True,True,170,7,200,0,0,7562.632,0.0,0.0,0.0,0.0,0.0,4743.291408,3351.416
J_final_candidate,48,P0_no_policy,P0_baseline,W0,normal,workday,200,207,204,0.985507,147,146,0.993197,0,0,0,385,385,0,1.0,4,220,138,23,0.01039,0.571429,0.358442,0.05974,23,23,0,0,0,0,0,0,4,3,0,1,6.719,7.982,67,0.485507,26.466,11.057,63.612,4.967,203,0.980676,112,3,0.026786,118,0.502128,1018.941,220,75,295,23,1041.941,0.723375,17.332,150,235,36,36,0,"{""Z1"": 7, ""Z2"": 4, ""Z3"": 3, ""Z4"": 3, ""Z5"": 3, ""Z6"": 5, ""Z7"": 6, ""Z8"": 4, ""Z9"": 1}",True,True,0,0,207,0,0,7132.516,0.0,0.0,0.0,0.0,0.0,0.0,2834.098
J_final_candidate,48,P0_no_policy,P0_baseline,W1,extreme_heat,workday,200,207,197,0.951691,147,146,0.993197,7,0,0,373,373,0,1.0,4,209,137,23,0.010724,0.560322,0.367292,0.061662,23,23,0,0,0,0,0,0,4,3,0,1,6.659,7.996,67,0.489051,26.466,10.97,64.184,5.056,196,0.98,105,3,0.028571,118,0.506438,1018.941,209,75,284,23,1041.941,0.733958,17.321,140,233,36,36,0,"{""Z1"": 7, ""Z2"": 4, ""Z3"": 3, ""Z4"": 3, ""Z5"": 3, ""Z6"": 5, ""Z7"": 6, ""Z8"": 4, ""Z9"": 1}",True,True,29,0,200,0,0,6924.016,48683.846167,54154.846449,36245.752415,248.258578,246.569744,0.0,2739.598
J_final_candidate,48,P0_no_policy,P0_baseline,W2,heavy_rain,workday,200,207,193,0.932367,147,143,0.972789,8,0,0,363,363,0,1.0,4,147,156,56,0.011019,0.404959,0.429752,0.15427,57,56,1,1,1,1,1,0,4,6,0,4,7.115,8.271,80,0.512821,29.316,12.094,65.577,8.497,190,0.979381,64,2,0.03125,133,0.591111,1018.941,147,93,240,56,1074.941,0.805701,16.896,138,225,36,36,0,"{""Z1"": 10, ""Z2"": 4, ""Z3"": 1, ""Z4"": 2, ""Z5"": 4, ""Z6"": 6, ""Z7"": 5, ""Z8"": 3, ""Z9"": 1}",True,True,160,5,194,0,0,7210.062,0.0,0.0,0.0,0.0,0.0,4627.771726,3033.409
J_final_candidate,49,P0_no_policy,P0_baseline,W0,normal,workday,200,212,209,0.985849,150,147,0.98,0,0,0,391,391,0,1.0,11,222,130,28,0.028133,0.567775,0.332481,0.071611,28,28,0,0,0,0,0,0,1,3,0,3,6.772,7.957,65,0.5,27.048,10.536,61.102,5.223,211,0.995283,120,0,0.0,112,0.525822,1018.941,222,75,297,28,1046.941,0.731858,17.458,178,213,36,36,0,"{""Z1"": 5, ""Z2"": 7, ""Z3"": 3, ""Z4"": 4, ""Z5"": 4, ""Z6"": 3, ""Z7"": 4, ""Z8"": 3, ""Z9"": 3}",True,True,0,0,212,0,0,7330.593,0.0,0.0,0.0,0.0,0.0,0.0,2832.922
J_final_candidate,49,P0_no_policy,P0_baseline,W1,extreme_heat,workday,200,212,207,0.976415,150,147,0.98,2,0,0,388,388,0,1.0,11,210,129,38,0.028351,0.541237,0.332474,0.097938,38,38,0,0,0,0,0,0,1,3,0,3,6.501,7.895,64,0.496124,26.984,10.518,60.486,5.834,209,0.995238,114,0,0.0,111,0.521127,1018.941,210,74,284,38,1056.941,0.731174,18.069,175,213,36,36,0,"{""Z1"": 7, ""Z2"": 6, ""Z3"": 2, ""Z4"": 4, ""Z5"": 4, ""Z6"": 3, ""Z7"": 4, ""Z8"": 3, ""Z9"": 3}",True,True,29,0,210,0,0,7112.977,49775.850338,55317.591808,34314.416106,233.431402,228.762774,0.0,2783.306
J_final_candidate,49,P0_no_policy,P0_baseline,W2,heavy_rain,workday,200,212,199,0.938679,150,146,0.973333,9,0,0,371,371,0,1.0,2,149,154,66,0.005391,0.401617,0.415094,0.177898,67,66,1,1,1,1,1,0,4,4,0,4,7.31,8.709,86,0.558442,32.123,11.576,63.966,8.522,195,0.979899,76,1,0.013158,131,0.63285,1018.941,149,109,258,66,1084.941,0.829536,17.02,164,207,36,36,0,"{""Z1"": 5, ""Z2"": 7, ""Z3"": 1, ""Z4"": 4, ""Z5"": 5, ""Z6"": 4, ""Z7"": 3, ""Z8"": 4, ""Z9"": 3}",True,True,177,4,199,0,0,7331.594,0.0,0.0,0.0,0.0,0.0,4873.480426,3214.499
J_final_candidate,50,P0_no_policy,P0_baseline,W0,normal,workday,200,220,217,0.986364,145,143,0.986207,0,0,0,397,397,0,1.0,4,216,146,31,0.010076,0.544081,0.367758,0.078086,31,31,0,0,0,0,0,0,4,3,0,2,6.916,7.761,64,0.438356,27.702,10.865,62.986,5.92,216,0.981818,111,1,0.009009,133,0.523622,1018.941,216,75,291,31,1049.941,0.695118,17.799,143,254,36,36,0,"{""Z1"": 6, ""Z2"": 4, ""Z3"": 3, ""Z4"": 4, ""Z5"": 3, ""Z6"": 5, ""Z7"": 5, ""Z8"": 5, ""Z9"": 1}",True,True,0,0,220,0,0,7298.729,0.0,0.0,0.0,0.0,0.0,0.0,2963.891
