policy,weather_scenario,group,metric,seed_count,mean,std_dev,median,minimum,maximum
C0_no_coupon,W0,18-39,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,18-39,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,18-39,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,18-39,coupon_ineligible_ride_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,18-39,ride_hailing_requests,10,17.9,5.216427,18.0,9.0,24.0
C0_no_coupon,W0,18-39,successful_ride_hailing_requests,10,17.9,5.216427,18.0,9.0,24.0
C0_no_coupon,W0,18-39,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,18-39,mean_ride_hailing_wait_minutes_per_request,10,10.936446,0.377914,11.005213,10.401111,11.465375
C0_no_coupon,W0,18-39,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,18-39,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,18-39,mandatory_activity_incomplete,10,1.4,0.843274,1.0,0.0,3.0
C0_no_coupon,W0,18-39,necessary_activity_completion_rate,10,0.980802,0.011544,0.986206,0.958904,1.0
C0_no_coupon,W0,18-39,total_outdoor_exposure_minutes,10,3470.0515,126.982963,3466.159,3216.907,3668.184
C0_no_coupon,W0,18-39,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,40-59,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,40-59,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,40-59,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,40-59,coupon_ineligible_ride_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,40-59,ride_hailing_requests,10,5.3,1.888562,5.0,3.0,9.0
C0_no_coupon,W0,40-59,successful_ride_hailing_requests,10,5.3,1.888562,5.0,3.0,9.0
C0_no_coupon,W0,40-59,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,40-59,mean_ride_hailing_wait_minutes_per_request,10,10.315123,1.968905,10.424684,7.625,14.0605
C0_no_coupon,W0,40-59,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,40-59,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,40-59,mandatory_activity_incomplete,10,1.9,1.72884,2.0,0.0,6.0
C0_no_coupon,W0,40-59,necessary_activity_completion_rate,10,0.96958,0.02743,0.968246,0.904762,1.0
C0_no_coupon,W0,40-59,total_outdoor_exposure_minutes,10,2469.0264,79.218644,2456.7215,2356.381,2629.923
C0_no_coupon,W0,40-59,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_digital,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_digital,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_digital,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_digital,coupon_ineligible_ride_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_digital,ride_hailing_requests,10,1.1,0.567646,1.0,0.0,2.0
C0_no_coupon,W0,60+_digital,successful_ride_hailing_requests,10,1.1,0.567646,1.0,0.0,2.0
C0_no_coupon,W0,60+_digital,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_digital,mean_ride_hailing_wait_minutes_per_request,10,7.5,3.100179,8.0,0.0,12.0
C0_no_coupon,W0,60+_digital,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_digital,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_digital,mandatory_activity_incomplete,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_digital,necessary_activity_completion_rate,10,1.0,0.0,1.0,1.0,1.0
C0_no_coupon,W0,60+_digital,total_outdoor_exposure_minutes,10,668.0476,131.814431,683.6985,435.357,864.856
C0_no_coupon,W0,60+_digital,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_assisted,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_assisted,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_assisted,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_assisted,coupon_ineligible_ride_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_assisted,ride_hailing_requests,10,0.4,0.516398,0.0,0.0,1.0
C0_no_coupon,W0,60+_nondigital_assisted,successful_ride_hailing_requests,10,0.4,0.516398,0.0,0.0,1.0
C0_no_coupon,W0,60+_nondigital_assisted,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_assisted,mean_ride_hailing_wait_minutes_per_request,10,4.4667,6.142808,0.0,0.0,14.667
C0_no_coupon,W0,60+_nondigital_assisted,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_assisted,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_assisted,mandatory_activity_incomplete,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_assisted,necessary_activity_completion_rate,10,1.0,0.0,1.0,1.0,1.0
C0_no_coupon,W0,60+_nondigital_assisted,total_outdoor_exposure_minutes,10,517.958,121.506084,502.744,390.065,730.63
C0_no_coupon,W0,60+_nondigital_assisted,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,coupon_ineligible_ride_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,successful_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
