seed,policy,weather_scenario,day_type,group,agent_count,coupon_reached,coupon_participated,coupon_awarded,coupon_redeemed,coupon_induced_requests,coupon_ineligible_ride_requests,coupon_subsidy_yuan,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,mean_ride_hailing_wait_minutes_per_request,fallback_attempts,transport_unmet,mandatory_activity_incomplete,necessary_activity_completion_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,total_outdoor_exposure_minutes,total_heat_risk_burden
47,C0_no_coupon,W0,workday,18-39,80,0,0,0,0,0,0,0.0,20,20,0,11.0327,0,0,2,0.972973,3,65,90,20,3603.706,0.0
47,C0_no_coupon,W0,workday,40-59,66,0,0,0,0,0,0,0.0,6,6,0,11.208167,0,0,2,0.967742,0,87,45,6,2447.714,0.0
47,C0_no_coupon,W0,workday,60+_digital,26,0,0,0,0,0,0,0.0,1,1,0,8.0,0,0,0,1.0,0,33,2,1,619.98,0.0
47,C0_no_coupon,W0,workday,60+_nondigital_assisted,19,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,26,3,0,519.757,0.0
47,C0_no_coupon,W0,workday,60+_nondigital_unassisted,9,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,14,0,0,295.057,0.0
47,C0_no_coupon,W1,workday,18-39,80,0,0,0,0,0,0,0.0,20,20,0,11.0327,0,0,2,0.972973,3,64,89,20,3557.992,21448.030332
47,C0_no_coupon,W1,workday,40-59,66,0,0,0,0,0,0,0.0,6,6,0,11.208167,0,0,2,0.967742,0,87,45,6,2447.714,17774.61217
47,C0_no_coupon,W1,workday,60+_digital,26,0,0,0,0,0,0,0.0,1,1,0,8.0,0,0,0,1.0,0,32,2,1,607.98,8642.113566
47,C0_no_coupon,W1,workday,60+_nondigital_assisted,19,0,0,0,0,0,0,0.0,4,4,0,8.5,0,0,0,1.0,0,22,3,4,460.757,6262.054501
47,C0_no_coupon,W1,workday,60+_nondigital_unassisted,9,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,14,0,0,295.057,4145.9275
47,C0_no_coupon,W2,workday,18-39,80,0,0,0,0,0,0,0.0,32,32,0,10.973437,0,0,2,0.972973,2,38,94,32,3595.713,0.0
47,C0_no_coupon,W2,workday,40-59,66,0,0,0,0,0,0,0.0,28,27,1,12.117352,1,0,5,0.919355,0,50,57,27,2586.979,0.0
47,C0_no_coupon,W2,workday,60+_digital,26,0,0,0,0,0,0,0.0,2,2,0,7.75,0,0,0,1.0,0,31,2,2,608.48,0.0
47,C0_no_coupon,W2,workday,60+_nondigital_assisted,19,0,0,0,0,0,0,0.0,1,1,0,10.0,0,0,0,1.0,0,20,4,1,470.403,0.0
47,C0_no_coupon,W2,workday,60+_nondigital_unassisted,9,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,13,1,0,301.057,0.0
47,C1_public_limited,W0,workday,18-39,80,80,58,20,5,1,0,43.31,21,21,0,10.983524,0,0,2,0.972973,3,64,90,21,3601.706,0.0
47,C1_public_limited,W0,workday,40-59,66,66,44,15,2,1,0,11.52,7,7,0,11.057571,0,0,2,0.967742,0,86,45,7,2439.439,0.0
47,C1_public_limited,W0,workday,60+_digital,26,26,15,4,0,0,0,0.0,1,1,0,8.0,0,0,0,1.0,0,33,2,1,619.98,0.0
47,C1_public_limited,W0,workday,60+_nondigital_assisted,19,19,7,1,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,26,3,0,519.757,0.0
47,C1_public_limited,W0,workday,60+_nondigital_unassisted,9,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,14,0,0,295.057,0.0
47,C1_public_limited,W1,workday,18-39,80,80,58,20,5,1,0,43.31,21,21,0,10.983524,0,0,2,0.972973,3,63,89,21,3555.992,21442.046998
47,C1_public_limited,W1,workday,40-59,66,66,44,15,2,1,0,11.52,7,7,0,11.057571,0,0,2,0.967742,0,86,45,7,2439.439,17751.479902
47,C1_public_limited,W1,workday,60+_digital,26,26,15,4,0,0,0,0.0,1,1,0,8.0,0,0,0,1.0,0,32,2,1,607.98,8642.070233
47,C1_public_limited,W1,workday,60+_nondigital_assisted,19,19,7,1,0,0,0,0.0,4,4,0,8.5,0,0,0,1.0,0,22,3,4,460.757,6262.054501
47,C1_public_limited,W1,workday,60+_nondigital_unassisted,9,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,14,0,0,295.057,4145.9275
47,C1_public_limited,W2,workday,18-39,80,80,58,20,9,3,0,73.34,35,35,0,11.085914,0,0,2,0.972973,2,36,93,35,3556.934,0.0
47,C1_public_limited,W2,workday,40-59,66,66,44,15,5,4,0,27.17,32,31,1,11.925818,1,0,5,0.919355,0,47,56,31,2544.927,0.0
47,C1_public_limited,W2,workday,60+_digital,26,26,15,4,1,1,0,6.36,3,3,0,7.449333,0,0,0,1.0,0,30,2,3,602.528,0.0
47,C1_public_limited,W2,workday,60+_nondigital_assisted,19,19,7,1,0,0,0,0.0,1,1,0,10.0,0,0,0,1.0,0,20,4,1,470.403,0.0
47,C1_public_limited,W2,workday,60+_nondigital_unassisted,9,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,13,1,0,301.057,0.0
47,C2_elder_limited,W0,workday,18-39,80,0,0,0,0,0,0,0.0,20,20,0,11.0327,0,0,2,0.972973,3,65,90,20,3603.706,0.0
47,C2_elder_limited,W0,workday,40-59,66,0,0,0,0,0,0,0.0,6,6,0,11.208167,0,0,2,0.967742,0,87,45,6,2447.714,0.0
47,C2_elder_limited,W0,workday,60+_digital,26,26,0,24,1,0,0,3.19,1,1,0,8.0,0,0,0,1.0,0,33,2,1,619.98,0.0
47,C2_elder_limited,W0,workday,60+_nondigital_assisted,19,19,0,16,1,1,0,2.8,1,1,0,8.0,0,0,0,1.0,0,25,3,1,505.757,0.0
47,C2_elder_limited,W0,workday,60+_nondigital_unassisted,9,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,14,0,0,295.057,0.0
47,C2_elder_limited,W1,workday,18-39,80,0,0,0,0,0,0,0.0,20,20,0,11.0327,0,0,2,0.972973,3,64,89,20,3557.992,21448.030332
47,C2_elder_limited,W1,workday,40-59,66,0,0,0,0,0,0,0.0,6,6,0,11.208167,0,0,2,0.967742,0,87,45,6,2447.714,17774.61217
47,C2_elder_limited,W1,workday,60+_digital,26,26,0,24,1,0,0,3.19,1,1,0,8.0,0,0,0,1.0,0,32,2,1,607.98,8642.113566
47,C2_elder_limited,W1,workday,60+_nondigital_assisted,19,19,0,16,2,1,0,8.2,5,5,0,8.4,0,0,0,1.0,0,21,3,5,446.757,6062.049501
47,C2_elder_limited,W1,workday,60+_nondigital_unassisted,9,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,14,0,0,295.057,4145.9275
47,C2_elder_limited,W2,workday,18-39,80,0,0,0,0,0,0,0.0,32,32,0,10.973437,0,0,2,0.972973,2,38,94,32,3595.713,0.0
47,C2_elder_limited,W2,workday,40-59,66,0,0,0,0,0,0,0.0,28,28,0,12.230798,0,0,5,0.919355,0,49,57,28,2562.441,0.0
47,C2_elder_limited,W2,workday,60+_digital,26,26,0,24,4,3,0,25.09,5,5,0,8.4908,0,0,0,1.0,0,28,2,5,589.097,0.0
47,C2_elder_limited,W2,workday,60+_nondigital_assisted,19,19,0,16,2,2,0,9.56,3,3,0,10.444333,0,0,0,1.0,0,18,4,3,452.022,0.0
47,C2_elder_limited,W2,workday,60+_nondigital_unassisted,9,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,13,1,0,301.057,0.0
47,C3_mixed,W0,workday,18-39,80,80,58,13,4,1,0,33.3,21,21,0,10.983524,0,0,2,0.972973,3,64,90,21,3601.706,0.0
47,C3_mixed,W0,workday,40-59,66,66,44,10,0,0,0,0.0,6,6,0,11.208167,0,0,2,0.967742,0,87,45,6,2447.714,0.0
47,C3_mixed,W0,workday,60+_digital,26,26,15,10,0,0,0,0.0,1,1,0,8.0,0,0,0,1.0,0,33,2,1,619.98,0.0
47,C3_mixed,W0,workday,60+_nondigital_assisted,19,19,7,6,1,1,0,2.8,1,1,0,8.0,0,0,0,1.0,0,25,3,1,505.757,0.0
47,C3_mixed,W0,workday,60+_nondigital_unassisted,9,3,0,1,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,14,0,0,295.057,0.0
47,C3_mixed,W1,workday,18-39,80,80,58,13,4,1,0,33.3,21,21,0,10.983524,0,0,2,0.972973,3,63,89,21,3555.992,21442.030332
47,C3_mixed,W1,workday,40-59,66,66,44,10,0,0,0,0.0,6,6,0,11.208167,0,0,2,0.967742,0,87,45,6,2447.714,17774.61217
47,C3_mixed,W1,workday,60+_digital,26,26,15,10,0,0,0,0.0,1,1,0,8.0,0,0,0,1.0,0,32,2,1,607.98,8642.0919
47,C3_mixed,W1,workday,60+_nondigital_assisted,19,19,7,6,2,1,0,8.2,5,5,0,8.4,0,0,0,1.0,0,21,3,5,446.757,6062.049501
47,C3_mixed,W1,workday,60+_nondigital_unassisted,9,3,0,1,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,14,0,0,295.057,4145.9275
47,C3_mixed,W2,workday,18-39,80,80,58,13,6,2,0,50.93,34,34,0,11.008324,0,0,2,0.972973,2,37,93,34,3560.918,0.0
47,C3_mixed,W2,workday,40-59,66,66,44,10,3,3,0,15.65,31,30,1,11.988144,1,0,5,0.919355,0,47,57,30,2554.898,0.0
47,C3_mixed,W2,workday,60+_digital,26,26,15,10,1,1,0,6.36,3,3,0,7.449333,0,0,0,1.0,0,30,2,3,602.528,0.0
47,C3_mixed,W2,workday,60+_nondigital_assisted,19,19,7,6,1,1,0,2.8,2,2,0,9.0,0,0,0,1.0,0,19,4,2,456.403,0.0
47,C3_mixed,W2,workday,60+_nondigital_unassisted,9,3,0,1,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,13,1,0,301.057,0.0
48,C0_no_coupon,W0,workday,18-39,80,0,0,0,0,0,0,0.0,16,16,0,11.465375,0,0,1,0.986301,4,80,72,16,3216.907,0.0
48,C0_no_coupon,W0,workday,40-59,66,0,0,0,0,0,0,0.0,5,5,0,9.6412,0,0,0,1.0,0,73,56,5,2518.962,0.0
48,C0_no_coupon,W0,workday,60+_digital,26,0,0,0,0,0,0,0.0,1,1,0,8.0,0,0,0,1.0,0,23,5,1,487.308,0.0
48,C0_no_coupon,W0,workday,60+_nondigital_assisted,21,0,0,0,0,0,0,0.0,1,1,0,14.667,0,0,0,1.0,0,33,3,1,669.553,0.0
48,C0_no_coupon,W0,workday,60+_nondigital_unassisted,7,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,11,2,0,239.786,0.0
48,C0_no_coupon,W1,workday,18-39,80,0,0,0,0,0,0,0.0,16,16,0,11.465375,0,0,1,0.986301,4,79,71,16,3185.907,19531.592666
48,C0_no_coupon,W1,workday,40-59,66,0,0,0,0,0,0,0.0,3,3,0,10.735333,0,0,0,1.0,0,73,56,3,2502.962,18010.716714
48,C0_no_coupon,W1,workday,60+_digital,26,0,0,0,0,0,0,0.0,2,2,0,8.0,0,0,0,1.0,0,20,5,2,443.308,5622.797701
48,C0_no_coupon,W1,workday,60+_nondigital_assisted,21,0,0,0,0,0,0,0.0,2,2,0,10.3335,0,0,0,1.0,0,28,3,2,582.053,7697.971234
48,C0_no_coupon,W1,workday,60+_nondigital_unassisted,7,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,9,2,0,209.786,3291.768134
48,C0_no_coupon,W2,workday,18-39,80,0,0,0,0,0,0,0.0,37,36,1,12.506826,1,0,3,0.958904,4,40,87,36,3433.749,0.0
48,C0_no_coupon,W2,workday,40-59,66,0,0,0,0,0,0,0.0,19,19,0,11.922737,0,0,0,1.0,0,50,62,19,2599.139,0.0
48,C0_no_coupon,W2,workday,60+_digital,26,0,0,0,0,0,0,0.0,1,1,0,8.0,0,0,0,1.0,0,20,5,1,462.788,0.0
48,C0_no_coupon,W2,workday,60+_nondigital_assisted,21,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,1,0.8,0,26,0,0,469.6,0.0
48,C0_no_coupon,W2,workday,60+_nondigital_unassisted,7,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,11,2,0,244.786,0.0
48,C1_public_limited,W0,workday,18-39,80,80,70,20,9,6,0,64.99,22,22,0,11.012682,0,0,1,0.986301,4,76,70,22,3143.908,0.0
48,C1_public_limited,W0,workday,40-59,66,66,42,12,1,1,0,9.38,6,6,0,9.701,0,0,0,1.0,0,72,56,6,2513.248,0.0
48,C1_public_limited,W0,workday,60+_digital,26,26,15,4,0,0,0,0.0,1,1,0,8.0,0,0,0,1.0,0,23,5,1,487.308,0.0
48,C1_public_limited,W0,workday,60+_nondigital_assisted,21,21,10,4,0,0,0,0.0,1,1,0,14.667,0,0,0,1.0,0,33,3,1,669.553,0.0
48,C1_public_limited,W0,workday,60+_nondigital_unassisted,7,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,11,2,0,239.786,0.0
48,C1_public_limited,W1,workday,18-39,80,80,70,20,9,6,0,64.99,22,22,0,11.012682,0,0,1,0.986301,4,75,69,22,3112.908,19154.686334
48,C1_public_limited,W1,workday,40-59,66,66,42,12,1,1,0,9.38,4,4,0,10.5515,0,0,0,1.0,0,72,56,4,2497.248,17977.184314
48,C1_public_limited,W1,workday,60+_digital,26,26,15,4,1,1,0,7.64,3,3,0,8.0,0,0,0,1.0,0,19,5,3,429.308,5380.932701
48,C1_public_limited,W1,workday,60+_nondigital_assisted,21,21,10,4,0,0,0,0.0,2,2,0,10.3335,0,0,0,1.0,0,28,3,2,582.053,7697.906234
48,C1_public_limited,W1,workday,60+_nondigital_unassisted,7,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,9,2,0,209.786,3291.724801
48,C1_public_limited,W2,workday,18-39,80,80,70,20,13,8,0,98.0,45,43,2,12.43171,2,0,3,0.958904,4,39,81,43,3351.192,0.0
48,C1_public_limited,W2,workday,40-59,66,66,42,12,3,2,0,25.34,21,21,0,11.631524,0,0,0,1.0,0,48,62,21,2589.874,0.0
48,C1_public_limited,W2,workday,60+_digital,26,26,15,4,1,1,0,14.43,2,2,0,9.0,0,0,0,1.0,0,19,5,2,452.359,0.0
48,C1_public_limited,W2,workday,60+_nondigital_assisted,21,21,10,4,1,1,0,3.35,1,1,0,10.0,0,0,1,0.8,0,25,0,1,467.6,0.0
48,C1_public_limited,W2,workday,60+_nondigital_unassisted,7,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,11,2,0,244.786,0.0
48,C2_elder_limited,W0,workday,18-39,80,0,0,0,0,0,0,0.0,16,16,0,11.465375,0,0,1,0.986301,4,80,72,16,3216.907,0.0
48,C2_elder_limited,W0,workday,40-59,66,0,0,0,0,0,0,0.0,5,5,0,9.6412,0,0,0,1.0,0,73,56,5,2518.962,0.0
48,C2_elder_limited,W0,workday,60+_digital,26,26,0,22,1,0,0,2.92,1,1,0,8.0,0,0,0,1.0,0,23,5,1,487.308,0.0
48,C2_elder_limited,W0,workday,60+_nondigital_assisted,21,21,0,18,2,1,0,9.0,2,2,0,10.3335,0,0,0,1.0,0,32,3,2,660.553,0.0
48,C2_elder_limited,W0,workday,60+_nondigital_unassisted,7,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,11,2,0,239.786,0.0
48,C2_elder_limited,W1,workday,18-39,80,0,0,0,0,0,0,0.0,16,16,0,11.465375,0,0,1,0.986301,4,79,71,16,3185.907,19531.592666
48,C2_elder_limited,W1,workday,40-59,66,0,0,0,0,0,0,0.0,3,3,0,10.735333,0,0,0,1.0,0,73,56,3,2502.962,18010.716714
48,C2_elder_limited,W1,workday,60+_digital,26,26,0,22,3,2,0,14.33,4,4,0,7.5,0,0,0,1.0,0,18,5,4,420.308,5219.754368
48,C2_elder_limited,W1,workday,60+_nondigital_assisted,21,21,0,18,2,0,0,9.0,2,2,0,10.3335,0,0,0,1.0,0,28,3,2,582.053,7697.971234
48,C2_elder_limited,W1,workday,60+_nondigital_unassisted,7,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,9,2,0,209.786,3291.768134
48,C2_elder_limited,W2,workday,18-39,80,0,0,0,0,0,0,0.0,37,36,1,12.507014,1,0,3,0.958904,4,40,87,36,3433.756,0.0
48,C2_elder_limited,W2,workday,40-59,66,0,0,0,0,0,0,0.0,19,19,0,11.922737,0,0,0,1.0,0,50,62,19,2599.139,0.0
48,C2_elder_limited,W2,workday,60+_digital,26,26,0,22,2,1,0,17.35,2,2,0,9.0,0,0,0,1.0,0,19,5,2,452.359,0.0
48,C2_elder_limited,W2,workday,60+_nondigital_assisted,21,21,0,18,2,2,0,8.66,2,2,0,8.0,0,0,1,0.8,0,24,0,2,458.6,0.0
48,C2_elder_limited,W2,workday,60+_nondigital_unassisted,7,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,11,2,0,244.786,0.0
48,C3_mixed,W0,workday,18-39,80,80,70,13,6,4,0,40.84,20,20,0,11.2723,0,0,1,0.986301,4,78,70,20,3160.004,0.0
48,C3_mixed,W0,workday,40-59,66,66,42,8,0,0,0,0.0,5,5,0,9.6412,0,0,0,1.0,0,73,56,5,2518.962,0.0
48,C3_mixed,W0,workday,60+_digital,26,26,15,10,0,0,0,0.0,1,1,0,8.0,0,0,0,1.0,0,23,5,1,487.308,0.0
48,C3_mixed,W0,workday,60+_nondigital_assisted,21,21,10,8,2,1,0,9.0,2,2,0,10.3335,0,0,0,1.0,0,32,3,2,660.553,0.0
48,C3_mixed,W0,workday,60+_nondigital_unassisted,7,5,0,1,1,1,0,5.3,1,1,0,6.0,0,0,0,1.0,0,10,2,1,230.786,0.0
48,C3_mixed,W1,workday,18-39,80,80,70,13,6,4,0,40.84,20,20,0,11.2723,0,0,1,0.986301,4,77,69,20,3129.004,19241.553666
48,C3_mixed,W1,workday,40-59,66,66,42,8,0,0,0,0.0,3,3,0,10.735333,0,0,0,1.0,0,73,56,3,2502.962,18010.69838
48,C3_mixed,W1,workday,60+_digital,26,26,15,10,1,1,0,7.64,3,3,0,8.0,0,0,0,1.0,0,19,5,3,429.308,5380.932701
48,C3_mixed,W1,workday,60+_nondigital_assisted,21,21,10,8,2,0,0,9.0,2,2,0,10.3335,0,0,0,1.0,0,28,3,2,582.053,7697.9279
48,C3_mixed,W1,workday,60+_nondigital_unassisted,7,5,0,1,1,1,0,5.3,1,1,0,6.0,0,0,0,1.0,0,8,2,1,200.786,3109.768134
48,C3_mixed,W2,workday,18-39,80,80,70,13,9,6,0,61.38,43,42,1,12.311539,1,0,3,0.958904,4,38,83,42,3359.218,0.0
48,C3_mixed,W2,workday,40-59,66,66,42,8,1,1,0,10.72,20,20,0,11.74665,0,0,0,1.0,0,49,62,20,2592.546,0.0
48,C3_mixed,W2,workday,60+_digital,26,26,15,10,1,1,0,14.43,2,2,0,9.0,0,0,0,1.0,0,19,5,2,452.359,0.0
48,C3_mixed,W2,workday,60+_nondigital_assisted,21,21,10,8,2,2,0,8.66,2,2,0,8.0,0,0,1,0.8,0,24,0,2,458.6,0.0
48,C3_mixed,W2,workday,60+_nondigital_unassisted,7,5,0,1,1,1,0,5.3,1,1,0,6.0,0,0,0,1.0,0,10,2,1,235.786,0.0
49,C0_no_coupon,W0,workday,18-39,80,0,0,0,0,0,0,0.0,23,23,0,10.975478,0,0,1,0.986301,8,77,70,23,3482.09,0.0
49,C0_no_coupon,W0,workday,40-59,66,0,0,0,0,0,0,0.0,4,4,0,8.64175,0,0,2,0.96875,3,80,51,4,2451.885,0.0
49,C0_no_coupon,W0,workday,60+_digital,26,0,0,0,0,0,0,0.0,1,1,0,8.0,0,0,0,1.0,0,35,3,1,737.533,0.0
49,C0_no_coupon,W0,workday,60+_nondigital_assisted,23,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,27,3,0,554.571,0.0
49,C0_no_coupon,W0,workday,60+_nondigital_unassisted,5,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,3,3,0,104.514,0.0
49,C0_no_coupon,W1,workday,18-39,80,0,0,0,0,0,0,0.0,27,27,0,11.151963,0,0,1,0.986301,8,73,70,27,3456.757,20898.074335
49,C0_no_coupon,W1,workday,40-59,66,0,0,0,0,0,0,0.0,5,5,0,8.1134,0,0,2,0.96875,3,79,51,5,2442.885,17168.75234
49,C0_no_coupon,W1,workday,60+_digital,26,0,0,0,0,0,0,0.0,6,6,0,9.666667,0,0,0,1.0,0,31,2,6,639.964,9635.136333
49,C0_no_coupon,W1,workday,60+_nondigital_assisted,23,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,24,3,0,468.857,6194.792934
49,C0_no_coupon,W1,workday,60+_nondigital_unassisted,5,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,3,3,0,104.514,1420.835866
49,C0_no_coupon,W2,workday,18-39,80,0,0,0,0,0,0,0.0,51,50,1,12.153469,1,0,2,0.972603,2,37,82,50,3455.451,0.0
49,C0_no_coupon,W2,workday,40-59,66,0,0,0,0,0,0,0.0,14,14,0,10.440071,0,0,2,0.96875,0,53,60,14,2469.033,0.0
49,C0_no_coupon,W2,workday,60+_digital,26,0,0,0,0,0,0,0.0,1,1,0,8.0,0,0,0,1.0,0,30,6,1,733.636,0.0
49,C0_no_coupon,W2,workday,60+_nondigital_assisted,23,0,0,0,0,0,0,0.0,1,1,0,10.0,0,0,0,1.0,0,26,3,1,566.96,0.0
49,C0_no_coupon,W2,workday,60+_nondigital_unassisted,5,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,3,3,0,106.514,0.0
49,C1_public_limited,W0,workday,18-39,80,80,62,19,9,1,0,54.31,24,24,0,10.907042,0,0,1,0.986301,8,76,70,24,3472.975,0.0
49,C1_public_limited,W0,workday,40-59,66,66,43,16,3,1,0,18.0,5,5,0,9.0468,0,0,2,0.96875,3,79,51,5,2443.695,0.0
49,C1_public_limited,W0,workday,60+_digital,26,26,14,4,0,0,0,0.0,1,1,0,8.0,0,0,0,1.0,0,35,3,1,737.533,0.0
49,C1_public_limited,W0,workday,60+_nondigital_assisted,23,23,8,1,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,27,3,0,554.571,0.0
49,C1_public_limited,W0,workday,60+_nondigital_unassisted,5,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,3,3,0,104.514,0.0
49,C1_public_limited,W1,workday,18-39,80,80,62,19,10,2,0,59.55,29,29,0,10.96331,0,0,1,0.986301,8,71,70,29,3442.642,20823.852668
49,C1_public_limited,W1,workday,40-59,66,66,43,16,3,1,0,18.0,6,6,0,8.539,0,0,2,0.96875,3,78,51,6,2434.695,17095.78164
49,C1_public_limited,W1,workday,60+_digital,26,26,14,4,1,1,0,3.43,7,7,0,9.714286,0,0,0,1.0,0,30,2,7,629.408,9451.539933
49,C1_public_limited,W1,workday,60+_nondigital_assisted,23,23,8,1,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,24,3,0,468.857,6194.727934
49,C1_public_limited,W1,workday,60+_nondigital_unassisted,5,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,3,3,0,104.514,1420.835866
49,C1_public_limited,W2,workday,18-39,80,80,62,19,13,4,0,77.56,55,54,1,12.067347,1,0,2,0.972603,2,34,81,54,3431.1,0.0
49,C1_public_limited,W2,workday,40-59,66,66,43,16,7,4,0,50.78,18,18,0,10.675611,0,0,2,0.96875,0,50,59,18,2445.75,0.0
49,C1_public_limited,W2,workday,60+_digital,26,26,14,4,0,0,0,0.0,1,1,0,8.0,0,0,0,1.0,0,30,6,1,733.636,0.0
49,C1_public_limited,W2,workday,60+_nondigital_assisted,23,23,8,1,0,0,0,0.0,1,1,0,10.0,0,0,0,1.0,0,26,3,1,566.96,0.0
49,C1_public_limited,W2,workday,60+_nondigital_unassisted,5,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,3,3,0,106.514,0.0
