policy,baseline_policy,weather_scenario,metric,baseline_mean,policy_mean,absolute_change,percent_change,percent_change_defined,undefined_reason
C1_public_limited,C0_no_coupon,W0,coupon_reached,0.0,191.4,191.4,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,coupon_participated,0.0,128.6,128.6,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,coupon_awarded,0.0,40.0,40.0,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,coupon_redeemed,0.0,9.9,9.9,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,coupon_induced_requests,0.0,5.7,5.7,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,coupon_ineligible_ride_requests,0.0,0.0,0.0,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,coupon_subsidy_yuan,0.0,68.142,68.142,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,ride_hailing_requests,24.7,30.4,5.7,23.076923,True,
C1_public_limited,C0_no_coupon,W0,successful_ride_hailing_requests,24.7,30.2,5.5,22.267206,True,
C1_public_limited,C0_no_coupon,W0,ride_hailing_failed,0.0,0.2,0.2,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,mean_ride_hailing_wait_minutes_per_request,10.754605,10.597751,-0.156854,-1.458482,True,
C1_public_limited,C0_no_coupon,W0,fallback_attempts,0.0,0.2,0.2,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,fallback_succeeded,0.0,0.2,0.2,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,transport_unmet,0.0,0.0,0.0,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,mandatory_activity_incomplete,3.3,3.3,0.0,0.0,True,
C1_public_limited,C0_no_coupon,W0,activity_completion_rate,0.981786,0.981805,1.9e-05,0.001935,True,
C1_public_limited,C0_no_coupon,W0,necessary_activity_completion_rate,0.977543,0.977529,-1.4e-05,-0.001432,True,
C1_public_limited,C0_no_coupon,W0,walking_mode_share,0.013682,0.013682,0.0,0.0,True,
C1_public_limited,C0_no_coupon,W0,bus_mode_share,0.570003,0.557897,-0.012106,-2.123848,True,
C1_public_limited,C0_no_coupon,W0,metro_mode_share,0.353858,0.352068,-0.00179,-0.505853,True,
C1_public_limited,C0_no_coupon,W0,ride_hailing_mode_share,0.062457,0.076353,0.013896,22.248907,True,
C1_public_limited,C0_no_coupon,W0,mean_total_travel_time,62.4603,62.0643,-0.396,-0.634003,True,
C1_public_limited,C0_no_coupon,W0,mean_road_speed_kmh,17.4381,17.7233,0.2852,1.635499,True,
C1_public_limited,C0_no_coupon,W0,total_outdoor_exposure_minutes,7348.7754,7297.1835,-51.5919,-0.702048,True,
C1_public_limited,C0_no_coupon,W0,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero
C1_public_limited,C0_no_coupon,W1,coupon_reached,0.0,191.4,191.4,,False,baseline_zero
C1_public_limited,C0_no_coupon,W1,coupon_participated,0.0,128.6,128.6,,False,baseline_zero
C1_public_limited,C0_no_coupon,W1,coupon_awarded,0.0,40.0,40.0,,False,baseline_zero
C1_public_limited,C0_no_coupon,W1,coupon_redeemed,0.0,11.1,11.1,,False,baseline_zero
C1_public_limited,C0_no_coupon,W1,coupon_induced_requests,0.0,6.2,6.2,,False,baseline_zero
C1_public_limited,C0_no_coupon,W1,coupon_ineligible_ride_requests,0.0,0.0,0.0,,False,baseline_zero
C1_public_limited,C0_no_coupon,W1,coupon_subsidy_yuan,0.0,74.167,74.167,,False,baseline_zero
C1_public_limited,C0_no_coupon,W1,ride_hailing_requests,30.6,36.8,6.2,20.261438,True,
C1_public_limited,C0_no_coupon,W1,successful_ride_hailing_requests,30.6,36.6,6.0,19.607843,True,
C1_public_limited,C0_no_coupon,W1,ride_hailing_failed,0.0,0.2,0.2,,False,baseline_zero
C1_public_limited,C0_no_coupon,W1,mean_ride_hailing_wait_minutes_per_request,10.512029,10.368812,-0.143217,-1.362411,True,
C1_public_limited,C0_no_coupon,W1,fallback_attempts,0.0,0.2,0.2,,False,baseline_zero
C1_public_limited,C0_no_coupon,W1,fallback_succeeded,0.0,0.2,0.2,,False,baseline_zero
C1_public_limited,C0_no_coupon,W1,transport_unmet,0.0,0.0,0.0,,False,baseline_zero
C1_public_limited,C0_no_coupon,W1,mandatory_activity_incomplete,3.3,3.3,0.0,0.0,True,
C1_public_limited,C0_no_coupon,W1,activity_completion_rate,0.957545,0.957564,1.9e-05,0.001984,True,
C1_public_limited,C0_no_coupon,W1,necessary_activity_completion_rate,0.977543,0.977529,-1.4e-05,-0.001432,True,
