policy,weather_scenario,metric,seed_count,mean,std_dev,median,minimum,maximum
C0_no_coupon,W0,coupon_reached,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,coupon_participated,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,coupon_ineligible_ride_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,coupon_subsidy_yuan,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,ride_hailing_requests,10,24.7,5.696978,24.5,18.0,35.0
C0_no_coupon,W0,successful_ride_hailing_requests,10,24.7,5.696978,24.5,18.0,35.0
C0_no_coupon,W0,ride_hailing_failed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,mean_ride_hailing_wait_minutes_per_request,10,10.754605,0.453237,10.70891,9.976667,11.594333
C0_no_coupon,W0,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,fallback_succeeded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,mandatory_activity_incomplete,10,3.3,1.946507,3.0,1.0,8.0
C0_no_coupon,W0,activity_completion_rate,10,0.981786,0.00942,0.985645,0.957346,0.991111
C0_no_coupon,W0,necessary_activity_completion_rate,10,0.977543,0.01315,0.979655,0.945946,0.993197
C0_no_coupon,W0,walking_mode_share,10,0.013682,0.006914,0.01031,0.007595,0.028133
C0_no_coupon,W0,bus_mode_share,10,0.570003,0.022504,0.568698,0.539642,0.617128
C0_no_coupon,W0,metro_mode_share,10,0.353858,0.026468,0.356436,0.309002,0.404092
C0_no_coupon,W0,ride_hailing_mode_share,10,0.062457,0.013681,0.063033,0.04534,0.085158
