seed,policy,experiment_condition,weather_scenario,weather_type,day_type,agent_count,planned_activities,completed_activities,activity_completion_rate,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,weather_cancelled_activities,transport_unmet_activities,necessary_transport_unmet_activities,planned_legs,successful_legs,transport_unmet_legs,transport_success_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,walking_mode_share,bus_mode_share,metro_mode_share,ride_hailing_mode_share,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,ride_hailing_failed,fallback_attempts,fallback_successes,fallback_succeeded,fallback_failed,late_but_reached,reached_but_activity_incomplete,transport_unmet,mandatory_activity_incomplete,mean_bus_wait_minutes,mean_metro_wait_minutes,bus_metro_transfer_legs,bus_metro_transfer_share_of_metro,mean_feeder_bus_time_minutes,mean_ride_hailing_wait_minutes,mean_total_travel_time,mean_fare_yuan,on_time_arrivals,on_time_arrival_rate,bus_activity_arrivals,bus_late_arrivals,bus_late_arrival_rate,interzonal_metro_legs,interzonal_metro_share,scheduled_bus_vehicle_trips,bus_demand,bus_feeder_boardings,total_bus_passenger_boardings,successful_ride_hailing_vehicle_trips,road_vehicle_volume,mean_volume_capacity_ratio,mean_road_speed_kmh,intrazonal_successful_legs,interzonal_successful_legs,initial_ride_hailing_vehicles,end_idle_vehicles,end_busy_vehicles,end_idle_by_zone,feedback_flow_is_first_round_successful_rides,metro_enabled,weather_exposed_activities,remote_work,travel_required_activities,transport_related_unmet,necessary_transport_related_unmet,total_outdoor_exposure_minutes,total_heat_hazard_dose_c_min,total_heat_risk_burden,necessary_heat_risk_burden,heat_risk_per_completed_travel_required_necessary_activity,heat_risk_per_planned_travel_required_necessary_activity,total_rain_exposure_minutes,total_system_wait_minutes,coupon_reached,coupon_participated,coupon_awarded,coupon_redeemed,coupon_expired_after_failed_request,coupon_induced_requests,coupon_ineligible_ride_requests,coupon_subsidy_yuan,mean_ride_hailing_wait_minutes_per_request
47,C0_no_coupon,coupon_C0_no_coupon,W0,normal,workday,200,215,211,0.981395,149,145,0.973154,0,0,0,395,395,0,1.0,3,225,140,27,0.007595,0.56962,0.35443,0.068354,27,27,0,0,0,0,0,0,5,4,0,4,7.286,8.439,77,0.55,27.266,10.959,65.158,5.994,210,0.976744,115,1,0.008696,122,0.493927,1018.941,225,89,314,27,1045.941,0.689706,17.568,148,247,36,36,0,"{""Z1"": 5, ""Z2"": 5, ""Z3"": 4, ""Z4"": 3, ""Z5"": 3, ""Z6"": 3, ""Z7"": 7, ""Z8"": 3, ""Z9"": 3}",True,True,0,0,215,0,0,7486.214,0.0,0.0,0.0,0.0,0.0,0.0,3116.681,0,0,0,0,0,0,0,0.0,10.95937
47,C0_no_coupon,coupon_C0_no_coupon,W1,extreme_heat,workday,200,215,209,0.972093,149,145,0.973154,2,0,0,392,392,0,1.0,3,219,139,31,0.007653,0.558673,0.354592,0.079082,31,31,0,0,0,0,0,0,5,4,0,4,7.216,8.437,76,0.546763,27.248,10.642,65.063,6.222,208,0.976526,111,1,0.009009,121,0.495902,1018.941,219,88,307,31,1049.941,0.689566,17.819,148,244,36,36,0,"{""Z1"": 6, ""Z2"": 4, ""Z3"": 4, ""Z4"": 3, ""Z5"": 3, ""Z6"": 3, ""Z7"": 7, ""Z8"": 3, ""Z9"": 3}",True,True,27,0,213,0,0,7369.5,52260.688334,58272.738069,35813.165401,246.987348,240.356815,0.0,3082.967,0,0,0,0,0,0,0,0.0,10.642032
47,C0_no_coupon,coupon_C0_no_coupon,W2,heavy_rain,workday,200,215,198,0.92093,149,142,0.95302,8,0,0,374,374,0,1.0,2,152,158,62,0.005348,0.406417,0.42246,0.165775,63,62,1,1,1,1,1,0,9,9,0,7,8.036,8.95,94,0.594937,30.848,11.225,67.843,9.131,191,0.955,71,1,0.014085,138,0.575,1018.941,152,115,267,62,1080.941,0.758284,17.28,134,240,36,36,0,"{""Z1"": 3, ""Z2"": 7, ""Z3"": 2, ""Z4"": 3, ""Z5"": 5, ""Z6"": 5, ""Z7"": 6, ""Z8"": 3, ""Z9"": 2}",True,True,170,7,200,0,0,7562.632,0.0,0.0,0.0,0.0,0.0,4743.291408,3351.416,0,0,0,0,0,0,0,0.0,11.364061
47,C1_public_limited,coupon_C1_public_limited,W0,normal,workday,200,215,211,0.981395,149,145,0.973154,0,0,0,395,395,0,1.0,3,223,140,29,0.007595,0.564557,0.35443,0.073418,29,29,0,0,0,0,0,0,5,4,0,4,7.305,8.439,77,0.55,27.266,10.899,65.004,6.042,210,0.976744,113,1,0.00885,122,0.493927,1018.941,223,89,312,29,1047.941,0.690561,17.67,148,247,36,36,0,"{""Z1"": 5, ""Z2"": 4, ""Z3"": 5, ""Z4"": 3, ""Z5"": 3, ""Z6"": 3, ""Z7"": 7, ""Z8"": 3, ""Z9"": 3}",True,True,0,0,215,0,0,7475.939,0.0,0.0,0.0,0.0,0.0,0.0,3126.405,191,124,40,7,0,2,0,54.83,10.898517
47,C1_public_limited,coupon_C1_public_limited,W1,extreme_heat,workday,200,215,209,0.972093,149,145,0.973154,2,0,0,392,392,0,1.0,3,217,139,33,0.007653,0.553571,0.354592,0.084184,33,33,0,0,0,0,0,0,5,4,0,4,7.235,8.437,76,0.546763,27.248,10.608,64.908,6.271,208,0.976526,109,1,0.009174,121,0.495902,1018.941,217,88,305,33,1051.941,0.690428,17.921,148,244,36,36,0,"{""Z1"": 6, ""Z2"": 3, ""Z3"": 5, ""Z4"": 3, ""Z5"": 3, ""Z6"": 3, ""Z7"": 7, ""Z8"": 3, ""Z9"": 3}",True,True,27,0,213,0,0,7359.225,52233.642333,58243.579134,35784.011467,246.786286,240.161151,0.0,3092.691,191,124,40,7,0,2,0,54.83,10.607788
47,C1_public_limited,coupon_C1_public_limited,W2,heavy_rain,workday,200,215,198,0.92093,149,142,0.95302,8,0,0,374,374,0,1.0,2,146,156,70,0.005348,0.390374,0.417112,0.187166,71,70,1,1,1,1,1,0,9,9,0,7,8.033,8.882,93,0.596154,30.564,11.171,67.291,9.444,191,0.955,66,1,0.015152,136,0.566667,1018.941,146,113,259,70,1088.941,0.76242,17.631,134,240,36,36,0,"{""Z1"": 4, ""Z2"": 7, ""Z3"": 1, ""Z4"": 3, ""Z5"": 4, ""Z6"": 5, ""Z7"": 7, ""Z8"": 3, ""Z9"": 2}",True,True,170,7,200,0,0,7475.849,0.0,0.0,0.0,0.0,0.0,4711.688369,3360.389,191,124,40,15,0,8,0,106.87,11.295509
47,C2_elder_limited,coupon_C2_elder_limited,W0,normal,workday,200,215,211,0.981395,149,145,0.973154,0,0,0,395,395,0,1.0,3,224,140,28,0.007595,0.567089,0.35443,0.070886,28,28,0,0,0,0,0,0,5,4,0,4,7.274,8.439,77,0.55,27.266,10.854,65.114,6.009,210,0.976744,115,1,0.008696,122,0.493927,1018.941,224,89,313,28,1046.941,0.689717,17.63,148,247,36,36,0,"{""Z1"": 5, ""Z2"": 5, ""Z3"": 4, ""Z4"": 3, ""Z5"": 3, ""Z6"": 3, ""Z7"": 7, ""Z8"": 3, ""Z9"": 3}",True,True,0,0,215,0,0,7472.214,0.0,0.0,0.0,0.0,0.0,0.0,3114.681,45,0,40,2,0,1,0,5.99,10.853679
47,C2_elder_limited,coupon_C2_elder_limited,W1,extreme_heat,workday,200,215,209,0.972093,149,145,0.973154,2,0,0,392,392,0,1.0,3,218,139,32,0.007653,0.556122,0.354592,0.081633,32,32,0,0,0,0,0,0,5,4,0,4,7.203,8.437,76,0.546763,27.248,10.559,65.017,6.226,208,0.976526,110,1,0.009091,121,0.495902,1018.941,218,88,306,32,1050.941,0.689577,17.878,148,244,36,36,0,"{""Z1"": 6, ""Z2"": 4, ""Z3"": 4, ""Z4"": 3, ""Z5"": 3, ""Z6"": 3, ""Z7"": 7, ""Z8"": 3, ""Z9"": 3}",True,True,27,0,213,0,0,7355.5,52106.838334,58072.733069,35813.165401,246.987348,240.356815,0.0,3080.967,45,0,40,3,0,1,0,11.39,10.559469
47,C2_elder_limited,coupon_C2_elder_limited,W2,heavy_rain,workday,200,215,198,0.92093,149,142,0.95302,8,0,0,374,374,0,1.0,2,146,158,68,0.005348,0.390374,0.42246,0.181818,68,68,0,0,0,0,0,0,10,9,0,7,8.039,8.95,94,0.594937,30.849,11.285,67.34,9.494,190,0.95,68,1,0.014706,138,0.575,1018.941,146,115,261,68,1086.941,0.758582,17.609,134,240,36,36,0,"{""Z1"": 3, ""Z2"": 7, ""Z3"": 2, ""Z4"": 4, ""Z5"": 5, ""Z6"": 5, ""Z7"": 5, ""Z8"": 3, ""Z9"": 2}",True,True,170,7,200,0,0,7500.33,0.0,0.0,0.0,0.0,0.0,4718.702109,3355.114,45,0,40,6,0,5,0,34.65,11.285285
47,C3_mixed,coupon_C3_mixed,W0,normal,workday,200,215,211,0.981395,149,145,0.973154,0,0,0,395,395,0,1.0,3,223,140,29,0.007595,0.564557,0.35443,0.073418,29,29,0,0,0,0,0,0,5,4,0,4,7.288,8.439,77,0.55,27.266,10.824,65.029,6.047,210,0.976744,114,1,0.008772,122,0.493927,1018.941,223,89,312,29,1047.941,0.689755,17.679,148,247,36,36,0,"{""Z1"": 5, ""Z2"": 4, ""Z3"": 5, ""Z4"": 3, ""Z5"": 3, ""Z6"": 3, ""Z7"": 7, ""Z8"": 3, ""Z9"": 3}",True,True,0,0,215,0,0,7470.214,0.0,0.0,0.0,0.0,0.0,0.0,3120.681,194,124,40,5,0,2,0,36.1,10.824241
