vehicle_total,weather_scenario,metric,mean,std_dev,median,minimum,maximum
36,W0,ride_hailing_requests,23.5,5.338539,23.5,17.0,32.0
36,W0,successful_ride_hailing_requests,23.5,5.338539,23.5,17.0,32.0
36,W0,ride_hailing_failed,0.0,0.0,0.0,0.0,0.0
36,W0,mean_ride_hailing_wait_minutes_per_request,10.81538,0.435088,10.817106,9.975294,11.57405
36,W0,max_ride_hailing_wait_minutes,20.735941,5.884396,20.0,15.0,35.506412
36,W0,fallback_attempts,0.0,0.0,0.0,0.0,0.0
36,W0,fallback_succeeded,0.0,0.0,0.0,0.0,0.0
36,W0,fallback_failed,0.0,0.0,0.0,0.0,0.0
36,W0,late_but_reached,4.1,1.66333,4.0,1.0,7.0
36,W0,transport_unmet,0.0,0.0,0.0,0.0,0.0
36,W0,mandatory_activity_incomplete,3.3,1.946507,3.0,1.0,8.0
36,W0,activity_completion_rate,0.981786,0.00942,0.985645,0.957346,0.991111
36,W0,necessary_activity_completion_rate,0.977543,0.01315,0.979655,0.945946,0.993197
36,W0,walking_mode_share,0.013682,0.006914,0.01031,0.007595,0.028133
36,W0,bus_mode_share,0.572276,0.022746,0.569976,0.542199,0.619647
36,W0,metro_mode_share,0.354608,0.026198,0.356436,0.311436,0.404092
36,W0,ride_hailing_mode_share,0.059433,0.012912,0.060436,0.042821,0.077859
36,W0,mean_total_travel_time,62.5136,1.512609,63.0435,60.332,65.158
36,W0,mean_road_speed_kmh,17.3696,0.290738,17.3085,16.992,17.894
36,W0,successful_orders_per_vehicle,0.652778,0.148293,0.652778,0.472222,0.888889
36,W0,vehicle_used_share,0.35,0.069537,0.361111,0.25,0.444444
36,W1,ride_hailing_requests,26.8,6.629899,26.0,19.0,39.0
36,W1,successful_ride_hailing_requests,26.8,6.629899,26.0,19.0,39.0
36,W1,ride_hailing_failed,0.0,0.0,0.0,0.0,0.0
36,W1,mean_ride_hailing_wait_minutes_per_request,10.701099,0.378446,10.690439,10.102136,11.21924
36,W1,max_ride_hailing_wait_minutes,21.435941,5.532046,21.0,16.186,35.506412
36,W1,fallback_attempts,0.0,0.0,0.0,0.0,0.0
36,W1,fallback_succeeded,0.0,0.0,0.0,0.0,0.0
36,W1,fallback_failed,0.0,0.0,0.0,0.0,0.0
36,W1,late_but_reached,4.1,1.66333,4.0,1.0,7.0
36,W1,transport_unmet,0.0,0.0,0.0,0.0,0.0
36,W1,mandatory_activity_incomplete,3.3,1.946507,3.0,1.0,8.0
36,W1,activity_completion_rate,0.957545,0.015296,0.95884,0.92891,0.976415
36,W1,necessary_activity_completion_rate,0.977543,0.01315,0.979655,0.945946,0.993197
36,W1,walking_mode_share,0.013176,0.007719,0.01053,0.005236,0.028351
36,W1,bus_mode_share,0.557076,0.025461,0.553287,0.527132,0.611253
36,W1,metro_mode_share,0.360605,0.02801,0.365232,0.315271,0.408377
36,W1,ride_hailing_mode_share,0.069144,0.015955,0.066408,0.048593,0.096059
36,W1,mean_total_travel_time,62.5444,1.670744,62.675,60.334,65.308
36,W1,mean_road_speed_kmh,17.5706,0.359933,17.522,17.119,18.276
36,W1,successful_orders_per_vehicle,0.744444,0.184164,0.722222,0.527778,1.083333
36,W1,vehicle_used_share,0.375,0.07082,0.375,0.277778,0.5
36,W2,ride_hailing_requests,56.4,7.183314,54.0,47.0,69.0
36,W2,successful_ride_hailing_requests,55.2,6.442912,54.0,47.0,67.0
36,W2,ride_hailing_failed,1.2,1.316561,1.0,0.0,4.0
36,W2,mean_ride_hailing_wait_minutes_per_request,11.415378,0.564989,11.382062,10.469696,12.16702
36,W2,max_ride_hailing_wait_minutes,25.884664,4.918051,25.856279,20.0,34.027548
36,W2,fallback_attempts,1.2,1.316561,1.0,0.0,4.0
36,W2,fallback_succeeded,1.1,1.286684,1.0,0.0,4.0
36,W2,fallback_failed,0.1,0.316228,0.0,0.0,1.0
36,W2,late_but_reached,5.2,2.440401,5.0,2.0,10.0
36,W2,transport_unmet,0.1,0.316228,0.0,0.0,1.0
36,W2,mandatory_activity_incomplete,4.7,2.406011,3.5,2.0,8.0
36,W2,activity_completion_rate,0.93425,0.019769,0.933164,0.909953,0.968889
36,W2,necessary_activity_completion_rate,0.968055,0.016243,0.97605,0.944828,0.986207
36,W2,walking_mode_share,0.006701,0.003406,0.005451,0.0,0.011019
36,W2,bus_mode_share,0.393109,0.014788,0.387027,0.371274,0.418182
36,W2,metro_mode_share,0.452413,0.02575,0.455035,0.41206,0.501355
36,W2,ride_hailing_mode_share,0.147777,0.014571,0.143339,0.127371,0.173554
36,W2,mean_total_travel_time,64.6293,1.840603,64.501,62.151,68.315
36,W2,mean_road_speed_kmh,17.1584,0.323739,17.0345,16.847,17.828
36,W2,successful_orders_per_vehicle,1.533333,0.17897,1.5,1.305556,1.861111
36,W2,vehicle_used_share,0.627778,0.057377,0.625,0.527778,0.722222
24,W0,ride_hailing_requests,23.5,5.338539,23.5,17.0,32.0
24,W0,successful_ride_hailing_requests,23.3,5.143496,23.5,17.0,32.0
24,W0,ride_hailing_failed,0.2,0.632456,0.0,0.0,2.0
24,W0,mean_ride_hailing_wait_minutes_per_request,10.845014,0.447275,10.88134,9.975294,11.57405
24,W0,max_ride_hailing_wait_minutes,20.049173,4.543134,20.0,15.0,30.638725
24,W0,fallback_attempts,0.2,0.632456,0.0,0.0,2.0
24,W0,fallback_succeeded,0.2,0.632456,0.0,0.0,2.0
24,W0,fallback_failed,0.0,0.0,0.0,0.0,0.0
24,W0,late_but_reached,4.2,1.686548,4.0,1.0,7.0
24,W0,transport_unmet,0.0,0.0,0.0,0.0,0.0
24,W0,mandatory_activity_incomplete,3.5,1.900292,3.5,1.0,8.0
24,W0,activity_completion_rate,0.980877,0.009368,0.983537,0.957346,0.991111
24,W0,necessary_activity_completion_rate,0.976164,0.01286,0.976232,0.945946,0.993197
24,W0,walking_mode_share,0.013682,0.006914,0.01031,0.007595,0.028133
24,W0,bus_mode_share,0.57278,0.022226,0.569976,0.542199,0.619647
24,W0,metro_mode_share,0.354608,0.026198,0.356436,0.311436,0.404092
24,W0,ride_hailing_mode_share,0.058929,0.01241,0.060436,0.042821,0.077859
24,W0,mean_total_travel_time,62.5496,1.523465,63.086,60.332,65.158
24,W0,mean_road_speed_kmh,17.3605,0.281319,17.3085,16.992,17.894
24,W0,successful_orders_per_vehicle,0.970833,0.214312,0.979167,0.708333,1.333333
24,W0,vehicle_used_share,0.504167,0.097123,0.520833,0.375,0.666667
24,W1,ride_hailing_requests,26.8,6.629899,26.0,19.0,39.0
24,W1,successful_ride_hailing_requests,26.6,6.41526,26.0,19.0,39.0
24,W1,ride_hailing_failed,0.2,0.632456,0.0,0.0,2.0
24,W1,mean_ride_hailing_wait_minutes_per_request,10.724352,0.37709,10.745622,10.102136,11.21924
24,W1,max_ride_hailing_wait_minutes,20.749173,4.205448,20.0,16.186,30.638725
24,W1,fallback_attempts,0.2,0.632456,0.0,0.0,2.0
24,W1,fallback_succeeded,0.2,0.632456,0.0,0.0,2.0
24,W1,fallback_failed,0.0,0.0,0.0,0.0,0.0
24,W1,late_but_reached,4.2,1.686548,4.0,1.0,7.0
24,W1,transport_unmet,0.0,0.0,0.0,0.0,0.0
24,W1,mandatory_activity_incomplete,3.5,1.900292,3.5,1.0,8.0
24,W1,activity_completion_rate,0.956636,0.015757,0.957871,0.92891,0.976415
24,W1,necessary_activity_completion_rate,0.976164,0.01286,0.976232,0.945946,0.993197
24,W1,walking_mode_share,0.013176,0.007719,0.01053,0.005236,0.028351
24,W1,bus_mode_share,0.557593,0.024831,0.553287,0.528796,0.611253
24,W1,metro_mode_share,0.360605,0.02801,0.365232,0.315271,0.408377
24,W1,ride_hailing_mode_share,0.068627,0.015354,0.066408,0.048593,0.096059
24,W1,mean_total_travel_time,62.5813,1.668308,62.835,60.334,65.308
24,W1,mean_road_speed_kmh,17.5612,0.349178,17.522,17.119,18.276
24,W1,successful_orders_per_vehicle,1.108333,0.267302,1.083333,0.791667,1.625
24,W1,vehicle_used_share,0.541667,0.103935,0.541667,0.375,0.75
24,W2,ride_hailing_requests,56.4,7.183314,54.0,47.0,69.0
24,W2,successful_ride_hailing_requests,52.6,5.660781,51.5,46.0,64.0
24,W2,ride_hailing_failed,3.8,2.043961,3.0,1.0,8.0
24,W2,mean_ride_hailing_wait_minutes_per_request,11.799331,0.516737,11.937008,11.088063,12.504686
24,W2,max_ride_hailing_wait_minutes,26.390283,4.03721,27.536197,20.447041,31.125021
24,W2,fallback_attempts,3.8,2.043961,3.0,1.0,8.0
24,W2,fallback_succeeded,3.4,2.221111,3.0,1.0,8.0
24,W2,fallback_failed,0.4,0.699206,0.0,0.0,2.0
24,W2,late_but_reached,6.7,2.002776,6.5,4.0,11.0
24,W2,transport_unmet,0.4,0.699206,0.0,0.0,2.0
24,W2,mandatory_activity_incomplete,6.3,2.263233,6.0,3.0,10.0
24,W2,activity_completion_rate,0.926318,0.019179,0.923438,0.906977,0.964444
24,W2,necessary_activity_completion_rate,0.957169,0.015176,0.958902,0.932886,0.97931
24,W2,walking_mode_share,0.00721,0.004228,0.005458,0.0,0.015075
24,W2,bus_mode_share,0.398548,0.015479,0.39428,0.373984,0.425974
24,W2,metro_mode_share,0.45332,0.02555,0.455035,0.41206,0.501355
24,W2,ride_hailing_mode_share,0.140923,0.012205,0.137989,0.124661,0.160804
24,W2,mean_total_travel_time,64.9651,1.829775,64.721,62.629,68.695
24,W2,mean_road_speed_kmh,17.0512,0.306107,16.9505,16.755,17.667
24,W2,successful_orders_per_vehicle,2.191667,0.235866,2.145834,1.916667,2.666667
24,W2,vehicle_used_share,0.766667,0.068606,0.770833,0.666667,0.875
