seed,policy,experiment_condition,weather_scenario,weather_type,day_type,agent_count,planned_activities,completed_activities,activity_completion_rate,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,weather_cancelled_activities,transport_unmet_activities,necessary_transport_unmet_activities,planned_legs,successful_legs,transport_unmet_legs,transport_success_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,walking_mode_share,bus_mode_share,metro_mode_share,ride_hailing_mode_share,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,ride_hailing_failed,fallback_attempts,fallback_successes,fallback_succeeded,fallback_failed,late_but_reached,reached_but_activity_incomplete,transport_unmet,mandatory_activity_incomplete,mean_bus_wait_minutes,mean_metro_wait_minutes,bus_metro_transfer_legs,bus_metro_transfer_share_of_metro,mean_feeder_bus_time_minutes,mean_ride_hailing_wait_minutes,mean_total_travel_time,mean_fare_yuan,on_time_arrivals,on_time_arrival_rate,bus_activity_arrivals,bus_late_arrivals,bus_late_arrival_rate,interzonal_metro_legs,interzonal_metro_share,scheduled_bus_vehicle_trips,bus_demand,bus_feeder_boardings,total_bus_passenger_boardings,successful_ride_hailing_vehicle_trips,road_vehicle_volume,mean_volume_capacity_ratio,mean_road_speed_kmh,intrazonal_successful_legs,interzonal_successful_legs,initial_ride_hailing_vehicles,end_idle_vehicles,end_busy_vehicles,end_idle_by_zone,feedback_flow_is_first_round_successful_rides,metro_enabled,weather_exposed_activities,remote_work,travel_required_activities,transport_related_unmet,necessary_transport_related_unmet,total_outdoor_exposure_minutes,total_heat_hazard_dose_c_min,total_heat_risk_burden,necessary_heat_risk_burden,heat_risk_per_completed_travel_required_necessary_activity,heat_risk_per_planned_travel_required_necessary_activity,total_rain_exposure_minutes,total_system_wait_minutes,vehicle_total,mean_ride_hailing_wait_minutes_per_request,max_ride_hailing_wait_minutes,no_vehicle_failures,wait_limit_failures,non_capacity_failures,successful_orders_per_vehicle,vehicle_used_share,competition_event,collapse_event
47,P0_no_policy,fleet_36,W0,normal,workday,200,215,211,0.981395,149,145,0.973154,0,0,0,395,395,0,1.0,3,225,140,27,0.007595,0.56962,0.35443,0.068354,27,27,0,0,0,0,0,0,5,4,0,4,7.286,8.439,77,0.55,27.266,10.959,65.158,5.994,210,0.976744,115,1,0.008696,122,0.493927,1018.941,225,89,314,27,1045.941,0.689706,17.568,148,247,36,36,0,"{""Z1"": 5, ""Z2"": 5, ""Z3"": 4, ""Z4"": 3, ""Z5"": 3, ""Z6"": 3, ""Z7"": 7, ""Z8"": 3, ""Z9"": 3}",True,True,0,0,215,0,0,7486.214,0.0,0.0,0.0,0.0,0.0,0.0,3116.681,36,10.95937,16.186,0,0,0,0.75,0.388889,False,False
47,P0_no_policy,fleet_36,W1,extreme_heat,workday,200,215,209,0.972093,149,145,0.973154,2,0,0,392,392,0,1.0,3,223,139,27,0.007653,0.568878,0.354592,0.068878,27,27,0,0,0,0,0,0,5,4,0,4,7.288,8.437,76,0.546763,27.248,10.959,65.308,6.014,208,0.976526,113,1,0.00885,121,0.495902,1018.941,223,88,311,27,1045.941,0.689533,17.577,148,244,36,36,0,"{""Z1"": 5, ""Z2"": 5, ""Z3"": 4, ""Z4"": 3, ""Z5"": 3, ""Z6"": 3, ""Z7"": 7, ""Z8"": 3, ""Z9"": 3}",True,True,27,0,213,0,0,7428.5,52987.105001,59217.079736,36253.345401,250.023072,243.311043,0.0,3093.967,36,10.95937,16.186,0,0,0,0.75,0.388889,False,False
47,P0_no_policy,fleet_36,W2,heavy_rain,workday,200,215,197,0.916279,149,141,0.946309,8,0,0,374,374,0,1.0,2,150,170,52,0.005348,0.40107,0.454545,0.139037,52,52,0,0,0,0,0,0,10,10,0,8,8.065,9.069,103,0.605882,31.154,11.36,68.315,8.333,190,0.95,71,2,0.028169,145,0.604167,1018.941,150,128,278,52,1070.941,0.743737,17.04,134,240,36,36,0,"{""Z1"": 5, ""Z2"": 4, ""Z3"": 2, ""Z4"": 3, ""Z5"": 4, ""Z6"": 5, ""Z7"": 7, ""Z8"": 4, ""Z9"": 2}",True,True,170,7,200,0,0,7724.873,0.0,0.0,0.0,0.0,0.0,4881.347104,3342.155,36,11.360257,30.538827,0,0,0,1.444444,0.583333,False,False
47,P0_no_policy,fleet_24,W0,normal,workday,200,215,211,0.981395,149,145,0.973154,0,0,0,395,395,0,1.0,3,225,140,27,0.007595,0.56962,0.35443,0.068354,27,27,0,0,0,0,0,0,5,4,0,4,7.286,8.439,77,0.55,27.266,10.959,65.158,5.994,210,0.976744,115,1,0.008696,122,0.493927,1018.941,225,89,314,27,1045.941,0.689706,17.568,148,247,24,24,0,"{""Z1"": 3, ""Z2"": 3, ""Z3"": 3, ""Z4"": 2, ""Z5"": 2, ""Z6"": 2, ""Z7"": 5, ""Z8"": 2, ""Z9"": 2}",True,True,0,0,215,0,0,7486.214,0.0,0.0,0.0,0.0,0.0,0.0,3116.681,24,10.95937,16.186,0,0,0,1.125,0.541667,False,False
47,P0_no_policy,fleet_24,W1,extreme_heat,workday,200,215,209,0.972093,149,145,0.973154,2,0,0,392,392,0,1.0,3,223,139,27,0.007653,0.568878,0.354592,0.068878,27,27,0,0,0,0,0,0,5,4,0,4,7.288,8.437,76,0.546763,27.248,10.959,65.308,6.014,208,0.976526,113,1,0.00885,121,0.495902,1018.941,223,88,311,27,1045.941,0.689533,17.577,148,244,24,24,0,"{""Z1"": 3, ""Z2"": 3, ""Z3"": 3, ""Z4"": 2, ""Z5"": 2, ""Z6"": 2, ""Z7"": 5, ""Z8"": 2, ""Z9"": 2}",True,True,27,0,213,0,0,7428.5,52987.105001,59217.079736,36253.345401,250.023072,243.311043,0.0,3093.967,24,10.95937,16.186,0,0,0,1.125,0.541667,False,False
47,P0_no_policy,fleet_24,W2,heavy_rain,workday,200,215,195,0.906977,149,139,0.932886,8,0,0,374,374,0,1.0,2,153,170,49,0.005348,0.409091,0.454545,0.131016,52,49,3,3,3,3,3,0,11,12,0,10,8.144,9.069,103,0.605882,31.154,11.053,68.695,8.129,189,0.945,73,4,0.054795,145,0.604167,1018.941,153,128,281,49,1067.941,0.741535,16.91,134,240,24,24,0,"{""Z1"": 3, ""Z2"": 2, ""Z3"": 1, ""Z4"": 2, ""Z5"": 3, ""Z6"": 4, ""Z7"": 5, ""Z8"": 3, ""Z9"": 1}",True,True,170,7,200,0,0,7816.041,0.0,0.0,0.0,0.0,0.0,4952.789104,3389.325,24,11.569562,25.968182,0,3,0,2.041667,0.666667,True,False
48,P0_no_policy,fleet_36,W0,normal,workday,200,207,204,0.985507,147,146,0.993197,0,0,0,385,385,0,1.0,4,222,138,21,0.01039,0.576623,0.358442,0.054545,21,21,0,0,0,0,0,0,4,3,0,1,6.73,7.982,67,0.485507,26.466,11.031,63.688,4.892,203,0.980676,113,3,0.026549,118,0.502128,1018.941,222,75,297,21,1039.941,0.723329,17.219,150,235,36,36,0,"{""Z1"": 7, ""Z2"": 4, ""Z3"": 3, ""Z4"": 3, ""Z5"": 3, ""Z6"": 5, ""Z7"": 6, ""Z8"": 4, ""Z9"": 1}",True,True,0,0,207,0,0,7149.564,0.0,0.0,0.0,0.0,0.0,0.0,2827.146,36,11.031048,23.0,0,0,0,0.583333,0.333333,False,False
48,P0_no_policy,fleet_36,W1,extreme_heat,workday,200,207,197,0.951691,147,146,0.993197,7,0,0,373,373,0,1.0,4,212,137,20,0.010724,0.568365,0.367292,0.053619,20,20,0,0,0,0,0,0,4,3,0,1,6.672,7.996,67,0.489051,26.466,11.183,64.318,4.912,196,0.98,106,3,0.028302,118,0.506438,1018.941,212,75,287,20,1038.941,0.733908,17.139,140,233,36,36,0,"{""Z1"": 7, ""Z2"": 4, ""Z3"": 3, ""Z4"": 3, ""Z5"": 3, ""Z6"": 5, ""Z7"": 6, ""Z8"": 4, ""Z9"": 1}",True,True,29,0,200,0,0,6950.064,49035.311499,54611.740347,36245.787413,248.258818,246.569982,0.0,2733.646,36,11.1826,23.0,0,0,0,0.555556,0.361111,False,False
48,P0_no_policy,fleet_36,W2,heavy_rain,workday,200,207,193,0.932367,147,143,0.972789,8,0,0,363,363,0,1.0,4,140,168,51,0.011019,0.385675,0.46281,0.140496,52,51,1,1,1,1,1,0,3,6,0,4,7.261,8.714,92,0.547619,30.62,12.013,65.681,8.235,191,0.984536,61,2,0.032787,144,0.64,1018.941,140,110,250,51,1069.941,0.794527,16.847,138,225,36,36,0,"{""Z1"": 8, ""Z2"": 5, ""Z3"": 2, ""Z4"": 2, ""Z5"": 4, ""Z6"": 6, ""Z7"": 5, ""Z8"": 3, ""Z9"": 1}",True,True,160,5,194,0,0,7412.982,0.0,0.0,0.0,0.0,0.0,4724.759785,3113.233,36,12.16702,23.0,0,1,0,1.416667,0.638889,True,False
48,P0_no_policy,fleet_24,W0,normal,workday,200,207,204,0.985507,147,146,0.993197,0,0,0,385,385,0,1.0,4,222,138,21,0.01039,0.576623,0.358442,0.054545,21,21,0,0,0,0,0,0,4,3,0,1,6.73,7.982,67,0.485507,26.466,11.031,63.688,4.892,203,0.980676,113,3,0.026549,118,0.502128,1018.941,222,75,297,21,1039.941,0.723329,17.219,150,235,24,24,0,"{""Z1"": 5, ""Z2"": 2, ""Z3"": 2, ""Z4"": 2, ""Z5"": 2, ""Z6"": 4, ""Z7"": 4, ""Z8"": 3, ""Z9"": 0}",True,True,0,0,207,0,0,7149.564,0.0,0.0,0.0,0.0,0.0,0.0,2827.146,24,11.031048,23.0,0,0,0,0.875,0.5,False,False
