vehicle_total,weather_scenario,seed_count,ride_hailing_requests,successful_ride_hailing_requests,ride_hailing_failed,mean_ride_hailing_wait_minutes_per_request,max_ride_hailing_wait_minutes,fallback_attempts,fallback_succeeded,fallback_failed,late_but_reached,transport_unmet,mandatory_activity_incomplete,activity_completion_rate,necessary_activity_completion_rate,walking_mode_share,bus_mode_share,metro_mode_share,ride_hailing_mode_share,mean_total_travel_time,mean_road_speed_kmh,successful_orders_per_vehicle,vehicle_used_share,competition_seed_share,collapse_seed_share,no_vehicle_failure_seed_share
48,W0,3,25.0,25.0,0.0,10.873386,18.062,0.0,0.0,0.0,3.333333,0.0,2.666667,0.98425,0.982117,0.015373,0.572192,0.348451,0.063984,63.331,17.395,0.520833,0.291667,0.0,0.0,0.0
48,W1,3,26.0,26.0,0.0,10.896818,20.395333,0.0,0.0,0.0,3.333333,0.0,2.666667,0.966733,0.982117,0.015576,0.564648,0.352312,0.067465,63.518333,17.454333,0.541667,0.3125,0.0,0.0,0.0
48,W2,3,54.0,54.0,0.0,11.568515,23.790098,0.0,0.0,0.0,4.666667,0.0,4.666667,0.932291,0.968634,0.007253,0.388913,0.457627,0.146207,65.906,16.967333,1.125,0.5,0.0,0.0,0.0
36,W0,3,25.0,25.0,0.0,10.873386,18.062,0.0,0.0,0.0,3.333333,0.0,2.666667,0.98425,0.982117,0.015373,0.572192,0.348451,0.063984,63.331,17.395,0.694444,0.388889,0.0,0.0,0.0
36,W1,3,26.0,26.0,0.0,10.896818,20.395333,0.0,0.0,0.0,3.333333,0.0,2.666667,0.966733,0.982117,0.015576,0.564648,0.352312,0.067465,63.518333,17.454333,0.722222,0.416667,0.0,0.0,0.0
36,W2,3,54.0,53.0,1.0,11.888395,27.478826,1.0,1.0,0.0,6.0,0.0,5.666667,0.927536,0.961922,0.007253,0.391628,0.457627,0.143492,66.070667,16.920333,1.472222,0.62963,0.666667,0.0,0.0
24,W0,3,25.0,25.0,0.0,10.873386,18.062,0.0,0.0,0.0,3.333333,0.0,2.666667,0.98425,0.982117,0.015373,0.572192,0.348451,0.063984,63.331,17.395,1.041667,0.569445,0.0,0.0,0.0
24,W1,3,26.0,26.0,0.0,10.896818,20.395333,0.0,0.0,0.0,3.333333,0.0,2.666667,0.966733,0.982117,0.015576,0.564648,0.352312,0.067465,63.518333,17.454333,1.083333,0.611111,0.0,0.0,0.0
24,W2,3,54.0,50.666667,3.333333,12.149476,25.846748,3.333333,3.333333,0.0,7.666667,0.0,7.666667,0.91807,0.948468,0.007253,0.397936,0.457627,0.137185,66.446,16.813333,2.111111,0.75,1.0,0.0,0.0
18,W0,3,25.0,24.333333,0.666667,10.955121,19.110226,0.666667,0.666667,0.0,4.0,0.0,3.333333,0.98109,0.977613,0.015373,0.573902,0.348451,0.062275,63.434667,17.362667,1.351852,0.685185,0.666667,0.0,0.0
18,W1,3,26.0,25.333333,0.666667,11.042771,23.060299,0.666667,0.666667,0.0,4.0,0.0,3.333333,0.963572,0.977613,0.015576,0.566392,0.352312,0.065721,63.631,17.421,1.407407,0.722222,0.666667,0.0,0.0
18,W2,3,54.0,44.333333,9.666667,13.154977,28.807764,9.666667,9.666667,0.0,11.333333,0.0,10.0,0.903757,0.932655,0.007253,0.414182,0.458518,0.120047,67.365333,16.51,2.462963,0.814815,1.0,0.0,0.0
12,W0,3,25.0,23.0,2.0,11.646229,20.0,2.0,2.0,0.0,4.666667,0.0,3.666667,0.977869,0.975345,0.015373,0.577339,0.348451,0.058838,63.599333,17.284667,1.916667,0.805555,1.0,0.0,0.0
12,W1,3,26.0,24.0,2.0,11.709119,23.060299,2.0,2.0,0.0,4.666667,0.0,3.666667,0.960352,0.975345,0.015576,0.569898,0.352312,0.062215,63.798667,17.340667,2.0,0.861111,1.0,0.0,0.0
12,W2,3,54.0,38.666667,15.333333,14.664854,31.92388,15.333333,15.333333,0.0,15.333333,0.0,11.0,0.895857,0.925989,0.007253,0.427697,0.460328,0.104723,68.136,16.241333,3.222222,0.888889,1.0,0.0,0.0
