vehicle_total,weather_scenario,metric,mean,std_dev,median,minimum,maximum
48,W0,ride_hailing_requests,25.0,3.464102,27.0,21.0,27.0
48,W0,successful_ride_hailing_requests,25.0,3.464102,27.0,21.0,27.0
48,W0,ride_hailing_failed,0.0,0.0,0.0,0.0,0.0
48,W0,mean_ride_hailing_wait_minutes_per_request,10.873386,0.214025,10.95937,10.629741,11.031048
48,W0,max_ride_hailing_wait_minutes,18.062,4.317352,16.186,15.0,23.0
48,W0,fallback_attempts,0.0,0.0,0.0,0.0,0.0
48,W0,fallback_succeeded,0.0,0.0,0.0,0.0,0.0
48,W0,fallback_failed,0.0,0.0,0.0,0.0,0.0
48,W0,late_but_reached,3.333333,2.081666,4.0,1.0,5.0
48,W0,transport_unmet,0.0,0.0,0.0,0.0,0.0
48,W0,mandatory_activity_incomplete,2.666667,1.527525,3.0,1.0,4.0
48,W0,activity_completion_rate,0.98425,0.002479,0.985507,0.981395,0.985849
48,W0,necessary_activity_completion_rate,0.982117,0.010188,0.98,0.973154,0.993197
48,W0,walking_mode_share,0.015373,0.011139,0.01039,0.007595,0.028133
48,W0,bus_mode_share,0.572192,0.003854,0.570332,0.56962,0.576623
48,W0,metro_mode_share,0.348451,0.013975,0.35443,0.332481,0.358442
48,W0,ride_hailing_mode_share,0.063984,0.008182,0.068354,0.054545,0.069054
48,W0,mean_total_travel_time,63.331,2.029191,63.688,61.147,65.158
48,W0,mean_road_speed_kmh,17.395,0.174519,17.398,17.219,17.568
48,W0,successful_orders_per_vehicle,0.520833,0.072169,0.5625,0.4375,0.5625
48,W0,vehicle_used_share,0.291667,0.041667,0.291667,0.25,0.333333
48,W1,ride_hailing_requests,26.0,5.567764,27.0,20.0,31.0
48,W1,successful_ride_hailing_requests,26.0,5.567764,27.0,20.0,31.0
48,W1,ride_hailing_failed,0.0,0.0,0.0,0.0,0.0
48,W1,mean_ride_hailing_wait_minutes_per_request,10.896818,0.321653,10.95937,10.548484,11.1826
48,W1,max_ride_hailing_wait_minutes,20.395333,3.67952,22.0,16.186,23.0
48,W1,fallback_attempts,0.0,0.0,0.0,0.0,0.0
48,W1,fallback_succeeded,0.0,0.0,0.0,0.0,0.0
48,W1,fallback_failed,0.0,0.0,0.0,0.0,0.0
48,W1,late_but_reached,3.333333,2.081666,4.0,1.0,5.0
48,W1,transport_unmet,0.0,0.0,0.0,0.0,0.0
48,W1,mandatory_activity_incomplete,2.666667,1.527525,3.0,1.0,4.0
48,W1,activity_completion_rate,0.966733,0.013205,0.972093,0.951691,0.976415
48,W1,necessary_activity_completion_rate,0.982117,0.010188,0.98,0.973154,0.993197
48,W1,walking_mode_share,0.015576,0.01117,0.010724,0.007653,0.028351
48,W1,bus_mode_share,0.564648,0.006887,0.568365,0.556701,0.568878
48,W1,metro_mode_share,0.352312,0.01624,0.354592,0.335052,0.367292
48,W1,ride_hailing_mode_share,0.067465,0.013196,0.068878,0.053619,0.079897
48,W1,mean_total_travel_time,63.518333,2.296412,64.318,60.929,65.308
48,W1,mean_road_speed_kmh,17.454333,0.27532,17.577,17.139,17.647
48,W1,successful_orders_per_vehicle,0.541667,0.115995,0.5625,0.416667,0.645833
48,W1,vehicle_used_share,0.3125,0.05512,0.291667,0.270833,0.375
48,W2,ride_hailing_requests,54.0,3.464102,52.0,52.0,58.0
48,W2,successful_ride_hailing_requests,54.0,3.464102,52.0,52.0,58.0
48,W2,ride_hailing_failed,0.0,0.0,0.0,0.0,0.0
48,W2,mean_ride_hailing_wait_minutes_per_request,11.568515,0.528664,11.795469,10.964269,11.945808
48,W2,max_ride_hailing_wait_minutes,23.790098,2.289773,23.0,22.0,26.370295
48,W2,fallback_attempts,0.0,0.0,0.0,0.0,0.0
48,W2,fallback_succeeded,0.0,0.0,0.0,0.0,0.0
48,W2,fallback_failed,0.0,0.0,0.0,0.0,0.0
48,W2,late_but_reached,4.666667,3.785939,3.0,2.0,9.0
48,W2,transport_unmet,0.0,0.0,0.0,0.0,0.0
48,W2,mandatory_activity_incomplete,4.666667,2.886751,3.0,3.0,8.0
48,W2,activity_completion_rate,0.932291,0.014209,0.937198,0.916279,0.943396
48,W2,necessary_activity_completion_rate,0.968634,0.019335,0.979592,0.946309,0.98
48,W2,walking_mode_share,0.007253,0.003262,0.005391,0.005348,0.011019
48,W2,bus_mode_share,0.388913,0.010529,0.38292,0.382749,0.40107
48,W2,metro_mode_share,0.457627,0.004515,0.455526,0.454545,0.46281
48,W2,ride_hailing_mode_share,0.146207,0.00902,0.143251,0.139037,0.156334
48,W2,mean_total_travel_time,65.906,2.184899,65.515,63.943,68.26
48,W2,mean_road_speed_kmh,16.967333,0.075659,16.973,16.889,17.04
48,W2,successful_orders_per_vehicle,1.125,0.072169,1.083333,1.083333,1.208333
48,W2,vehicle_used_share,0.5,0.036084,0.520833,0.458333,0.520833
36,W0,ride_hailing_requests,25.0,3.464102,27.0,21.0,27.0
36,W0,successful_ride_hailing_requests,25.0,3.464102,27.0,21.0,27.0
36,W0,ride_hailing_failed,0.0,0.0,0.0,0.0,0.0
36,W0,mean_ride_hailing_wait_minutes_per_request,10.873386,0.214025,10.95937,10.629741,11.031048
36,W0,max_ride_hailing_wait_minutes,18.062,4.317352,16.186,15.0,23.0
36,W0,fallback_attempts,0.0,0.0,0.0,0.0,0.0
36,W0,fallback_succeeded,0.0,0.0,0.0,0.0,0.0
36,W0,fallback_failed,0.0,0.0,0.0,0.0,0.0
36,W0,late_but_reached,3.333333,2.081666,4.0,1.0,5.0
36,W0,transport_unmet,0.0,0.0,0.0,0.0,0.0
36,W0,mandatory_activity_incomplete,2.666667,1.527525,3.0,1.0,4.0
36,W0,activity_completion_rate,0.98425,0.002479,0.985507,0.981395,0.985849
36,W0,necessary_activity_completion_rate,0.982117,0.010188,0.98,0.973154,0.993197
36,W0,walking_mode_share,0.015373,0.011139,0.01039,0.007595,0.028133
36,W0,bus_mode_share,0.572192,0.003854,0.570332,0.56962,0.576623
36,W0,metro_mode_share,0.348451,0.013975,0.35443,0.332481,0.358442
36,W0,ride_hailing_mode_share,0.063984,0.008182,0.068354,0.054545,0.069054
36,W0,mean_total_travel_time,63.331,2.029191,63.688,61.147,65.158
36,W0,mean_road_speed_kmh,17.395,0.174519,17.398,17.219,17.568
36,W0,successful_orders_per_vehicle,0.694444,0.096225,0.75,0.583333,0.75
