seed,policy,experiment_condition,weather_scenario,weather_type,day_type,agent_count,planned_activities,completed_activities,activity_completion_rate,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,weather_cancelled_activities,transport_unmet_activities,necessary_transport_unmet_activities,planned_legs,successful_legs,transport_unmet_legs,transport_success_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,walking_mode_share,bus_mode_share,metro_mode_share,ride_hailing_mode_share,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,ride_hailing_failed,fallback_attempts,fallback_successes,fallback_succeeded,fallback_failed,late_but_reached,reached_but_activity_incomplete,transport_unmet,mandatory_activity_incomplete,mean_bus_wait_minutes,mean_metro_wait_minutes,bus_metro_transfer_legs,bus_metro_transfer_share_of_metro,mean_feeder_bus_time_minutes,mean_ride_hailing_wait_minutes,mean_total_travel_time,mean_fare_yuan,on_time_arrivals,on_time_arrival_rate,bus_activity_arrivals,bus_late_arrivals,bus_late_arrival_rate,interzonal_metro_legs,interzonal_metro_share,scheduled_bus_vehicle_trips,bus_demand,bus_feeder_boardings,total_bus_passenger_boardings,successful_ride_hailing_vehicle_trips,road_vehicle_volume,mean_volume_capacity_ratio,mean_road_speed_kmh,intrazonal_successful_legs,interzonal_successful_legs,initial_ride_hailing_vehicles,end_idle_vehicles,end_busy_vehicles,end_idle_by_zone,feedback_flow_is_first_round_successful_rides,metro_enabled,weather_exposed_activities,remote_work,travel_required_activities,transport_related_unmet,necessary_transport_related_unmet,total_outdoor_exposure_minutes,total_heat_hazard_dose_c_min,total_heat_risk_burden,necessary_heat_risk_burden,heat_risk_per_completed_travel_required_necessary_activity,heat_risk_per_planned_travel_required_necessary_activity,total_rain_exposure_minutes,total_system_wait_minutes,vehicle_total,mean_ride_hailing_wait_minutes_per_request,max_ride_hailing_wait_minutes,no_vehicle_failures,wait_limit_failures,non_capacity_failures,successful_orders_per_vehicle,vehicle_used_share,competition_event,collapse_event
47,P0_no_policy,fleet_48,W0,normal,workday,200,215,211,0.981395,149,145,0.973154,0,0,0,395,395,0,1.0,3,225,140,27,0.007595,0.56962,0.35443,0.068354,27,27,0,0,0,0,0,0,5,4,0,4,7.286,8.439,77,0.55,27.266,10.959,65.158,5.994,210,0.976744,115,1,0.008696,122,0.493927,1018.941,225,89,314,27,1045.941,0.689706,17.568,148,247,48,48,0,"{""Z1"": 7, ""Z2"": 7, ""Z3"": 5, ""Z4"": 4, ""Z5"": 4, ""Z6"": 4, ""Z7"": 9, ""Z8"": 4, ""Z9"": 4}",True,True,0,0,215,0,0,7486.214,0.0,0.0,0.0,0.0,0.0,0.0,3116.681,48,10.95937,16.186,0,0,0,0.5625,0.291667,False,False
47,P0_no_policy,fleet_48,W1,extreme_heat,workday,200,215,209,0.972093,149,145,0.973154,2,0,0,392,392,0,1.0,3,223,139,27,0.007653,0.568878,0.354592,0.068878,27,27,0,0,0,0,0,0,5,4,0,4,7.288,8.437,76,0.546763,27.248,10.959,65.308,6.014,208,0.976526,113,1,0.00885,121,0.495902,1018.941,223,88,311,27,1045.941,0.689533,17.577,148,244,48,48,0,"{""Z1"": 7, ""Z2"": 7, ""Z3"": 5, ""Z4"": 4, ""Z5"": 4, ""Z6"": 4, ""Z7"": 9, ""Z8"": 4, ""Z9"": 4}",True,True,27,0,213,0,0,7428.5,52987.105001,59217.079736,36253.345401,250.023072,243.311043,0.0,3093.967,48,10.95937,16.186,0,0,0,0.5625,0.291667,False,False
47,P0_no_policy,fleet_48,W2,heavy_rain,workday,200,215,197,0.916279,149,141,0.946309,8,0,0,374,374,0,1.0,2,150,170,52,0.005348,0.40107,0.454545,0.139037,52,52,0,0,0,0,0,0,9,10,0,8,8.065,9.069,103,0.605882,31.154,10.964,68.26,8.333,191,0.955,71,2,0.028169,145,0.604167,1018.941,150,128,278,52,1070.941,0.743737,17.04,134,240,48,48,0,"{""Z1"": 7, ""Z2"": 6, ""Z3"": 3, ""Z4"": 4, ""Z5"": 5, ""Z6"": 6, ""Z7"": 9, ""Z8"": 5, ""Z9"": 3}",True,True,170,7,200,0,0,7704.281,0.0,0.0,0.0,0.0,0.0,4860.755104,3321.563,48,10.964269,22.0,0,0,0,1.083333,0.458333,False,False
47,P0_no_policy,fleet_36,W0,normal,workday,200,215,211,0.981395,149,145,0.973154,0,0,0,395,395,0,1.0,3,225,140,27,0.007595,0.56962,0.35443,0.068354,27,27,0,0,0,0,0,0,5,4,0,4,7.286,8.439,77,0.55,27.266,10.959,65.158,5.994,210,0.976744,115,1,0.008696,122,0.493927,1018.941,225,89,314,27,1045.941,0.689706,17.568,148,247,36,36,0,"{""Z1"": 5, ""Z2"": 5, ""Z3"": 4, ""Z4"": 3, ""Z5"": 3, ""Z6"": 3, ""Z7"": 7, ""Z8"": 3, ""Z9"": 3}",True,True,0,0,215,0,0,7486.214,0.0,0.0,0.0,0.0,0.0,0.0,3116.681,36,10.95937,16.186,0,0,0,0.75,0.388889,False,False
47,P0_no_policy,fleet_36,W1,extreme_heat,workday,200,215,209,0.972093,149,145,0.973154,2,0,0,392,392,0,1.0,3,223,139,27,0.007653,0.568878,0.354592,0.068878,27,27,0,0,0,0,0,0,5,4,0,4,7.288,8.437,76,0.546763,27.248,10.959,65.308,6.014,208,0.976526,113,1,0.00885,121,0.495902,1018.941,223,88,311,27,1045.941,0.689533,17.577,148,244,36,36,0,"{""Z1"": 5, ""Z2"": 5, ""Z3"": 4, ""Z4"": 3, ""Z5"": 3, ""Z6"": 3, ""Z7"": 7, ""Z8"": 3, ""Z9"": 3}",True,True,27,0,213,0,0,7428.5,52987.105001,59217.079736,36253.345401,250.023072,243.311043,0.0,3093.967,36,10.95937,16.186,0,0,0,0.75,0.388889,False,False
47,P0_no_policy,fleet_36,W2,heavy_rain,workday,200,215,197,0.916279,149,141,0.946309,8,0,0,374,374,0,1.0,2,150,170,52,0.005348,0.40107,0.454545,0.139037,52,52,0,0,0,0,0,0,10,10,0,8,8.065,9.069,103,0.605882,31.154,11.36,68.315,8.333,190,0.95,71,2,0.028169,145,0.604167,1018.941,150,128,278,52,1070.941,0.743737,17.04,134,240,36,36,0,"{""Z1"": 5, ""Z2"": 4, ""Z3"": 2, ""Z4"": 3, ""Z5"": 4, ""Z6"": 5, ""Z7"": 7, ""Z8"": 4, ""Z9"": 2}",True,True,170,7,200,0,0,7724.873,0.0,0.0,0.0,0.0,0.0,4881.347104,3342.155,36,11.360257,30.538827,0,0,0,1.444444,0.583333,False,False
47,P0_no_policy,fleet_24,W0,normal,workday,200,215,211,0.981395,149,145,0.973154,0,0,0,395,395,0,1.0,3,225,140,27,0.007595,0.56962,0.35443,0.068354,27,27,0,0,0,0,0,0,5,4,0,4,7.286,8.439,77,0.55,27.266,10.959,65.158,5.994,210,0.976744,115,1,0.008696,122,0.493927,1018.941,225,89,314,27,1045.941,0.689706,17.568,148,247,24,24,0,"{""Z1"": 3, ""Z2"": 3, ""Z3"": 3, ""Z4"": 2, ""Z5"": 2, ""Z6"": 2, ""Z7"": 5, ""Z8"": 2, ""Z9"": 2}",True,True,0,0,215,0,0,7486.214,0.0,0.0,0.0,0.0,0.0,0.0,3116.681,24,10.95937,16.186,0,0,0,1.125,0.541667,False,False
47,P0_no_policy,fleet_24,W1,extreme_heat,workday,200,215,209,0.972093,149,145,0.973154,2,0,0,392,392,0,1.0,3,223,139,27,0.007653,0.568878,0.354592,0.068878,27,27,0,0,0,0,0,0,5,4,0,4,7.288,8.437,76,0.546763,27.248,10.959,65.308,6.014,208,0.976526,113,1,0.00885,121,0.495902,1018.941,223,88,311,27,1045.941,0.689533,17.577,148,244,24,24,0,"{""Z1"": 3, ""Z2"": 3, ""Z3"": 3, ""Z4"": 2, ""Z5"": 2, ""Z6"": 2, ""Z7"": 5, ""Z8"": 2, ""Z9"": 2}",True,True,27,0,213,0,0,7428.5,52987.105001,59217.079736,36253.345401,250.023072,243.311043,0.0,3093.967,24,10.95937,16.186,0,0,0,1.125,0.541667,False,False
47,P0_no_policy,fleet_24,W2,heavy_rain,workday,200,215,195,0.906977,149,139,0.932886,8,0,0,374,374,0,1.0,2,153,170,49,0.005348,0.409091,0.454545,0.131016,52,49,3,3,3,3,3,0,11,12,0,10,8.144,9.069,103,0.605882,31.154,11.053,68.695,8.129,189,0.945,73,4,0.054795,145,0.604167,1018.941,153,128,281,49,1067.941,0.741535,16.91,134,240,24,24,0,"{""Z1"": 3, ""Z2"": 2, ""Z3"": 1, ""Z4"": 2, ""Z5"": 3, ""Z6"": 4, ""Z7"": 5, ""Z8"": 3, ""Z9"": 1}",True,True,170,7,200,0,0,7816.041,0.0,0.0,0.0,0.0,0.0,4952.789104,3389.325,24,11.569562,25.968182,0,3,0,2.041667,0.666667,True,False
47,P0_no_policy,fleet_18,W0,normal,workday,200,215,210,0.976744,149,144,0.966443,0,0,0,395,395,0,1.0,3,226,140,26,0.007595,0.572152,0.35443,0.065823,27,26,1,1,1,1,1,0,6,5,0,5,7.299,8.439,77,0.55,27.266,10.758,65.272,5.931,209,0.972093,116,2,0.017241,122,0.493927,1018.941,226,89,315,26,1044.941,0.689726,17.518,148,247,18,18,0,"{""Z1"": 2, ""Z2"": 2, ""Z3"": 3, ""Z4"": 1, ""Z5"": 1, ""Z6"": 2, ""Z7"": 4, ""Z8"": 2, ""Z9"": 1}",True,True,0,0,215,0,0,7516.309,0.0,0.0,0.0,0.0,0.0,0.0,3130.776,18,11.10063,20.0,0,1,0,1.444444,0.666667,True,False
