scenario,weather,status,agents,walking,bus,metro,ride_hailing,ride_requests,ride_successes,ride_failures,coupon_awarded,coupon_redeemed,elder_access_policy,policy_elder_digital_count,necessary_completion,mean_travel_time,api_failures,input_tokens,output_tokens,elapsed_seconds
platform_2000_W0_seed47_360_vehicle,W0,PASS,2000,41,1862,1673,349,349,349,0,0,0,D0_baseline,261,0.997273,60.054,0,1926083,149744,1897.516
platform_2000_W1_seed47_360_vehicle,W1,PASS,2000,33,1717,1676,499,499,499,0,0,0,D0_baseline,261,0.996592,59.039,0,1927161,150777,1631.871
platform_2000_W2_seed47_360_vehicle,W2,PASS_WITH_API_FALLBACKS,2000,24,983,1871,1046,1050,1046,4,0,0,D0_baseline,261,0.973415,60.16,2,1921882,152748,1567.747
platform_2000_W0_C1_seed47_360_vehicle,W0,PASS,2000,42,1718,1645,520,520,520,0,400,183,D0_baseline,261,0.997273,58.848,0,1927661,151228,1400.016
platform_2000_W1_C1_seed47_360_vehicle,W1,PASS,2000,36,1591,1646,652,652,652,0,400,193,D0_baseline,261,0.997955,57.912,0,1928052,151830,1180.34
platform_2000_W2_C1_seed47_360_vehicle,W2,PASS_WITH_API_FALLBACKS,2000,24,945,1837,1118,1123,1118,5,400,187,D0_baseline,261,0.993865,59.747,1,1922237,153358,1123.345
platform_2000_W0_C2_seed47_360_vehicle,W0,PASS,2000,45,1754,1650,476,476,476,0,400,139,D0_baseline,261,0.997273,59.269,0,1927287,150604,1297.441
platform_2000_W1_C2_seed47_360_vehicle,W1,PASS,2000,36,1610,1652,627,627,627,0,400,151,D0_baseline,261,0.996592,58.163,0,1927748,151242,1325.768
platform_2000_W2_C2_seed47_360_vehicle,W2,PASS_WITH_API_FALLBACKS,2000,22,910,1850,1142,1149,1142,7,400,160,D0_baseline,261,0.994547,59.635,1,1922203,152637,1541.318
platform_2000_W0_C3_seed47_360_vehicle,W0,PASS,2000,43,1747,1641,494,494,494,0,400,169,D0_baseline,261,0.997955,59.08,0,1928002,150654,1918.673
platform_2000_W1_C3_seed47_360_vehicle,W1,PASS,2000,38,1591,1637,659,659,659,0,400,190,D0_baseline,261,0.999318,57.923,0,1928664,151288,1540.709
platform_2000_W2_C3_seed47_360_vehicle,W2,PASS_WITH_API_FALLBACKS,2000,21,944,1836,1123,1130,1123,7,400,175,D0_baseline,261,0.993183,59.802,1,1922743,152824,1039.414
platform_2000_W0_D1_seed47_360_vehicle,W0,PASS,2000,43,1796,1704,382,382,382,0,0,0,D1_targeted_digital_training_75pct,405,0.997273,59.757,0,1934082,151633,980.765
platform_2000_W1_D1_seed47_360_vehicle,W1,PASS,2000,37,1675,1693,520,520,520,0,0,0,D1_targeted_digital_training_75pct,405,0.997273,58.747,0,1934784,152023,2628.631
