scenario,weather,policy,group_dimension,group_value,agents_with_legs,legs,primary_walking,primary_bus,primary_metro,primary_ride_hailing,final_walking,final_bus,final_metro,final_ride_hailing,final_walking_share,final_bus_share,final_metro_share,final_ride_hailing_share,ride_requests,ride_successes,ride_failures,ride_success_rate,mean_successful_ride_pickup_wait_minutes,mean_ride_queue_wait_minutes,fallback_attempts,fallback_successes,transport_unmet_legs,mean_total_travel_time,mean_cumulative_wait_minutes,total_outdoor_exposure_minutes,total_rain_exposure_minutes,total_heat_risk_burden_threshold_26,planned_activities,completed_activities,activity_completion_rate,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,transport_unmet_activities,activity_metric_coverage
E01,W0,C0,elder_access_group,60+_nondigital_unassisted,48,105,1,96,7,0,1,96,7,0,0.009523809523809525,0.9142857142857143,0.06666666666666667,0.0,0,0,0,,,,1,0,1,60.41224038461539,7.075314285714286,1801.905,0.0,0.0,57,56,0.9824561403508771,15,15,1.0,1,complete_for_elders;under60_travel_profile_known
E02,W1,C0,elder_access_group,60+_nondigital_unassisted,44,96,1,82,12,0,1,82,12,0,0.010416666666666666,0.8541666666666666,0.125,0.0,0,0,0,,,,1,0,1,61.41684210526315,7.237604166666666,1686.1909999999998,0.0,23828.467866,57,51,0.8947368421052632,15,15,1.0,1,complete_for_elders;under60_travel_profile_known
E03,W2,C0,elder_access_group,60+_nondigital_unassisted,46,101,1,83,16,0,1,83,16,0,0.009900990099009901,0.8217821782178217,0.15841584158415842,0.0,0,0,0,,,,1,0,1,62.005790000000005,7.471336633663366,1838.8890000000001,605.1962,0.0,57,54,0.9473684210526315,15,15,1.0,1,complete_for_elders;under60_travel_profile_known
E04,W0,C1,elder_access_group,60+_nondigital_unassisted,48,105,1,94,9,0,1,94,9,0,0.009523809523809525,0.8952380952380953,0.08571428571428572,0.0,0,0,0,,,,1,0,1,59.96247115384616,7.152285714285714,1819.905,0.0,0.0,57,56,0.9824561403508771,15,15,1.0,1,complete_for_elders;under60_travel_profile_known
E05,W1,C1,elder_access_group,60+_nondigital_unassisted,44,96,1,86,8,0,1,86,8,0,0.010416666666666666,0.8958333333333334,0.08333333333333333,0.0,0,0,0,,,,1,0,1,62.54632631578947,7.058843750000001,1652.191,0.0,23348.399531,57,51,0.8947368421052632,15,15,1.0,1,complete_for_elders;under60_travel_profile_known
E06,W2,C1,elder_access_group,60+_nondigital_unassisted,46,101,1,84,15,0,1,84,15,0,0.009900990099009901,0.8316831683168316,0.1485148514851485,0.0,0,0,0,,,,1,0,1,62.39453,7.426782178217822,1828.8890000000001,590.6572,0.0,57,53,0.9298245614035088,15,15,1.0,1,complete_for_elders;under60_travel_profile_known
E07,W0,C2,elder_access_group,60+_nondigital_unassisted,48,105,1,95,8,0,1,95,8,0,0.009523809523809525,0.9047619047619048,0.0761904761904762,0.0,0,0,0,,,,1,0,1,60.173298076923075,7.180038095238095,1814.405,0.0,0.0,57,56,0.9824561403508771,15,15,1.0,1,complete_for_elders;under60_travel_profile_known
E08,W1,C2,elder_access_group,60+_nondigital_unassisted,44,96,1,86,8,0,1,86,8,0,0.010416666666666666,0.8958333333333334,0.08333333333333333,0.0,0,0,0,,,,1,0,1,62.27915789473685,7.091760416666666,1658.6909999999998,0.0,23499.719533,57,51,0.8947368421052632,15,15,1.0,1,complete_for_elders;under60_travel_profile_known
E09,W2,C2,elder_access_group,60+_nondigital_unassisted,46,101,0,84,16,0,0,84,16,0,0.0,0.8316831683168316,0.15841584158415842,0.0,0,0,0,,,,1,0,1,62.340480000000014,7.609950495049505,1846.689,598.9282,0.0,57,53,0.9298245614035088,15,15,1.0,1,complete_for_elders;under60_travel_profile_known
E10,W0,C3,elder_access_group,60+_nondigital_unassisted,48,105,2,91,8,3,2,91,8,3,0.01904761904761905,0.8666666666666667,0.0761904761904762,0.02857142857142857,3,3,0,1.0,7.333333333333333,0.0,1,0,1,58.52015384615385,6.917914285714286,1765.5549999999998,0.0,0.0,57,56,0.9824561403508771,15,15,1.0,1,complete_for_elders;under60_travel_profile_known
E12,W2,C3,elder_access_group,60+_nondigital_unassisted,46,101,1,82,14,3,1,82,14,3,0.009900990099009901,0.8118811881188119,0.13861386138613863,0.0297029702970297,3,3,0,1.0,6.666666666666667,0.0,1,0,1,61.15870000000001,7.362425742574257,1790.0,591.0382,0.0,57,53,0.9298245614035088,15,15,1.0,1,complete_for_elders;under60_travel_profile_known
E13,W0,D1,elder_access_group,60+_nondigital_unassisted,12,26,1,24,1,0,1,24,1,0,0.038461538461538464,0.9230769230769231,0.038461538461538464,0.0,0,0,0,,,,0,0,0,64.9255,8.217884615384616,523.7669999999999,0.0,0.0,14,14,1.0,2,2,1.0,0,complete_for_elders;under60_travel_profile_known
E14,W1,D1,elder_access_group,60+_nondigital_unassisted,11,24,0,23,1,0,0,23,1,0,0.0,0.9583333333333334,0.041666666666666664,0.0,0,0,0,,,,0,0,0,67.25733333333334,8.997958333333333,495.903,0.0,6880.652567,14,13,0.9285714285714286,2,2,1.0,0,complete_for_elders;under60_travel_profile_known
E15,W2,D1,elder_access_group,60+_nondigital_unassisted,11,24,1,19,4,0,1,19,4,0,0.041666666666666664,0.7916666666666666,0.16666666666666666,0.0,0,0,0,,,,0,0,0,66.849,8.645875,518.653,180.144,0.0,14,13,0.9285714285714286,2,2,1.0,0,complete_for_elders;under60_travel_profile_known
E19,W2,P4,elder_access_group,60+_nondigital_unassisted,46,101,1,82,17,0,1,82,17,0,0.009900990099009901,0.8118811881188119,0.16831683168316833,0.0,0,0,0,,,,1,0,1,61.89123000000001,7.451534653465346,1841.8890000000001,605.3732,0.0,57,54,0.9473684210526315,15,15,1.0,1,complete_for_elders;under60_travel_profile_known
