scenario,weather,policy,group_dimension,group_value,agents_with_legs,legs,primary_walking,primary_bus,primary_metro,primary_ride_hailing,final_walking,final_bus,final_metro,final_ride_hailing,final_walking_share,final_bus_share,final_metro_share,final_ride_hailing_share,ride_requests,ride_successes,ride_failures,ride_success_rate,mean_successful_ride_pickup_wait_minutes,mean_ride_queue_wait_minutes,fallback_attempts,fallback_successes,transport_unmet_legs,mean_total_travel_time,mean_cumulative_wait_minutes,total_outdoor_exposure_minutes,total_rain_exposure_minutes,total_heat_risk_burden_threshold_26,planned_activities,completed_activities,activity_completion_rate,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,transport_unmet_activities,activity_metric_coverage
E01,W0,C0,all,all,1781,3914,46,1864,1636,367,46,1864,1636,367,0.011752682677567705,0.4762391415431783,0.4179867143587123,0.09376596831885539,367,367,0,1.0,9.656261580381472,0.0,1,0,1,59.642315359059545,7.253352324987226,71148.02100000001,0.0,0.0,2133,2128,0.9976558837318331,1454,1452,0.9986244841815681,1,complete
E01,W0,C0,age_group,18-39,788,1808,43,664,838,263,43,664,838,263,0.023783185840707963,0.3672566371681416,0.46349557522123896,0.1454646017699115,263,263,0,1.0,9.988380228136881,0.0,0,0,0,58.0237328539823,7.313548672566372,32666.596999999998,0.0,0.0,1020,1018,0.9980392156862745,729,728,0.9986282578875172,0,complete
E01,W0,C0,age_group,40-59,644,1341,2,647,654,38,2,647,654,38,0.0014914243102162564,0.482475764354959,0.48769574944071586,0.028337061894108874,38,38,0,1.0,10.12894736842105,0.0,0,0,0,64.10031916480239,7.078546607009694,25191.086000000003,0.0,0.0,697,695,0.9971305595408895,612,611,0.9983660130718954,0,complete
E01,W0,C0,age_group,60+,349,765,1,553,144,66,1,553,144,66,0.00130718954248366,0.722875816993464,0.18823529411764706,0.08627450980392157,66,66,0,1.0,8.060666666666666,0.0,1,0,1,55.64783115183246,7.417508496732027,13290.338,0.0,0.0,416,415,0.9975961538461539,113,113,1.0,1,complete
E01,W0,C0,digital_group,digital,1606,3533,45,1560,1582,346,45,1560,1582,346,0.01273705066515709,0.4415510897254458,0.4477780922728559,0.09793376733654119,346,346,0,1.0,9.78857803468208,0.0,0,0,0,59.90371638833853,7.246170110387773,64503.425,0.0,0.0,1927,1923,0.9979242345614946,1394,1392,0.9985652797704447,0,travel_profile_known_plus_elder_roster
E01,W0,C0,digital_group,non_digital,175,381,1,304,54,21,1,304,54,21,0.0026246719160104987,0.7979002624671916,0.14173228346456693,0.05511811023622047,21,21,0,1.0,7.476190476190476,0.0,1,0,1,57.211973684210534,7.319952755905512,6644.596,0.0,0.0,206,205,0.9951456310679612,60,60,1.0,1,travel_profile_known_plus_elder_roster
E01,W0,C0,elder_status,under_60,1432,3149,45,1311,1492,301,45,1311,1492,301,0.014290250873293109,0.4163226421086059,0.473801206732296,0.09558590028580502,301,301,0,1.0,10.006126245847176,0.0,0,0,0,60.611443950460455,7.213473166084471,57857.683,0.0,0.0,1717,1713,0.9976703552708212,1341,1339,0.9985085756897838,0,complete_for_elders;under60_travel_profile_known
E01,W0,C0,elder_status,60+,349,765,1,553,144,66,1,553,144,66,0.00130718954248366,0.722875816993464,0.18823529411764706,0.08627450980392157,66,66,0,1.0,8.060666666666666,0.0,1,0,1,55.64783115183246,7.417508496732027,13290.338,0.0,0.0,416,415,0.9975961538461539,113,113,1.0,1,complete_for_elders;under60_travel_profile_known
E01,W0,C0,elder_access_group,60+_digital,174,384,0,249,90,45,0,249,90,45,0.0,0.6484375,0.234375,0.1171875,45,45,0,1.0,8.333422222222223,0.0,0,0,0,54.09998177083333,7.514302083333334,6645.742,0.0,0.0,210,210,1.0,53,53,1.0,0,complete_for_elders;under60_travel_profile_known
E01,W0,C0,elder_access_group,60+_nondigital_assisted,127,276,0,208,47,21,0,208,47,21,0.0,0.7536231884057971,0.17028985507246377,0.07608695652173914,21,21,0,1.0,7.476190476190476,0.0,0,0,0,56.00607608695652,7.413021739130435,4842.691,0.0,0.0,149,149,1.0,45,45,1.0,0,complete_for_elders;under60_travel_profile_known
E01,W0,C0,elder_access_group,60+_nondigital_unassisted,48,105,1,96,7,0,1,96,7,0,0.009523809523809525,0.9142857142857143,0.06666666666666667,0.0,0,0,0,,,,1,0,1,60.41224038461539,7.075314285714286,1801.905,0.0,0.0,57,56,0.9824561403508771,15,15,1.0,1,complete_for_elders;under60_travel_profile_known
E02,W1,C0,all,all,1752,3839,33,1653,1647,505,33,1653,1647,505,0.008595988538681949,0.43058088043761394,0.4290179734305809,0.13154467309195103,505,505,0,1.0,9.115455445544555,0.0,1,0,1,58.75423345492444,7.226697317009637,68012.15,0.0,542496.74351,2133,2085,0.9774964838255977,1454,1453,0.9993122420907841,1,complete
E02,W1,C0,age_group,18-39,782,1789,31,588,833,337,31,588,833,337,0.01732811626607043,0.3286752375628843,0.4656232532140861,0.1883733929569592,337,337,0,1.0,9.50125222551929,0.0,0,0,0,56.85204695360537,7.358624371157071,31376.209000000003,0.0,194058.672671,1020,1007,0.9872549019607844,729,729,1.0,0,complete
E02,W1,C0,age_group,40-59,641,1333,1,593,658,81,1,593,658,81,0.0007501875468867217,0.44486121530382594,0.49362340585146286,0.060765191297824456,81,81,0,1.0,8.864555555555555,0.0,0,0,0,63.360074268567146,7.073393848462116,24603.635000000002,0.0,178770.957212,697,691,0.9913916786226685,612,611,0.9983660130718954,0,complete
E02,W1,C0,age_group,60+,329,717,1,472,156,87,1,472,156,87,0.001394700139470014,0.6582984658298466,0.2175732217573222,0.12133891213389121,87,87,0,1.0,7.85464367816092,0.0,1,0,1,54.93220251396648,7.1825355648535565,12032.306,0.0,169667.113627,416,387,0.9302884615384616,113,113,1.0,1,complete
E02,W1,C0,digital_group,digital,1590,3487,32,1393,1584,478,32,1393,1584,478,0.009176942930886148,0.39948379696013764,0.45425867507886436,0.13708058503011183,478,478,0,1.0,9.234947698744769,0.0,0,0,0,58.87496501290507,7.233669630054488,61982.486999999994,0.0,456733.898377,1917,1896,0.9890453834115805,1394,1393,0.9992826398852224,0,travel_profile_known_plus_elder_roster
E02,W1,C0,digital_group,non_digital,162,352,1,260,63,27,1,260,63,27,0.002840909090909091,0.7386363636363636,0.17897727272727273,0.07670454545454546,27,27,0,1.0,7.0,0.0,1,0,1,57.55482905982905,7.15762784090909,6029.6630000000005,0.0,85762.845133,206,189,0.9174757281553398,60,60,1.0,1,travel_profile_known_plus_elder_roster
E02,W1,C0,elder_status,under_60,1423,3122,32,1181,1491,418,32,1181,1491,418,0.010249839846252402,0.37828315182575273,0.47757847533632286,0.133888532991672,418,418,0,1.0,9.377873205741627,0.0,0,0,0,59.63077866752082,7.236839525944907,55979.844,0.0,372829.6298829999,1707,1698,0.9947275922671354,1341,1340,0.9992542878448919,0,complete_for_elders;under60_travel_profile_known
E02,W1,C0,elder_status,60+,329,717,1,472,156,87,1,472,156,87,0.001394700139470014,0.6582984658298466,0.2175732217573222,0.12133891213389121,87,87,0,1.0,7.85464367816092,0.0,1,0,1,54.93220251396648,7.1825355648535565,12032.306,0.0,169667.113627,416,387,0.9302884615384616,113,113,1.0,1,complete_for_elders;under60_travel_profile_known
E02,W1,C0,elder_access_group,60+_digital,167,365,0,212,93,60,0,212,93,60,0.0,0.5808219178082191,0.2547945205479452,0.1643835616438356,60,60,0,1.0,8.239233333333335,0.0,0,0,0,52.4101698630137,7.206556164383562,6002.643,0.0,83904.26849399999,210,198,0.9428571428571428,53,53,1.0,0,complete_for_elders;under60_travel_profile_known
E02,W1,C0,elder_access_group,60+_nondigital_assisted,118,256,0,178,51,27,0,178,51,27,0.0,0.6953125,0.19921875,0.10546875,27,27,0,1.0,7.0,0.0,0,0,0,56.12166015625,7.127636718750001,4343.472,0.0,61934.377267,149,138,0.9261744966442953,45,45,1.0,0,complete_for_elders;under60_travel_profile_known
E02,W1,C0,elder_access_group,60+_nondigital_unassisted,44,96,1,82,12,0,1,82,12,0,0.010416666666666666,0.8541666666666666,0.125,0.0,0,0,0,,,,1,0,1,61.41684210526315,7.237604166666666,1686.1909999999998,0.0,23828.467866,57,51,0.8947368421052632,15,15,1.0,1,complete_for_elders;under60_travel_profile_known
E03,W2,C0,all,all,1699,3687,23,911,1760,992,23,919,1761,983,0.006238133984269053,0.24925413615405478,0.47762408462164363,0.2666124220233252,992,983,9,0.9909274193548387,10.503013824686333,0.27698547345430097,10,9,1,59.94720021703744,8.578097640358015,70110.745,46384.461079,0.0,2133,2035,0.9540553211439288,1454,1443,0.9924346629986245,1,complete
E03,W2,C0,age_group,18-39,763,1717,22,136,894,665,22,142,894,659,0.0128130460104834,0.08270238788584741,0.5206755969714618,0.38380896913220736,665,659,6,0.9909774436090225,10.907986938796155,0.29561863558897217,6,6,0,56.86158415841584,9.145649970879441,32061.737,22467.349145,0.0,1020,975,0.9558823529411765,729,724,0.9931412894375857,0,complete
E03,W2,C0,age_group,40-59,607,1255,0,323,689,243,0,325,690,240,0.0,0.2589641434262948,0.549800796812749,0.19123505976095617,243,240,3,0.9876543209876543,10.166795833333333,0.24691358024691357,3,3,0,65.94973466135458,8.316478087649402,25141.898,19190.454456,0.0,697,674,0.9670014347202296,612,606,0.9901960784313726,0,complete
E03,W2,C0,age_group,60+,329,715,1,452,177,84,1,452,177,84,0.0013986013986013986,0.6321678321678321,0.24755244755244754,0.11748251748251748,84,84,0,1.0,8.286526154761905,0.21646663095238172,1,0,1,56.81669887955182,7.674384615384616,12907.11,4726.657478,0.0,416,386,0.9278846153846154,113,113,1.0,1,complete
