contrast,treatment,reference,availability,reason,delta_ride_requests,delta_ride_successes,delta_ride_failures,delta_mean_total_travel_time,delta_activity_completion_rate,delta_necessary_completion_rate,delta_transport_related_unmet
weather_W1_minus_W0_C0,E02,E01,AVAILABLE,,138.0,138.0,0.0,-0.8880000000000052,-0.020159999999999956,0.0006880000000000219,0.0
weather_W2_minus_W0_C0,E03,E01,AVAILABLE,,625.0,616.0,9.0,0.3049999999999997,-0.043601,-0.006189,0.0
C1_minus_C0_W0,E04,E01,AVAILABLE,,187.0,187.0,0.0,-1.3360000000000056,-0.0009379999999999944,0.0006880000000000219,0.0
C1_minus_C0_W1,E05,E02,AVAILABLE,,157.0,157.0,0.0,-1.091000000000001,-0.0009370000000000767,0.0,0.0
C1_minus_C0_W2,E06,E03,AVAILABLE,,70.0,67.0,3.0,-0.48100000000000165,-0.0004689999999999417,0.0006869999999999932,0.0
C2_minus_C0_W0,E07,E01,AVAILABLE,,116.0,116.0,0.0,-0.7250000000000014,0.0,0.0,0.0
C2_minus_C0_W1,E08,E02,AVAILABLE,,120.0,120.0,0.0,-0.7530000000000001,-0.0014060000000000183,-0.0006880000000000219,0.0
C2_minus_C0_W2,E09,E03,AVAILABLE,,128.0,115.0,13.0,-0.6580000000000013,-0.0004689999999999417,0.0,0.0
C3_minus_C0_W0,E10,E01,AVAILABLE,,169.0,169.0,0.0,-1.2439999999999998,-0.0009379999999999944,0.0,0.0
C3_minus_C0_W1,E11,E02,UNAVAILABLE,treatment or reference result incomplete,,,,,,,
C3_minus_C0_W2,E12,E03,AVAILABLE,,51.0,45.0,6.0,-0.28600000000000136,-0.0014060000000000183,-0.002750999999999948,0.0
D1_minus_D0_W0,E13,E01,AVAILABLE,,13.0,13.0,0.0,-0.2020000000000053,0.0004690000000000527,0.0006880000000000219,-1.0
D1_minus_D0_W1,E14,E02,AVAILABLE,,13.0,13.0,0.0,-0.18299999999999983,-0.0014060000000000183,-0.0006880000000000219,-1.0
D1_minus_D0_W2,E15,E03,AVAILABLE,,6.0,5.0,1.0,-0.1670000000000016,0.001407000000000047,0.0,-1.0
D3_minus_D0_W0,E16,E01,AVAILABLE,,37.0,37.0,0.0,-0.43599999999999994,0.0009379999999999944,0.0,-1.0
D3_minus_D0_W1,E17,E02,AVAILABLE,,13.0,13.0,0.0,-0.28300000000000125,-0.0009370000000000767,-0.0006880000000000219,-1.0
D3_minus_D0_W2,E18,E03,AVAILABLE,,4.0,-1.0,5.0,-0.13300000000000267,0.001407000000000047,0.0,-1.0
P4_minus_P0_W2,E19,E03,AVAILABLE,,9.0,2.0,7.0,-0.021000000000000796,0.0009379999999999944,0.0006869999999999932,0.0
