scenario,weather,policy,condition,output_dir,seed,day_type,model,represented_trips_per_agent,initial_vehicles,result_availability,formal_status,audit_status,audit_failures,data_quality_flag,invariant_failures,missing_files,agents,travel_decisions,walking,bus,metro,ride_hailing,final_walking,final_bus,final_metro,final_ride_hailing,ride_requests,ride_successes,ride_failures,transport_success_rate,activity_completion_rate,necessary_completion_rate,transport_related_unmet,mean_total_travel_time,api_failures,input_tokens,output_tokens,total_tokens,elapsed_seconds,final_vehicle_rows,unique_final_vehicles,vehicle_conserved,coupon_awarded,coupon_bound,coupon_redeemed,elder_access_policy,elder_count,baseline_elder_digital_count,policy_elder_digital_count,newly_digital_elder_count,nonelder_profile_changes,dispatch_priority_policy,walking_share,bus_share,metro_share,ride_hailing_share,ride_success_rate,fallback_attempts,fallback_successes,mean_cumulative_wait_minutes,mean_successful_ride_pickup_wait_minutes,mean_ride_queue_wait_minutes,coupon_subsidy_yuan,maximum_endogenous_flow_pcu_per_hour,mean_scenario_vc_for_reported_road_legs,maximum_scenario_vc_for_reported_road_legs,total_outdoor_exposure_minutes,total_rain_exposure_minutes,total_heat_risk_burden_threshold_26
E01,W0,C0,W0+C0,outputs/platform_2000_W0_seed73_360_vehicle,73,workday,qwen3.6-35b-a3b-no-think,3.0,360,COMPLETE,PASS_WITH_API_FALLBACKS,PASS,,PASS,,,2000.0,3914.0,46.0,1864.0,1636.0,367.0,46.0,1864.0,1636.0,367.0,367.0,367.0,0.0,0.999745,0.997656,0.998624,1.0,59.642,1,1924636.0,149686.0,2074322.0,1409.176,360.0,360.0,True,0.0,0.0,0.0,D0_baseline,540.0,261.0,261.0,0.0,0.0,P0_first_come,0.011752682677567705,0.4762391415431783,0.4179867143587123,0.09376596831885539,1.0,1.0,0.0,7.253352324987226,9.656261580381472,0.0,0.0,126.0,0.699429800986105,1.122778,71148.021,0.0,0.0
E02,W1,C0,W1+C0,outputs/platform_2000_W1_seed73_360_vehicle,73,workday,qwen3.6-35b-a3b-no-think,3.0,360,COMPLETE,PASS_WITH_API_FALLBACKS,PASS,,PASS,,,2000.0,3839.0,33.0,1653.0,1647.0,505.0,33.0,1653.0,1647.0,505.0,505.0,505.0,0.0,0.99974,0.977496,0.999312,1.0,58.754,1,1889510.0,148035.0,2037545.0,1507.927,360.0,360.0,True,0.0,0.0,0.0,D0_baseline,540.0,261.0,261.0,0.0,0.0,P0_first_come,0.008595988538681949,0.43058088043761394,0.4290179734305809,0.13154467309195103,1.0,1.0,0.0,7.226697317009637,9.115455445544555,0.0,0.0,156.0,0.7035148707136237,1.141667,68012.15,0.0,542496.74351
E03,W2,C0,W2+C0,outputs/platform_2000_W2_seed73_360_vehicle,73,workday,qwen3.6-35b-a3b-no-think,3.0,360,COMPLETE,PASS_WITH_API_FALLBACKS,PASS,,PASS,,,2000.0,3687.0,23.0,911.0,1760.0,992.0,23.0,919.0,1761.0,983.0,992.0,983.0,9.0,0.999729,0.954055,0.992435,1.0,59.947,1,1808918.0,143655.0,1952573.0,1111.494,360.0,360.0,True,0.0,0.0,0.0,D0_baseline,540.0,261.0,261.0,0.0,0.0,P0_first_come,0.006238133984269053,0.24708435042039598,0.47735286140493627,0.26905343097369133,0.9909274193548387,10.0,9.0,8.578097640358015,10.503013824686333,0.27698547345430097,0.0,270.0,0.7843659626708728,1.393464,70110.745,46384.461079,0.0
E04,W0,C1,W0+C1,outputs/platform_2000_W0_C1_seed73_360_vehicle,73,workday,qwen3.6-35b-a3b-no-think,3.0,360,COMPLETE,PASS_WITH_API_FALLBACKS,PASS,,PASS,,,2000.0,3914.0,44.0,1698.0,1617.0,554.0,44.0,1698.0,1617.0,554.0,554.0,554.0,0.0,0.999745,0.996718,0.999312,1.0,58.306,1,1925887.0,151008.0,2076895.0,1367.739,360.0,360.0,True,400.0,202.0,202.0,D0_baseline,540.0,261.0,261.0,0.0,0.0,P0_first_come,0.011241696474195196,0.4338272866632601,0.4131323454266735,0.14154317833418498,1.0,1.0,0.0,7.431983903934594,9.686574007220218,0.0,1508.6100000000001,147.0,0.7039978210479573,1.156667,69852.732,0.0,0.0
E05,W1,C1,W1+C1,outputs/platform_2000_W1_C1_seed73_360_vehicle,73,workday,qwen3.6-35b-a3b-no-think,3.0,360,COMPLETE,PASS_WITH_API_FALLBACKS,PASS,,PASS,,,2000.0,3839.0,37.0,1530.0,1609.0,662.0,37.0,1530.0,1609.0,662.0,662.0,662.0,0.0,0.99974,0.976559,0.999312,1.0,57.663,1,1890602.0,147843.0,2038445.0,1384.75,360.0,360.0,True,400.0,215.0,215.0,D0_baseline,540.0,261.0,261.0,0.0,0.0,P0_first_come,0.00963792654337067,0.3985412867934358,0.41911956238603804,0.17244073977598334,1.0,1.0,0.0,7.394753842146393,9.483324773413898,0.0,1600.21,150.0,0.7091521391423358,1.156111,67004.434,0.0,534099.62825
E06,W2,C1,W2+C1,outputs/platform_2000_W2_C1_seed73_360_vehicle,73,workday,qwen3.6-35b-a3b-no-think,3.0,360,COMPLETE,PASS_WITH_API_FALLBACKS,PASS,,PASS,,,2000.0,3687.0,16.0,872.0,1736.0,1062.0,16.0,883.0,1737.0,1050.0,1062.0,1050.0,12.0,0.999729,0.953586,0.993122,1.0,59.466,1,1809033.0,144764.0,1953797.0,1110.35,360.0,360.0,True,400.0,197.0,190.0,D0_baseline,540.0,261.0,261.0,0.0,0.0,P0_first_come,0.0043395714673176026,0.23650664496880933,0.4708435042039599,0.28803905614320585,0.9887005649717514,13.0,12.0,8.621539191754813,10.50196094,0.34284179566854955,1324.75,270.0,0.790158481117434,1.403268,69236.573,45852.626079,0.0
E07,W0,C2,W0+C2,outputs/platform_2000_W0_C2_seed73_360_vehicle,73,workday,qwen3.6-35b-a3b-no-think,3.0,360,COMPLETE,PASS_WITH_API_FALLBACKS,PASS,,PASS,,,2000.0,3914.0,43.0,1768.0,1619.0,483.0,43.0,1768.0,1619.0,483.0,483.0,483.0,0.0,0.999745,0.997656,0.998624,1.0,58.917,2,1925075.0,150334.0,2075409.0,1282.005,360.0,360.0,True,400.0,143.0,143.0,D0_baseline,540.0,261.0,261.0,0.0,0.0,P0_first_come,0.010986203372508942,0.4517118037812979,0.41364333163004596,0.1234031681144609,1.0,1.0,0.0,7.269519161982627,9.118260869565216,0.0,1002.43,129.0,0.6990944762327854,1.121111,69928.592,0.0,0.0
E08,W1,C2,W1+C2,outputs/platform_2000_W1_C2_seed73_360_vehicle,73,workday,qwen3.6-35b-a3b-no-think,3.0,360,COMPLETE,PASS_WITH_API_FALLBACKS,PASS,,PASS,,,2000.0,3839.0,35.0,1563.0,1615.0,625.0,35.0,1563.0,1615.0,625.0,625.0,625.0,0.0,0.99974,0.97609,0.998624,1.0,58.001,2,1890037.0,148479.0,2038516.0,1314.848,360.0,360.0,True,400.0,144.0,144.0,D0_baseline,540.0,261.0,261.0,0.0,0.0,P0_first_come,0.009116957541026309,0.40713727533211774,0.42068246939307113,0.16280281323261267,1.0,1.0,0.0,7.263532430320396,9.089984,0.0,991.66,144.0,0.7062510667276051,1.126111,66867.721,0.0,524055.770714
E09,W2,C2,W2+C2,outputs/platform_2000_W2_C2_seed73_360_vehicle,73,workday,qwen3.6-35b-a3b-no-think,3.0,360,COMPLETE,PASS_WITH_API_FALLBACKS,PASS,,PASS,,,2000.0,3687.0,20.0,813.0,1733.0,1120.0,20.0,833.0,1735.0,1098.0,1120.0,1098.0,22.0,0.999729,0.953586,0.992435,1.0,59.289,1,1809118.0,143779.0,1952897.0,1985.051,360.0,360.0,True,400.0,169.0,158.0,D0_baseline,540.0,261.0,261.0,0.0,0.0,P0_first_come,0.005424464334147003,0.22050447518307567,0.4700298345538378,0.30377000271223215,0.9803571428571428,23.0,22.0,8.676553295362083,10.35647797571342,0.5767641226190473,1038.0399999999997,276.0,0.78551717503884,1.399346,69085.086,46248.448857,0.0
E10,W0,C3,W0+C3,outputs/platform_2000_W0_C3_seed73_360_vehicle,73,workday,qwen3.6-35b-a3b-no-think,3.0,360,COMPLETE,PASS_WITH_API_FALLBACKS,PASS,,PASS,,,2000.0,3914.0,41.0,1725.0,1611.0,536.0,41.0,1725.0,1611.0,536.0,536.0,536.0,0.0,0.999745,0.996718,0.998624,1.0,58.398,1,1926191.0,150134.0,2076325.0,1678.99,360.0,360.0,True,400.0,179.0,179.0,D0_baseline,540.0,261.0,261.0,0.0,0.0,P0_first_come,0.010475217169136432,0.44072560040878894,0.41159938681655595,0.1369443025038324,1.0,1.0,0.0,7.354208226877874,9.650158582089551,0.0,1335.3200000000002,135.0,0.7023825922158335,1.15,69523.986,0.0,0.0
