scenario,weather,policy,condition,output_dir,seed,day_type,model,represented_trips_per_agent,initial_vehicles,result_availability,formal_status,audit_status,audit_failures,data_quality_flag,invariant_failures,missing_files,agents,travel_decisions,walking,bus,metro,ride_hailing,final_walking,final_bus,final_metro,final_ride_hailing,ride_requests,ride_successes,ride_failures,transport_success_rate,activity_completion_rate,necessary_completion_rate,transport_related_unmet,mean_total_travel_time,api_failures,input_tokens,output_tokens,total_tokens,elapsed_seconds,final_vehicle_rows,unique_final_vehicles,vehicle_conserved,coupon_awarded,coupon_bound,coupon_redeemed,elder_access_policy,elder_count,baseline_elder_digital_count,policy_elder_digital_count,newly_digital_elder_count,nonelder_profile_changes,dispatch_priority_policy
E01,W0,C0,W0+C0,outputs/platform_2000_W0_seed73_360_vehicle,73,workday,qwen3.6-35b-a3b-no-think,3.0,360,COMPLETE,PASS_WITH_API_FALLBACKS,PASS,,PASS,,,2000.0,3914.0,46.0,1864.0,1636.0,367.0,46.0,1864.0,1636.0,367.0,367.0,367.0,0.0,0.999745,0.997656,0.998624,1.0,59.642,1,1924636.0,149686.0,2074322.0,1409.176,360.0,360.0,True,0.0,0.0,0.0,D0_baseline,540.0,261.0,261.0,0.0,0.0,P0_first_come
E02,W1,C0,W1+C0,outputs/platform_2000_W1_seed73_360_vehicle,73,workday,qwen3.6-35b-a3b-no-think,3.0,360,COMPLETE,PASS_WITH_API_FALLBACKS,PASS,,PASS,,,2000.0,3839.0,33.0,1653.0,1647.0,505.0,33.0,1653.0,1647.0,505.0,505.0,505.0,0.0,0.99974,0.977496,0.999312,1.0,58.754,1,1889510.0,148035.0,2037545.0,1507.927,360.0,360.0,True,0.0,0.0,0.0,D0_baseline,540.0,261.0,261.0,0.0,0.0,P0_first_come
E03,W2,C0,W2+C0,outputs/platform_2000_W2_seed73_360_vehicle,73,workday,qwen3.6-35b-a3b-no-think,3.0,360,COMPLETE,PASS_WITH_API_FALLBACKS,PASS,,PASS,,,2000.0,3687.0,23.0,911.0,1760.0,992.0,23.0,919.0,1761.0,983.0,992.0,983.0,9.0,0.999729,0.954055,0.992435,1.0,59.947,1,1808918.0,143655.0,1952573.0,1111.494,360.0,360.0,True,0.0,0.0,0.0,D0_baseline,540.0,261.0,261.0,0.0,0.0,P0_first_come
E04,W0,C1,W0+C1,outputs/platform_2000_W0_C1_seed73_360_vehicle,73,workday,qwen3.6-35b-a3b-no-think,3.0,360,COMPLETE,PASS_WITH_API_FALLBACKS,PASS,,PASS,,,2000.0,3914.0,44.0,1698.0,1617.0,554.0,44.0,1698.0,1617.0,554.0,554.0,554.0,0.0,0.999745,0.996718,0.999312,1.0,58.306,1,1925887.0,151008.0,2076895.0,1367.739,360.0,360.0,True,400.0,202.0,202.0,D0_baseline,540.0,261.0,261.0,0.0,0.0,P0_first_come
E05,W1,C1,W1+C1,outputs/platform_2000_W1_C1_seed73_360_vehicle,73,workday,qwen3.6-35b-a3b-no-think,3.0,360,COMPLETE,PASS_WITH_API_FALLBACKS,PASS,,PASS,,,2000.0,3839.0,37.0,1530.0,1609.0,662.0,37.0,1530.0,1609.0,662.0,662.0,662.0,0.0,0.99974,0.976559,0.999312,1.0,57.663,1,1890602.0,147843.0,2038445.0,1384.75,360.0,360.0,True,400.0,215.0,215.0,D0_baseline,540.0,261.0,261.0,0.0,0.0,P0_first_come
E06,W2,C1,W2+C1,outputs/platform_2000_W2_C1_seed73_360_vehicle,73,workday,qwen3.6-35b-a3b-no-think,3.0,360,COMPLETE,PASS_WITH_API_FALLBACKS,PASS,,PASS,,,2000.0,3687.0,16.0,872.0,1736.0,1062.0,16.0,883.0,1737.0,1050.0,1062.0,1050.0,12.0,0.999729,0.953586,0.993122,1.0,59.466,1,1809033.0,144764.0,1953797.0,1110.35,360.0,360.0,True,400.0,197.0,190.0,D0_baseline,540.0,261.0,261.0,0.0,0.0,P0_first_come
E07,W0,C2,W0+C2,outputs/platform_2000_W0_C2_seed73_360_vehicle,73,workday,qwen3.6-35b-a3b-no-think,3.0,360,COMPLETE,PASS_WITH_API_FALLBACKS,PASS,,PASS,,,2000.0,3914.0,43.0,1768.0,1619.0,483.0,43.0,1768.0,1619.0,483.0,483.0,483.0,0.0,0.999745,0.997656,0.998624,1.0,58.917,2,1925075.0,150334.0,2075409.0,1282.005,360.0,360.0,True,400.0,143.0,143.0,D0_baseline,540.0,261.0,261.0,0.0,0.0,P0_first_come
E08,W1,C2,W1+C2,outputs/platform_2000_W1_C2_seed73_360_vehicle,73,workday,qwen3.6-35b-a3b-no-think,3.0,360,COMPLETE,PASS_WITH_API_FALLBACKS,PASS,,PASS,,,2000.0,3839.0,35.0,1563.0,1615.0,625.0,35.0,1563.0,1615.0,625.0,625.0,625.0,0.0,0.99974,0.97609,0.998624,1.0,58.001,2,1890037.0,148479.0,2038516.0,1314.848,360.0,360.0,True,400.0,144.0,144.0,D0_baseline,540.0,261.0,261.0,0.0,0.0,P0_first_come
E09,W2,C2,W2+C2,outputs/platform_2000_W2_C2_seed73_360_vehicle,73,workday,qwen3.6-35b-a3b-no-think,3.0,360,COMPLETE,PASS_WITH_API_FALLBACKS,PASS,,PASS,,,2000.0,3687.0,20.0,813.0,1733.0,1120.0,20.0,833.0,1735.0,1098.0,1120.0,1098.0,22.0,0.999729,0.953586,0.992435,1.0,59.289,1,1809118.0,143779.0,1952897.0,1985.051,360.0,360.0,True,400.0,169.0,158.0,D0_baseline,540.0,261.0,261.0,0.0,0.0,P0_first_come
E10,W0,C3,W0+C3,outputs/platform_2000_W0_C3_seed73_360_vehicle,73,workday,qwen3.6-35b-a3b-no-think,3.0,360,COMPLETE,PASS_WITH_API_FALLBACKS,PASS,,PASS,,,2000.0,3914.0,41.0,1725.0,1611.0,536.0,41.0,1725.0,1611.0,536.0,536.0,536.0,0.0,0.999745,0.996718,0.998624,1.0,58.398,1,1926191.0,150134.0,2076325.0,1678.99,360.0,360.0,True,400.0,179.0,179.0,D0_baseline,540.0,261.0,261.0,0.0,0.0,P0_first_come
