scenario,weather,policy,group_dimension,group_value,agents_with_legs,policy_digital_agents_with_legs,policy_assisted_agents_with_legs,legs,primary_walking,primary_bus,primary_metro,primary_ride_hailing,final_walking,final_bus,final_metro,final_ride_hailing,final_walking_share,final_bus_share,final_metro_share,final_ride_hailing_share,ride_requests,ride_successes,ride_failures,ride_success_rate,mean_successful_ride_pickup_wait_minutes,mean_ride_queue_wait_minutes,fallback_attempts,fallback_successes,transport_unmet_legs,mean_total_travel_time,mean_cumulative_wait_minutes,planned_activities,completed_activities,activity_completion_rate,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,transport_unmet_activities,activity_metric_coverage,total_outdoor_exposure_minutes,total_rain_exposure_minutes,total_heat_risk_burden_threshold_26
E14,W1,D1,all,all,1752,1672,230,3839,35,1628,1658,518,35,1628,1658,518,0.009117,0.424069,0.431883,0.134931,518,518,0,1.0,9.097813,0.0,0,0,0,58.570902,7.21669,2133,2082,0.97609,1454,1452,0.998624,0,complete,67957.671,0.0,539924.876184
E14,W1,D1,age_group,18-39,782,782,0,1789,34,590,833,332,34,590,833,332,0.019005,0.329793,0.465623,0.185579,332,332,0,1.0,9.567991,0.0,0,0,0,56.991203,7.325784,1020,1004,0.984314,729,728,0.998628,0,complete,31411.606,0.0,194566.602672
E14,W1,D1,age_group,40-59,641,641,0,1333,1,608,654,70,1,608,654,70,0.00075,0.456114,0.490623,0.052513,70,70,0,1.0,9.303429,0.0,0,0,0,63.470922,7.056181,697,691,0.991392,612,611,0.998366,0,complete,24677.627,0.0,178937.172349
E14,W1,D1,age_group,60+,329,249,230,717,0,430,171,116,0,430,171,116,0.0,0.599721,0.238494,0.161785,116,116,0,1.0,7.628052,0.0,0,0,0,53.402635,7.242894,416,387,0.930288,113,113,1.0,0,complete,11868.438,0.0,166421.101163
E14,W1,D1,digital_access,False,80,0,69,173,0,116,36,21,0,116,36,21,0.0,0.67052,0.208092,0.121387,21,21,0,1.0,6.904762,0.0,0,0,0,58.476329,7.502624,97,93,0.958763,32,32,1.0,0,travel-profile-known_agents_only_for_under60; complete_for_60plus,3012.125,0.0,42533.509635
E14,W1,D1,digital_access,True,1672,1672,161,3666,35,1512,1622,497,35,1512,1622,497,0.009547,0.412439,0.442444,0.13557,497,497,0,1.0,9.190477,0.0,0,0,0,58.575364,7.203196,2026,1989,0.981737,1422,1420,0.998594,0,travel-profile-known_agents_only_for_under60; complete_for_60plus,64945.546,0.0,497391.366549
E14,W1,D1,elder_access_group,60+_digital,249,249,161,544,0,314,135,95,0,314,135,95,0.0,0.577206,0.248162,0.174632,95,95,0,1.0,7.787937,0.0,0,0,0,51.789125,7.160296,319,294,0.92163,81,81,1.0,0,complete_for_60plus_via_intervention_roster,8856.313,0.0,123887.591528
E14,W1,D1,elder_access_group,60+_nondigital_assisted,69,0,69,149,0,93,35,21,0,93,35,21,0.0,0.624161,0.234899,0.14094,21,21,0,1.0,6.904762,0.0,0,0,0,57.06194,7.261765,83,80,0.963855,30,30,1.0,0,complete_for_60plus_via_intervention_roster,2516.222,0.0,35652.857068
E14,W1,D1,elder_access_group,60+_nondigital_unassisted,11,0,0,24,0,23,1,0,0,23,1,0,0.0,0.958333,0.041667,0.0,0,0,0,,,,0,0,0,67.257333,8.997958,14,13,0.928571,2,2,1.0,0,complete_for_60plus_via_intervention_roster,495.903,0.0,6880.652567
E14,W1,D1,baseline_elder_access_group,60+_baseline_digital,167,167,112,365,0,203,92,70,0,203,92,70,0.0,0.556164,0.252055,0.191781,70,70,0,1.0,8.005057,0.0,0,0,0,51.590425,7.280915,210,197,0.938095,53,53,1.0,0,complete_fixed_baseline_group_via_intervention_roster,5937.43,0.0,82784.506563
E14,W1,D1,baseline_elder_access_group,60+_baseline_nondigital_assisted,118,49,118,256,0,159,59,38,0,159,59,38,0.0,0.621094,0.230469,0.148438,38,38,0,1.0,7.078947,0.0,0,0,0,54.152758,7.044559,149,138,0.926174,45,45,1.0,0,complete_fixed_baseline_group_via_intervention_roster,4244.49,0.0,60202.050568
E14,W1,D1,baseline_elder_access_group,60+_baseline_nondigital_unassisted,44,33,0,96,0,68,20,8,0,68,20,8,0.0,0.708333,0.208333,0.083333,8,8,0,1.0,6.9375,0.0,0,0,0,58.292479,7.627229,57,52,0.912281,15,15,1.0,0,complete_fixed_baseline_group_via_intervention_roster,1686.518,0.0,23434.544032
E15,W2,D1,all,all,1699,1623,230,3687,20,894,1775,998,20,903,1776,988,0.005424,0.244915,0.481692,0.267969,998,988,10,0.98998,10.418638,0.258104,10,10,0,59.780076,8.570256,2133,2038,0.955462,1454,1443,0.992435,0,complete,70074.802,46475.222479,0.0
