weather_scenario,day_type,activity_purpose,planned_activities,weather_exposed_activities,weather_cancelled_activities,conditional_cancel_rate,remote_work,completed_activities,transport_unmet
W0,rest_day,medical,2,0,0,,0,2,0
W0,rest_day,out_of_home_family_activity,13,0,0,,0,13,0
W0,rest_day,out_of_home_family_care,5,0,0,,0,5,0
W0,rest_day,shopping,23,0,0,,0,23,0
W0,rest_day,social_leisure,23,0,0,,0,23,0
W0,rest_day,visit,12,0,0,,0,12,0
W0,workday,medical,4,0,0,,0,4,0
W0,workday,out_of_home_family_activity,3,0,0,,0,3,0
W0,workday,shopping,7,0,0,,0,7,0
W0,workday,social_leisure,2,0,0,,0,2,0
W0,workday,visit,2,0,0,,0,2,0
W0,workday,work,34,0,0,,0,34,0
W1,rest_day,medical,2,1,0,0.0,0,2,0
W1,rest_day,out_of_home_family_activity,13,8,1,0.125,0,12,0
W1,rest_day,out_of_home_family_care,5,4,0,0.0,0,5,0
W1,rest_day,shopping,23,18,1,0.055556,0,22,0
W1,rest_day,social_leisure,23,10,2,0.2,0,21,0
W1,rest_day,visit,12,6,0,0.0,0,12,0
W1,workday,medical,4,1,0,0.0,0,4,0
W1,workday,out_of_home_family_activity,3,2,1,0.5,0,2,0
W1,workday,shopping,7,3,2,0.666667,0,5,0
W1,workday,social_leisure,2,0,0,,0,2,0
W1,workday,visit,2,1,0,0.0,0,2,0
W1,workday,work,34,0,0,,0,34,0
W2,rest_day,medical,2,1,0,0.0,0,2,0
W2,rest_day,out_of_home_family_activity,13,4,1,0.25,0,12,0
W2,rest_day,out_of_home_family_care,5,2,1,0.5,0,4,0
W2,rest_day,shopping,23,11,3,0.272727,0,20,0
W2,rest_day,social_leisure,23,7,3,0.428571,0,20,0
W2,rest_day,visit,12,4,1,0.25,0,11,0
W2,workday,medical,4,1,0,0.0,0,4,0
W2,workday,out_of_home_family_activity,3,0,0,,0,3,0
W2,workday,shopping,7,4,0,0.0,0,7,0
W2,workday,social_leisure,2,1,0,0.0,0,2,0
W2,workday,visit,2,1,0,0.0,0,2,0
W2,workday,work,34,32,0,0.0,1,34,0
