leg_id,agent_id,date,day,leg_role,activity_id,purpose,origin_zone,destination_zone,departure_time,final_attempt_departure_time,primary_mode,primary_failed,primary_failure_reason,fallback_attempted,fallback_succeeded,final_mode,transport_succeeded,wait_minutes,failed_attempt_consumed_minutes,cumulative_wait_minutes,access_time_min,transfer_time_min,in_vehicle_time_min,total_travel_time_min,fare_yuan,final_speed_kmh,scenario_vc,weather_type_at_departure,weather_scenario,day_type,policy,outdoor_exposure_minutes,heat_hazard_dose_c_min,age_vulnerability_weight,heat_risk_burden,rain_exposure_minutes
1-2026-07-07-L01,1,2026-07-07,Tuesday,outbound,activity-1-2026-07-07-002,work,Z3,Z1,2026-07-07 09:00:00,2026-07-07 09:00:00,metro,False,,False,False,metro,True,4.5,0.0,4.5,10.0,0.0,13.092,27.592,4.0,35.0,,normal,W0,workday,P0_no_policy,14.5,0.0,1.0,0.0,0.0
1-2026-07-07-L02,1,2026-07-07,Tuesday,return_home,activity-1-2026-07-07-002,return_home,Z1,Z3,2026-07-07 19:30:00,2026-07-07 19:30:00,ride_hailing,False,,False,False,ride_hailing,True,8.0,0.0,8.0,2.0,0.0,16.428,26.428,26.52,27.893,0.682484,normal,W0,workday,P0_no_policy,8.0,0.0,1.0,0.0,0.0
10-2026-07-07-L01,10,2026-07-07,Tuesday,outbound,activity-10-2026-07-07-003,work,Z5,Z3,2026-07-07 08:35:00,2026-07-07 08:35:00,metro,False,,False,False,metro,True,5.4,0.0,5.4,13.0,0.0,43.122,61.522,5.0,35.0,,normal,W0,workday,P0_no_policy,18.4,0.0,1.0,0.0,0.0
10-2026-07-07-L02,10,2026-07-07,Tuesday,between_activities,activity-10-2026-07-07-004,social_leisure,Z3,Z5,2026-07-07 20:05:00,2026-07-07 20:05:00,metro,False,,False,False,metro,True,6.0,0.0,6.0,13.0,0.0,43.122,62.122,5.0,35.0,,normal,W0,workday,P0_no_policy,19.0,0.0,1.0,0.0,0.0
10-2026-07-07-L03,10,2026-07-07,Tuesday,return_home,activity-10-2026-07-07-004,return_home,Z5,Z5,2026-07-07 22:30:00,2026-07-07 22:30:00,walk,False,,False,False,walk,True,0.0,0.0,0.0,0.0,0.0,53.625,53.625,0.0,4.8,,normal,W0,workday,P0_no_policy,53.625,0.0,1.0,0.0,0.0
11-2026-07-07-L01,11,2026-07-07,Tuesday,outbound,activity-11-2026-07-07-004,work,Z5,Z7,2026-07-07 08:00:00,2026-07-07 08:00:00,metro,False,,False,False,metro,True,6.048,0.0,6.048,13.0,0.0,29.362,48.41,5.0,35.0,,normal,W0,workday,P0_no_policy,19.048,0.0,1.0,0.0,0.0
11-2026-07-07-L02,11,2026-07-07,Tuesday,return_home,activity-11-2026-07-07-004,return_home,Z7,Z5,2026-07-07 17:00:00,2026-07-07 17:00:00,metro,False,,False,False,metro,True,3.04,0.0,3.04,13.0,0.0,29.362,45.402,5.0,35.0,,normal,W0,workday,P0_no_policy,16.04,0.0,1.0,0.0,0.0
12-2026-07-07-L01,12,2026-07-07,Tuesday,outbound,activity-12-2026-07-07-002,work,Z5,Z7,2026-07-07 07:00:00,2026-07-07 07:00:00,metro,False,,False,False,metro,True,3.744,0.0,3.744,13.0,0.0,29.362,46.106,5.0,35.0,,normal,W0,workday,P0_no_policy,16.744,0.0,1.0,0.0,0.0
12-2026-07-07-L02,12,2026-07-07,Tuesday,return_home,activity-12-2026-07-07-002,return_home,Z7,Z5,2026-07-07 17:00:00,2026-07-07 17:00:00,metro,False,,False,False,metro,True,3.04,0.0,3.04,13.0,0.0,29.362,45.402,5.0,35.0,,normal,W0,workday,P0_no_policy,16.04,0.0,1.0,0.0,0.0
13-2026-07-07-L01,13,2026-07-07,Tuesday,outbound,activity-13-2026-07-07-002,work,Z2,Z2,2026-07-07 08:05:00,2026-07-07 08:05:00,metro,False,,False,False,metro,True,4.5,0.0,4.5,10.0,0.0,11.155,25.655,4.0,35.0,,normal,W0,workday,P0_no_policy,14.5,0.0,1.0,0.0,0.0
