leg_id,agent_id,date,day,leg_sequence,leg_role,activity_id,purpose,origin_zone,destination_zone,departure_time,travel_time_minutes,arrival_time,euclidean_distance_km,road_network_distance_km
1-2026-07-07-L01,1,2026-07-07,Tuesday,1,outbound,activity-1-2026-07-07-002,work,Z3,Z1,2026-07-07 09:00:00,30,2026-07-07 09:30:00,7.637,7.637
1-2026-07-07-L02,1,2026-07-07,Tuesday,2,return_home,activity-1-2026-07-07-002,return_home,Z1,Z3,2026-07-07 19:30:00,30,2026-07-07 20:00:00,7.637,7.637
1-2026-07-11-L01,1,2026-07-11,Saturday,1,outbound,activity-1-2026-07-11-007,visit,Z3,Z3,2026-07-11 11:10:00,20,2026-07-11 11:30:00,0.0,5.561
1-2026-07-11-L02,1,2026-07-11,Saturday,2,between_activities,activity-1-2026-07-11-008,social_leisure,Z3,Z2,2026-07-11 15:05:00,55,2026-07-11 16:00:00,14.731,15.158
1-2026-07-11-L03,1,2026-07-11,Saturday,3,return_home,activity-1-2026-07-11-008,return_home,Z2,Z3,2026-07-11 18:00:00,55,2026-07-11 18:55:00,14.731,15.158
2-2026-07-07-L01,2,2026-07-07,Tuesday,1,outbound,activity-2-2026-07-07-003,work,Z7,Z7,2026-07-07 09:40:00,50,2026-07-07 10:30:00,0.0,14.276
2-2026-07-07-L02,2,2026-07-07,Tuesday,2,return_home,activity-2-2026-07-07-003,return_home,Z7,Z7,2026-07-07 19:30:00,50,2026-07-07 20:20:00,0.0,14.276
2-2026-07-11-L01,2,2026-07-11,Saturday,1,outbound,activity-2-2026-07-11-007,out_of_home_family_care,Z7,Z2,2026-07-11 09:35:00,85,2026-07-11 11:00:00,19.264,25.021
2-2026-07-11-L02,2,2026-07-11,Saturday,2,return_home,activity-2-2026-07-11-007,return_home,Z2,Z7,2026-07-11 13:00:00,85,2026-07-11 14:25:00,19.264,25.021
3-2026-07-07-L01,3,2026-07-07,Tuesday,1,outbound,activity-3-2026-07-07-002,work,Z2,Z3,2026-07-07 08:05:00,55,2026-07-07 09:00:00,14.731,15.158
3-2026-07-07-L02,3,2026-07-07,Tuesday,2,return_home,activity-3-2026-07-07-002,return_home,Z3,Z2,2026-07-07 17:00:00,55,2026-07-07 17:55:00,14.731,15.158
3-2026-07-11-L01,3,2026-07-11,Saturday,1,outbound,activity-3-2026-07-11-007,social_leisure,Z2,Z2,2026-07-11 11:35:00,25,2026-07-11 12:00:00,0.0,6.453
3-2026-07-11-L02,3,2026-07-11,Saturday,2,between_activities,activity-3-2026-07-11-008,out_of_home_family_activity,Z2,Z1,2026-07-11 15:00:00,30,2026-07-11 15:30:00,7.521,7.521
3-2026-07-11-L03,3,2026-07-11,Saturday,3,return_home,activity-3-2026-07-11-008,return_home,Z1,Z2,2026-07-11 21:30:00,30,2026-07-11 22:00:00,7.521,7.521
4-2026-07-07-L01,4,2026-07-07,Tuesday,1,outbound,activity-4-2026-07-07-003,work,Z4,Z4,2026-07-07 10:00:00,30,2026-07-07 10:30:00,0.0,8.397
4-2026-07-07-L02,4,2026-07-07,Tuesday,2,return_home,activity-4-2026-07-07-003,return_home,Z4,Z4,2026-07-07 19:30:00,30,2026-07-07 20:00:00,0.0,8.397
5-2026-07-07-L01,5,2026-07-07,Tuesday,1,outbound,activity-5-2026-07-07-002,work,Z4,Z1,2026-07-07 09:00:00,90,2026-07-07 10:30:00,23.833,28.501
5-2026-07-07-L02,5,2026-07-07,Tuesday,2,return_home,activity-5-2026-07-07-002,return_home,Z1,Z4,2026-07-07 20:30:00,90,2026-07-07 22:00:00,23.833,28.501
5-2026-07-11-L01,5,2026-07-11,Saturday,1,outbound,activity-5-2026-07-11-006,social_leisure,Z4,Z4,2026-07-11 12:35:00,25,2026-07-11 13:00:00,0.0,7.28
5-2026-07-11-L02,5,2026-07-11,Saturday,2,between_activities,activity-5-2026-07-11-007,shopping,Z4,Z4,2026-07-11 18:15:00,15,2026-07-11 18:30:00,0.0,3.778
5-2026-07-11-L03,5,2026-07-11,Saturday,3,return_home,activity-5-2026-07-11-007,return_home,Z4,Z4,2026-07-11 20:00:00,25,2026-07-11 20:25:00,0.0,6.348
6-2026-07-11-L01,6,2026-07-11,Saturday,1,outbound,activity-6-2026-07-11-005,out_of_home_family_activity,Z6,Z6,2026-07-11 16:05:00,25,2026-07-11 16:30:00,0.0,6.871
6-2026-07-11-L02,6,2026-07-11,Saturday,2,return_home,activity-6-2026-07-11-005,return_home,Z6,Z6,2026-07-11 18:30:00,25,2026-07-11 18:55:00,0.0,6.871
7-2026-07-07-L01,7,2026-07-07,Tuesday,1,outbound,activity-7-2026-07-07-002,work,Z1,Z1,2026-07-07 09:05:00,25,2026-07-07 09:30:00,0.0,6.199
7-2026-07-07-L02,7,2026-07-07,Tuesday,2,return_home,activity-7-2026-07-07-002,return_home,Z1,Z1,2026-07-07 18:00:00,25,2026-07-07 18:25:00,0.0,6.199
7-2026-07-11-L01,7,2026-07-11,Saturday,1,outbound,activity-7-2026-07-11-007,social_leisure,Z1,Z2,2026-07-11 09:00:00,30,2026-07-11 09:30:00,7.521,7.521
7-2026-07-11-L02,7,2026-07-11,Saturday,2,between_activities,activity-7-2026-07-11-008,social_leisure,Z2,Z3,2026-07-11 14:05:00,55,2026-07-11 15:00:00,14.731,15.158
7-2026-07-11-L03,7,2026-07-11,Saturday,3,return_home,activity-7-2026-07-11-008,return_home,Z3,Z1,2026-07-11 21:00:00,30,2026-07-11 21:30:00,7.637,7.637
8-2026-07-07-L01,8,2026-07-07,Tuesday,1,outbound,activity-8-2026-07-07-002,work,Z6,Z6,2026-07-07 08:35:00,25,2026-07-07 09:00:00,0.0,6.893
8-2026-07-07-L02,8,2026-07-07,Tuesday,2,return_home,activity-8-2026-07-07-002,return_home,Z6,Z6,2026-07-07 18:00:00,25,2026-07-07 18:25:00,0.0,6.893
8-2026-07-11-L01,8,2026-07-11,Saturday,1,outbound,activity-8-2026-07-11-007,social_leisure,Z6,Z6,2026-07-11 09:55:00,35,2026-07-11 10:30:00,0.0,9.923
8-2026-07-11-L02,8,2026-07-11,Saturday,2,return_home,activity-8-2026-07-11-007,return_home,Z6,Z6,2026-07-11 22:30:00,35,2026-07-11 23:05:00,0.0,9.923
9-2026-07-07-L01,9,2026-07-07,Tuesday,1,outbound,activity-9-2026-07-07-002,work,Z7,Z3,2026-07-07 07:35:00,85,2026-07-07 09:00:00,21.899,25.137
