leg_id,agent_id,request_time,dispatch_priority,origin_zone,destination_zone,succeeded,failure_reason,dispatch_time,pickup_wait_min,vehicle_id,idle_vehicles_at_request,busy_start,busy_until,previous_busy_until,idle_vehicles_after_dispatch,weather_scenario,day_type,policy
42-2026-07-07-L02,42,1050.0,0.687664051,Z2,Z2,True,,1050.0,11.0,N9RH-workday-Z2-001,2,1050.0,1072.850364,0.0,1,W0,workday,P0_no_policy
8-2026-07-07-L02,8,1080.0,0.675503416,Z6,Z6,True,,1080.0,14.667,N9RH-workday-Z6-001,2,1080.0,1109.696408,0.0,1,W0,workday,P0_no_policy
17-2026-07-07-L02,17,1150.0,0.526094895,Z2,Z2,True,,1150.0,8.0,N9RH-workday-Z2-001,2,1150.0,1167.816181,1072.850364,1,W0,workday,P0_no_policy
1-2026-07-07-L02,1,1170.0,0.7824326,Z1,Z3,True,,1170.0,8.0,N9RH-workday-Z1-001,3,1170.0,1194.42823,0.0,2,W0,workday,P0_no_policy
13-2026-07-07-L02,13,1175.0,0.995584516,Z2,Z2,True,,1175.0,8.0,N9RH-workday-Z2-001,2,1175.0,1196.613686,1167.816181,1,W0,workday,P0_no_policy
13-2026-07-07-L03,13,1260.0,0.597322975,Z2,Z2,True,,1260.0,8.0,N9RH-workday-Z2-001,2,1260.0,1276.272992,1196.613686,1,W0,workday,P0_no_policy
21-2026-07-11-L01,21,500.0,0.398476551,Z9,Z9,True,,500.0,20.0,N9RH-rest_day-Z9-001,1,500.0,544.825421,0.0,0,W0,rest_day,P0_no_policy
1-2026-07-11-L01,1,670.0,0.548813171,Z3,Z3,True,,670.0,6.0,N9RH-rest_day-Z3-001,2,670.0,686.12737,0.0,1,W0,rest_day,P0_no_policy
12-2026-07-11-L01,12,735.0,0.662622551,Z5,Z5,True,,735.0,8.0,N9RH-rest_day-Z5-001,1,735.0,750.29906,0.0,0,W0,rest_day,P0_no_policy
33-2026-07-11-L01,33,745.0,0.126766255,Z4,Z4,True,,745.0,8.0,N9RH-rest_day-Z4-001,1,745.0,771.732953,0.0,0,W0,rest_day,P0_no_policy
