seed,policy,coupon_pool_limit_passed,one_coupon_per_agent_day_passed,one_binding_per_agent_weather_passed,vehicle_conservation_passed,vehicle_assignments_nonoverlapping_passed,common_dispatch_priority_passed,nondigital_unassisted_public_exclusion_passed,coupon_only_bound_request_can_be_induced_passed,passed
47,C0_no_coupon,True,True,True,True,True,True,True,True,True
47,C1_public_limited,True,True,True,True,True,True,True,True,True
47,C2_elder_limited,True,True,True,True,True,True,True,True,True
47,C3_mixed,True,True,True,True,True,True,True,True,True
48,C0_no_coupon,True,True,True,True,True,True,True,True,True
48,C1_public_limited,True,True,True,True,True,True,True,True,True
48,C2_elder_limited,True,True,True,True,True,True,True,True,True
48,C3_mixed,True,True,True,True,True,True,True,True,True
49,C0_no_coupon,True,True,True,True,True,True,True,True,True
49,C1_public_limited,True,True,True,True,True,True,True,True,True
49,C2_elder_limited,True,True,True,True,True,True,True,True,True
49,C3_mixed,True,True,True,True,True,True,True,True,True
50,C0_no_coupon,True,True,True,True,True,True,True,True,True
50,C1_public_limited,True,True,True,True,True,True,True,True,True
50,C2_elder_limited,True,True,True,True,True,True,True,True,True
50,C3_mixed,True,True,True,True,True,True,True,True,True
51,C0_no_coupon,True,True,True,True,True,True,True,True,True
51,C1_public_limited,True,True,True,True,True,True,True,True,True
51,C2_elder_limited,True,True,True,True,True,True,True,True,True
51,C3_mixed,True,True,True,True,True,True,True,True,True
52,C0_no_coupon,True,True,True,True,True,True,True,True,True
52,C1_public_limited,True,True,True,True,True,True,True,True,True
52,C2_elder_limited,True,True,True,True,True,True,True,True,True
52,C3_mixed,True,True,True,True,True,True,True,True,True
53,C0_no_coupon,True,True,True,True,True,True,True,True,True
53,C1_public_limited,True,True,True,True,True,True,True,True,True
53,C2_elder_limited,True,True,True,True,True,True,True,True,True
53,C3_mixed,True,True,True,True,True,True,True,True,True
54,C0_no_coupon,True,True,True,True,True,True,True,True,True
54,C1_public_limited,True,True,True,True,True,True,True,True,True
54,C2_elder_limited,True,True,True,True,True,True,True,True,True
54,C3_mixed,True,True,True,True,True,True,True,True,True
55,C0_no_coupon,True,True,True,True,True,True,True,True,True
55,C1_public_limited,True,True,True,True,True,True,True,True,True
55,C2_elder_limited,True,True,True,True,True,True,True,True,True
55,C3_mixed,True,True,True,True,True,True,True,True,True
56,C0_no_coupon,True,True,True,True,True,True,True,True,True
56,C1_public_limited,True,True,True,True,True,True,True,True,True
56,C2_elder_limited,True,True,True,True,True,True,True,True,True
56,C3_mixed,True,True,True,True,True,True,True,True,True
