policy,weather_scenario,group,metric,seed_count,mean,std_dev,median,minimum,maximum
C0_no_coupon,W0,18-39,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,18-39,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,18-39,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,18-39,ride_hailing_requests,10,4.1,1.791957,4.5,1.0,6.0
C0_no_coupon,W0,18-39,successful_ride_hailing_requests,10,4.0,1.699673,4.5,1.0,6.0
C0_no_coupon,W0,18-39,failed_ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0
C0_no_coupon,W0,18-39,mean_ride_hailing_wait_minutes_per_request,10,10.559458,1.95125,9.8936,8.0,14.51765
C0_no_coupon,W0,18-39,fallback_attempts,10,0.1,0.316228,0.0,0.0,1.0
C0_no_coupon,W0,18-39,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,18-39,mandatory_activity_incomplete,10,0.5,0.527046,0.5,0.0,1.0
C0_no_coupon,W0,18-39,necessary_activity_completion_rate,10,0.972222,0.029281,0.972222,0.944444,1.0
C0_no_coupon,W0,18-39,total_outdoor_exposure_minutes,10,983.5255,92.761071,975.679,847.06,1169.481
C0_no_coupon,W0,18-39,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,40-59,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,40-59,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,40-59,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,40-59,ride_hailing_requests,10,1.7,1.766981,1.0,0.0,5.0
C0_no_coupon,W0,40-59,successful_ride_hailing_requests,10,1.6,1.577621,1.0,0.0,4.0
C0_no_coupon,W0,40-59,failed_ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0
C0_no_coupon,W0,40-59,mean_ride_hailing_wait_minutes_per_request,10,6.986638,5.029125,8.980875,0.0,12.5358
C0_no_coupon,W0,40-59,fallback_attempts,10,0.1,0.316228,0.0,0.0,1.0
C0_no_coupon,W0,40-59,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,40-59,mandatory_activity_incomplete,10,1.0,0.816497,1.0,0.0,3.0
C0_no_coupon,W0,40-59,necessary_activity_completion_rate,10,0.938603,0.048062,0.9375,0.823529,1.0
C0_no_coupon,W0,40-59,total_outdoor_exposure_minutes,10,671.714,39.907479,677.398,610.683,743.694
C0_no_coupon,W0,40-59,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_digital,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_digital,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_digital,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_digital,ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0
C0_no_coupon,W0,60+_digital,successful_ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0
C0_no_coupon,W0,60+_digital,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_digital,mean_ride_hailing_wait_minutes_per_request,10,1.1,3.478505,0.0,0.0,11.0
C0_no_coupon,W0,60+_digital,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_digital,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_digital,mandatory_activity_incomplete,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_digital,necessary_activity_completion_rate,10,1.0,0.0,1.0,1.0,1.0
C0_no_coupon,W0,60+_digital,total_outdoor_exposure_minutes,10,175.6338,66.746813,185.971,82.58,273.405
C0_no_coupon,W0,60+_digital,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_assisted,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_assisted,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_assisted,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_assisted,ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_assisted,successful_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_assisted,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_assisted,mean_ride_hailing_wait_minutes_per_request,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_assisted,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_assisted,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_assisted,mandatory_activity_incomplete,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_assisted,necessary_activity_completion_rate,10,1.0,0.0,1.0,1.0,1.0
C0_no_coupon,W0,60+_nondigital_assisted,total_outdoor_exposure_minutes,10,128.7746,57.153246,132.714,39.791,219.415
C0_no_coupon,W0,60+_nondigital_assisted,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,successful_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,mean_ride_hailing_wait_minutes_per_request,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,mandatory_activity_incomplete,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,60+_nondigital_unassisted,necessary_activity_completion_rate,10,1.0,0.0,1.0,1.0,1.0
