seed,policy,weather_scenario,day_type,group,agent_count,coupon_reached,coupon_participated,coupon_awarded,coupon_redeemed,coupon_induced_requests,coupon_subsidy_yuan,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,mean_ride_hailing_wait_minutes_per_request,fallback_attempts,transport_unmet,mandatory_activity_incomplete,necessary_activity_completion_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,total_outdoor_exposure_minutes,total_heat_risk_burden
47,C0_no_coupon,W0,workday,18-39,20,0,0,0,0,0,0.0,5,5,0,9.7334,0,0,0,1.0,1,15,21,5,894.737,0.0
47,C0_no_coupon,W0,workday,40-59,17,0,0,0,0,0,0.0,0,0,0,0.0,0,0,1,0.9375,0,19,14,0,639.245,0.0
47,C0_no_coupon,W0,workday,60+_digital,6,0,0,0,0,0,0.0,1,1,0,11.0,0,0,0,1.0,0,10,0,1,189.728,0.0
47,C0_no_coupon,W0,workday,60+_nondigital_assisted,7,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,10,1,0,182.456,0.0
47,C0_no_coupon,W0,workday,60+_nondigital_unassisted,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,0
47,C0_no_coupon,W2,workday,18-39,20,0,0,0,0,0,0.0,8,8,0,9.41675,0,0,0,1.0,1,6,25,8,895.533,0.0
47,C0_no_coupon,W2,workday,40-59,17,0,0,0,0,0,0.0,4,4,0,10.95775,0,0,0,1.0,0,6,23,4,742.826,0.0
47,C0_no_coupon,W2,workday,60+_digital,6,0,0,0,0,0,0.0,1,1,0,11.0,0,0,0,1.0,0,10,0,1,189.728,0.0
47,C0_no_coupon,W2,workday,60+_nondigital_assisted,7,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,8,3,0,204.7,0.0
47,C0_no_coupon,W2,workday,60+_nondigital_unassisted,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,0
47,C1_public_limited,W0,workday,18-39,20,20,15,5,3,0,14.8,5,5,0,9.7334,0,0,0,1.0,1,15,21,5,894.737,0.0
47,C1_public_limited,W0,workday,40-59,17,17,11,5,0,0,0.0,0,0,0,0.0,0,0,1,0.9375,0,19,14,0,639.245,0.0
47,C1_public_limited,W0,workday,60+_digital,6,6,3,0,0,0,0.0,1,1,0,11.0,0,0,0,1.0,0,10,0,1,189.728,0.0
47,C1_public_limited,W0,workday,60+_nondigital_assisted,7,7,3,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,10,1,0,182.456,0.0
47,C1_public_limited,W0,workday,60+_nondigital_unassisted,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,0
47,C1_public_limited,W2,workday,18-39,20,20,15,5,4,2,25.23,10,10,0,9.8467,0,0,0,1.0,1,5,24,10,856.994,0.0
47,C1_public_limited,W2,workday,40-59,17,17,11,5,2,0,10.54,4,4,0,10.95775,0,0,0,1.0,0,6,23,4,742.826,0.0
47,C1_public_limited,W2,workday,60+_digital,6,6,3,0,0,0,0.0,1,1,0,11.0,0,0,0,1.0,0,10,0,1,189.728,0.0
47,C1_public_limited,W2,workday,60+_nondigital_assisted,7,7,3,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,8,3,0,204.7,0.0
47,C1_public_limited,W2,workday,60+_nondigital_unassisted,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,0
47,C2_elder_limited,W0,workday,18-39,20,0,0,0,0,0,0.0,5,5,0,9.7334,0,0,0,1.0,1,15,21,5,894.737,0.0
47,C2_elder_limited,W0,workday,40-59,17,0,0,0,0,0,0.0,0,0,0,0.0,0,0,1,0.9375,0,19,14,0,639.245,0.0
47,C2_elder_limited,W0,workday,60+_digital,6,6,0,5,1,0,4.11,1,1,0,11.0,0,0,0,1.0,0,10,0,1,189.728,0.0
47,C2_elder_limited,W0,workday,60+_nondigital_assisted,7,7,0,5,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,10,1,0,182.456,0.0
47,C2_elder_limited,W0,workday,60+_nondigital_unassisted,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,0
47,C2_elder_limited,W2,workday,18-39,20,0,0,0,0,0,0.0,8,8,0,9.41675,0,0,0,1.0,1,6,25,8,895.533,0.0
47,C2_elder_limited,W2,workday,40-59,17,0,0,0,0,0,0.0,4,4,0,10.95775,0,0,0,1.0,0,6,23,4,742.826,0.0
47,C2_elder_limited,W2,workday,60+_digital,6,6,0,5,1,0,4.11,1,1,0,11.0,0,0,0,1.0,0,10,0,1,189.728,0.0
47,C2_elder_limited,W2,workday,60+_nondigital_assisted,7,7,0,5,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,8,3,0,204.7,0.0
47,C2_elder_limited,W2,workday,60+_nondigital_unassisted,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,0
47,C3_mixed,W0,workday,18-39,20,20,15,3,2,0,9.5,5,5,0,9.7334,0,0,0,1.0,1,15,21,5,894.737,0.0
47,C3_mixed,W0,workday,40-59,17,17,11,4,0,0,0.0,0,0,0,0.0,0,0,1,0.9375,0,19,14,0,639.245,0.0
47,C3_mixed,W0,workday,60+_digital,6,6,3,1,0,0,0.0,1,1,0,11.0,0,0,0,1.0,0,10,0,1,189.728,0.0
47,C3_mixed,W0,workday,60+_nondigital_assisted,7,7,3,2,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,10,1,0,182.456,0.0
47,C3_mixed,W0,workday,60+_nondigital_unassisted,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,0
47,C3_mixed,W2,workday,18-39,20,20,15,3,3,2,19.93,10,10,0,9.8467,0,0,0,1.0,1,5,24,10,856.994,0.0
47,C3_mixed,W2,workday,40-59,17,17,11,4,1,0,5.24,4,4,0,10.95775,0,0,0,1.0,0,6,23,4,742.826,0.0
47,C3_mixed,W2,workday,60+_digital,6,6,3,1,0,0,0.0,1,1,0,11.0,0,0,0,1.0,0,10,0,1,189.728,0.0
47,C3_mixed,W2,workday,60+_nondigital_assisted,7,7,3,2,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,8,3,0,204.7,0.0
47,C3_mixed,W2,workday,60+_nondigital_unassisted,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,0
48,C0_no_coupon,W0,workday,18-39,20,0,0,0,0,0,0.0,2,2,0,8.0,0,0,0,1.0,3,18,23,2,1044.495,0.0
48,C0_no_coupon,W0,workday,40-59,17,0,0,0,0,0,0.0,1,1,0,8.0,0,0,1,0.9375,0,21,12,1,666.08,0.0
48,C0_no_coupon,W0,workday,60+_digital,6,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,5,1,0,87.968,0.0
48,C0_no_coupon,W0,workday,60+_nondigital_assisted,5,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,8,0,0,162.214,0.0
