policy,baseline_policy,weather_scenario,metric,baseline_mean,policy_mean,absolute_change,percent_change,percent_change_defined,undefined_reason
C1_public_limited,C0_no_coupon,W0,coupon_reached,0.0,47.9,47.9,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,coupon_participated,0.0,32.3,32.3,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,coupon_awarded,0.0,10.0,10.0,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,coupon_redeemed,0.0,2.4,2.4,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,coupon_induced_requests,0.0,1.4,1.4,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,coupon_subsidy_yuan,0.0,17.85,17.85,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,ride_hailing_requests,5.9,7.3,1.4,23.728814,True,
C1_public_limited,C0_no_coupon,W0,successful_ride_hailing_requests,5.7,7.0,1.3,22.807018,True,
C1_public_limited,C0_no_coupon,W0,ride_hailing_failed,0.2,0.3,0.1,50.0,True,
C1_public_limited,C0_no_coupon,W0,mean_ride_hailing_wait_minutes_per_request,10.314456,10.793104,0.478648,4.640555,True,
C1_public_limited,C0_no_coupon,W0,fallback_attempts,0.2,0.3,0.1,50.0,True,
C1_public_limited,C0_no_coupon,W0,fallback_succeeded,0.2,0.3,0.1,50.0,True,
C1_public_limited,C0_no_coupon,W0,transport_unmet,0.0,0.0,0.0,,False,baseline_zero
C1_public_limited,C0_no_coupon,W0,mandatory_activity_incomplete,1.5,1.4,-0.1,-6.666667,True,
C1_public_limited,C0_no_coupon,W0,activity_completion_rate,0.96851,0.972121,0.003611,0.372841,True,
C1_public_limited,C0_no_coupon,W0,necessary_activity_completion_rate,0.960009,0.96264,0.002631,0.27406,True,
C1_public_limited,C0_no_coupon,W0,walking_mode_share,0.016357,0.016357,0.0,0.0,True,
C1_public_limited,C0_no_coupon,W0,bus_mode_share,0.536523,0.524743,-0.01178,-2.195619,True,
C1_public_limited,C0_no_coupon,W0,metro_mode_share,0.389297,0.388277,-0.00102,-0.262011,True,
C1_public_limited,C0_no_coupon,W0,ride_hailing_mode_share,0.057822,0.070622,0.0128,22.136903,True,
C1_public_limited,C0_no_coupon,W0,mean_total_travel_time,63.0522,62.5848,-0.4674,-0.741291,True,
C1_public_limited,C0_no_coupon,W0,mean_road_speed_kmh,17.4104,17.693,0.2826,1.623168,True,
C1_public_limited,C0_no_coupon,W0,total_outdoor_exposure_minutes,2033.8492,2022.5835,-11.2657,-0.55391,True,
C1_public_limited,C0_no_coupon,W0,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero
C1_public_limited,C0_no_coupon,W2,coupon_reached,0.0,47.9,47.9,,False,baseline_zero
C1_public_limited,C0_no_coupon,W2,coupon_participated,0.0,32.3,32.3,,False,baseline_zero
C1_public_limited,C0_no_coupon,W2,coupon_awarded,0.0,10.0,10.0,,False,baseline_zero
C1_public_limited,C0_no_coupon,W2,coupon_redeemed,0.0,3.6,3.6,,False,baseline_zero
C1_public_limited,C0_no_coupon,W2,coupon_induced_requests,0.0,1.7,1.7,,False,baseline_zero
C1_public_limited,C0_no_coupon,W2,coupon_subsidy_yuan,0.0,26.53,26.53,,False,baseline_zero
C1_public_limited,C0_no_coupon,W2,ride_hailing_requests,13.0,14.7,1.7,13.076923,True,
C1_public_limited,C0_no_coupon,W2,successful_ride_hailing_requests,11.6,13.2,1.6,13.793103,True,
C1_public_limited,C0_no_coupon,W2,ride_hailing_failed,1.4,1.5,0.1,7.142857,True,
C1_public_limited,C0_no_coupon,W2,mean_ride_hailing_wait_minutes_per_request,11.968436,12.024868,0.056432,0.471507,True,
C1_public_limited,C0_no_coupon,W2,fallback_attempts,1.4,1.5,0.1,7.142857,True,
C1_public_limited,C0_no_coupon,W2,fallback_succeeded,1.4,1.5,0.1,7.142857,True,
