policy,weather_scenario,metric,seed_count,mean,std_dev,median,minimum,maximum
C0_no_coupon,W0,coupon_reached,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,coupon_participated,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,coupon_subsidy_yuan,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,ride_hailing_requests,10,5.9,2.469818,6.0,2.0,11.0
C0_no_coupon,W0,successful_ride_hailing_requests,10,5.7,2.057507,6.0,2.0,9.0
C0_no_coupon,W0,ride_hailing_failed,10,0.2,0.632456,0.0,0.0,2.0
C0_no_coupon,W0,mean_ride_hailing_wait_minutes_per_request,10,10.314456,1.644659,9.97235,8.0,13.200514
C0_no_coupon,W0,fallback_attempts,10,0.2,0.632456,0.0,0.0,2.0
C0_no_coupon,W0,fallback_succeeded,10,0.2,0.632456,0.0,0.0,2.0
C0_no_coupon,W0,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W0,mandatory_activity_incomplete,10,1.5,0.971825,1.0,1.0,4.0
C0_no_coupon,W0,activity_completion_rate,10,0.96851,0.017958,0.972917,0.923077,0.981818
C0_no_coupon,W0,necessary_activity_completion_rate,10,0.960009,0.025457,0.972598,0.894737,0.974359
C0_no_coupon,W0,walking_mode_share,10,0.016357,0.009945,0.01477,0.0,0.030612
C0_no_coupon,W0,bus_mode_share,10,0.536523,0.054945,0.538829,0.466667,0.618557
C0_no_coupon,W0,metro_mode_share,10,0.389297,0.05507,0.39898,0.307692,0.464646
C0_no_coupon,W0,ride_hailing_mode_share,10,0.057822,0.021138,0.061856,0.019048,0.094737
C0_no_coupon,W0,mean_total_travel_time,10,63.0522,2.355268,63.0305,60.45,68.898
