seed,policy,experiment_condition,weather_scenario,weather_type,day_type,agent_count,planned_activities,completed_activities,activity_completion_rate,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,weather_cancelled_activities,transport_unmet_activities,necessary_transport_unmet_activities,planned_legs,successful_legs,transport_unmet_legs,transport_success_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,walking_mode_share,bus_mode_share,metro_mode_share,ride_hailing_mode_share,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,ride_hailing_failed,fallback_attempts,fallback_successes,fallback_succeeded,fallback_failed,late_but_reached,reached_but_activity_incomplete,transport_unmet,mandatory_activity_incomplete,mean_bus_wait_minutes,mean_metro_wait_minutes,bus_metro_transfer_legs,bus_metro_transfer_share_of_metro,mean_feeder_bus_time_minutes,mean_ride_hailing_wait_minutes,mean_total_travel_time,mean_fare_yuan,on_time_arrivals,on_time_arrival_rate,bus_activity_arrivals,bus_late_arrivals,bus_late_arrival_rate,interzonal_metro_legs,interzonal_metro_share,scheduled_bus_vehicle_trips,bus_demand,bus_feeder_boardings,total_bus_passenger_boardings,successful_ride_hailing_vehicle_trips,road_vehicle_volume,mean_volume_capacity_ratio,mean_road_speed_kmh,intrazonal_successful_legs,interzonal_successful_legs,initial_ride_hailing_vehicles,end_idle_vehicles,end_busy_vehicles,end_idle_by_zone,feedback_flow_is_first_round_successful_rides,metro_enabled,weather_exposed_activities,remote_work,travel_required_activities,transport_related_unmet,necessary_transport_related_unmet,total_outdoor_exposure_minutes,total_heat_hazard_dose_c_min,total_heat_risk_burden,necessary_heat_risk_burden,heat_risk_per_completed_travel_required_necessary_activity,heat_risk_per_planned_travel_required_necessary_activity,total_rain_exposure_minutes,total_system_wait_minutes,coupon_reached,coupon_participated,coupon_awarded,coupon_redeemed,coupon_expired_after_failed_request,coupon_induced_requests,coupon_subsidy_yuan,mean_ride_hailing_wait_minutes_per_request
47,C0_no_coupon,coupon_C0_no_coupon,W0,normal,workday,50,52,51,0.980769,38,37,0.973684,0,0,0,97,97,0,1.0,1,54,36,6,0.010309,0.556701,0.371134,0.061856,6,6,0,0,0,0,0,0,2,1,0,1,6.521,7.632,19,0.527778,25.456,9.944,62.975,4.735,50,0.961538,29,2,0.068966,32,0.507937,1018.941,54,21,75,6,1024.941,0.72765,17.272,34,63,12,12,0,"{""Z1"": 0, ""Z2"": 2, ""Z3"": 3, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,52,0,0,1906.166,0.0,0.0,0.0,0.0,0.0,0.0,686.541,0,0,0,0,0,0,0.0,9.9445
47,C0_no_coupon,coupon_C0_no_coupon,W2,heavy_rain,workday,50,52,52,1.0,38,38,1.0,0,0,0,95,95,0,1.0,1,30,51,13,0.010526,0.315789,0.536842,0.136842,13,13,0,0,0,0,0,0,0,0,0,0,7.06,8.376,31,0.607843,29.353,10.013,62.78,8.449,51,1.0,13,0,0.0,46,0.730159,1018.941,30,37,67,13,1031.941,0.761688,17.302,32,63,12,12,0,"{""Z1"": 0, ""Z2"": 2, ""Z3"": 2, ""Z4"": 1, ""Z5"": 2, ""Z6"": 2, ""Z7"": 2, ""Z8"": 1, ""Z9"": 0}",True,True,39,1,51,0,0,2032.787,0.0,0.0,0.0,0.0,0.0,1378.525844,769.162,0,0,0,0,0,0,0.0,10.012692
47,C1_public_limited,coupon_C1_public_limited,W0,normal,workday,50,52,51,0.980769,38,37,0.973684,0,0,0,97,97,0,1.0,1,54,36,6,0.010309,0.556701,0.371134,0.061856,6,6,0,0,0,0,0,0,2,1,0,1,6.521,7.632,19,0.527778,25.456,9.944,62.975,4.582,50,0.961538,29,2,0.068966,32,0.507937,1018.941,54,21,75,6,1024.941,0.72765,17.272,34,63,12,12,0,"{""Z1"": 0, ""Z2"": 2, ""Z3"": 3, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,52,0,0,1906.166,0.0,0.0,0.0,0.0,0.0,0.0,686.541,50,32,10,3,0,0,14.8,9.9445
47,C1_public_limited,coupon_C1_public_limited,W2,heavy_rain,workday,50,52,52,1.0,38,38,1.0,0,0,0,95,95,0,1.0,1,29,50,15,0.010526,0.305263,0.526316,0.157895,15,15,0,0,0,0,0,0,1,0,0,0,7.106,8.065,30,0.6,28.416,10.22,62.144,8.763,50,0.980392,12,0,0.0,45,0.714286,1018.941,29,35,64,15,1033.941,0.766421,17.6,32,63,12,12,0,"{""Z1"": 0, ""Z2"": 2, ""Z3"": 2, ""Z4"": 1, ""Z5"": 1, ""Z6"": 2, ""Z7"": 3, ""Z8"": 1, ""Z9"": 0}",True,True,39,1,51,0,0,1994.248,0.0,0.0,0.0,0.0,0.0,1371.433006,762.623,50,32,10,6,0,2,35.77,10.219867
47,C2_elder_limited,coupon_C2_elder_limited,W0,normal,workday,50,52,51,0.980769,38,37,0.973684,0,0,0,97,97,0,1.0,1,54,36,6,0.010309,0.556701,0.371134,0.061856,6,6,0,0,0,0,0,0,2,1,0,1,6.521,7.632,19,0.527778,25.456,9.944,62.975,4.693,50,0.961538,29,2,0.068966,32,0.507937,1018.941,54,21,75,6,1024.941,0.72765,17.272,34,63,12,12,0,"{""Z1"": 0, ""Z2"": 2, ""Z3"": 3, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,52,0,0,1906.166,0.0,0.0,0.0,0.0,0.0,0.0,686.541,13,0,10,1,0,0,4.11,9.9445
47,C2_elder_limited,coupon_C2_elder_limited,W2,heavy_rain,workday,50,52,52,1.0,38,38,1.0,0,0,0,95,95,0,1.0,1,30,51,13,0.010526,0.315789,0.536842,0.136842,13,13,0,0,0,0,0,0,0,0,0,0,7.06,8.376,31,0.607843,29.353,10.013,62.78,8.405,51,1.0,13,0,0.0,46,0.730159,1018.941,30,37,67,13,1031.941,0.761688,17.302,32,63,12,12,0,"{""Z1"": 0, ""Z2"": 2, ""Z3"": 2, ""Z4"": 1, ""Z5"": 2, ""Z6"": 2, ""Z7"": 2, ""Z8"": 1, ""Z9"": 0}",True,True,39,1,51,0,0,2032.787,0.0,0.0,0.0,0.0,0.0,1378.525844,769.162,13,0,10,1,0,0,4.11,10.012692
47,C3_mixed,coupon_C3_mixed,W0,normal,workday,50,52,51,0.980769,38,37,0.973684,0,0,0,97,97,0,1.0,1,54,36,6,0.010309,0.556701,0.371134,0.061856,6,6,0,0,0,0,0,0,2,1,0,1,6.521,7.632,19,0.527778,25.456,9.944,62.975,4.637,50,0.961538,29,2,0.068966,32,0.507937,1018.941,54,21,75,6,1024.941,0.72765,17.272,34,63,12,12,0,"{""Z1"": 0, ""Z2"": 2, ""Z3"": 3, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,52,0,0,1906.166,0.0,0.0,0.0,0.0,0.0,0.0,686.541,50,32,10,2,0,0,9.5,9.9445
47,C3_mixed,coupon_C3_mixed,W2,heavy_rain,workday,50,52,52,1.0,38,38,1.0,0,0,0,95,95,0,1.0,1,29,50,15,0.010526,0.305263,0.526316,0.157895,15,15,0,0,0,0,0,0,1,0,0,0,7.106,8.065,30,0.6,28.416,10.22,62.144,8.875,50,0.980392,12,0,0.0,45,0.714286,1018.941,29,35,64,15,1033.941,0.766421,17.6,32,63,12,12,0,"{""Z1"": 0, ""Z2"": 2, ""Z3"": 2, ""Z4"": 1, ""Z5"": 1, ""Z6"": 2, ""Z7"": 3, ""Z8"": 1, ""Z9"": 0}",True,True,39,1,51,0,0,1994.248,0.0,0.0,0.0,0.0,0.0,1371.433006,762.623,50,32,10,4,0,2,25.17,10.219867
48,C0_no_coupon,coupon_C0_no_coupon,W0,normal,workday,50,53,52,0.981132,38,37,0.973684,0,0,0,98,98,0,1.0,3,53,39,3,0.030612,0.540816,0.397959,0.030612,3,3,0,0,0,0,0,0,1,1,0,1,6.968,7.981,22,0.564103,24.959,8.0,68.898,4.292,52,0.981132,24,1,0.041667,32,0.484848,1018.941,53,25,78,3,1021.941,0.702781,16.82,32,66,12,12,0,"{""Z1"": 3, ""Z2"": 1, ""Z3"": 1, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,53,0,0,2053.888,0.0,0.0,0.0,0.0,0.0,0.0,704.562,0,0,0,0,0,0,0.0,8.0
48,C0_no_coupon,coupon_C0_no_coupon,W2,heavy_rain,workday,50,53,52,0.981132,38,38,1.0,1,0,0,97,97,0,1.0,2,32,55,8,0.020619,0.329897,0.56701,0.082474,9,8,1,1,1,1,1,0,1,0,0,0,7.795,8.869,37,0.672727,28.323,10.18,69.189,7.702,51,0.980769,12,1,0.083333,47,0.712121,1018.941,32,44,76,8,1026.941,0.760218,16.086,31,66,12,12,0,"{""Z1"": 2, ""Z2"": 2, ""Z3"": 1, ""Z4"": 0, ""Z5"": 1, ""Z6"": 3, ""Z7"": 2, ""Z8"": 1, ""Z9"": 0}",True,True,46,0,52,0,0,2238.345,0.0,0.0,0.0,0.0,0.0,1494.86061,838.685,0,0,0,0,0,0,0.0,11.271444
