policy,weather_scenario,metric,seed_count,mean,std_dev,median,minimum,maximum,baseline_access_group
D0_baseline,W0,policy_digital_agent_count,10,20.0,0.0,20.0,20.0,20.0,18-39
D0_baseline,W0,policy_assisted_agent_count,10,0.0,0.0,0.0,0.0,0.0,18-39
D0_baseline,W0,policy_proxy_agent_count,10,0.0,0.0,0.0,0.0,0.0,18-39
D0_baseline,W0,ride_hailing_requests,10,4.1,1.791957,4.5,1.0,6.0,18-39
D0_baseline,W0,successful_ride_hailing_requests,10,4.0,1.699673,4.5,1.0,6.0,18-39
D0_baseline,W0,failed_ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0,18-39
D0_baseline,W0,mean_ride_hailing_wait_minutes_per_request,10,10.559458,1.95125,9.8936,8.0,14.51765,18-39
D0_baseline,W0,fallback_attempts,10,0.1,0.316228,0.0,0.0,1.0,18-39
D0_baseline,W0,transport_unmet,10,0.0,0.0,0.0,0.0,0.0,18-39
D0_baseline,W0,planned_necessary_activities,10,18.0,0.0,18.0,18.0,18.0,18-39
D0_baseline,W0,completed_necessary_activities,10,17.5,0.527046,17.5,17.0,18.0,18-39
D0_baseline,W0,mandatory_activity_incomplete,10,0.5,0.527046,0.5,0.0,1.0,18-39
D0_baseline,W0,necessary_activity_completion_rate,10,0.972222,0.029281,0.972222,0.944444,1.0,18-39
D0_baseline,W0,walking_legs,10,1.5,1.080123,1.5,0.0,3.0,18-39
D0_baseline,W0,bus_legs,10,17.3,3.591657,17.0,13.0,26.0,18-39
D0_baseline,W0,metro_legs,10,22.2,3.190263,22.0,18.0,28.0,18-39
D0_baseline,W0,ride_hailing_legs,10,4.0,1.699673,4.5,1.0,6.0,18-39
D0_baseline,W0,mean_total_travel_time,10,61.579419,4.344235,62.285106,53.893442,68.942739,18-39
D0_baseline,W0,total_outdoor_exposure_minutes,10,983.5255,92.761071,975.679,847.06,1169.481,18-39
D0_baseline,W0,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0,18-39
D0_baseline,W0,policy_digital_agent_count,10,17.0,0.0,17.0,17.0,17.0,40-59
D0_baseline,W0,policy_assisted_agent_count,10,0.0,0.0,0.0,0.0,0.0,40-59
D0_baseline,W0,policy_proxy_agent_count,10,0.0,0.0,0.0,0.0,0.0,40-59
D0_baseline,W0,ride_hailing_requests,10,1.7,1.766981,1.0,0.0,5.0,40-59
D0_baseline,W0,successful_ride_hailing_requests,10,1.6,1.577621,1.0,0.0,4.0,40-59
D0_baseline,W0,failed_ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0,40-59
D0_baseline,W0,mean_ride_hailing_wait_minutes_per_request,7,9.980912,1.752607,10.0,7.591,12.5358,40-59
D0_baseline,W0,fallback_attempts,10,0.1,0.316228,0.0,0.0,1.0,40-59
D0_baseline,W0,transport_unmet,10,0.0,0.0,0.0,0.0,0.0,40-59
D0_baseline,W0,planned_necessary_activities,10,16.1,0.316228,16.0,16.0,17.0,40-59
D0_baseline,W0,completed_necessary_activities,10,15.1,0.567646,15.0,14.0,16.0,40-59
D0_baseline,W0,mandatory_activity_incomplete,10,1.0,0.816497,1.0,0.0,3.0,40-59
D0_baseline,W0,necessary_activity_completion_rate,10,0.938603,0.048062,0.9375,0.823529,1.0,40-59
D0_baseline,W0,walking_legs,10,0.1,0.316228,0.0,0.0,1.0,40-59
D0_baseline,W0,bus_legs,10,19.2,3.457681,20.0,13.0,24.0,40-59
D0_baseline,W0,metro_legs,10,13.2,3.084009,13.0,8.0,19.0,40-59
D0_baseline,W0,ride_hailing_legs,10,1.6,1.577621,1.0,0.0,4.0,40-59
